call_id,turn_id,speaker,channel,segment_id,start_time,end_time,text,sentiment_label,sentiment_score,frustration_flag,empathy_flag,probing_flag,ownership_flag,next_steps_flag,segment_duration_sec,rms_energy,peak_amplitude,rms_db,zero_crossing_rate,spectral_centroid,pitch_mean_hz,pitch_std_hz,speaking_rate_wps,volume_level,speaking_rate_level,pitch_level,frustration_flag_bool,empathy_flag_bool,probing_flag_bool,ownership_flag_bool,next_steps_flag_bool,normalized_sentiment,vocal_intensity_level,turn_risk_score,turn_main_signal,turn_risk_level,turn_reason_codes,evidence_id,signal_coverage_confidence,analytical_contract_version,risk_rubric_version,risk_score_type,risk_score_calibrated,asr_model_id,sentiment_model_id
en_CA_Hospitality_1587316,1,agent,channel1,1,0.0,17.12,"Good afternoon, thank you for calling the Grand View Hotel and Suite.",positive,0.9387,False,False,False,False,False,17.12,0.026424,0.297577,-31.56,0.035858,751.09,292.548,125.196,0.701,low,low,high,False,False,False,False,False,positive,medium,0,no strong signal,low,NO_STRONG_SIGNAL,en_CA_Hospitality_1587316:turn:1,1.0,1.0.0,conversation_risk_v1,heuristic_proxy,False,faster-whisper/small,cardiffnlp/twitter-roberta-base-sentiment-latest
en_CA_Hospitality_1587316,2,customer,channel2,1,0.0,29.0,"Hi, Sophie. My name is Daniel Ace. I have a reservation for this weekend and I was wondering if there's a chance to upgrade my room.",neutral,0.8557,False,False,False,False,False,29.0,0.039205,0.513367,-28.133,0.018544,271.91,334.925,114.231,0.897,low,low,high,False,False,False,False,False,neutral,medium,5,medium customer vocal intensity,low,CUST_MEDIUM_VOCAL_INTENSITY,en_CA_Hospitality_1587316:turn:2,1.0,1.0.0,conversation_risk_v1,heuristic_proxy,False,faster-whisper/small,cardiffnlp/twitter-roberta-base-sentiment-latest
en_CA_Hospitality_1587316,3,agent,channel1,2,17.12,26.0,"This is Sophie speaking, how may I assist you today?",neutral,0.9279,False,False,True,False,False,8.88,0.029834,0.406494,-30.506,0.048003,798.136,290.667,127.613,1.126,low,low,high,False,False,True,False,False,neutral,medium,0,agent probing question detected,low,AGENT_PROBING,en_CA_Hospitality_1587316:turn:3,1.0,1.0.0,conversation_risk_v1,heuristic_proxy,False,faster-whisper/small,cardiffnlp/twitter-roberta-base-sentiment-latest
en_CA_Hospitality_1587316,4,agent,channel1,3,26.0,36.0,"Oh, congratulations, may I ask what you're celebrating?",positive,0.9651,False,False,True,False,False,10.0,0.034684,0.602448,-29.197,0.048788,843.079,283.534,130.107,0.8,low,low,high,False,False,True,False,False,positive,medium,0,agent probing question detected,low,AGENT_PROBING,en_CA_Hospitality_1587316:turn:4,1.0,1.0.0,conversation_risk_v1,heuristic_proxy,False,faster-whisper/small,cardiffnlp/twitter-roberta-base-sentiment-latest
en_CA_Hospitality_1587316,5,customer,channel2,2,29.0,35.0,It's actually a special occasion.,positive,0.8624,False,False,False,False,False,6.0,0.033033,0.435059,-29.621,0.039491,523.29,320.468,121.91,0.833,low,low,high,False,False,False,False,False,positive,medium,5,medium customer vocal intensity,low,CUST_MEDIUM_VOCAL_INTENSITY,en_CA_Hospitality_1587316:turn:5,1.0,1.0.0,conversation_risk_v1,heuristic_proxy,False,faster-whisper/small,cardiffnlp/twitter-roberta-base-sentiment-latest
en_CA_Hospitality_1587316,6,customer,channel2,3,35.0,58.0,"That's my wedding anniversary. 10 years. My wife and I wanted to do something nice, so I thought a better room might make it extra special.",positive,0.9521,False,False,False,False,False,23.0,0.043929,0.539398,-27.145,0.030674,402.534,300.063,132.313,1.13,medium,medium,high,False,False,False,False,False,positive,medium,5,medium customer vocal intensity,low,CUST_MEDIUM_VOCAL_INTENSITY,en_CA_Hospitality_1587316:turn:6,1.0,1.0.0,conversation_risk_v1,heuristic_proxy,False,faster-whisper/small,cardiffnlp/twitter-roberta-base-sentiment-latest
en_CA_Hospitality_1587316,7,agent,channel1,4,36.0,53.0,"Oh, that's wonderful. Congratulations to both of you. We'd love to make your day memorable.",positive,0.989,False,False,False,False,False,17.0,0.035965,0.651794,-28.882,0.044379,815.08,280.78,128.572,0.882,low,low,medium,False,False,False,False,False,positive,low,0,no strong signal,low,NO_STRONG_SIGNAL,en_CA_Hospitality_1587316:turn:7,1.0,1.0.0,conversation_risk_v1,heuristic_proxy,False,faster-whisper/small,cardiffnlp/twitter-roberta-base-sentiment-latest
en_CA_Hospitality_1587316,8,agent,channel1,5,53.0,67.0,Could I have your check-in date and the name on the reservation so I can look up your booking?,neutral,0.9265,False,False,True,False,False,14.0,0.039319,0.667145,-28.108,0.046228,842.093,286.412,119.939,1.357,low,medium,high,False,False,True,False,False,neutral,medium,0,agent probing question detected,low,AGENT_PROBING,en_CA_Hospitality_1587316:turn:8,1.0,1.0.0,conversation_risk_v1,heuristic_proxy,False,faster-whisper/small,cardiffnlp/twitter-roberta-base-sentiment-latest
en_CA_Hospitality_1587316,9,customer,channel2,4,58.0,83.0,"Sure. It's under Daniel Ace, checking in this Saturday, November 2nd.",neutral,0.8739,False,False,False,False,False,25.0,0.040532,0.634369,-27.844,0.023608,350.305,338.294,113.578,0.44,low,low,high,False,False,False,False,False,neutral,medium,5,medium customer vocal intensity,low,CUST_MEDIUM_VOCAL_INTENSITY,en_CA_Hospitality_1587316:turn:9,1.0,1.0.0,conversation_risk_v1,heuristic_proxy,False,faster-whisper/small,cardiffnlp/twitter-roberta-base-sentiment-latest
en_CA_Hospitality_1587316,10,agent,channel1,6,67.0,74.0,"Thanks. Okay, one moment while I pull up your reservation.",neutral,0.5444,False,False,False,False,False,7.0,0.03666,0.301605,-28.716,0.067771,987.302,228.394,117.042,1.429,low,medium,medium,False,False,False,False,False,neutral,low,0,no strong signal,low,NO_STRONG_SIGNAL,en_CA_Hospitality_1587316:turn:10,1.0,1.0.0,conversation_risk_v1,heuristic_proxy,False,faster-whisper/small,cardiffnlp/twitter-roberta-base-sentiment-latest
