call_id,channel,segment_id,start_time,end_time,text
en_AU_Retail2_1586372,channel1,1,0.0,29.0,"Hi, is there anything I can help you with?"
en_AU_Retail2_1586372,channel1,2,29.0,45.0,Is there a model on there?
en_AU_Retail2_1586372,channel1,3,45.0,50.0,Is there a model number on this?
en_AU_Retail2_1586372,channel1,4,50.0,58.0,Is it this one?
en_AU_Retail2_1586372,channel1,5,58.0,60.0,Can I show you?
en_AU_Retail2_1586372,channel1,6,60.0,64.0,Is this the one you're looking for?
en_AU_Retail2_1586372,channel1,7,64.0,69.0,I think that's the only red box that we stock at the moment.
en_AU_Retail2_1586372,channel1,8,69.0,73.0,What size are you after?
en_AU_Retail2_1586372,channel1,9,73.0,74.0,Seven and a half.
en_AU_Retail2_1586372,channel1,10,74.0,78.0,"This model comes in red only, is that alright?"
en_AU_Retail2_1586372,channel1,11,78.0,82.0,Let me have a look.
en_AU_Retail2_1586372,channel1,12,82.0,85.0,"No, we don't seem to have a seven and a half."
en_AU_Retail2_1586372,channel1,13,85.0,88.0,"Actually, they don't come in half sizes."
en_AU_Retail2_1586372,channel1,14,88.0,94.0,Would you be more of a seven or eight?
en_AU_Retail2_1586372,channel1,15,94.0,95.0,Eight.
en_AU_Retail2_1586372,channel1,16,95.0,97.0,We don't have any eights.
en_AU_Retail2_1586372,channel1,17,97.0,102.0,That seems to be the most popular size.
en_AU_Retail2_1586372,channel1,18,102.0,109.0,But I can see there seems to be...
en_AU_Retail2_1586372,channel1,19,109.0,112.0,"It says two, but it's always tricky."
en_AU_Retail2_1586372,channel1,20,112.0,130.0,But it says there are two available in the chatstone store.
en_AU_Retail2_1586372,channel1,21,130.0,134.0,"Not at the moment, but what you could do is"
en_AU_Retail2_1586372,channel1,22,134.0,140.0,"you could always, like, do you have a membership with us?"
en_AU_Retail2_1586372,channel1,23,140.0,141.0,Okay.
en_AU_Retail2_1586372,channel1,24,141.0,145.0,We can sign you up and then it will have your email address on it.
en_AU_Retail2_1586372,channel1,25,145.0,147.0,"And if there are any discounts or promotions,"
en_AU_Retail2_1586372,channel1,26,147.0,149.0,you will receive them in your emails.
en_AU_Retail2_1586372,channel1,27,149.0,153.0,Would you like to do that?
en_AU_Retail2_1586372,channel1,28,153.0,154.0,Okay.
en_AU_Retail2_1586372,channel1,29,154.0,159.0,And Sairud was your name?
en_AU_Retail2_1586372,channel1,30,159.0,160.0,And Sairud's name?
en_AU_Retail2_1586372,channel1,31,160.0,162.0,"Oh, O'Brien, sorry."
en_AU_Retail2_1586372,channel1,32,162.0,168.0,"And what's your email address there, Jenny?"
en_AU_Retail2_1586372,channel1,33,168.0,170.0,Yep.
en_AU_Retail2_1586372,channel1,34,170.0,173.0,Yep.
