call_id,turn_id,speaker,channel,segment_id,start_time,end_time,text
en_CA_RealEstate_1588709,1,agent,channel1,1,0.0,15.56,Hello and welcome to the real estate agency.
en_CA_RealEstate_1588709,2,customer,channel2,1,0.0,18.56,Hi there.
en_CA_RealEstate_1588709,3,agent,channel1,2,15.56,16.56,My name is Julia.
en_CA_RealEstate_1588709,4,agent,channel1,3,16.56,21.16,How can I help you?
en_CA_RealEstate_1588709,5,customer,channel2,2,18.56,24.76,"I was just calling to inquire about your availability of fully furnished apartments, two bedroom"
en_CA_RealEstate_1588709,6,agent,channel1,4,21.16,30.68,"Okay, we can definitely look at that for you."
en_CA_RealEstate_1588709,7,customer,channel2,3,24.76,44.84,"or three bedroom apartments for my wife and I, Vancouver."
en_CA_RealEstate_1588709,8,agent,channel1,5,30.68,34.68,What's the area you're located in?
en_CA_RealEstate_1588709,9,agent,channel1,6,34.68,35.68,Vancouver.
en_CA_RealEstate_1588709,10,agent,channel1,7,35.68,36.68,Okay.
en_CA_RealEstate_1588709,11,agent,channel1,8,36.68,38.2,Let me see.
en_CA_RealEstate_1588709,12,agent,channel1,9,38.2,43.08,And what brings you to Vancouver?
en_CA_RealEstate_1588709,13,customer,channel2,4,44.84,49.32,"We've lived here our whole lives, but we got married recently and we're just looking"
en_CA_RealEstate_1588709,14,customer,channel2,5,49.32,54.8,to find our own place to stay.
en_CA_RealEstate_1588709,15,agent,channel1,10,52.16,53.16,Very good.
en_CA_RealEstate_1588709,16,agent,channel1,11,53.16,56.16,"Congratulations, sir."
en_CA_RealEstate_1588709,17,customer,channel2,6,54.8,57.8,Thank you.
en_CA_RealEstate_1588709,18,agent,channel1,12,56.16,57.16,Okay.
en_CA_RealEstate_1588709,19,agent,channel1,13,57.16,62.16,And you said two to three bedroom apartments.
en_CA_RealEstate_1588709,20,customer,channel2,7,57.8,73.24,"Yes, I'm fully furnished."
en_CA_RealEstate_1588709,21,agent,channel1,14,62.16,64.16,Fully furnished.
en_CA_RealEstate_1588709,22,agent,channel1,15,64.16,65.16,Okay.
en_CA_RealEstate_1588709,23,agent,channel1,16,65.16,67.16,I can definitely filter by those.
en_CA_RealEstate_1588709,24,agent,channel1,17,67.16,73.16,And would you like a realtor to help you support you in this transition?
en_CA_RealEstate_1588709,25,agent,channel1,18,73.16,74.16,Okay.
en_CA_RealEstate_1588709,26,customer,channel2,8,73.24,77.04,"Yes, please."
en_CA_RealEstate_1588709,27,agent,channel1,19,74.16,78.16,We can definitely connect you with one.
en_CA_RealEstate_1588709,28,customer,channel2,9,77.12,91.88,So long as that doesn't cost us extra.
en_CA_RealEstate_1588709,29,agent,channel1,20,78.16,80.16,No.
en_CA_RealEstate_1588709,30,agent,channel1,21,80.16,88.16,"All of the compensation for the realtor comes out of the sellers or the,"
en_CA_RealEstate_1588709,31,agent,channel1,22,88.16,95.16,"those, those supplying the rentals."
en_CA_RealEstate_1588709,32,customer,channel2,10,91.88,105.08,"Okay, that sounds good."
en_CA_RealEstate_1588709,33,agent,channel1,23,95.16,99.16,"Okay, so I will connect you with."
en_CA_RealEstate_1588709,34,agent,channel1,24,99.16,101.16,With the.
en_CA_RealEstate_1588709,35,agent,channel1,25,101.16,103.16,With James here.
en_CA_RealEstate_1588709,36,agent,channel1,26,103.16,107.16,He'll be a realtor and you'll be hearing from him.
en_CA_RealEstate_1588709,37,customer,channel2,11,105.08,114.52,Okay.
