call_id,turn_id,speaker,channel,segment_id,start_time,end_time,text,sentiment_label,sentiment_score,frustration_flag,empathy_flag,probing_flag,ownership_flag,next_steps_flag
en_CA_Banking_1588683,1,agent,channel1,1,0.0,16.12,"Hello, and welcome to the Bank Association.",positive,0.8312,False,False,False,False,False
en_CA_Banking_1588683,2,customer,channel2,1,0.0,25.36,"Hello, I'm looking to set up an automatic monthly transfer from my checking count to",neutral,0.8767,False,False,False,False,False
en_CA_Banking_1588683,3,agent,channel1,2,16.12,17.12,My name is Julia.,neutral,0.8721,False,False,False,False,False
en_CA_Banking_1588683,4,agent,channel1,3,17.12,22.12,How can I help you today?,neutral,0.7191,False,False,True,False,False
en_CA_Banking_1588683,5,agent,channel1,4,22.12,32.12,"All right, we can definitely do that.",positive,0.8079,False,False,False,False,False
en_CA_Banking_1588683,6,customer,channel2,2,25.44,27.44,a new savings account that I just opened with you online.,neutral,0.8886,False,False,False,False,False
en_CA_Banking_1588683,7,agent,channel1,5,32.12,40.12,Can you please provide your full name?,neutral,0.8938,False,False,True,False,False
en_CA_Banking_1588683,8,customer,channel2,3,35.6,36.72,Owen McDougall.,neutral,0.852,False,False,False,False,False
en_CA_Banking_1588683,9,agent,channel1,6,40.12,53.12,And your checking account number?,neutral,0.9024,False,False,True,False,False
en_CA_Banking_1588683,10,customer,channel2,4,43.6,49.68,"Yes, it is 59437289.",neutral,0.83,False,False,False,False,False
en_CA_Banking_1588683,11,agent,channel1,7,53.12,78.12,"Okay, and the digits on the other side of your card, the CVV, and the expiration date.",neutral,0.9172,False,False,False,False,False
en_CA_Banking_1588683,12,customer,channel2,5,55.52,62.24,Which digits?,neutral,0.9028,False,False,False,False,False
en_CA_Banking_1588683,13,customer,channel2,6,64.96,67.52,"Ah, it is 444.",neutral,0.6151,False,False,False,False,False
en_CA_Banking_1588683,14,customer,channel2,7,73.84,77.12,"I'm sorry, is this, this, this is safe, right? We could do this over the phone.",negative,0.5781,False,False,False,False,False
en_CA_Banking_1588683,15,customer,channel2,8,77.52,85.04,"Okay, the expiration date is January 31.",neutral,0.9064,False,False,False,False,False
en_CA_Banking_1588683,16,agent,channel1,8,78.12,87.12,"Yes, this is a secure line.",positive,0.5075,False,False,False,False,False
en_CA_Banking_1588683,17,customer,channel2,9,85.04,111.52,"Yes, I would like to set them up to be biweekly on the same day as my paycheck,",neutral,0.7255,False,False,False,False,False
en_CA_Banking_1588683,18,agent,channel1,9,87.12,89.12,"Okay, perfect.",positive,0.9282,False,False,False,False,False
en_CA_Banking_1588683,19,agent,channel1,10,89.12,92.12,I confirmed that that is all correct.,neutral,0.5462,False,False,False,False,False
