call_id,turn_id,speaker,channel,segment_id,start_time,end_time,text
en_CA_Energy_1590823,1,agent,channel1,1,0.0,22.0,"Good morning, Mrs. Canada Energy, how may I help you?"
en_CA_Energy_1590823,2,customer,channel2,1,0.0,27.84,"Hi there, I'm just calling this set up for my cabin which I'm actually going to be"
en_CA_Energy_1590823,3,agent,channel1,2,22.0,48.08,"Okay, I'll need to get a few details from you and then we can check into whether we're able"
en_CA_Energy_1590823,4,customer,channel2,2,27.84,32.52,retiring to and using as my new home so we just finished building it but now I need to
en_CA_Energy_1590823,5,customer,channel2,3,32.52,37.52,"figure out how to get it hooked up to the nearby power line for the lift up, which can help me."
en_CA_Energy_1590823,6,customer,channel2,4,37.52,66.4,"Sure, it's 462, Blueberry and Lightning, it's in Lactobani and it was a tree lot before and"
en_CA_Energy_1590823,7,agent,channel1,3,48.08,55.2,to hook up power and if so how to go about it. So first could you share with me the address of your
en_CA_Energy_1590823,8,agent,channel1,4,55.2,63.84,"cabins? Okay, okay."
en_CA_Energy_1590823,9,customer,channel2,5,66.4,78.4,"our neighbors do have power, I think it's very couple, I mean we're connected but yeah it was a tree lot and it doesn't currently have a good power."
en_CA_Energy_1590823,10,agent,channel1,5,78.32,84.96,"Okay, and so along blueberry lanes is there can you see visible power poles like at some of the"
en_CA_Energy_1590823,11,customer,channel2,6,78.4,90.4,"Yeah, it's a conference room."
en_CA_Energy_1590823,12,agent,channel1,6,84.96,97.36,"other properties? Okay, all right, got it. So that matches what I have in our database and just"
en_CA_Energy_1590823,13,agent,channel1,7,97.36,104.72,"looking at where the existing connections are. Yeah, exactly, it looks like across the street"
en_CA_Energy_1590823,14,agent,channel1,8,104.72,112.4,we would be able to tie into that line for you. Now there because there is like a crew that
en_CA_Energy_1590823,15,customer,channel2,7,108.4,137.4,"Okay, and is it built?"
en_CA_Energy_1590823,16,agent,channel1,9,112.48,120.56,would have to come out to set up that connection for you. There is a cost associated with hooking up
en_CA_Energy_1590823,17,agent,channel1,10,120.56,129.36,the power because it's a new connection as well as you will need a new meter installed and the meter
en_CA_Energy_1590823,18,agent,channel1,11,129.36,134.88,is what just like you have at your other at your current home there's a meter that measures how
en_CA_Energy_1590823,19,agent,channel1,12,134.88,149.2,"much energy you use. Yes, it's built in the exact same way and you have a few options for your payment"
en_CA_Energy_1590823,20,customer,channel2,8,138.4,157.4,"Okay, and is it built the same as in the day because it is like a continuous line?"
en_CA_Energy_1590823,21,agent,channel1,13,149.2,155.28,cycles which will go through in a couple minutes but in terms of how it's built it's the exact
en_CA_Energy_1590823,22,agent,channel1,14,155.28,166.96,same as in the city. For sure.
en_CA_Energy_1590823,23,customer,channel2,9,157.4,172.4,"Okay, perfect, and then yeah I'm just wondering if there's like different, I don't want to call them packages but like how much is this going to cost to set it up and in this sense of like full-time living for half a year."
en_CA_Energy_1590823,24,agent,channel1,15,172.32,179.44,"Okay, so to have the line extended to your home it's going to depend on how many meters"
en_CA_Energy_1590823,25,agent,channel1,16,179.44,191.28,of line it is from the cabinet itself to the existing power line. So I can give you an estimate
en_CA_Energy_1590823,26,customer,channel2,10,187.4,200.4,Okay.
en_CA_Energy_1590823,27,agent,channel1,17,191.28,199.12,based on between 10 and 30 meters or is it a lot more than 30 meters do you think?
en_CA_Energy_1590823,28,agent,channel1,18,199.92,216.64,"60 meters. Okay, so between 60 to 100 meters including all of the parts including the meter"
en_CA_Energy_1590823,29,customer,channel2,11,200.4,209.4,"It might be further, we're like down here in the water so we'll be like 16 minutes."
en_CA_Energy_1590823,30,customer,channel2,12,209.4,236.4,Okay.
en_CA_Energy_1590823,31,agent,channel1,19,216.64,222.88,"including the labor that will come to about $3,000 and that's a one-time fee"
en_CA_Energy_1590823,32,agent,channel1,20,222.88,233.52,and that also includes like setting up your account and everything. So unfortunately there
en_CA_Energy_1590823,33,agent,channel1,21,233.52,240.08,is some set up costs with setting up a new property that hasn't been electrified before
en_CA_Energy_1590823,34,customer,channel2,13,236.4,256.4,"Okay, and my husband wanted to ask about if there's a way to, I mean maybe this is more about the billing cycle than it is about the set up but maybe it is part of the set up."
en_CA_Energy_1590823,35,agent,channel1,22,242.16,246.8,but then once you're set up you won't incur fees like that again.
en_CA_Energy_1590823,36,customer,channel2,14,257.4,269.4,And he wants to do solar panels on the roof because it's so spacing and so we get all that southern sun and so he wanted to do solar panels to kind of offset the cost of electricity.
en_CA_Energy_1590823,37,customer,channel2,15,269.4,285.4,Is that something that has to be figured out at the time of set up or is that something that is kind of separate like how does that work?
en_CA_Energy_1590823,38,agent,channel1,23,283.28,290.48,If you put in any alternative whether it's solar or wind that ties that will just simply tie into
en_CA_Energy_1590823,39,customer,channel2,16,286.4,311.4,Okay.
en_CA_Energy_1590823,40,agent,channel1,24,290.48,295.36,your existing line. So you still have to set up the existing line in the first place
en_CA_Energy_1590823,41,agent,channel1,25,296.08,301.28,and then a certified electrician would be able to tie it in if you add that if you add solar
en_CA_Energy_1590823,42,agent,channel1,26,301.28,306.88,or anything like that in the future and before we end our call today I will explain to you
en_CA_Energy_1590823,43,agent,channel1,27,307.84,310.08,some of the options that you have with that as well.
en_CA_Energy_1590823,44,customer,channel2,17,311.4,339.4,That's good.
en_CA_Energy_1590823,45,agent,channel1,28,312.08,318.16,"Yeah, so for the initial setup I can put in the request to our technical team"
en_CA_Energy_1590823,46,agent,channel1,29,318.8,325.44,and then they will get back to you they'll call you directly to find a time that works best
en_CA_Energy_1590823,47,agent,channel1,30,326.32,330.8,and this type of setup usually takes about a day to complete
en_CA_Energy_1590823,48,agent,channel1,31,331.76,338.4,um and ideally you would be available and on site when that happens
en_CA_Energy_1590823,49,customer,channel2,18,339.4,344.4,"All right, do they work on me again?"
en_CA_Energy_1590823,50,agent,channel1,32,342.8,349.2,they do not unfortunately yeah it's just our it's just emergencies that they do on weekends
en_CA_Energy_1590823,51,customer,channel2,19,344.4,350.4,Okay.
en_CA_Energy_1590823,52,customer,channel2,20,350.4,370.4,Do you know roughly how far out they're working right now?
en_CA_Energy_1590823,53,agent,channel1,33,354.48,356.4,looks like it's about two and a half weeks
en_CA_Energy_1590823,54,agent,channel1,34,357.2,359.2,yeah
en_CA_Energy_1590823,55,agent,channel1,35,362.56,367.76,and they do need to take a trip out to the property ahead of time just to do the measurements
en_CA_Energy_1590823,56,agent,channel1,36,367.76,369.92,and finalize the quote.
en_CA_Energy_1590823,57,customer,channel2,21,370.4,391.4,"Okay, that sounds good."
en_CA_Energy_1590823,58,agent,channel1,37,372.4,378.8,"Yeah, so I've put in the request to our technical team like I said they'll call you"
en_CA_Energy_1590823,59,agent,channel1,38,379.76,384.64,to set up those the you don't need to be there when they do the quote when they go to
en_CA_Energy_1590823,60,agent,channel1,39,384.64,402.0,take the measurements but it's best if you're there the day that they do the actual install.
en_CA_Energy_1590823,61,customer,channel2,22,391.4,392.4,"Okay, that sounds good."
en_CA_Energy_1590823,62,customer,channel2,23,392.4,399.4,And just to confirm like do I need to pay on the app or is this part of the billing cycle or how does that work?
en_CA_Energy_1590823,63,customer,channel2,24,399.4,404.4,Because I know obviously for the next little while we're going to use what we're like to see when we're there somewhere.
en_CA_Energy_1590823,64,customer,channel2,25,404.4,419.4,You can not see the list there.
en_CA_Energy_1590823,65,agent,channel1,40,406.96,412.64,Right so the installation costs are going to be up front and then
en_CA_Energy_1590823,66,agent,channel1,41,412.96,417.52,um then your regular billing will start with the with the regular billing cycle.
en_CA_Energy_1590823,67,customer,channel2,26,419.4,437.4,Okay.
en_CA_Energy_1590823,68,agent,channel1,42,421.76,429.12,Okay so in terms of plans um are you going to be using electrical heat
en_CA_Energy_1590823,69,agent,channel1,43,429.12,436.56,or are you using a combination of like wood stove electrical gas like how are you heating your cabin?
en_CA_Energy_1590823,70,agent,channel1,44,436.56,449.36,Okay and typically how many people will be staying there?
en_CA_Energy_1590823,71,customer,channel2,27,437.4,450.4,"And then it'll be a combination because we have a wood stove in the main open area, but then we have one electrical seat for like the back section."
