call_id,turn_id,speaker,channel,segment_id,start_time,end_time,text,sentiment_label,sentiment_score,frustration_flag,empathy_flag,probing_flag,ownership_flag,next_steps_flag,segment_duration_sec,rms_energy,peak_amplitude,rms_db,zero_crossing_rate,spectral_centroid,pitch_mean_hz,pitch_std_hz,speaking_rate_wps,volume_level,speaking_rate_level,pitch_level
en_CA_Hospitality_1592211,1,agent,channel1,1,0.0,16.44,"Hello, thank you for calling the best Canadian hotel.",positive,0.9776,False,False,False,False,False,16.44,0.046221,0.659058,-26.703,0.048479,887.761,273.13,133.536,0.547,medium,low,high
en_CA_Hospitality_1592211,2,customer,channel2,1,0.0,27.0,"My name is Dorothy Brown and I have already booked a, a,",neutral,0.761,False,False,False,False,False,27.0,0.013103,0.207794,-37.653,0.029038,966.567,309.711,124.112,0.444,low,low,high
en_CA_Hospitality_1592211,3,agent,channel1,2,16.44,17.44,How can I help you today?,neutral,0.7191,False,False,True,False,False,1.0,0.065284,0.41861,-23.704,0.080521,1012.83,191.102,60.596,6.0,high,high,low
en_CA_Hospitality_1592211,4,agent,channel1,3,17.44,18.12,My name is Joelle.,neutral,0.8197,False,False,False,False,False,0.68,0.05331,0.330505,-25.464,0.073109,964.603,138.125,26.276,5.882,medium,high,low
en_CA_Hospitality_1592211,5,customer,channel2,2,28.0,35.0,a hotel stay from Tuesday to Saturday of this week.,neutral,0.9471,False,False,False,False,False,7.0,0.024722,0.220154,-32.138,0.11908,1373.924,225.14,99.552,1.429,low,medium,medium
en_CA_Hospitality_1592211,6,agent,channel1,4,30.0,57.0,"No, just give me a minute here to be able to review our availability.",neutral,0.8398,False,False,False,False,False,27.0,0.032587,0.5867,-29.739,0.036496,888.75,288.047,136.273,0.519,medium,low,high
en_CA_Hospitality_1592211,7,customer,channel2,3,35.0,41.0,"But I have since found that I would need to stay at least two more days,",neutral,0.8294,False,False,False,False,False,6.0,0.02906,0.261719,-30.734,0.103794,1299.841,225.735,79.932,2.667,medium,high,medium
en_CA_Hospitality_1592211,8,customer,channel2,4,41.0,44.0,say Sunday and Monday.,neutral,0.9064,False,False,False,False,False,3.0,0.027796,0.174347,-31.12,0.160889,1655.599,178.189,77.258,1.333,medium,medium,low
en_CA_Hospitality_1592211,9,customer,channel2,5,44.0,51.0,Is that possible to extend my current booking or do I have to start all over and cancel?,neutral,0.893,False,False,False,False,False,7.0,0.02763,0.207367,-31.172,0.105228,1300.497,223.054,80.289,2.571,medium,medium,medium
en_CA_Hospitality_1592211,10,agent,channel1,5,57.0,59.44,You said you booked this just recently.,neutral,0.9332,False,False,False,False,False,2.44,0.086359,0.540649,-21.274,0.126382,1302.849,184.279,54.353,2.869,high,high,low
en_CA_Hospitality_1592211,11,customer,channel2,6,57.0,65.0,"No, it was booked through Expedia.",neutral,0.9082,False,False,False,False,False,8.0,0.014044,0.162537,-37.05,0.026723,832.848,321.652,117.12,0.75,low,low,high
en_CA_Hospitality_1592211,12,agent,channel1,6,59.44,66.44,Is it booked through our website or through an agency?,neutral,0.9448,False,False,True,False,False,7.0,0.059543,0.554993,-24.503,0.070364,1050.915,252.261,125.864,1.429,high,medium,medium
en_CA_Hospitality_1592211,13,customer,channel2,7,65.0,75.0,"Yes, it's 156723.",neutral,0.8543,False,False,False,False,False,10.0,0.018968,0.282257,-34.44,0.060082,957.494,297.472,117.019,0.3,low,low,high
en_CA_Hospitality_1592211,14,agent,channel1,7,66.44,76.44,"Okay, do you have the confirmation number there?",neutral,0.9457,False,False,True,False,False,10.0,0.046387,0.575928,-26.672,0.032726,795.381,295.596,127.931,0.8,medium,low,high
en_CA_Hospitality_1592211,15,customer,channel2,8,75.0,101.0,"That certainly would be good news,",positive,0.9788,False,False,False,False,False,26.0,0.007479,0.164001,-42.523,0.008524,779.415,344.243,112.379,0.231,low,low,high
en_CA_Hospitality_1592211,16,agent,channel1,8,76.44,80.44,"Okay, just give me a minute here to be able to review our records.",neutral,0.7581,False,False,False,False,False,4.0,0.04217,0.331543,-27.5,0.099272,1231.81,195.091,92.63,3.5,medium,high,medium
en_CA_Hospitality_1592211,17,agent,channel1,9,80.44,83.44,"Oh yes, Dorothy Brown, I see you right here.",positive,0.7645,False,False,False,False,False,3.0,0.083683,0.655365,-21.547,0.115759,1178.794,173.401,54.217,3.0,high,high,low
en_CA_Hospitality_1592211,18,agent,channel1,10,83.44,85.44,"Good, okay.",positive,0.8296,False,False,False,False,False,2.0,0.081189,0.521454,-21.81,0.131169,1304.304,202.425,113.934,1.0,high,low,medium
en_CA_Hospitality_1592211,19,agent,channel1,11,85.44,91.44,"So according to the availability that we have, extending your stay is possible within the same room.",neutral,0.7926,False,False,False,False,False,6.0,0.095393,0.606964,-20.41,0.105905,1147.671,191.705,56.595,2.833,high,high,medium
en_CA_Hospitality_1592211,20,agent,channel1,12,91.44,95.44,So you wouldn't know how to have to make an entirely new reservation.,neutral,0.5716,False,False,False,False,False,4.0,0.057854,0.66394,-24.753,0.0901,1136.571,173.547,55.073,3.25,high,high,low
en_CA_Hospitality_1592211,21,agent,channel1,13,95.44,97.44,"No, so that is very good.",positive,0.9476,False,False,False,False,False,2.0,0.062092,0.455627,-24.139,0.088139,1289.057,167.622,80.961,3.0,high,high,low
en_CA_Hospitality_1592211,22,customer,channel2,9,101.0,106.0,"but not always possible. I know that because, you know, that's just the way it falls.",neutral,0.5,False,False,False,False,False,5.0,0.027243,0.238983,-31.295,0.120568,1264.807,193.586,69.171,3.2,medium,high,medium
en_CA_Hospitality_1592211,23,customer,channel2,10,106.0,111.0,So that's good to know how.,positive,0.7944,False,False,False,False,False,5.0,0.022297,0.18866,-33.035,0.086892,1218.439,246.851,107.433,1.2,low,medium,medium
en_CA_Hospitality_1592211,24,customer,channel2,11,111.0,122.0,"So will I still get the discounted price or do I now have to pay full price for extending the, the stay?",neutral,0.8829,False,False,False,False,False,11.0,0.025087,0.225891,-32.011,0.107768,1233.87,207.62,84.994,2.0,low,medium,medium
en_CA_Hospitality_1592211,25,agent,channel1,14,115.44,129.44,"No, what we'll do is we'll just extend it by the extra days, but you'll also get the discount for those days as well.",neutral,0.7369,False,False,False,False,True,14.0,0.042321,0.55307,-27.469,0.060889,986.05,253.893,127.661,1.714,medium,medium,medium
en_CA_Hospitality_1592211,26,agent,channel1,15,129.44,134.44,"You won't have to make any changes at all, so it's very simple to be able to do that.",positive,0.4996,False,False,False,False,False,5.0,0.056371,0.422607,-24.979,0.13197,1356.869,170.771,64.212,3.8,medium,high,low
en_CA_Hospitality_1592211,27,customer,channel2,12,131.0,141.0,Okay.,neutral,0.5693,False,False,False,False,False,10.0,0.009982,0.133575,-40.015,0.023277,913.393,326.438,115.743,0.1,low,low,high
en_CA_Hospitality_1592211,28,agent,channel1,16,134.44,141.44,The only fee would be for the extra two nights.,neutral,0.9071,False,False,False,False,False,7.0,0.037368,0.564575,-28.55,0.068141,1018.261,257.598,130.457,1.429,medium,medium,medium
en_CA_Hospitality_1592211,29,customer,channel2,13,141.0,157.0,And how much are we looking at?,neutral,0.9311,False,False,False,False,False,16.0,0.010344,0.134796,-39.706,0.015256,786.511,328.265,119.217,0.438,low,low,high
en_CA_Hospitality_1592211,30,agent,channel1,17,141.44,146.44,"Well, based on what I'm seeing here, you got the discount rate of 10%.",neutral,0.8317,False,False,False,False,False,5.0,0.068502,0.55603,-23.286,0.13447,1378.189,185.778,75.599,2.8,high,high,low
en_CA_Hospitality_1592211,31,agent,channel1,18,146.44,151.44,So you'd be looking at about an extra $200 for the day for those two nights.,neutral,0.8795,False,False,False,False,False,5.0,0.084772,0.598236,-21.435,0.110112,1232.307,180.679,66.711,3.2,high,high,low
en_CA_Hospitality_1592211,32,customer,channel2,14,157.0,162.0,"And since I am not familiar with this particular hotel chain,",neutral,0.7032,False,False,False,False,False,5.0,0.029041,0.16803,-30.74,0.097914,1205.261,214.843,64.922,2.2,medium,medium,medium
