call_id,channel,segment_id,start_time,end_time,text
en_CA_Agriculture_1592234,channel1,1,0.0,16.16,"Hello, thank you for calling the farming workshop."
en_CA_Agriculture_1592234,channel1,2,16.16,17.16,My name is Bob.
en_CA_Agriculture_1592234,channel1,3,17.16,18.0,How can I help you today?
en_CA_Agriculture_1592234,channel1,4,60.0,69.48,"Yeah, so we do offer a wide variety of different workshops that can give guidance to people"
en_CA_Agriculture_1592234,channel1,5,69.48,72.32,that are new to farming.
en_CA_Agriculture_1592234,channel1,6,72.32,78.16,"And basically what they talk about is sustainable farming techniques, be able to like what type"
en_CA_Agriculture_1592234,channel1,7,78.16,86.8,"of crops would yield the most produce, what time to do it, what types of crops to plant"
en_CA_Agriculture_1592234,channel1,8,86.8,92.96,"in one field, and then the next year change it because of different minerals and things"
en_CA_Agriculture_1592234,channel1,9,92.96,94.48,to give the land a rest.
en_CA_Agriculture_1592234,channel1,10,94.48,100.92,So we offer all this information to people such as yourself that have recently wanted
en_CA_Agriculture_1592234,channel1,11,100.92,104.84,"to become farmers, that it wasn't generational, they've recently bought a farm and they"
en_CA_Agriculture_1592234,channel1,12,104.84,107.76,"wanted to start growing things, crops."
en_CA_Agriculture_1592234,channel1,13,107.76,132.44,"So that's what we're here for, for this type of plant such as yourself."
en_CA_Agriculture_1592234,channel1,14,132.44,137.0,Well the workshops more or less are tailored depending on the needs and the produce and
en_CA_Agriculture_1592234,channel1,15,137.0,141.72,crops that the farmers that are joining it are looking for.
en_CA_Agriculture_1592234,channel1,16,141.72,148.48,"So what we offer, for example, for corn, we also offer things that not just corn but"
en_CA_Agriculture_1592234,channel1,17,148.48,154.52,"a wide variety of different products as well, different crops explanations."
en_CA_Agriculture_1592234,channel1,18,154.52,158.28,"For example, we do offer guidance on crop rotation to improve yield."
en_CA_Agriculture_1592234,channel1,19,158.28,163.2,"So as I mentioned before, if you have corn usually what you will do is you"
en_CA_Agriculture_1592234,channel1,20,163.2,170.76,will have the corn in one field for a year or two and then switch it out with a soybean
en_CA_Agriculture_1592234,channel1,21,170.76,175.36,product because you want to yield the best crop.
en_CA_Agriculture_1592234,channel1,22,175.36,180.96,"You don't want to keep using the same soil over and over again, year after year, you need"
en_CA_Agriculture_1592234,channel1,23,180.96,181.96,to switch it out.
en_CA_Agriculture_1592234,channel1,24,181.96,187.16,So all this information is in our workshops that are tailored specifically to the clients
en_CA_Agriculture_1592234,channel1,25,187.16,189.0,that are coming in.
en_CA_Agriculture_1592234,channel1,26,189.0,194.92,"So we have someone on corn, if you're looking for soybean, you're looking for other different"
en_CA_Agriculture_1592234,channel1,27,194.92,198.72,types of farming and things such as that.
en_CA_Agriculture_1592234,channel1,28,198.72,224.2,So it's really tailored to the needs of the client.
en_CA_Agriculture_1592234,channel1,29,224.2,231.68,So the workshops basically are tailored to the schedules of the client themselves.
en_CA_Agriculture_1592234,channel1,30,231.68,235.32,"As you mentioned, so it depends really when you'd like to start it."
en_CA_Agriculture_1592234,channel1,31,235.32,239.52,"If you have more downtime, they don't take that much time and they're more hands-on than"
en_CA_Agriculture_1592234,channel1,32,239.52,240.52,anything else.
en_CA_Agriculture_1592234,channel1,33,240.52,246.72,It's done via remote so you don't actually have to go to a place specifically.
en_CA_Agriculture_1592234,channel1,34,246.72,253.12,They're tailored to the clients and their time frames that work best with our instructors.
en_CA_Agriculture_1592234,channel1,35,253.12,259.24,We also offer different information regarding different subsidies and things from the government
en_CA_Agriculture_1592234,channel1,36,259.24,262.84,that they provide as well that can help you get started.
en_CA_Agriculture_1592234,channel1,37,262.84,269.56,"Purchasing equipment, their financing options, banking options, when it might best to take"
en_CA_Agriculture_1592234,channel1,38,269.56,276.04,"a loan, if you use certain types of fertilizer, all this type of information is inside."
en_CA_Agriculture_1592234,channel1,39,276.04,281.0,"So for example, we give information based on financing for farm equipment because if"
en_CA_Agriculture_1592234,channel1,40,281.0,288.12,"you're really trying to produce and you have a quite big property with your farm, we offer"
en_CA_Agriculture_1592234,channel1,41,288.12,294.12,information to be able to lease equipment rather than buy equipment because buying this equipment
en_CA_Agriculture_1592234,channel1,42,294.12,299.84,"is relatively expensive, especially for people that have just started into the farming"
en_CA_Agriculture_1592234,channel1,43,299.84,300.84,industry.
en_CA_Agriculture_1592234,channel1,44,301.2,328.64,We offer a wide variety of different information on all this.
en_CA_Agriculture_1592234,channel1,45,328.64,332.44,"We offer basically, we have a wide variety of different suppliers and things that work"
en_CA_Agriculture_1592234,channel1,46,332.44,334.88,with us as well that we recommend.
en_CA_Agriculture_1592234,channel1,47,334.88,339.16,"We can give you basically what times to be able to put the fertilizer on, what types"
en_CA_Agriculture_1592234,channel1,48,339.16,345.96,"would be the best for organic type farming, if you have any animals, and things like that."
en_CA_Agriculture_1592234,channel1,49,345.96,352.04,"There also could be information based on that, like free range for chickens and for"
