call_id,turn_id,speaker,channel,segment_id,start_time,end_time,text,sentiment_label,sentiment_score,frustration_flag,empathy_flag,probing_flag,ownership_flag,next_steps_flag,segment_duration_sec,rms_energy,peak_amplitude,rms_db,zero_crossing_rate,spectral_centroid,pitch_mean_hz,pitch_std_hz,speaking_rate_wps,volume_level,speaking_rate_level,pitch_level,frustration_flag_bool,empathy_flag_bool,probing_flag_bool,ownership_flag_bool,next_steps_flag_bool,normalized_sentiment,vocal_intensity_level,turn_risk_score,turn_main_signal,turn_risk_level,turn_reason_codes,evidence_id,signal_coverage_confidence,analytical_contract_version,risk_rubric_version,risk_score_type,risk_score_calibrated,asr_model_id,sentiment_model_id
en_AU_Health_1591532,1,agent,channel1,1,0.0,16.28,"Hey there, you've reached Tom and I at 45, the gym that's revolutionizing the workout",positive,0.7451,False,False,False,False,False,16.28,0.129023,1.0,-17.787,0.062424,1283.775,298.925,128.296,0.921,high,low,high,False,False,False,False,False,positive,high,0,no strong signal,low,NO_STRONG_SIGNAL,en_AU_Health_1591532:turn:1,1.0,1.0.0,conversation_risk_v1,heuristic_proxy,False,faster-whisper/small,cardiffnlp/twitter-roberta-base-sentiment-latest
en_AU_Health_1591532,2,customer,channel2,1,0.0,24.08,"Hi, Tom. My name is Laura. I was just kind of wondering about possibly signing up with",neutral,0.7984,False,False,False,False,False,24.08,0.041054,0.853668,-27.733,0.116975,1904.887,213.057,139.823,0.706,low,low,medium,False,False,False,False,False,neutral,low,0,no strong signal,low,NO_STRONG_SIGNAL,en_AU_Health_1591532:turn:2,1.0,1.0.0,conversation_risk_v1,heuristic_proxy,False,faster-whisper/small,cardiffnlp/twitter-roberta-base-sentiment-latest
en_AU_Health_1591532,3,agent,channel1,2,16.28,17.28,trends.,neutral,0.8508,False,False,False,False,False,1.0,0.141742,0.910339,-16.97,0.178391,1835.591,222.736,90.53,1.0,high,low,high,False,False,False,False,False,neutral,high,0,no strong signal,low,NO_STRONG_SIGNAL,en_AU_Health_1591532:turn:3,1.0,1.0.0,conversation_risk_v1,heuristic_proxy,False,faster-whisper/small,cardiffnlp/twitter-roberta-base-sentiment-latest
en_AU_Health_1591532,4,agent,channel1,3,17.28,22.28,How can I help you today?,neutral,0.7191,False,False,True,False,False,5.0,0.039234,0.673157,-28.127,0.024563,1583.725,311.533,134.886,1.2,low,low,high,False,False,True,False,False,neutral,medium,0,agent probing question detected,low,AGENT_PROBING,en_AU_Health_1591532:turn:4,1.0,1.0.0,conversation_risk_v1,heuristic_proxy,False,faster-whisper/small,cardiffnlp/twitter-roberta-base-sentiment-latest
en_AU_Health_1591532,5,agent,channel1,4,22.28,24.28,"Great, great.",positive,0.946,False,False,False,False,False,2.0,3e-06,6.1e-05,-111.917,0.00434,1117.673,349.295,116.43,1.0,low,low,high,False,False,False,False,False,positive,medium,0,no strong signal,low,NO_STRONG_SIGNAL,en_AU_Health_1591532:turn:5,1.0,1.0.0,conversation_risk_v1,heuristic_proxy,False,faster-whisper/small,cardiffnlp/twitter-roberta-base-sentiment-latest
en_AU_Health_1591532,6,customer,channel2,2,24.08,32.72,"you guys and just kind of had a few questions if that's okay. Okay, so basically, I've kind of been",neutral,0.8304,False,False,False,False,False,8.64,0.059831,0.885498,-24.461,0.108415,1695.584,238.441,113.339,2.315,medium,low,high,False,False,False,False,False,neutral,medium,5,medium customer vocal intensity,low,CUST_MEDIUM_VOCAL_INTENSITY,en_AU_Health_1591532:turn:6,1.0,1.0.0,conversation_risk_v1,heuristic_proxy,False,faster-whisper/small,cardiffnlp/twitter-roberta-base-sentiment-latest
en_AU_Health_1591532,7,agent,channel1,5,24.28,27.68,"Yeah, hit me.",neutral,0.5444,False,False,False,False,False,3.4,0.077739,0.777893,-22.187,0.040254,1614.327,312.864,111.511,0.882,high,low,high,False,False,False,False,False,neutral,high,0,no strong signal,low,NO_STRONG_SIGNAL,en_AU_Health_1591532:turn:7,1.0,1.0.0,conversation_risk_v1,heuristic_proxy,False,faster-whisper/small,cardiffnlp/twitter-roberta-base-sentiment-latest
en_AU_Health_1591532,8,agent,channel1,6,27.68,29.96,"Tell me what's up, Laura.",neutral,0.8383,False,False,False,False,False,2.28,0.05563,0.531586,-25.094,0.126933,1678.865,279.251,104.436,2.193,low,low,high,False,False,False,False,False,neutral,medium,0,no strong signal,low,NO_STRONG_SIGNAL,en_AU_Health_1591532:turn:8,1.0,1.0.0,conversation_risk_v1,heuristic_proxy,False,faster-whisper/small,cardiffnlp/twitter-roberta-base-sentiment-latest
en_AU_Health_1591532,9,agent,channel1,7,29.96,48.28,"Yeah, yeah, nice, nice, yeah, we definitely do things a little bit differently here at",positive,0.7073,False,False,False,False,False,18.32,0.035155,0.660004,-29.08,0.038588,1443.144,313.841,128.972,0.819,low,low,high,False,False,False,False,False,positive,medium,0,no strong signal,low,NO_STRONG_SIGNAL,en_AU_Health_1591532:turn:9,1.0,1.0.0,conversation_risk_v1,heuristic_proxy,False,faster-whisper/small,cardiffnlp/twitter-roberta-base-sentiment-latest
en_AU_Health_1591532,10,customer,channel2,3,32.72,38.4,"working out at gyms and just struggling a little bit, not really getting results. And I know that",negative,0.7123,False,False,False,False,False,5.68,0.076652,0.676758,-22.31,0.131951,1558.947,171.851,69.25,3.169,high,medium,low,False,False,False,False,False,negative,medium,20,negative customer sentiment | medium customer vocal intensity,low,CUST_NEGATIVE_SENTIMENT|CUST_MEDIUM_VOCAL_INTENSITY,en_AU_Health_1591532:turn:10,1.0,1.0.0,conversation_risk_v1,heuristic_proxy,False,faster-whisper/small,cardiffnlp/twitter-roberta-base-sentiment-latest
