call_id,turn_id,speaker,channel,segment_id,start_time,end_time,text,sentiment_label,sentiment_score,frustration_flag,empathy_flag,probing_flag,ownership_flag,next_steps_flag,segment_duration_sec,rms_energy,peak_amplitude,rms_db,zero_crossing_rate,spectral_centroid,pitch_mean_hz,pitch_std_hz,speaking_rate_wps,volume_level,speaking_rate_level,pitch_level,frustration_flag_bool,empathy_flag_bool,probing_flag_bool,ownership_flag_bool,next_steps_flag_bool,normalized_sentiment,vocal_intensity_level,turn_risk_score,turn_main_signal,turn_risk_level,turn_reason_codes,evidence_id,signal_coverage_confidence,analytical_contract_version,risk_rubric_version,risk_score_type,risk_score_calibrated,asr_model_id,sentiment_model_id
en_AU_Retail_1590908,1,customer,channel2,1,0.0,22.0,"Hey, Tom, I'm just trying to organize to buy some tickets, funnily enough.",positive,0.6131,False,False,False,False,False,22.0,0.039095,0.888824,-28.158,0.117902,1886.26,217.317,141.034,0.591,low,low,medium,False,False,False,False,False,positive,low,0,no strong signal,low,NO_STRONG_SIGNAL,en_AU_Retail_1590908:turn:1,1.0,1.0.0,conversation_risk_v1,heuristic_proxy,False,faster-whisper/small,cardiffnlp/twitter-roberta-base-sentiment-latest
en_AU_Retail_1590908,2,agent,channel1,1,0.0,28.0,Hi. Thanks for calling TicketTech. You're with Tom. How can I help you today?,positive,0.6125,False,False,True,False,False,28.0,0.061572,1.0,-24.212,0.041635,1470.669,321.798,127.369,0.5,medium,low,high,False,False,True,False,False,positive,medium,0,agent probing question detected,low,AGENT_PROBING,en_AU_Retail_1590908:turn:2,1.0,1.0.0,conversation_risk_v1,heuristic_proxy,False,faster-whisper/small,cardiffnlp/twitter-roberta-base-sentiment-latest
en_AU_Retail_1590908,3,customer,channel2,2,22.0,24.84,"And I had a code, but it doesn't seem to be working.",negative,0.8089,False,False,False,False,False,2.84,0.070804,0.577911,-22.999,0.111356,1377.555,206.437,88.185,4.225,high,high,medium,False,False,False,False,False,negative,high,30,negative customer sentiment | high customer vocal intensity,medium,CUST_NEGATIVE_SENTIMENT|CUST_HIGH_VOCAL_INTENSITY,en_AU_Retail_1590908:turn:3,1.0,1.0.0,conversation_risk_v1,heuristic_proxy,False,faster-whisper/small,cardiffnlp/twitter-roberta-base-sentiment-latest
en_AU_Retail_1590908,4,customer,channel2,3,24.84,39.84,I got it sent to me on an email a little while ago.,neutral,0.8776,False,False,False,False,False,15.0,0.018554,0.292603,-34.631,0.033269,1719.855,277.546,141.938,0.867,low,low,high,False,False,False,False,False,neutral,medium,5,medium customer vocal intensity,low,CUST_MEDIUM_VOCAL_INTENSITY,en_AU_Retail_1590908:turn:4,1.0,1.0.0,conversation_risk_v1,heuristic_proxy,False,faster-whisper/small,cardiffnlp/twitter-roberta-base-sentiment-latest
en_AU_Retail_1590908,5,agent,channel1,2,28.0,39.0,"Okay. Can I start just to bring up your account? I'll just grab your name, postcode and the last three letters of your email address. Thank you.",neutral,0.8121,False,False,True,False,False,11.0,0.046554,0.445892,-26.641,0.173287,1827.155,226.451,111.902,2.455,medium,medium,medium,False,False,True,False,False,neutral,medium,0,agent probing question detected,low,AGENT_PROBING,en_AU_Retail_1590908:turn:5,1.0,1.0.0,conversation_risk_v1,heuristic_proxy,False,faster-whisper/small,cardiffnlp/twitter-roberta-base-sentiment-latest
en_AU_Retail_1590908,6,customer,channel2,4,39.84,50.84,"Yeah, it's Laura. Sorry, what was the other things?",neutral,0.6994,False,False,False,False,False,11.0,0.043917,0.814514,-27.147,0.077931,1961.336,244.568,139.857,0.818,medium,low,high,False,False,False,False,False,neutral,medium,5,medium customer vocal intensity,low,CUST_MEDIUM_VOCAL_INTENSITY,en_AU_Retail_1590908:turn:6,1.0,1.0.0,conversation_risk_v1,heuristic_proxy,False,faster-whisper/small,cardiffnlp/twitter-roberta-base-sentiment-latest
en_AU_Retail_1590908,7,agent,channel1,3,43.0,50.0,It was your postcode and the last three letters of your email address.,neutral,0.9203,False,False,False,False,False,7.0,0.052179,0.441132,-25.65,0.187027,1932.715,192.788,117.091,1.857,medium,medium,low,False,False,False,False,False,neutral,medium,0,no strong signal,low,NO_STRONG_SIGNAL,en_AU_Retail_1590908:turn:7,1.0,1.0.0,conversation_risk_v1,heuristic_proxy,False,faster-whisper/small,cardiffnlp/twitter-roberta-base-sentiment-latest
en_AU_Retail_1590908,8,customer,channel2,5,50.84,57.84,"Yeah, so postcode is 3-1-2-1 and the last three letters of my email address.",neutral,0.879,False,False,False,False,False,7.0,0.075831,0.643982,-22.403,0.132605,1743.156,179.716,74.714,2.0,high,medium,low,False,False,False,False,False,neutral,medium,5,medium customer vocal intensity,low,CUST_MEDIUM_VOCAL_INTENSITY,en_AU_Retail_1590908:turn:8,1.0,1.0.0,conversation_risk_v1,heuristic_proxy,False,faster-whisper/small,cardiffnlp/twitter-roberta-base-sentiment-latest
en_AU_Retail_1590908,9,customer,channel2,6,57.84,67.84,"I mean, that'd be .com. Do you want before that?",neutral,0.8608,False,False,False,False,False,10.0,0.038521,0.825989,-28.286,0.124523,2157.095,207.566,134.482,1.0,low,low,medium,False,False,False,False,False,neutral,low,0,no strong signal,low,NO_STRONG_SIGNAL,en_AU_Retail_1590908:turn:9,1.0,1.0.0,conversation_risk_v1,heuristic_proxy,False,faster-whisper/small,cardiffnlp/twitter-roberta-base-sentiment-latest
en_AU_Retail_1590908,10,agent,channel1,4,58.0,67.0,"Yeah. Yes, please. That would be handy. Just before the at symbol would be great.",positive,0.9397,False,False,False,False,False,9.0,0.097664,1.0,-20.205,0.140009,1867.385,262.094,129.205,1.667,high,medium,high,False,False,False,False,False,positive,high,0,no strong signal,low,NO_STRONG_SIGNAL,en_AU_Retail_1590908:turn:10,1.0,1.0.0,conversation_risk_v1,heuristic_proxy,False,faster-whisper/small,cardiffnlp/twitter-roberta-base-sentiment-latest
