call_id,turn_id,speaker,channel,segment_id,start_time,end_time,text,sentiment_label,sentiment_score,frustration_flag,empathy_flag,probing_flag,ownership_flag,next_steps_flag
en_AU_Telecom_1586372,1,agent,channel1,1,0.0,22.0,"Hi ABC Connection, how can I help you?",neutral,0.7645,False,False,True,False,False
en_AU_Telecom_1586372,2,customer,channel2,1,0.0,25.72,"Hi, my name's Jenny. I'm just ringing because I'm kind of frustrated. My internet is really,",negative,0.8607,True,False,False,False,False
en_AU_Telecom_1586372,3,agent,channel1,2,22.0,35.0,"Yeah, I can certainly help and have a look at that.",positive,0.5164,False,False,False,False,False
en_AU_Telecom_1586372,4,customer,channel2,2,25.72,45.72,really slow and I'm trying to do some work on it on my computer. I've got my account number.,negative,0.6662,False,False,False,False,False
en_AU_Telecom_1586372,5,agent,channel1,3,35.0,37.0,Thanks Jenny.,positive,0.9045,False,False,False,False,False
en_AU_Telecom_1586372,6,agent,channel1,4,37.0,44.0,Can I get your full address or if you have your account number with us?,neutral,0.9299,False,False,True,False,False
en_AU_Telecom_1586372,7,agent,channel1,5,44.0,49.0,"Sure, go ahead.",neutral,0.5404,False,False,False,False,False
en_AU_Telecom_1586372,8,customer,channel2,3,45.72,61.72,It's 459-1273. Yeah.,neutral,0.7831,False,False,False,False,False
en_AU_Telecom_1586372,9,agent,channel1,6,49.0,54.0,"Yep. One, two, seven, three, was it?",neutral,0.7729,False,False,True,False,False
en_AU_Telecom_1586372,10,agent,channel1,7,54.0,65.0,"Okay, and what's your address of connection?",neutral,0.9359,False,False,True,False,False
en_AU_Telecom_1586372,11,customer,channel2,4,61.72,85.72,"It's 38 Brown Street, Sydney.",neutral,0.9259,False,False,False,False,False
en_AU_Telecom_1586372,12,agent,channel1,8,65.0,70.0,And what's this number?,neutral,0.8423,False,False,True,False,False
en_AU_Telecom_1586372,13,agent,channel1,9,70.0,76.0,"Okay, I think I've got it here.",positive,0.7285,False,False,False,False,False
en_AU_Telecom_1586372,14,agent,channel1,10,76.0,82.0,I'm just checking it and the download and the uploads are looking okay.,positive,0.6671,False,False,False,False,False
en_AU_Telecom_1586372,15,agent,channel1,11,82.0,92.0,What exactly happens? Why do you say it's not working?,negative,0.6039,False,False,True,False,False
en_AU_Telecom_1586372,16,customer,channel2,5,85.72,104.72,I'm trying to video calls for my clients and the videos keep freezing. Pretty sure. Yeah.,negative,0.8753,False,False,False,False,False
en_AU_Telecom_1586372,17,agent,channel1,12,92.0,97.0,Are you sure it's the issues from your end?,neutral,0.7877,False,False,True,False,False
en_AU_Telecom_1586372,18,agent,channel1,13,97.0,106.0,"Yeah, and how many people are using the internet at the same time at home?",neutral,0.8464,False,False,True,False,False
en_AU_Telecom_1586372,19,customer,channel2,6,104.72,114.72,"In the place where I am, it's just me. Yeah.",neutral,0.5483,False,False,False,False,False
en_AU_Telecom_1586372,20,agent,channel1,14,106.0,111.0,"Yeah, just you and it's freezing.",neutral,0.4593,False,False,False,False,False
en_AU_Telecom_1586372,21,agent,channel1,15,111.0,122.0,And is there a specific time of the day that happens?,neutral,0.948,False,False,True,False,False
en_AU_Telecom_1586372,22,customer,channel2,7,114.72,137.72,"Well, I work from 9 to 5 and it's basically happening between 9 to 5.",neutral,0.8559,False,False,False,False,False
en_AU_Telecom_1586372,23,agent,channel1,16,122.0,134.0,"Okay, look from what I see in terms of the speed of your internet, the download and uploads are looking pretty healthy and the lights are looking all green from our end.",positive,0.8599,False,False,False,False,False
en_AU_Telecom_1586372,24,agent,channel1,17,134.0,145.0,So I'm not too sure. Are you sure it's not your computer at all?,neutral,0.684,False,False,True,False,False
en_AU_Telecom_1586372,25,customer,channel2,8,137.72,160.72,My computer seems to be fine. Are there any outages in my area?,neutral,0.6777,False,False,False,False,False
en_AU_Telecom_1586372,26,agent,channel1,18,145.0,152.0,"Well, there hasn't really been any outages. I know that there were storms in the past couple of days.",neutral,0.7724,False,False,False,False,False
en_AU_Telecom_1586372,27,agent,channel1,19,152.0,163.0,"They do sometimes impact internet quality, but I don't think there are any storms where you are now, is it?",neutral,0.6176,False,False,True,False,False
en_AU_Telecom_1586372,28,customer,channel2,9,160.72,183.72,"Well, I haven't seen any and the skies look pretty good today.",positive,0.8846,False,False,False,False,False
en_AU_Telecom_1586372,29,agent,channel1,20,163.0,166.0,Yeah.,neutral,0.5798,False,False,False,False,False
en_AU_Telecom_1586372,30,agent,channel1,21,166.0,171.0,"Okay, so one question that I have for you.",neutral,0.8683,False,False,False,False,False
en_AU_Telecom_1586372,31,agent,channel1,22,171.0,185.0,Have you been using this computer anywhere else with any other internet connection to tell me whether the issue remains or is it just at home that you have issues with it?,neutral,0.6864,False,False,True,False,False
en_AU_Telecom_1586372,32,customer,channel2,10,183.72,200.72,It's just at home. I have both hoping that you could help me troubleshoot the modem.,neutral,0.6785,False,False,False,False,False
en_AU_Telecom_1586372,33,agent,channel1,23,185.0,188.0,"Just at home, okay.",neutral,0.5278,False,False,False,False,False
en_AU_Telecom_1586372,34,agent,channel1,24,188.0,195.0,"All right, have you tried to restart your computer?",neutral,0.8525,False,False,True,False,False
en_AU_Telecom_1586372,35,agent,channel1,25,195.0,204.0,"Yeah, I can do that.",positive,0.7371,False,False,False,False,False
