call_id,channel,segment_id,start_time,end_time,text
en_CA_Food_1590622,channel1,1,0.0,16.0,Hello.
en_CA_Food_1590622,channel1,2,16.0,31.0,"Oh, awesome."
en_CA_Food_1590622,channel1,3,31.0,32.0,Okay.
en_CA_Food_1590622,channel1,4,32.0,33.0,Super.
en_CA_Food_1590622,channel1,5,33.0,34.0,"So, okay."
en_CA_Food_1590622,channel1,6,34.0,35.0,So it's for your mom.
en_CA_Food_1590622,channel1,7,35.0,38.0,Did you say 50th birthday?
en_CA_Food_1590622,channel1,8,38.0,39.0,Awesome.
en_CA_Food_1590622,channel1,9,39.0,40.0,Okay.
en_CA_Food_1590622,channel1,10,40.0,57.0,"Um, where are you holding this?"
en_CA_Food_1590622,channel1,11,57.0,59.0,"Okay, sure."
en_CA_Food_1590622,channel1,12,59.0,69.0,"Um, and so I'm assuming they have like tables and chairs and all that stuff already."
en_CA_Food_1590622,channel1,13,69.0,80.0,Okay.
en_CA_Food_1590622,channel1,14,80.0,82.0,"Sure, no problem."
en_CA_Food_1590622,channel1,15,82.0,84.0,"Um, okay."
en_CA_Food_1590622,channel1,16,84.0,87.0,"And, um,"
en_CA_Food_1590622,channel1,17,87.0,96.0,"I don't know if who does your mom like what and her, her guests, like, um, we, we, we do multiple different cuisines, but I'm curious what, what does she like."
en_CA_Food_1590622,channel1,18,96.0,124.0,Okay.
en_CA_Food_1590622,channel1,19,124.0,129.0,"Oh, I love that. So it's like around the world."
en_CA_Food_1590622,channel1,20,129.0,132.0,Is this a lunch or a dinner?
en_CA_Food_1590622,channel1,21,154.0,161.0,Okay.
en_CA_Food_1590622,channel1,22,161.0,165.0,Okay.
en_CA_Food_1590622,channel1,23,165.0,176.0,"All right. Are there any particular cuisines? Like I know you said exotic, but like, are there any particular cuisines that she really, really loves?"
en_CA_Food_1590622,channel1,24,176.0,193.0,Okay.
en_CA_Food_1590622,channel1,25,193.0,204.0,Okay.
en_CA_Food_1590622,channel1,26,204.0,227.0,"Sounds great. Um, are there any dietary issues that I should know about?"
en_CA_Food_1590622,channel1,27,227.0,236.0,Yep.
en_CA_Food_1590622,channel1,28,236.0,239.0,Okay. Okay. I've got you.
en_CA_Food_1590622,channel1,29,239.0,254.0,"Sure. So like,"
en_CA_Food_1590622,channel1,30,254.0,264.0,"for sure, we have a standard, um, basically amount of food per person, and then we charge, um, and then we do the pricing based on that."
en_CA_Food_1590622,channel1,31,264.0,278.0,"Um, obviously, if, if you're getting more meats or more foods that are more complex, then it's more expensive than simple things."
