call_id,channel,segment_id,start_time,end_time,text
en_CA_RealEstate_1590625,channel1,1,0.0,22.0,"Hello, this is Liz speaking."
en_CA_RealEstate_1590625,channel1,2,22.0,24.0,"Oh, wonderful."
en_CA_RealEstate_1590625,channel1,3,24.0,25.0,Great.
en_CA_RealEstate_1590625,channel1,4,25.0,28.0,So tell me a little bit about what you're looking for.
en_CA_RealEstate_1590625,channel1,5,55.0,84.0,"Okay, got it."
en_CA_RealEstate_1590625,channel1,6,85.0,92.0,"Okay, so we definitely have some stock based off of what you're looking into."
en_CA_RealEstate_1590625,channel1,7,92.0,95.0,So you mentioned Osborn Village area.
en_CA_RealEstate_1590625,channel1,8,95.0,106.0,"It's, you know, it's kind of unique. There's some newer buildings that have gone up in recent years and then there's some more sort of historical character buildings."
en_CA_RealEstate_1590625,channel1,9,106.0,113.0,Do you have like a preference when it comes to that? Are you pretty open?
en_CA_RealEstate_1590625,channel1,10,113.0,139.0,Okay.
en_CA_RealEstate_1590625,channel1,11,139.0,151.0,"Okay, sure."
en_CA_RealEstate_1590625,channel1,12,151.0,166.0,"Okay. And what are there any particular amenities you're looking for? For example, gym, pool, underground parking, or just outdoor parking or."
en_CA_RealEstate_1590625,channel1,13,181.0,191.0,"Ah, okay. That definitely narrows it down. For better or for worse. But yeah, definitely."
en_CA_RealEstate_1590625,channel1,14,191.0,199.0,"All of our properties do require a pet, a non-refundable pet deposit."
en_CA_RealEstate_1590625,channel1,15,199.0,214.0,"But generally, well, because you're a cat. You know, not totally destructive."
en_CA_RealEstate_1590625,channel1,16,214.0,221.0,"Oh, cute. Okay."
en_CA_RealEstate_1590625,channel1,17,221.0,232.0,"Okay. Yes, we definitely have that. It is generally a higher cost to the rent compared to ones that have the laundry on the floor and the basement."
en_CA_RealEstate_1590625,channel1,18,232.0,238.0,But I can definitely look at those.
en_CA_RealEstate_1590625,channel1,19,238.0,247.0,"Okay, so based on the parameters that you've given me, we have about six properties."
en_CA_RealEstate_1590625,channel1,20,247.0,266.0,"And I think what would be best is if I were to send you an email with all the details that list all the amenities that you can kind of compare and contrast them, you'll be able to see the price."
en_CA_RealEstate_1590625,channel1,21,266.0,275.0,There's links to detailed photos of all the buildings as well so you can get a sense of what it looks like.
en_CA_RealEstate_1590625,channel1,22,275.0,282.0,I'm going to only send you the ones that are in your budget range and that are pet friendly.
en_CA_RealEstate_1590625,channel1,23,282.0,305.0,And then what you can do is email me back to let me know if any of those properties are of interest to you.
en_CA_RealEstate_1590625,channel1,24,305.0,322.0,It's a range. So I'll definitely include when the lease begins on the summary that I sent you.
en_CA_RealEstate_1590625,channel1,25,322.0,338.0,For all annual.
