call_id,channel,segment_id,start_time,end_time,text
en_AU_Banking_1590914,channel1,1,0.0,29.0,"Hi, thanks for calling A&Z, you're speaking with Tom, how can I help you today?"
en_AU_Banking_1590914,channel1,2,29.0,57.0,"Okay, I can understand how frustrating that's been with all being there, just another manic"
en_AU_Banking_1590914,channel1,3,57.0,63.0,"Monday as they say, just so I can bring up your details, could you please confirm the last"
en_AU_Banking_1590914,channel1,4,63.0,72.0,"three digits of your login details? Just your customer identification number, sorry."
en_AU_Banking_1590914,channel1,5,72.0,92.0,"Okay, E-R-T, perfect, and just a year of birth thanks. Perfect, 1977, great. All right, so I have got your details up here, could you please tell me which transaction this was?"
en_AU_Banking_1590914,channel1,6,103.0,107.0,"Oh God, and have you already tried to contact the friend?"
en_AU_Banking_1590914,channel1,7,107.0,136.0,"Okay, no worries at all, just having a look here, could you please confirm just one last thing, the amount that that was for?"
en_AU_Banking_1590914,channel1,8,136.0,146.0,"Okay, perfect, I've got actually two transactions here for that, do you know the time that you sent that one?"
en_AU_Banking_1590914,channel1,9,151.0,162.0,"Okay, so that would have made it approximately to 21, perfect, so I've located that transaction and just confirming the account name that it was transferred to please."
en_AU_Banking_1590914,channel1,10,163.0,187.0,"Sarah Connor, okay. All right, so I have seen here, I'm just clicking into it. Okay, right, so because this was an established contact and ANZ does use Oscoe fast payments now, that payment has automatically gone through just because you have transferred to them recently."
en_AU_Banking_1590914,channel1,11,188.0,195.0,Would there be any possibility of messaging them or would this be something that you would like us to investigate further?
en_AU_Banking_1590914,channel1,12,195.0,220.0,"Okay, not a problem, so I'm just logging a ticket here now. It may take up to 48 hours for us to be able to fully process this because there are multiple layers of verification required before confirming a transaction."
en_AU_Banking_1590914,channel1,13,220.0,231.0,"We can't always guarantee that we will get it back, but we will certainly try our best. I know all too well the stress of paying rent, so we'll get this escalated very quickly."
en_AU_Banking_1590914,channel1,14,235.0,249.0,"Is there any possibility in the app of clicking recall? Sometimes that's an option that does display before Oscoe, which is the third party provider has processed the transaction."
en_AU_Banking_1590914,channel1,15,251.0,262.0,"Yeah, yeah, that's right. So if you click log in and go into your account, just let me know what you see and just describe it as you're going through it for me."
en_AU_Banking_1590914,channel1,16,262.0,288.0,"Yep, so if you just click in the account that you sent the payment from, most probably it will be your, which I'm looking at now, your everyday savings account."
en_AU_Banking_1590914,channel1,17,293.0,308.0,"Okay, perfect. So if you just tap on the transaction, it should bring up details about the transaction just with a transaction number as well as the destination of the payment. Could you tell me what you see on that screen?"
en_AU_Banking_1590914,channel1,18,308.0,337.0,"Oh, that perfect. So that's a positive sign. Yes, if you click the three dots, that should pop up with a few different options, saying recall, hopefully recall payment is there, or you can see biller ID, or even contract."
en_AU_Banking_1590914,channel1,19,338.0,347.0,Ask for additional support. Thank you.
en_AU_Banking_1590914,channel1,20,347.0,367.0,"Yes, yeah, that's fantastic. That means you've contacted us in time as I said before, it's no guarantee we can provide it, but this is a step in the right direction."
en_AU_Banking_1590914,channel1,21,367.0,385.0,Let me know what pops up once you hit recall. It should pop up with a loading screen and an eight digit number.
en_AU_Banking_1590914,channel1,22,385.0,407.0,"Yeah, perfect. That's just for our verification. It's just if we do need to look back at a reason for the recall."
en_AU_Banking_1590914,channel1,23,407.0,435.0,"Yes, yeah, that's right. So that should come to you in a text message as well. Again, like I said, that's just two factor authentication verification, just so we know it's the right person requesting a recall to a payment."
en_AU_Banking_1590914,channel1,24,435.0,444.0,"Brilliant. Okay, so that means it's flagged it with our payments team. It will also be flagged with Oscar you to hold that payment."
en_AU_Banking_1590914,channel1,25,444.0,460.0,The amount should hopefully appear as pending refunds within your account that will take 24 to 48 hours for the money to actually clear with your in your everyday savings account.
en_AU_Banking_1590914,channel1,26,460.0,481.0,So it might be worthwhile just emailing your real estate agent just letting them know the situation.
