call_id,turn_id,speaker,channel,segment_id,start_time,end_time,text,sentiment_label,sentiment_score,frustration_flag,empathy_flag,probing_flag,ownership_flag,next_steps_flag,segment_duration_sec,rms_energy,peak_amplitude,rms_db,zero_crossing_rate,spectral_centroid,pitch_mean_hz,pitch_std_hz,speaking_rate_wps,volume_level,speaking_rate_level,pitch_level
en_CA_Food_1590622,1,agent,channel1,1,0.0,16.0,Hello.,positive,0.5525,False,False,False,False,False,16.0,0.015274,0.305481,-36.321,0.061984,902.451,133.936,103.342,0.062,low,low,low
en_CA_Food_1590622,2,customer,channel2,1,0.0,17.84,Hi there.,neutral,0.4904,False,False,False,False,False,17.84,0.026454,0.661987,-31.55,0.016809,862.854,334.973,119.686,0.112,low,low,high
en_CA_Food_1590622,3,agent,channel1,2,16.0,31.0,"Oh, awesome.",positive,0.9747,False,False,False,False,False,15.0,0.008286,0.131439,-41.633,0.056309,1015.98,223.092,136.898,0.133,low,low,high
en_CA_Food_1590622,4,customer,channel2,2,17.84,23.56,I am looking for some catering for my mom's upcoming 50th birthday and a friend of mine,neutral,0.7871,False,False,False,False,False,5.72,0.05754,0.596161,-24.801,0.092858,998.86,198.771,69.747,2.972,medium,medium,medium
en_CA_Food_1590622,5,customer,channel2,3,23.56,26.56,had passed along your information so I just thought I'd see if this is going to be the,neutral,0.9147,False,False,False,False,False,3.0,0.060881,0.375214,-24.31,0.110793,883.13,187.188,51.877,6.0,medium,high,medium
en_CA_Food_1590622,6,customer,channel2,4,26.6,29.16,right fit and you know if it if it makes sense.,neutral,0.5265,False,False,False,False,False,2.56,0.06491,0.484375,-23.754,0.067931,842.1,205.348,88.516,4.297,medium,high,medium
en_CA_Food_1590622,7,agent,channel1,3,31.0,32.0,Okay.,neutral,0.5693,False,False,False,False,False,1.0,0.036888,0.267151,-28.662,0.216843,2016.847,245.348,121.694,1.0,low,low,high
en_CA_Food_1590622,8,agent,channel1,4,32.0,33.0,Super.,positive,0.7595,False,False,False,False,False,1.0,0.022907,0.16745,-32.801,0.220978,1964.069,163.346,76.328,1.0,low,low,low
en_CA_Food_1590622,9,agent,channel1,5,33.0,34.0,"So, okay.",neutral,0.5982,False,False,False,False,False,1.0,0.037596,0.194641,-28.497,0.120438,1280.575,221.629,51.028,2.0,low,medium,high
en_CA_Food_1590622,10,agent,channel1,6,34.0,35.0,So it's for your mom.,neutral,0.8813,False,False,False,False,False,1.0,0.059439,0.264771,-24.519,0.09964,1165.122,202.28,53.401,5.0,medium,high,medium
en_CA_Food_1590622,11,agent,channel1,7,35.0,38.0,Did you say 50th birthday?,neutral,0.9089,False,False,True,False,False,3.0,0.022794,0.201569,-32.844,0.097573,1200.572,226.804,109.823,1.667,low,medium,high
en_CA_Food_1590622,12,customer,channel2,5,37.16,37.56,Yeah.,neutral,0.5798,False,False,False,False,False,0.4,0.135564,0.551666,-17.357,0.067045,1011.726,250.758,110.112,2.5,high,medium,high
en_CA_Food_1590622,13,agent,channel1,8,38.0,39.0,Awesome.,positive,0.9536,False,False,False,False,False,1.0,0.030658,0.235077,-30.269,0.083023,1036.682,205.25,107.739,1.0,low,low,medium
en_CA_Food_1590622,14,agent,channel1,9,39.0,40.0,Okay.,neutral,0.5693,False,False,False,False,False,1.0,0.01732,0.109619,-35.229,0.1922,1769.021,177.28,109.794,1.0,low,low,medium
en_CA_Food_1590622,15,agent,channel1,10,40.0,57.0,"Um, where are you holding this?",neutral,0.9324,False,False,True,False,False,17.0,0.028849,0.348938,-30.797,0.045109,837.172,233.864,137.679,0.353,low,low,high
en_CA_Food_1590622,16,customer,channel2,6,43.56,47.76,We're just going to hold it at the community center down the street because she wants about 30,neutral,0.8608,False,False,False,False,False,4.2,0.073128,0.626678,-22.718,0.112582,1072.323,192.063,74.892,4.286,high,high,medium
en_CA_Food_1590622,17,customer,channel2,7,47.76,51.56,people and we I mean we could make it a house party but it'll be a little tight.,neutral,0.7631,False,False,False,False,False,3.8,0.077306,0.589081,-22.236,0.077165,952.522,201.988,58.516,4.737,high,high,medium
en_CA_Food_1590622,18,customer,channel2,8,51.56,55.76,So I thought with all the you know families and kids running around for it community,neutral,0.8618,False,False,False,False,False,4.2,0.062361,0.530121,-24.102,0.095796,1047.333,163.653,54.69,3.81,medium,high,low
en_CA_Food_1590622,19,customer,channel2,9,55.76,56.36,center is better.,neutral,0.4819,False,False,False,False,False,0.6,0.035316,0.310181,-29.041,0.140985,1337.712,142.229,91.299,5.0,low,high,low
en_CA_Food_1590622,20,agent,channel1,11,57.0,59.0,"Okay, sure.",neutral,0.5884,False,False,False,False,False,2.0,0.067951,0.401672,-23.356,0.157475,1570.455,194.284,94.42,1.0,medium,low,medium
en_CA_Food_1590622,21,agent,channel1,12,59.0,69.0,"Um, and so I'm assuming they have like tables and chairs and all that stuff already.",neutral,0.895,False,False,False,False,False,10.0,0.030433,0.436066,-30.333,0.075078,1038.607,233.795,123.769,1.6,low,medium,high
en_CA_Food_1590622,22,customer,channel2,10,64.56,68.56,They do have tables and chairs but I don't think we have access to the kitchen.,neutral,0.8431,False,False,False,False,False,4.0,0.099278,0.729736,-20.063,0.098509,892.235,194.84,68.098,4.0,high,high,medium
en_CA_Food_1590622,23,customer,channel2,11,68.96,74.96,So I don't think we have like we can have water but I don't think we have like an oven or,negative,0.5751,False,False,False,False,False,6.0,0.068756,0.520813,-23.254,0.078891,921.956,161.547,49.673,3.5,medium,high,low
en_CA_Food_1590622,24,agent,channel1,13,69.0,80.0,Okay.,neutral,0.5693,False,False,False,False,False,11.0,0.010612,0.320038,-39.484,0.038529,798.833,257.084,145.086,0.091,low,low,high
en_CA_Food_1590622,25,customer,channel2,12,74.96,78.56,a stove or anything so we would need like heating shapers if that's the route we,neutral,0.8187,False,False,False,False,False,3.6,0.054255,0.42392,-25.311,0.124209,1100.399,159.772,80.068,4.444,medium,high,low
en_CA_Food_1590622,26,customer,channel2,13,78.56,79.36,go with the menu.,neutral,0.8715,False,False,False,False,False,0.8,0.035682,0.237274,-28.951,0.053279,804.12,144.947,78.948,5.0,low,high,low
en_CA_Food_1590622,27,agent,channel1,14,80.0,82.0,"Sure, no problem.",positive,0.6778,False,False,False,False,False,2.0,0.042246,0.33374,-27.484,0.177223,1600.847,174.066,86.199,1.5,low,medium,low
en_CA_Food_1590622,28,agent,channel1,15,82.0,84.0,"Um, okay.",neutral,0.784,False,False,False,False,False,2.0,0.077993,0.45755,-22.159,0.103268,1276.749,204.903,65.705,1.0,high,low,medium
en_CA_Food_1590622,29,agent,channel1,16,84.0,87.0,"And, um,",neutral,0.8719,False,False,False,False,False,3.0,0.038434,0.228302,-28.306,0.071388,1007.434,209.51,118.016,0.667,low,low,high
en_CA_Food_1590622,30,customer,channel2,14,86.76,87.76,Well.,neutral,0.5943,False,False,False,False,False,1.0,1.2e-05,0.000153,-98.443,0.00708,579.657,343.491,119.089,1.0,low,low,high
