call_id,channel,segment_id,start_time,end_time,text
en_CA_Banking_1588683,channel1,1,0.0,16.12,"Hello, and welcome to the Bank Association."
en_CA_Banking_1588683,channel1,2,16.12,17.12,My name is Julia.
en_CA_Banking_1588683,channel1,3,17.12,22.12,How can I help you today?
en_CA_Banking_1588683,channel1,4,22.12,32.12,"All right, we can definitely do that."
en_CA_Banking_1588683,channel1,5,32.12,40.12,Can you please provide your full name?
en_CA_Banking_1588683,channel1,6,40.12,53.12,And your checking account number?
en_CA_Banking_1588683,channel1,7,53.12,78.12,"Okay, and the digits on the other side of your card, the CVV, and the expiration date."
en_CA_Banking_1588683,channel1,8,78.12,87.12,"Yes, this is a secure line."
en_CA_Banking_1588683,channel1,9,87.12,89.12,"Okay, perfect."
en_CA_Banking_1588683,channel1,10,89.12,92.12,I confirmed that that is all correct.
en_CA_Banking_1588683,channel1,11,92.12,99.12,Let me just pull up your account.
en_CA_Banking_1588683,channel1,12,99.12,106.12,"Okay, and you would like to set up monthly transfers from the checking account to the new savings account."
en_CA_Banking_1588683,channel1,13,129.12,158.12,"Yes, I completely understand that."
en_CA_Banking_1588683,channel1,14,158.12,171.12,Can you please confirm the savings account number for me?
en_CA_Banking_1588683,channel1,15,171.12,173.12,"Okay, perfect."
en_CA_Banking_1588683,channel1,16,173.12,174.12,I have typed that in.
en_CA_Banking_1588683,channel1,17,174.12,178.12,"And yeah, that is the corresponding one."
en_CA_Banking_1588683,channel1,18,178.12,189.12,How much would you like to transfer on these seventh and 21st dates?
en_CA_Banking_1588683,channel1,19,189.12,191.12,From your account?
en_CA_Banking_1588683,channel1,20,191.12,194.12,No.
en_CA_Banking_1588683,channel1,21,194.12,196.12,That is correct.
en_CA_Banking_1588683,channel1,22,208.12,224.12,"I can definitely do that, yes."
en_CA_Banking_1588683,channel1,23,224.12,236.12,"Okay, and these will be, which, which line item am I looking at?"
en_CA_Banking_1588683,channel1,24,236.12,244.12,Okay.
en_CA_Banking_1588683,channel1,25,244.12,245.12,"Yes, I see that."
en_CA_Banking_1588683,channel1,26,245.12,246.12,Okay.
en_CA_Banking_1588683,channel1,27,246.12,252.12,"Every two weeks on the seventh and 21st, you are receiving $3,000."
en_CA_Banking_1588683,channel1,28,266.12,293.12,Okay.
en_CA_Banking_1588683,channel1,29,293.12,296.12,I'm going to type that in for you.
en_CA_Banking_1588683,channel1,30,296.12,303.12,"On the seventh and 21st of every month, it will be $12,087 and 14 cents."
en_CA_Banking_1588683,channel1,31,303.12,308.12,Is that correct?
en_CA_Banking_1588683,channel1,32,308.12,312.12,1000.
en_CA_Banking_1588683,channel1,33,312.12,317.12,"Oh, yes, my apologies."
en_CA_Banking_1588683,channel1,34,318.12,328.12,"That is completely understandable, sir."
en_CA_Banking_1588683,channel1,35,328.12,334.12,"Okay, I have set that up for you for the seventh and 21st of every month."
en_CA_Banking_1588683,channel1,36,334.12,338.12,And I have sent you an email to confirm this change with you.
en_CA_Banking_1588683,channel1,37,338.12,343.12,"If you can accept that, click the button in the email to accept that."
en_CA_Banking_1588683,channel1,38,343.12,353.12,Then it will trigger the workflow for me.
en_CA_Banking_1588683,channel1,39,353.12,361.12,I sent this to owen.mcdougal at gmail.com.
en_CA_Banking_1588683,channel1,40,373.12,381.12,Absolutely. Would you like me to update that in your file for you?
en_CA_Banking_1588683,channel1,41,381.12,391.12,Alrighty.
en_CA_Banking_1588683,channel1,42,391.12,395.12,Yes.
en_CA_Banking_1588683,channel1,43,395.12,400.12,"Okay, just give me one second to refresh."
en_CA_Banking_1588683,channel1,44,400.12,409.12,And I see that the transfers have been confirmed and they will occur every month on the seventh and 21st.
en_CA_Banking_1588683,channel1,45,409.12,414.12,Starting starting on the 21st.
en_CA_Banking_1588683,channel1,46,430.12,449.12,"Absolutely. You can do so either by calling us just like you are now, or you can do so with your online banking, either on your computer or your phone."
en_CA_Banking_1588683,channel1,47,449.12,466.12,There will be a tab on the side that allows you to access your automatic transfers and you can choose to pause it for one iteration indefinitely and reactivate it as you wish.
en_CA_Banking_1588683,channel1,48,479.12,489.12,"You can do it any way you like, either by calling us or online on your computer or your phone."
en_CA_Banking_1588683,channel1,49,489.12,498.12,Now you can call us or you can log in to your account on your computer or on your phone.
en_CA_Banking_1588683,channel1,50,519.12,544.12,Okay. Good luck with your home renovations and the cheese sale.
en_CA_Banking_1588683,channel1,51,544.12,573.12,Thank you very much. You as well. Have a great day.
en_CA_Banking_1588683,channel2,1,0.0,25.36,"Hello, I'm looking to set up an automatic monthly transfer from my checking count to"
en_CA_Banking_1588683,channel2,2,25.44,27.44,a new savings account that I just opened with you online.
en_CA_Banking_1588683,channel2,3,35.6,36.72,Owen McDougall.
en_CA_Banking_1588683,channel2,4,43.6,49.68,"Yes, it is 59437289."
en_CA_Banking_1588683,channel2,5,55.52,62.24,Which digits?
en_CA_Banking_1588683,channel2,6,64.96,67.52,"Ah, it is 444."
en_CA_Banking_1588683,channel2,7,73.84,77.12,"I'm sorry, is this, this, this is safe, right? We could do this over the phone."
en_CA_Banking_1588683,channel2,8,77.52,85.04,"Okay, the expiration date is January 31."
en_CA_Banking_1588683,channel2,9,85.04,111.52,"Yes, I would like to set them up to be biweekly on the same day as my paycheck,"
en_CA_Banking_1588683,channel2,10,111.52,116.0,which comes in on the 7th and the 21st of each month.
en_CA_Banking_1588683,channel2,11,116.64,123.28,And I would also like to set that up into the high interest savings account that I just opened with
en_CA_Banking_1588683,channel2,12,123.28,128.88,"you guys, which should be having a yield of 4.75% for the next three years."
en_CA_Banking_1588683,channel2,13,130.56,134.96,"Since we're going to be doing some home renovations at the end of that time span,"
en_CA_Banking_1588683,channel2,14,134.96,139.68,and so I'd like to have it coming out of each paycheck automatically to make it easy for me
en_CA_Banking_1588683,channel2,15,140.32,144.96,"when we come down to it. Because, you know, that roof isn't going to pay for itself."
en_CA_Banking_1588683,channel2,16,144.96,149.92,"And if the bank's willing to help out with some interest, then I'm happy to take advantage of"
en_CA_Banking_1588683,channel2,17,149.92,154.8,"it. And I'd like to do that automatically so that, you know, I don't forget about it because"
en_CA_Banking_1588683,channel2,18,154.8,168.72,"sometimes I forget things. Yes, it is four, two, nine, eight, three, two, seven, eight, seven, nine, four,"
en_CA_Banking_1588683,channel2,19,168.8,172.64,two.
en_CA_Banking_1588683,channel2,20,184.48,187.2,"Are there any limits on the transfer amounts, Juliana?"
en_CA_Banking_1588683,channel2,21,192.72,194.16,"So between accounts, there's no limits."
en_CA_Banking_1588683,channel2,22,195.12,205.36,"All right. So since I bring in every, can you tell me how much I bring in on the 7th or the 21st?"
en_CA_Banking_1588683,channel2,23,205.36,209.76,I can't quite remember off the top of my head. And I don't want to go open my banking account
en_CA_Banking_1588683,channel2,24,209.76,213.84,"because then I have to, you know, remember my password. And if you're there already looking"
en_CA_Banking_1588683,channel2,25,213.84,216.08,"at it, it might be a little bit easier if you could just help me out."
en_CA_Banking_1588683,channel2,26,224.4,234.48,You should be looking for payments from the business business.
en_CA_Banking_1588683,channel2,27,236.72,242.08,"They should be happening every two weeks on the 7th and the 21st, as I mentioned previously, Juliana."
en_CA_Banking_1588683,channel2,28,242.4,258.56,"$3,000 every two weeks. And so my rent is how much,"
