call_id,turn_id,speaker,channel,segment_id,start_time,end_time,text
en_AU_Telecom_1590917,1,agent,channel1,1,0.0,18.14,"Good afternoon and welcome to Telstra, customer support and billing, this is Tom, how can"
en_AU_Telecom_1590917,2,customer,channel2,1,0.0,27.4,"Hey Tom, my name's Laura. I'm just looking to basically upgrade my plan or update it."
en_AU_Telecom_1590917,3,agent,channel1,2,18.14,18.64,I help you?
en_AU_Telecom_1590917,4,customer,channel2,2,27.4,32.56,"It's kind of like, I've had it for the year cycle now, and yeah, just looking if there's"
en_AU_Telecom_1590917,5,agent,channel1,3,30.0,39.92,"No worries. Well, first of all, thanks so much for staying with us for the year that"
en_AU_Telecom_1590917,6,customer,channel2,3,32.56,35.96,any better plans available now that have come to the end of it.
en_AU_Telecom_1590917,7,customer,channel2,4,35.96,54.96,Okay.
en_AU_Telecom_1590917,8,agent,channel1,4,39.92,43.6,"obviously means you've enjoyed it, which I hope. So I can bring up your account and"
en_AU_Telecom_1590917,9,agent,channel1,5,43.6,51.32,see your account details. Could you please confirm the third letter of the email address
en_AU_Telecom_1590917,10,agent,channel1,6,51.32,59.72,"of your partner? T, perfect. Because you went through the verification with the"
en_AU_Telecom_1590917,11,customer,channel2,5,54.96,68.48,two
en_AU_Telecom_1590917,12,agent,channel1,7,59.72,62.76,"automated system, I've already got your details here and I'm just going to need the"
en_AU_Telecom_1590917,13,agent,channel1,8,62.76,66.68,last digit of your postcode before you moved houses.
en_AU_Telecom_1590917,14,customer,channel2,6,68.48,95.84,"Oh, just usually the service is pretty good and I live in the country so I kind of need,"
en_AU_Telecom_1590917,15,agent,channel1,9,69.96,75.36,"T, perfect. Great. Thanks so much for confirming those details, Laura. I can"
en_AU_Telecom_1590917,16,agent,channel1,10,75.36,79.92,"see, wow, you have been with us for quite a long time. That's close to 15"
en_AU_Telecom_1590917,17,agent,channel1,11,79.92,85.56,"years. Before we get started, could you just let me know what you've enjoyed"
en_AU_Telecom_1590917,18,agent,channel1,12,85.56,88.28,about Telstra to keep you around for a second?
en_AU_Telecom_1590917,19,agent,channel1,13,88.28,110.92,"Awesome. That's great to hear. Well, yeah, we do cover 98% of Australia and regional"
en_AU_Telecom_1590917,20,customer,channel2,7,95.84,100.32,"you know, not just the customer service but the actual service to be working when I'm, you know,"
en_AU_Telecom_1590917,21,customer,channel2,8,100.32,105.36,"not really close to the city and things like that. So yeah, Telstra's kind of beneficial for that."
en_AU_Telecom_1590917,22,agent,channel1,14,111.08,120.6,"areas, particularly in Victoria, where you're located, our priority. Well, the other 2%"
en_AU_Telecom_1590917,23,customer,channel2,9,116.32,118.0,What happened to the other two percent?
en_AU_Telecom_1590917,24,agent,channel1,15,121.32,127.24,they're uninhabitable. That's the red centre. Not many people are going to be needing
en_AU_Telecom_1590917,25,customer,channel2,10,126.24,126.88,Fair enough.
en_AU_Telecom_1590917,26,agent,channel1,16,127.24,134.76,mobile service out there. So you mentioned you want to upgrade. Is that your mobile phone
