call_id,channel,segment_id,start_time,end_time,text
en_AU_DeliveryService_1585416,channel1,1,0.0,17.56,"Hey there, this is Jim from ATP Delivery Services."
en_AU_DeliveryService_1585416,channel1,2,60.0,76.0,"Absolutely, I can understand your apprehension there, John, and I can know that some other companies don't take their shipping as seriously, not to throw dirt on the competition."
en_AU_DeliveryService_1585416,channel1,3,76.0,88.0,"In terms of our services for fragile packages, we really want to go above and beyond just for circumstances like yourself, where the items, if they were damaged, are irreplaceable."
en_AU_DeliveryService_1585416,channel1,4,88.0,105.0,"So it does depend on the size of the package naturally, but all of our packaging is triple insulated against both temperature, moisture, and sort of what's it called, force as well."
en_AU_DeliveryService_1585416,channel1,5,105.0,120.0,"So we have a specially designed corrugated cardboard, which compresses in a way to mitigate force and to be airtight, watertight, and heat resistant, once fully sealed."
en_AU_DeliveryService_1585416,channel1,6,120.0,128.0,We will also wrap your package in multiple layers of our specially patented bubble wrap.
en_AU_DeliveryService_1585416,channel1,7,128.0,147.0,"And the way our bubble wrap is different is we have much smaller bubbles in the actual wrap itself, and that allows the force to be absorbed over a larger surface area, but broken into smaller pieces, which means that the force is absorbed more efficiently."
en_AU_DeliveryService_1585416,channel1,8,148.0,163.0,Is there any other sort of queries you have at the moment?
en_AU_DeliveryService_1585416,channel1,9,163.0,172.0,"So we really do pride ourselves on our drivers and our freighting services, treating every package as if it were fragile."
en_AU_DeliveryService_1585416,channel1,10,172.0,179.0,So we have expertly specialized trained drivers and freight operators.
en_AU_DeliveryService_1585416,channel1,11,179.0,185.0,"So they are not packaged separately, but they are packaged individually."
en_AU_DeliveryService_1585416,channel1,12,185.0,213.0,"This is to protect, again, smaller items being crushed and things like that, but all of our drivers take exceptional care to not damage any of the deliveries on their journey."
en_AU_DeliveryService_1585416,channel1,13,213.0,219.0,"Really, really good question and a really good way to break it down is that percentage statistic."
en_AU_DeliveryService_1585416,channel1,14,219.0,234.0,"So we send around three and a half million packages per calendar year, and of those packages, probably about one and a half million of them are labeled and registered as fragile."
en_AU_DeliveryService_1585416,channel1,15,235.0,242.0,"And of the fragile items, less than 1% of 1%."
en_AU_DeliveryService_1585416,channel1,16,242.0,249.0,So 0.001% of them arrived in any sort of damaged state.
en_AU_DeliveryService_1585416,channel1,17,249.0,258.0,"And of the broader packages that we freight, the statistic goes up by a magnitude of 10."
en_AU_DeliveryService_1585416,channel1,18,258.0,264.0,So 0.001% of the total packages arrived in a damaged state.
en_AU_DeliveryService_1585416,channel1,19,264.0,271.0,So there is very little concern for your package being damaged.
en_AU_DeliveryService_1585416,channel1,20,280.0,281.0,Absolutely.
en_AU_DeliveryService_1585416,channel1,21,281.0,296.0,"So in the fragile label for your package, insurance against damages during transit are actually covered in there, and that's completely comprehensive."
en_AU_DeliveryService_1585416,channel1,22,296.0,310.0,"So if your item does not arrive in the exact same state that you sent it in, then we give you a full refund of the shipping plus the value of the item."
en_AU_DeliveryService_1585416,channel1,23,310.0,313.0,Plus 10% of the item.
en_AU_DeliveryService_1585416,channel1,24,340.0,369.0,"Absolutely a good question and it's a very good way of keeping the tracking, not this tracking, sorry, the freight company responsible for the stages of the transit of your item."
en_AU_DeliveryService_1585416,channel1,25,369.0,377.0,So our tracking is down to within 10 meters of accuracy.
en_AU_DeliveryService_1585416,channel1,26,377.0,388.0,"Once you get your tracking link, your tracking code, and that is from the immediate moment that it is deposited in our depot until it arrives at your door."
en_AU_DeliveryService_1585416,channel1,27,388.0,402.0,"So we have very, very accurate, very, very consistent tracking options, and we'll update you in every single major stage of the transit as well."
en_AU_DeliveryService_1585416,channel1,28,402.0,412.0,"So this is done with our tracking label itself has a small microchip, and it also has a barcode."
en_AU_DeliveryService_1585416,channel1,29,412.0,423.0,"So when the package arrives at each major depot or switchover or whatever stage it may be, then needed to be scanned into our system."
en_AU_DeliveryService_1585416,channel1,30,423.0,439.0,"And assuming that the driver for whatever reason didn't scan it into the system, that little microchip in the label allows us to track it to within that 10 meter of accuracy to know at real time, exactly where your packages."
en_AU_DeliveryService_1585416,channel1,31,439.0,462.0,"So there is no risk of your package being lost, unless there was a catastrophic failure and there was no microchip and no barcode scanned, which as far as my knowledge goes I've been with the company for four years now there has never been a package that has been lost completely."
en_AU_DeliveryService_1585416,channel1,32,462.0,472.0,"It's up to the customer's preference. So originally we do email them and we do send them a text via SMS, but you can customize it to your preference."
en_AU_DeliveryService_1585416,channel1,33,472.0,474.0,"So if you only want email updates, we can do that."
en_AU_DeliveryService_1585416,channel1,34,474.0,477.0,"If you only want text updates, we can do that."
en_AU_DeliveryService_1585416,channel1,35,477.0,481.0,We can even give you a call once it's arrived in your state or country.
en_AU_DeliveryService_1585416,channel1,36,481.0,489.0,"So it is totally up to the preference of the customer, but by default we notify them by both SMS and by email."
en_AU_DeliveryService_1585416,channel1,37,492.0,508.0,"Yeah, really good question there as well."
en_AU_DeliveryService_1585416,channel1,38,508.0,519.0,"So our standard delivery rate for deliveries within Australia is seven days, seven business days."
en_AU_DeliveryService_1585416,channel1,39,519.0,527.0,"So most packages arrive sooner than that, but our standard fare is about seven business days."
en_AU_DeliveryService_1585416,channel1,40,527.0,532.0,We do also have the option to express ship.
en_AU_DeliveryService_1585416,channel1,41,532.0,536.0,"Now, just because it's faster does not mean it is any less safe."
en_AU_DeliveryService_1585416,channel1,42,536.0,544.0,"All of the drivers are held to an extremely high standard and given rigorous, rigorous expertise training."
en_AU_DeliveryService_1585416,channel1,43,544.0,551.0,So just because it's coming faster doesn't necessarily mean it's coming any more dangerous or any less safely.
en_AU_DeliveryService_1585416,channel1,44,551.0,566.0,It just is the mode of transport that it is used.
en_AU_DeliveryService_1585416,channel1,45,566.0,568.0,It does cost more.
en_AU_DeliveryService_1585416,channel1,46,568.0,571.0,I wouldn't necessarily say a lot more.
en_AU_DeliveryService_1585416,channel1,47,571.0,582.0,"So for our standard package, so that's packages within 30 cubed centimetres for surface area."
en_AU_DeliveryService_1585416,channel1,48,582.0,593.0,The shipping on that is about $13.99 for our standard delivery.
en_AU_DeliveryService_1585416,channel1,49,593.0,598.0,"For the express, it's $17.99, so $18."
en_AU_DeliveryService_1585416,channel1,50,598.0,606.0,And the delivery time expectation is within three business days of placing the order.
en_AU_DeliveryService_1585416,channel1,51,606.0,608.0,So yeah.
en_AU_DeliveryService_1585416,channel1,52,623.0,636.0,Really awesome question.
en_AU_DeliveryService_1585416,channel1,53,636.0,641.0,"Once again, I can totally understand why this would be important to you because of your past experience."
en_AU_DeliveryService_1585416,channel1,54,641.0,645.0,But we really do pride ourselves on making promises that we keep.
