call_id,channel,segment_id,start_time,end_time,text
en_AU_RealEstate_1591705,channel1,1,0.0,15.44,"Good afternoon, welcome to Melbourne Real Estate, just speaking with Tom, how can I"
en_AU_RealEstate_1591705,channel1,2,15.44,15.84,help you?
en_AU_RealEstate_1591705,channel1,3,30.96,37.24,"Okay Laura, I'm actually a new property manager here, so before we dive into"
en_AU_RealEstate_1591705,channel1,4,37.24,46.88,"things, could I just grab the postcode of the property? 3-on-4-5, perfect, you"
en_AU_RealEstate_1591705,channel1,5,46.88,51.84,"only said that was on Brunswick Street, oh that's such a beautiful property, how"
en_AU_RealEstate_1591705,channel1,6,51.84,55.76,come you're looking at leaving?
en_AU_RealEstate_1591705,channel1,7,60.0,73.8,"Oh well, the metro tunnel is opening very soon, are you sure that doesn't make an"
en_AU_RealEstate_1591705,channel1,8,73.8,76.08,impact?
en_AU_RealEstate_1591705,channel1,9,86.52,91.16,"Okay that's a shame because if you are over Brunswick Street side, the metro"
en_AU_RealEstate_1591705,channel1,10,91.16,95.28,"tunnel actually does go south side, so I'm asking over a different side of town"
en_AU_RealEstate_1591705,channel1,11,95.28,100.8,"again, but anyway, do you know if your lease is up or if you're on a rolling"
en_AU_RealEstate_1591705,channel1,12,100.8,104.72,"contract, or how long maybe you've got left on that one?"
en_AU_RealEstate_1591705,channel1,13,106.2,115.12,"Okay so I'm just pulling it up here, yeah I can see your lease did end in October, so"
en_AU_RealEstate_1591705,channel1,14,115.12,120.2,"what we do require, and this goes both ways, is we do require 60 days notice if"
en_AU_RealEstate_1591705,channel1,15,120.2,124.4,"you are looking to vacate the property, so yeah while you are in a month to"
en_AU_RealEstate_1591705,channel1,16,124.4,128.28,"month, we still do require the 60 days notice, so that would take us up to"
en_AU_RealEstate_1591705,channel1,17,129.16,135.72,"until about January, if we did get the ball rolling today, if you'd still like to"
en_AU_RealEstate_1591705,channel1,18,135.72,138.32,consider that.
en_AU_RealEstate_1591705,channel1,19,139.72,145.8,"Okay not a problem, so I'll send you over the documentation of just a few"
en_AU_RealEstate_1591705,channel1,20,145.8,151.32,"different things we need to get you to sign, cross the T's and dot the I's, as"
en_AU_RealEstate_1591705,channel1,21,151.32,157.56,"we say, just so we can finalize that with the RBTA, so the rental tenancy"
en_AU_RealEstate_1591705,channel1,22,158.24,162.96,"authority, and just to make sure we can get your bond processed, so have you moved"
en_AU_RealEstate_1591705,channel1,23,162.96,166.68,"place before, and do you know what's required around vacating a rental property?"
en_AU_RealEstate_1591705,channel1,24,174.2,177.56,"Sure, no worries at all, yeah I can see you've actually been in that property for"
en_AU_RealEstate_1591705,channel1,25,177.56,184.68,"gosh about 15 years now, so it's pretty much your home, so it's not going to"
en_AU_RealEstate_1591705,channel1,26,184.92,190.68,"surprise you, we will require a full bond clean, as well as a condition report"
en_AU_RealEstate_1591705,channel1,27,190.68,196.32,"upon exit, by any chance do you still have a copy of the condition report from"
en_AU_RealEstate_1591705,channel1,28,196.32,198.0,when you first moved in all that time ago?
en_AU_RealEstate_1591705,channel1,29,208.32,211.36,"Yeah that's okay, because the property has actually changed hands in real"
en_AU_RealEstate_1591705,channel1,30,211.36,215.76,"estates quite a number of times in the last 15 years, so we will have a dig"
en_AU_RealEstate_1591705,channel1,31,215.76,221.6,"around for that, hopefully something should be with the RBTA, that may take a"
en_AU_RealEstate_1591705,channel1,32,221.6,225.76,"little bit of time, but rest assured given you have given us notice today, the"
en_AU_RealEstate_1591705,channel1,33,225.76,232.12,"60 days we'll start from today, I will give you a quick rundown, so yes as"
en_AU_RealEstate_1591705,channel1,34,232.12,236.76,"I mentioned a full bond clean, that means leaving the property exactly as"
en_AU_RealEstate_1591705,channel1,35,236.76,244.0,"you found it, top to bottom, walls washed, bathroom bleached, as well as any"
en_AU_RealEstate_1591705,channel1,36,244.0,249.28,"carpeted areas that will need a professional steam clean, have you had"
en_AU_RealEstate_1591705,channel1,37,249.28,251.52,floor steam cleans in the past?
en_AU_RealEstate_1591705,channel1,38,261.24,265.72,Okay and was that something that you kind of hired from a supermarket or did
en_AU_RealEstate_1591705,channel1,39,265.76,267.6,you get a professional to do that from?
en_AU_RealEstate_1591705,channel1,40,270.6,275.64,Okay so well I absolutely know that they do a great job of using them myself
en_AU_RealEstate_1591705,channel1,41,275.64,280.32,"before, we do require it to be of a professional standard and we would"
en_AU_RealEstate_1591705,channel1,42,280.32,285.04,require a receipt or a tax invoice just from the supplier confirming that they
en_AU_RealEstate_1591705,channel1,43,285.04,291.04,have completely disinfected and cleaned your carpets to a professional grade.
en_AU_RealEstate_1591705,channel1,44,296.56,306.2,"Yeah absolutely, we actually do have an in-house carpet cleaning business as well,"
en_AU_RealEstate_1591705,channel1,45,306.2,311.72,"it's called Melbourne Real Estate Electro Dry, it is just an offshoot from us, we"
en_AU_RealEstate_1591705,channel1,46,311.72,315.72,tend to find it's easy just wrapping it all into a little package just to make
en_AU_RealEstate_1591705,channel1,47,315.72,321.12,your moving process a little bit smoother. What was still on the topic of
