call_id,channel,segment_id,start_time,end_time,text
en_AU_Entertainment_1585414,channel1,1,0.0,21.0,Hello there. I was wondering if I could speak to Stephen about some potential concert tickets.
en_AU_Entertainment_1585414,channel1,2,30.0,55.0,I was wondering if I could speak to Stephen about some potential concert tickets.
en_AU_Entertainment_1585414,channel1,3,55.0,84.0,"Yeah, absolutely. I'm really glad that you brought up the Arctic guerrillas there because"
en_AU_Entertainment_1585414,channel1,4,84.0,89.0,"they're a really awesome local band. Like you said, they've been playing at pubs,"
en_AU_Entertainment_1585414,channel1,5,89.0,94.0,"been getting everyone hyped, getting really good energy, having drinks thrown at them in a good way."
en_AU_Entertainment_1585414,channel1,6,94.0,102.0,They've been really rocking the local scene. Now would be an awesome time to book them in
en_AU_Entertainment_1585414,channel1,7,102.0,107.0,before they start really blowing up and ticket prices become exorbitant.
en_AU_Entertainment_1585414,channel1,8,107.0,112.0,We could absolutely have a look at booking you in for one of the festivals that they're playing at.
en_AU_Entertainment_1585414,channel1,9,112.0,133.0,"Maybe the Arctic Circle event, that could be something that might interest you."
en_AU_Entertainment_1585414,channel1,10,133.0,145.0,Absolutely. The Arctic Circle event is a multi-artist event held in the Sunset View amphitheater.
en_AU_Entertainment_1585414,channel1,11,145.0,154.0,"It's a really awesome venue, very natural, very open, and especially being in the season that we're in."
en_AU_Entertainment_1585414,channel1,12,155.0,162.0,Absolutely wonderful weather for it. Gorgeous views of the sunset over the valley as well.
en_AU_Entertainment_1585414,channel1,13,162.0,168.0,"But to tell you a bit more about the Arctic Circle event, it's, as I said before, multi-artist."
en_AU_Entertainment_1585414,channel1,14,168.0,177.0,"We've got Arctic guerrillas, we have the Antarctic seals, we also have the polar bears."
en_AU_Entertainment_1585414,channel1,15,177.0,183.0,"All snow-themed artists, but all very different genres as well."
en_AU_Entertainment_1585414,channel1,16,183.0,191.0,"As I was speaking about before the Arctic guerrillas, very rocky, very high energy, very in-your-face,"
en_AU_Entertainment_1585414,channel1,17,191.0,196.0,really wicked performers bring awesome energy and doesn't sound like the studio version
en_AU_Entertainment_1585414,channel1,18,196.0,200.0,that you'd see here on vinyl or on Spotify.
en_AU_Entertainment_1585414,channel1,19,200.0,205.0,And then the polar bears are a lot more surf rocky.
en_AU_Entertainment_1585414,channel1,20,205.0,210.0,"Maybe psychedelic rock might be a better way to describe their music, a bit more laid-back,"
en_AU_Entertainment_1585414,channel1,21,210.0,218.0,"a little bit more experimental, a bit of a longer song, but has multiple tone shifts in it."
en_AU_Entertainment_1585414,channel1,22,218.0,227.0,"And then the Antarctic seals are very funky and 70s, 80s, heavy funk."
