call_id,turn_id,speaker,channel,segment_id,start_time,end_time,text,sentiment_label,sentiment_score,frustration_flag,empathy_flag,probing_flag,ownership_flag,next_steps_flag,segment_duration_sec,rms_energy,peak_amplitude,rms_db,zero_crossing_rate,spectral_centroid,pitch_mean_hz,pitch_std_hz,speaking_rate_wps,volume_level,speaking_rate_level,pitch_level,frustration_flag_bool,empathy_flag_bool,probing_flag_bool,ownership_flag_bool,next_steps_flag_bool,normalized_sentiment,vocal_intensity_level,turn_risk_score,turn_main_signal,turn_risk_level,turn_reason_codes,evidence_id,signal_coverage_confidence,analytical_contract_version,risk_rubric_version,risk_score_type,risk_score_calibrated,asr_model_id,sentiment_model_id
en_AU_Banking_1586330,1,agent,channel1,1,0.0,16.44,"Good morning, thanks for contacting the Bank of Queensland.",positive,0.9311,False,False,False,False,False,16.44,0.032267,0.699066,-29.825,0.059684,1160.537,292.985,124.089,0.547,low,low,high,False,False,False,False,False,positive,medium,0,no strong signal,low,NO_STRONG_SIGNAL,en_AU_Banking_1586330:turn:1,1.0,1.0.0,conversation_risk_v1,heuristic_proxy,False,faster-whisper/small,cardiffnlp/twitter-roberta-base-sentiment-latest
en_AU_Banking_1586330,2,customer,channel2,1,0.0,26.0,"Hi Alison, my name's Jenny and I'm just requesting I need to transfer some money from my savings",neutral,0.818,False,False,False,False,False,26.0,0.012912,0.230988,-37.78,0.054368,1297.515,276.924,138.224,0.692,low,low,high,False,False,False,False,False,neutral,medium,5,medium customer vocal intensity,low,CUST_MEDIUM_VOCAL_INTENSITY,en_AU_Banking_1586330:turn:2,1.0,1.0.0,conversation_risk_v1,heuristic_proxy,False,faster-whisper/small,cardiffnlp/twitter-roberta-base-sentiment-latest
en_AU_Banking_1586330,3,agent,channel1,2,16.44,29.74,"My name is Alison, how can I help you today?",neutral,0.7394,False,False,True,False,False,13.3,0.039756,0.561279,-28.012,0.060184,1165.432,284.681,127.931,0.752,medium,low,high,False,False,True,False,False,neutral,medium,0,agent probing question detected,low,AGENT_PROBING,en_AU_Banking_1586330:turn:3,1.0,1.0.0,conversation_risk_v1,heuristic_proxy,False,faster-whisper/small,cardiffnlp/twitter-roberta-base-sentiment-latest
en_AU_Banking_1586330,4,customer,channel2,2,26.0,40.0,to my checking account urgently.,neutral,0.6848,False,False,False,False,False,14.0,0.009384,0.178528,-40.552,0.052456,1303.879,280.382,141.899,0.357,low,low,high,False,False,False,False,False,neutral,medium,5,medium customer vocal intensity,low,CUST_MEDIUM_VOCAL_INTENSITY,en_AU_Banking_1586330:turn:4,1.0,1.0.0,conversation_risk_v1,heuristic_proxy,False,faster-whisper/small,cardiffnlp/twitter-roberta-base-sentiment-latest
en_AU_Banking_1586330,5,agent,channel1,3,29.74,34.4,"No problem with that Jenny, I can help you so I understand that you would like to transfer",neutral,0.5968,False,True,False,True,False,4.66,0.066551,0.525055,-23.537,0.116378,1395.813,204.43,57.448,3.863,medium,high,low,False,True,False,True,False,neutral,medium,0,agent empathy detected | agent ownership detected,low,AGENT_EMPATHY|AGENT_OWNERSHIP,en_AU_Banking_1586330:turn:5,1.0,1.0.0,conversation_risk_v1,heuristic_proxy,False,faster-whisper/small,cardiffnlp/twitter-roberta-base-sentiment-latest
en_AU_Banking_1586330,6,agent,channel1,4,34.4,42.68,"funds from your saving accounts to your credit or checking account, okay.",neutral,0.8039,False,False,False,False,False,8.28,0.070853,0.773651,-22.993,0.126668,1547.142,210.351,112.812,1.449,medium,medium,medium,False,False,False,False,False,neutral,medium,0,no strong signal,low,NO_STRONG_SIGNAL,en_AU_Banking_1586330:turn:6,1.0,1.0.0,conversation_risk_v1,heuristic_proxy,False,faster-whisper/small,cardiffnlp/twitter-roberta-base-sentiment-latest
en_AU_Banking_1586330,7,customer,channel2,3,40.0,52.0,To my checking.,neutral,0.7484,False,False,False,False,False,12.0,0.008525,0.277374,-41.386,0.03648,1142.714,296.339,139.567,0.25,low,low,high,False,False,False,False,False,neutral,medium,5,medium customer vocal intensity,low,CUST_MEDIUM_VOCAL_INTENSITY,en_AU_Banking_1586330:turn:7,1.0,1.0.0,conversation_risk_v1,heuristic_proxy,False,faster-whisper/small,cardiffnlp/twitter-roberta-base-sentiment-latest
en_AU_Banking_1586330,8,agent,channel1,5,42.68,46.76,"Before I proceed, I will just need to confirm your identity.",neutral,0.9061,False,False,False,False,False,4.08,0.070505,0.479156,-23.036,0.140648,1598.005,204.425,70.456,2.696,medium,high,low,False,False,False,False,False,neutral,medium,0,no strong signal,low,NO_STRONG_SIGNAL,en_AU_Banking_1586330:turn:8,1.0,1.0.0,conversation_risk_v1,heuristic_proxy,False,faster-whisper/small,cardiffnlp/twitter-roberta-base-sentiment-latest
en_AU_Banking_1586330,9,agent,channel1,6,46.76,58.52,Can you please verify your full name and your date of birth for me?,neutral,0.8657,False,False,True,False,False,11.76,0.055274,0.618866,-25.15,0.040048,928.074,282.542,125.088,1.19,medium,medium,high,False,False,True,False,False,neutral,medium,0,agent probing question detected,low,AGENT_PROBING,en_AU_Banking_1586330:turn:9,1.0,1.0.0,conversation_risk_v1,heuristic_proxy,False,faster-whisper/small,cardiffnlp/twitter-roberta-base-sentiment-latest
en_AU_Banking_1586330,10,customer,channel2,4,52.0,63.0,"Yeah, it's Sarah McPherson, 8th of July 1984.",neutral,0.7033,False,False,False,False,False,11.0,0.023161,0.441254,-32.705,0.087872,1552.868,255.008,133.479,0.727,low,low,medium,False,False,False,False,False,neutral,low,0,no strong signal,low,NO_STRONG_SIGNAL,en_AU_Banking_1586330:turn:10,1.0,1.0.0,conversation_risk_v1,heuristic_proxy,False,faster-whisper/small,cardiffnlp/twitter-roberta-base-sentiment-latest
en_AU_Banking_1586330,11,agent,channel1,7,58.52,67.48,Thank you for that and do you have a security card?,positive,0.7461,False,False,True,False,False,8.96,0.053068,0.630737,-25.503,0.082933,1253.85,248.432,118.483,1.228,medium,medium,medium,False,False,True,False,False,positive,medium,0,agent probing question detected,low,AGENT_PROBING,en_AU_Banking_1586330:turn:11,1.0,1.0.0,conversation_risk_v1,heuristic_proxy,False,faster-whisper/small,cardiffnlp/twitter-roberta-base-sentiment-latest
en_AU_Banking_1586330,12,customer,channel2,5,63.0,82.0,"I do, it's 8783.",neutral,0.8518,False,False,False,False,False,19.0,0.00938,0.252655,-40.556,0.045524,1236.145,296.591,140.663,0.211,low,low,high,False,False,False,False,False,neutral,medium,5,medium customer vocal intensity,low,CUST_MEDIUM_VOCAL_INTENSITY,en_AU_Banking_1586330:turn:12,1.0,1.0.0,conversation_risk_v1,heuristic_proxy,False,faster-whisper/small,cardiffnlp/twitter-roberta-base-sentiment-latest
en_AU_Banking_1586330,13,agent,channel1,8,67.48,69.92,"Perfect, thank you very much.",positive,0.9762,False,False,False,False,False,2.44,0.045242,0.294891,-26.889,0.159858,1759.273,162.868,75.079,2.049,medium,medium,low,False,False,False,False,False,positive,medium,0,no strong signal,low,NO_STRONG_SIGNAL,en_AU_Banking_1586330:turn:13,1.0,1.0.0,conversation_risk_v1,heuristic_proxy,False,faster-whisper/small,cardiffnlp/twitter-roberta-base-sentiment-latest
en_AU_Banking_1586330,14,agent,channel1,9,69.92,78.2,So I can see that you have both your savings and checking accounts here.,neutral,0.8078,False,False,False,False,False,8.28,0.087133,0.630951,-21.196,0.142531,1509.543,202.011,62.107,1.691,high,medium,low,False,False,False,False,False,neutral,medium,0,no strong signal,low,NO_STRONG_SIGNAL,en_AU_Banking_1586330:turn:14,1.0,1.0.0,conversation_risk_v1,heuristic_proxy,False,faster-whisper/small,cardiffnlp/twitter-roberta-base-sentiment-latest
en_AU_Banking_1586330,15,agent,channel1,10,78.2,83.8,How much would you like to transfer today?,neutral,0.9287,False,False,True,False,False,5.6,0.037406,0.507721,-28.541,0.060575,1144.223,264.436,133.951,1.429,medium,medium,medium,False,False,True,False,False,neutral,medium,0,agent probing question detected,low,AGENT_PROBING,en_AU_Banking_1586330:turn:15,1.0,1.0.0,conversation_risk_v1,heuristic_proxy,False,faster-whisper/small,cardiffnlp/twitter-roberta-base-sentiment-latest
en_AU_Banking_1586330,16,customer,channel2,6,82.0,108.0,I'm gonna need 600 dollars.,neutral,0.4594,False,False,False,False,False,26.0,0.007435,0.137634,-42.574,0.039465,1176.97,298.842,137.469,0.192,low,low,high,False,False,False,False,False,neutral,medium,5,medium customer vocal intensity,low,CUST_MEDIUM_VOCAL_INTENSITY,en_AU_Banking_1586330:turn:16,1.0,1.0.0,conversation_risk_v1,heuristic_proxy,False,faster-whisper/small,cardiffnlp/twitter-roberta-base-sentiment-latest
en_AU_Banking_1586330,17,agent,channel1,11,83.8,94.72,"Okay, that's not a problem and in terms of the transfer, I will be able to process that",neutral,0.5749,False,False,False,False,False,10.92,0.085084,0.723572,-21.403,0.075606,1204.825,223.28,103.95,1.648,high,medium,medium,False,False,False,False,False,neutral,medium,0,no strong signal,low,NO_STRONG_SIGNAL,en_AU_Banking_1586330:turn:17,1.0,1.0.0,conversation_risk_v1,heuristic_proxy,False,faster-whisper/small,cardiffnlp/twitter-roberta-base-sentiment-latest
en_AU_Banking_1586330,18,agent,channel1,12,94.72,102.52,"transfer for you but just so that you know, at the moment you have a daily transfer limit",neutral,0.9202,False,False,False,False,False,7.8,0.086684,0.694183,-21.241,0.124786,1415.763,187.07,61.042,2.308,high,high,low,False,False,False,False,False,neutral,high,0,no strong signal,low,NO_STRONG_SIGNAL,en_AU_Banking_1586330:turn:18,1.0,1.0.0,conversation_risk_v1,heuristic_proxy,False,faster-whisper/small,cardiffnlp/twitter-roberta-base-sentiment-latest
en_AU_Banking_1586330,19,agent,channel1,13,102.52,107.56,of 500 on your saving account.,neutral,0.86,False,False,False,False,False,5.04,0.067927,0.697021,-23.359,0.132021,1627.563,202.693,107.815,1.19,medium,medium,low,False,False,False,False,False,neutral,medium,0,no strong signal,low,NO_STRONG_SIGNAL,en_AU_Banking_1586330:turn:19,1.0,1.0.0,conversation_risk_v1,heuristic_proxy,False,faster-whisper/small,cardiffnlp/twitter-roberta-base-sentiment-latest
