call_id,channel,segment_id,start_time,end_time,text
en_CA_Hospitality_1592211,channel1,1,0.0,16.44,"Hello, thank you for calling the best Canadian hotel."
en_CA_Hospitality_1592211,channel1,2,16.44,17.44,How can I help you today?
en_CA_Hospitality_1592211,channel1,3,17.44,18.12,My name is Joelle.
en_CA_Hospitality_1592211,channel1,4,30.0,57.0,"No, just give me a minute here to be able to review our availability."
en_CA_Hospitality_1592211,channel1,5,57.0,59.44,You said you booked this just recently.
en_CA_Hospitality_1592211,channel1,6,59.44,66.44,Is it booked through our website or through an agency?
en_CA_Hospitality_1592211,channel1,7,66.44,76.44,"Okay, do you have the confirmation number there?"
en_CA_Hospitality_1592211,channel1,8,76.44,80.44,"Okay, just give me a minute here to be able to review our records."
en_CA_Hospitality_1592211,channel1,9,80.44,83.44,"Oh yes, Dorothy Brown, I see you right here."
en_CA_Hospitality_1592211,channel1,10,83.44,85.44,"Good, okay."
en_CA_Hospitality_1592211,channel1,11,85.44,91.44,"So according to the availability that we have, extending your stay is possible within the same room."
en_CA_Hospitality_1592211,channel1,12,91.44,95.44,So you wouldn't know how to have to make an entirely new reservation.
en_CA_Hospitality_1592211,channel1,13,95.44,97.44,"No, so that is very good."
en_CA_Hospitality_1592211,channel1,14,115.44,129.44,"No, what we'll do is we'll just extend it by the extra days, but you'll also get the discount for those days as well."
en_CA_Hospitality_1592211,channel1,15,129.44,134.44,"You won't have to make any changes at all, so it's very simple to be able to do that."
en_CA_Hospitality_1592211,channel1,16,134.44,141.44,The only fee would be for the extra two nights.
en_CA_Hospitality_1592211,channel1,17,141.44,146.44,"Well, based on what I'm seeing here, you got the discount rate of 10%."
en_CA_Hospitality_1592211,channel1,18,146.44,151.44,So you'd be looking at about an extra $200 for the day for those two nights.
en_CA_Hospitality_1592211,channel1,19,171.44,186.44,"No, we definitely do have a continental breakfast, which is already included in the price."
en_CA_Hospitality_1592211,channel1,20,186.44,189.44,So you do have access to that.
en_CA_Hospitality_1592211,channel1,21,189.44,193.44,"I would have to ask the kitchen staff if we do have waffles those days,"
en_CA_Hospitality_1592211,channel1,22,193.44,200.44,but I believe that we do have a wide variety of different products in our continental breakfast.
en_CA_Hospitality_1592211,channel1,23,200.44,202.44,So I'm sure that you will love it.
