call_id,turn_id,speaker,channel,segment_id,start_time,end_time,text,sentiment_label,sentiment_score,frustration_flag,empathy_flag,probing_flag,ownership_flag,next_steps_flag
en_CA_Food_1588697,1,agent,channel1,1,0.0,15.44,"Hello, and welcome to the Food Association.",positive,0.8089,False,False,False,False,False
en_CA_Food_1588697,2,customer,channel2,1,0.0,27.0,"Hi, I was calling to look into how much it would cost for a catering lunch for my company.",neutral,0.8658,False,False,False,False,False
en_CA_Food_1588697,3,agent,channel1,2,15.44,16.44,My name is Julia.,neutral,0.8721,False,False,False,False,False
en_CA_Food_1588697,4,agent,channel1,3,16.44,20.44,How can I help you?,neutral,0.8413,False,False,True,False,False
en_CA_Food_1588697,5,agent,channel1,4,20.44,22.44,Okay.,neutral,0.5693,False,False,False,False,False
en_CA_Food_1588697,6,agent,channel1,5,23.44,28.44,Okay.,neutral,0.5693,False,False,False,False,False
en_CA_Food_1588697,7,customer,channel2,2,27.0,43.0,"We have had catered lunches before, but their prices have gone up recently and so we're just looking around at other options.",neutral,0.8271,False,False,False,False,False
en_CA_Food_1588697,8,agent,channel1,6,28.44,44.44,Have you had a catered sponge bath before?,neutral,0.9287,False,False,True,False,False
en_CA_Food_1588697,9,customer,channel2,3,43.0,56.0,"34, possibly 35, but usually 34.",neutral,0.8199,False,False,False,False,False
en_CA_Food_1588697,10,agent,channel1,7,44.44,51.44,And how many people would this be for?,neutral,0.8433,False,False,True,False,False
en_CA_Food_1588697,11,agent,channel1,8,51.44,53.44,Okay.,neutral,0.5693,False,False,False,False,False
en_CA_Food_1588697,12,agent,channel1,9,53.44,59.44,"And where are you located, sir?",neutral,0.9521,False,False,True,False,False
en_CA_Food_1588697,13,customer,channel2,4,56.0,71.0,We're in Massachusetts.,neutral,0.9067,False,False,False,False,False
en_CA_Food_1588697,14,agent,channel1,10,59.44,61.44,Okay.,neutral,0.5693,False,False,False,False,False
en_CA_Food_1588697,15,agent,channel1,11,61.44,67.44,Can you provide me like the first three?,neutral,0.8205,False,False,True,False,False
en_CA_Food_1588697,16,agent,channel1,12,67.44,75.44,"Or I guess the full zip code, please?",neutral,0.9262,False,False,True,False,False
en_CA_Food_1588697,17,customer,channel2,5,71.0,92.0,"Yes, 73294.",neutral,0.6987,False,False,False,False,False
en_CA_Food_1588697,18,agent,channel1,13,75.44,77.44,Okay.,neutral,0.5693,False,False,False,False,False
en_CA_Food_1588697,19,agent,channel1,14,77.44,83.44,Just trying to figure out how far away you are from us.,neutral,0.628,False,False,False,False,False
en_CA_Food_1588697,20,agent,channel1,15,83.44,85.44,Okay.,neutral,0.5693,False,False,False,False,False
en_CA_Food_1588697,21,agent,channel1,16,85.44,92.44,Would you be able to tell me if there is a kitchen available or we need to have everything prepared and simply dropped off?,neutral,0.9285,False,False,True,False,False
