call_id,turn_id,speaker,channel,segment_id,start_time,end_time,text,sentiment_label,sentiment_score,frustration_flag,empathy_flag,probing_flag,ownership_flag,next_steps_flag,segment_duration_sec,rms_energy,peak_amplitude,rms_db,zero_crossing_rate,spectral_centroid,pitch_mean_hz,pitch_std_hz,speaking_rate_wps,volume_level,speaking_rate_level,pitch_level,frustration_flag_bool,empathy_flag_bool,probing_flag_bool,ownership_flag_bool,next_steps_flag_bool,normalized_sentiment,vocal_intensity_level,turn_risk_score,turn_main_signal,turn_risk_level,turn_reason_codes,evidence_id,signal_coverage_confidence,analytical_contract_version,risk_rubric_version,risk_score_type,risk_score_calibrated,asr_model_id,sentiment_model_id
en_CA_Energy_1590823,1,agent,channel1,1,0.0,22.0,"Good morning, Mrs. Canada Energy, how may I help you?",positive,0.7824,False,False,True,False,False,22.0,0.022686,0.45517,-32.885,0.032894,811.463,291.916,131.063,0.455,low,low,high,False,False,True,False,False,positive,medium,0,agent probing question detected,low,AGENT_PROBING,en_CA_Energy_1590823:turn:1,1.0,1.0.0,conversation_risk_v1,heuristic_proxy,False,faster-whisper/small,cardiffnlp/twitter-roberta-base-sentiment-latest
en_CA_Energy_1590823,2,customer,channel2,1,0.0,27.84,"Hi there, I'm just calling this set up for my cabin which I'm actually going to be",neutral,0.6963,False,False,False,False,False,27.84,0.058769,0.822327,-24.617,0.095876,926.524,228.084,95.702,0.611,medium,low,high,False,False,False,False,False,neutral,medium,5,medium customer vocal intensity,low,CUST_MEDIUM_VOCAL_INTENSITY,en_CA_Energy_1590823:turn:2,1.0,1.0.0,conversation_risk_v1,heuristic_proxy,False,faster-whisper/small,cardiffnlp/twitter-roberta-base-sentiment-latest
en_CA_Energy_1590823,3,agent,channel1,2,22.0,48.08,"Okay, I'll need to get a few details from you and then we can check into whether we're able",neutral,0.8702,False,False,False,False,False,26.08,0.042933,0.579041,-27.344,0.069182,975.736,262.289,128.405,0.729,low,low,high,False,False,False,False,False,neutral,medium,0,no strong signal,low,NO_STRONG_SIGNAL,en_CA_Energy_1590823:turn:3,1.0,1.0.0,conversation_risk_v1,heuristic_proxy,False,faster-whisper/small,cardiffnlp/twitter-roberta-base-sentiment-latest
en_CA_Energy_1590823,4,customer,channel2,2,27.84,32.52,retiring to and using as my new home so we just finished building it but now I need to,neutral,0.7077,False,False,False,False,False,4.68,0.024769,0.258209,-32.122,0.104253,1074.841,206.781,85.434,4.06,low,high,medium,False,False,False,False,False,neutral,medium,5,medium customer vocal intensity,low,CUST_MEDIUM_VOCAL_INTENSITY,en_CA_Energy_1590823:turn:4,1.0,1.0.0,conversation_risk_v1,heuristic_proxy,False,faster-whisper/small,cardiffnlp/twitter-roberta-base-sentiment-latest
en_CA_Energy_1590823,5,customer,channel2,3,32.52,37.52,"figure out how to get it hooked up to the nearby power line for the lift up, which can help me.",neutral,0.749,False,False,False,False,False,5.0,0.040455,0.565887,-27.86,0.110719,1021.436,177.815,89.919,4.2,low,high,low,False,False,False,False,False,neutral,medium,5,medium customer vocal intensity,low,CUST_MEDIUM_VOCAL_INTENSITY,en_CA_Energy_1590823:turn:5,1.0,1.0.0,conversation_risk_v1,heuristic_proxy,False,faster-whisper/small,cardiffnlp/twitter-roberta-base-sentiment-latest
en_CA_Energy_1590823,6,customer,channel2,4,37.52,66.4,"Sure, it's 462, Blueberry and Lightning, it's in Lactobani and it was a tree lot before and",neutral,0.7883,False,False,False,False,False,28.88,0.058912,0.776001,-24.596,0.080056,817.611,248.876,104.721,0.589,medium,low,high,False,False,False,False,False,neutral,medium,5,medium customer vocal intensity,low,CUST_MEDIUM_VOCAL_INTENSITY,en_CA_Energy_1590823:turn:6,1.0,1.0.0,conversation_risk_v1,heuristic_proxy,False,faster-whisper/small,cardiffnlp/twitter-roberta-base-sentiment-latest
en_CA_Energy_1590823,7,agent,channel1,3,48.08,55.2,to hook up power and if so how to go about it. So first could you share with me the address of your,neutral,0.9241,False,False,False,False,False,7.12,0.058628,0.575989,-24.638,0.145983,1536.456,238.991,76.595,3.23,medium,high,high,False,False,False,False,False,neutral,high,0,no strong signal,low,NO_STRONG_SIGNAL,en_CA_Energy_1590823:turn:7,1.0,1.0.0,conversation_risk_v1,heuristic_proxy,False,faster-whisper/small,cardiffnlp/twitter-roberta-base-sentiment-latest
en_CA_Energy_1590823,8,agent,channel1,4,55.2,63.84,"cabins? Okay, okay.",neutral,0.8051,False,False,True,False,False,8.64,0.024662,0.561829,-32.16,0.041614,813.689,265.259,134.204,0.347,low,low,high,False,False,True,False,False,neutral,medium,0,agent probing question detected,low,AGENT_PROBING,en_CA_Energy_1590823:turn:8,1.0,1.0.0,conversation_risk_v1,heuristic_proxy,False,faster-whisper/small,cardiffnlp/twitter-roberta-base-sentiment-latest
en_CA_Energy_1590823,9,customer,channel2,5,66.4,78.4,"our neighbors do have power, I think it's very couple, I mean we're connected but yeah it was a tree lot and it doesn't currently have a good power.",neutral,0.6447,False,False,False,False,False,12.0,0.073243,0.942078,-22.705,0.094812,926.301,230.613,90.445,2.417,high,medium,high,False,False,False,False,False,neutral,high,15,high customer vocal intensity,low,CUST_HIGH_VOCAL_INTENSITY,en_CA_Energy_1590823:turn:9,1.0,1.0.0,conversation_risk_v1,heuristic_proxy,False,faster-whisper/small,cardiffnlp/twitter-roberta-base-sentiment-latest
en_CA_Energy_1590823,10,agent,channel1,5,78.32,84.96,"Okay, and so along blueberry lanes is there can you see visible power poles like at some of the",neutral,0.9369,False,False,False,False,False,6.64,0.069544,0.624695,-23.155,0.108699,1285.555,210.517,70.418,2.861,high,high,medium,False,False,False,False,False,neutral,high,0,no strong signal,low,NO_STRONG_SIGNAL,en_CA_Energy_1590823:turn:10,1.0,1.0.0,conversation_risk_v1,heuristic_proxy,False,faster-whisper/small,cardiffnlp/twitter-roberta-base-sentiment-latest
