call_id,turn_id,speaker,channel,segment_id,start_time,end_time,text,sentiment_label,sentiment_score,frustration_flag,empathy_flag,probing_flag,ownership_flag,next_steps_flag,segment_duration_sec,rms_energy,peak_amplitude,rms_db,zero_crossing_rate,spectral_centroid,pitch_mean_hz,pitch_std_hz,speaking_rate_wps,volume_level,speaking_rate_level,pitch_level,frustration_flag_bool,empathy_flag_bool,probing_flag_bool,ownership_flag_bool,next_steps_flag_bool,normalized_sentiment,vocal_intensity_level,turn_risk_score,turn_main_signal,turn_risk_level,turn_reason_codes,evidence_id,signal_coverage_confidence,analytical_contract_version,risk_rubric_version,risk_score_type,risk_score_calibrated,asr_model_id,sentiment_model_id
en_AU_Agriculture_1592662,1,agent,channel1,1,0.0,17.36,"Good morning, Department of Agricultural Water and the Environment. Danielle speaking, how",positive,0.8335,False,False,False,False,False,17.36,0.059346,0.997284,-24.532,0.052074,913.337,252.776,131.602,0.691,medium,low,high,False,False,False,False,False,positive,medium,0,no strong signal,low,NO_STRONG_SIGNAL,en_AU_Agriculture_1592662:turn:1,1.0,1.0.0,conversation_risk_v1,heuristic_proxy,False,faster-whisper/small,cardiffnlp/twitter-roberta-base-sentiment-latest
en_AU_Agriculture_1592662,2,customer,channel2,1,0.0,29.0,I'm just calling because I've got a property kind of new Griffith and I've heard about,neutral,0.8313,False,False,False,False,False,29.0,0.043112,0.736298,-27.308,0.12034,1963.12,226.8,125.877,0.552,low,low,high,False,False,False,False,False,neutral,medium,5,medium customer vocal intensity,low,CUST_MEDIUM_VOCAL_INTENSITY,en_AU_Agriculture_1592662:turn:2,1.0,1.0.0,conversation_risk_v1,heuristic_proxy,False,faster-whisper/small,cardiffnlp/twitter-roberta-base-sentiment-latest
en_AU_Agriculture_1592662,3,agent,channel1,2,17.36,19.36,can I help you today?,neutral,0.7467,False,False,True,False,False,2.0,0.043934,0.443512,-27.144,0.069778,1324.76,183.811,113.725,2.5,low,medium,low,False,False,True,False,False,neutral,low,0,agent probing question detected,low,AGENT_PROBING,en_AU_Agriculture_1592662:turn:3,1.0,1.0.0,conversation_risk_v1,heuristic_proxy,False,faster-whisper/small,cardiffnlp/twitter-roberta-base-sentiment-latest
en_AU_Agriculture_1592662,4,agent,channel1,3,19.36,49.28,"Yeah, absolutely, Maria. Look, you've called to the right place.",positive,0.9433,False,False,False,False,False,29.92,0.046593,0.999969,-26.634,0.055214,1232.997,272.328,139.122,0.334,low,low,high,False,False,False,False,False,positive,medium,0,no strong signal,low,NO_STRONG_SIGNAL,en_AU_Agriculture_1592662:turn:4,1.0,1.0.0,conversation_risk_v1,heuristic_proxy,False,faster-whisper/small,cardiffnlp/twitter-roberta-base-sentiment-latest
en_AU_Agriculture_1592662,5,customer,channel2,2,29.0,35.48,these new government subsidies and I've you know the subsidies for drip,neutral,0.6075,False,False,False,False,False,6.48,0.064304,0.574402,-23.835,0.155184,2173.284,204.185,69.848,1.852,medium,medium,medium,False,False,False,False,False,neutral,medium,5,medium customer vocal intensity,low,CUST_MEDIUM_VOCAL_INTENSITY,en_AU_Agriculture_1592662:turn:5,1.0,1.0.0,conversation_risk_v1,heuristic_proxy,False,faster-whisper/small,cardiffnlp/twitter-roberta-base-sentiment-latest
en_AU_Agriculture_1592662,6,customer,channel2,3,35.48,40.68,irrigation systems and my neighbour was telling me about that and I just wanted,neutral,0.5684,False,False,False,False,False,5.2,0.05717,0.44339,-24.857,0.149977,2042.352,192.352,75.964,2.692,medium,medium,medium,False,False,False,False,False,neutral,medium,5,medium customer vocal intensity,low,CUST_MEDIUM_VOCAL_INTENSITY,en_AU_Agriculture_1592662:turn:6,1.0,1.0.0,conversation_risk_v1,heuristic_proxy,False,faster-whisper/small,cardiffnlp/twitter-roberta-base-sentiment-latest
en_AU_Agriculture_1592662,7,customer,channel2,4,40.68,44.0,to get a little bit more information.,neutral,0.9124,False,False,False,False,False,3.32,0.044864,0.467468,-26.962,0.104229,1623.098,209.034,88.611,2.108,low,medium,medium,False,False,False,False,False,neutral,low,0,no strong signal,low,NO_STRONG_SIGNAL,en_AU_Agriculture_1592662:turn:7,1.0,1.0.0,conversation_risk_v1,heuristic_proxy,False,faster-whisper/small,cardiffnlp/twitter-roberta-base-sentiment-latest
en_AU_Agriculture_1592662,8,agent,channel1,4,49.28,55.2,We've got the Australian government's on farm irrigation efficiency program running at the moment.,neutral,0.8853,False,False,False,False,False,5.92,0.081626,0.771881,-21.763,0.12526,1427.27,183.445,65.452,2.365,high,medium,low,False,False,False,False,False,neutral,medium,0,no strong signal,low,NO_STRONG_SIGNAL,en_AU_Agriculture_1592662:turn:8,1.0,1.0.0,conversation_risk_v1,heuristic_proxy,False,faster-whisper/small,cardiffnlp/twitter-roberta-base-sentiment-latest
en_AU_Agriculture_1592662,9,agent,channel1,5,55.92,61.6,It's designed to help farmers modernize their irrigation systems. So just would you like to,neutral,0.608,False,False,False,False,False,5.68,0.072721,0.578979,-22.767,0.198091,1976.313,200.567,77.844,2.641,medium,medium,medium,False,False,False,False,False,neutral,medium,0,no strong signal,low,NO_STRONG_SIGNAL,en_AU_Agriculture_1592662:turn:9,1.0,1.0.0,conversation_risk_v1,heuristic_proxy,False,faster-whisper/small,cardiffnlp/twitter-roberta-base-sentiment-latest
en_AU_Agriculture_1592662,10,customer,channel2,5,59.0,75.64,Yeah I am so basically we've been using flood irrigation for years but you know,neutral,0.7038,False,False,False,False,False,16.64,0.045775,0.535797,-26.787,0.080834,1856.384,271.047,122.949,0.901,low,low,high,False,False,False,False,False,neutral,medium,5,medium customer vocal intensity,low,CUST_MEDIUM_VOCAL_INTENSITY,en_AU_Agriculture_1592662:turn:10,1.0,1.0.0,conversation_risk_v1,heuristic_proxy,False,faster-whisper/small,cardiffnlp/twitter-roberta-base-sentiment-latest
en_AU_Agriculture_1592662,11,agent,channel1,6,61.6,65.92,"tell me a bit more about, you know, the system you're using? Are you currently using flood",neutral,0.9521,False,False,True,False,False,4.32,0.061762,0.513184,-24.186,0.152509,1681.873,179.741,68.414,3.935,medium,high,low,False,False,True,False,False,neutral,medium,0,agent probing question detected,low,AGENT_PROBING,en_AU_Agriculture_1592662:turn:11,1.0,1.0.0,conversation_risk_v1,heuristic_proxy,False,faster-whisper/small,cardiffnlp/twitter-roberta-base-sentiment-latest
en_AU_Agriculture_1592662,12,agent,channel1,7,65.92,81.84,irrigation on your property?,neutral,0.7841,False,False,True,False,False,15.92,0.024271,0.449127,-32.298,0.025683,835.864,292.329,134.002,0.251,low,low,high,False,False,True,False,False,neutral,medium,0,agent probing question detected,low,AGENT_PROBING,en_AU_Agriculture_1592662:turn:12,1.0,1.0.0,conversation_risk_v1,heuristic_proxy,False,faster-whisper/small,cardiffnlp/twitter-roberta-base-sentiment-latest
en_AU_Agriculture_1592662,13,customer,channel2,6,75.64,81.2,with the cost of water at the moment you know and drought conditions it's just,negative,0.606,False,False,False,False,False,5.56,0.060482,0.478912,-24.367,0.138077,1825.135,184.303,74.404,2.698,medium,medium,low,False,False,False,False,False,negative,medium,20,negative customer sentiment | medium customer vocal intensity,low,CUST_NEGATIVE_SENTIMENT|CUST_MEDIUM_VOCAL_INTENSITY,en_AU_Agriculture_1592662:turn:13,1.0,1.0.0,conversation_risk_v1,heuristic_proxy,False,faster-whisper/small,cardiffnlp/twitter-roberta-base-sentiment-latest
en_AU_Agriculture_1592662,14,customer,channel2,7,81.2,92.44,not sustainable so we're paying so much for water. You know I just wanted to explore it.,negative,0.7882,False,False,False,False,False,11.24,0.058601,0.56723,-24.642,0.11714,1812.873,227.7,111.996,1.512,medium,low,high,False,False,False,False,False,negative,medium,20,negative customer sentiment | medium customer vocal intensity,low,CUST_NEGATIVE_SENTIMENT|CUST_MEDIUM_VOCAL_INTENSITY,en_AU_Agriculture_1592662:turn:14,1.0,1.0.0,conversation_risk_v1,heuristic_proxy,False,faster-whisper/small,cardiffnlp/twitter-roberta-base-sentiment-latest
en_AU_Agriculture_1592662,15,agent,channel1,8,82.08,98.64,"Look, I completely understand Maria. A lot of farmers across the Murray Darling Basin are in",neutral,0.7161,False,True,False,False,False,16.56,0.075914,0.933075,-22.394,0.05675,882.474,218.93,117.231,0.966,high,low,high,False,True,False,False,False,neutral,high,0,agent empathy detected,low,AGENT_EMPATHY,en_AU_Agriculture_1592662:turn:15,1.0,1.0.0,conversation_risk_v1,heuristic_proxy,False,faster-whisper/small,cardiffnlp/twitter-roberta-base-sentiment-latest
en_AU_Agriculture_1592662,16,agent,channel1,9,98.64,104.8,the same boat. No pun intended. The drip irrigation systems can reduce your water usage,neutral,0.6556,False,False,False,False,False,6.16,0.077705,0.815857,-22.191,0.158342,1694.669,178.641,83.157,2.435,high,medium,low,False,False,False,False,False,neutral,medium,0,no strong signal,low,NO_STRONG_SIGNAL,en_AU_Agriculture_1592662:turn:16,1.0,1.0.0,conversation_risk_v1,heuristic_proxy,False,faster-whisper/small,cardiffnlp/twitter-roberta-base-sentiment-latest
en_AU_Agriculture_1592662,17,agent,channel1,10,104.8,110.16,"by up to 40% in some cases, which really adds up when you're looking at those allocation costs.",neutral,0.7119,False,False,False,False,False,5.36,0.081082,0.947845,-21.822,0.155512,1642.071,178.242,70.856,3.358,high,high,low,False,False,False,False,False,neutral,high,0,no strong signal,low,NO_STRONG_SIGNAL,en_AU_Agriculture_1592662:turn:17,1.0,1.0.0,conversation_risk_v1,heuristic_proxy,False,faster-whisper/small,cardiffnlp/twitter-roberta-base-sentiment-latest
en_AU_Agriculture_1592662,18,agent,channel1,11,110.96,111.6,What do you think?,neutral,0.8603,False,False,True,False,False,0.64,0.043619,0.329559,-27.206,0.099191,1151.429,215.877,94.588,6.25,low,high,medium,False,False,True,False,False,neutral,medium,0,agent probing question detected,low,AGENT_PROBING,en_AU_Agriculture_1592662:turn:18,1.0,1.0.0,conversation_risk_v1,heuristic_proxy,False,faster-whisper/small,cardiffnlp/twitter-roberta-base-sentiment-latest
en_AU_Agriculture_1592662,19,customer,channel2,8,111.2,115.76,But you know what that's exactly what I'm hoping for. So how does that subsidy,neutral,0.5155,False,False,False,False,False,4.56,0.063939,0.485992,-23.885,0.123539,1664.891,227.488,89.252,3.289,medium,high,high,False,False,False,False,False,neutral,high,15,high customer vocal intensity,low,CUST_HIGH_VOCAL_INTENSITY,en_AU_Agriculture_1592662:turn:19,1.0,1.0.0,conversation_risk_v1,heuristic_proxy,False,faster-whisper/small,cardiffnlp/twitter-roberta-base-sentiment-latest
en_AU_Agriculture_1592662,20,customer,channel2,9,115.76,119.52,actually work though? Do I qualify?,neutral,0.8907,False,False,False,False,False,3.76,0.038785,0.452362,-28.227,0.106172,1673.675,206.6,122.293,1.596,low,low,medium,False,False,False,False,False,neutral,low,0,no strong signal,low,NO_STRONG_SIGNAL,en_AU_Agriculture_1592662:turn:20,1.0,1.0.0,conversation_risk_v1,heuristic_proxy,False,faster-whisper/small,cardiffnlp/twitter-roberta-base-sentiment-latest
en_AU_Agriculture_1592662,21,agent,channel1,12,118.96,123.36,"Yeah, look, we'll have to look into a few more details and I'll ask you a bit more for a",neutral,0.8212,False,False,False,False,False,4.4,0.104235,0.978119,-19.64,0.143526,1594.866,204.58,81.483,4.545,high,high,medium,False,False,False,False,False,neutral,high,0,no strong signal,low,NO_STRONG_SIGNAL,en_AU_Agriculture_1592662:turn:21,1.0,1.0.0,conversation_risk_v1,heuristic_proxy,False,faster-whisper/small,cardiffnlp/twitter-roberta-base-sentiment-latest
en_AU_Agriculture_1592662,22,agent,channel1,13,123.36,130.48,"bit more information. So let me run through the eligibility criteria with you. First off,",neutral,0.911,False,False,False,False,False,7.12,0.094101,0.926544,-20.528,0.164916,1757.628,186.04,74.978,2.107,high,medium,low,False,False,False,False,False,neutral,medium,0,no strong signal,low,NO_STRONG_SIGNAL,en_AU_Agriculture_1592662:turn:22,1.0,1.0.0,conversation_risk_v1,heuristic_proxy,False,faster-whisper/small,cardiffnlp/twitter-roberta-base-sentiment-latest
en_AU_Agriculture_1592662,23,agent,channel1,14,130.48,134.16,do you hold an Australian business number for your farming operation?,neutral,0.9522,False,False,True,False,False,3.68,0.069659,0.551239,-23.14,0.16538,1688.201,180.568,61.583,2.989,medium,high,low,False,False,True,False,False,neutral,medium,0,agent probing question detected,low,AGENT_PROBING,en_AU_Agriculture_1592662:turn:23,1.0,1.0.0,conversation_risk_v1,heuristic_proxy,False,faster-whisper/small,cardiffnlp/twitter-roberta-base-sentiment-latest
en_AU_Agriculture_1592662,24,customer,channel2,10,134.16,137.44,Yeah I do. Yep.,positive,0.5519,False,False,False,False,False,3.28,0.048401,0.440308,-26.303,0.073702,1754.065,229.524,131.399,1.22,low,low,high,False,False,False,False,False,positive,medium,5,medium customer vocal intensity,low,CUST_MEDIUM_VOCAL_INTENSITY,en_AU_Agriculture_1592662:turn:24,1.0,1.0.0,conversation_risk_v1,heuristic_proxy,False,faster-whisper/small,cardiffnlp/twitter-roberta-base-sentiment-latest
en_AU_Agriculture_1592662,25,agent,channel1,15,134.56,142.56,"Okay, great. And is your property located within a regulated irrigation district?",neutral,0.5331,False,False,True,False,False,8.0,0.059345,0.742462,-24.532,0.09575,1427.602,225.36,112.617,1.5,medium,low,high,False,False,True,False,False,neutral,medium,0,agent probing question detected,low,AGENT_PROBING,en_AU_Agriculture_1592662:turn:25,1.0,1.0.0,conversation_risk_v1,heuristic_proxy,False,faster-whisper/small,cardiffnlp/twitter-roberta-base-sentiment-latest
en_AU_Agriculture_1592662,26,customer,channel2,11,142.0,149.68,Yeah we're part of the Moran BG irrigation area so I think that counts.,neutral,0.7245,False,False,False,False,False,7.68,0.049812,0.525818,-26.053,0.106978,1748.396,240.773,98.714,1.823,low,low,high,False,False,False,False,False,neutral,medium,5,medium customer vocal intensity,low,CUST_MEDIUM_VOCAL_INTENSITY,en_AU_Agriculture_1592662:turn:26,1.0,1.0.0,conversation_risk_v1,heuristic_proxy,False,faster-whisper/small,cardiffnlp/twitter-roberta-base-sentiment-latest
en_AU_Agriculture_1592662,27,agent,channel1,16,149.68,155.92,"Perfect. Okay, that definitely qualifies. Now, the subsidy covers up to 50%",positive,0.9439,False,False,False,False,False,6.24,0.08238,0.850433,-21.684,0.169132,1714.166,179.895,70.808,1.923,high,medium,low,False,False,False,False,False,positive,medium,0,no strong signal,low,NO_STRONG_SIGNAL,en_AU_Agriculture_1592662:turn:27,1.0,1.0.0,conversation_risk_v1,heuristic_proxy,False,faster-whisper/small,cardiffnlp/twitter-roberta-base-sentiment-latest
en_AU_Agriculture_1592662,28,customer,channel2,12,149.68,174.08,Wow 50% that's not bad at all. What about the other half though? That's still a,positive,0.708,False,False,False,False,False,24.4,0.027949,0.519073,-31.073,0.041641,1592.026,309.377,120.933,0.656,low,low,high,False,False,False,False,False,positive,medium,5,medium customer vocal intensity,low,CUST_MEDIUM_VOCAL_INTENSITY,en_AU_Agriculture_1592662:turn:28,1.0,1.0.0,conversation_risk_v1,heuristic_proxy,False,faster-whisper/small,cardiffnlp/twitter-roberta-base-sentiment-latest
en_AU_Agriculture_1592662,29,agent,channel1,17,155.92,162.32,"of eligible costs for irrigation infrastructure upgrades with a maximum grant of 150,000 per",neutral,0.833,False,False,False,False,False,6.4,0.064175,0.651276,-23.853,0.151061,1604.941,176.361,77.19,2.188,medium,medium,low,False,False,False,False,False,neutral,medium,0,no strong signal,low,NO_STRONG_SIGNAL,en_AU_Agriculture_1592662:turn:29,1.0,1.0.0,conversation_risk_v1,heuristic_proxy,False,faster-whisper/small,cardiffnlp/twitter-roberta-base-sentiment-latest
en_AU_Agriculture_1592662,30,agent,channel1,18,162.32,178.24,applicant. You'll need to demonstrate that the new system will result in measurable water savings.,neutral,0.8324,False,False,False,False,False,15.92,0.033668,0.519165,-29.456,0.073687,1328.993,261.541,137.957,0.942,low,low,high,False,False,False,False,False,neutral,medium,0,no strong signal,low,NO_STRONG_SIGNAL,en_AU_Agriculture_1592662:turn:30,1.0,1.0.0,conversation_risk_v1,heuristic_proxy,False,faster-whisper/small,cardiffnlp/twitter-roberta-base-sentiment-latest
en_AU_Agriculture_1592662,31,customer,channel2,13,174.08,178.84,fair chunk of change and you know there that has to come from somewhere are,neutral,0.7469,False,False,False,False,False,4.76,0.042132,0.534668,-27.508,0.110332,1646.834,201.276,68.412,3.151,low,high,medium,False,False,False,False,False,neutral,medium,5,medium customer vocal intensity,low,CUST_MEDIUM_VOCAL_INTENSITY,en_AU_Agriculture_1592662:turn:31,1.0,1.0.0,conversation_risk_v1,heuristic_proxy,False,faster-whisper/small,cardiffnlp/twitter-roberta-base-sentiment-latest
en_AU_Agriculture_1592662,32,customer,channel2,14,178.84,182.4,there loans available or anything that you can tell me that would help cover the,neutral,0.8745,False,False,False,False,False,3.56,0.058434,0.355042,-24.667,0.080667,1251.344,205.846,48.28,4.213,medium,high,medium,False,False,False,False,False,neutral,medium,5,medium customer vocal intensity,low,CUST_MEDIUM_VOCAL_INTENSITY,en_AU_Agriculture_1592662:turn:32,1.0,1.0.0,conversation_risk_v1,heuristic_proxy,False,faster-whisper/small,cardiffnlp/twitter-roberta-base-sentiment-latest
en_AU_Agriculture_1592662,33,customer,channel2,15,182.4,184.2,costs.,neutral,0.7088,False,False,False,False,False,1.8,0.023791,0.284637,-32.472,0.242033,2770.891,201.481,132.664,0.556,low,low,medium,False,False,False,False,False,neutral,low,0,no strong signal,low,NO_STRONG_SIGNAL,en_AU_Agriculture_1592662:turn:33,1.0,1.0.0,conversation_risk_v1,heuristic_proxy,False,faster-whisper/small,cardiffnlp/twitter-roberta-base-sentiment-latest
en_AU_Agriculture_1592662,34,agent,channel1,19,184.48,189.76,"Actually, I'm so glad you asked because there are. There are some loans available. So the",positive,0.9579,False,False,False,False,False,5.28,0.094349,0.590546,-20.505,0.140434,1521.729,165.653,63.146,3.03,high,high,low,False,False,False,False,False,positive,high,0,no strong signal,low,NO_STRONG_SIGNAL,en_AU_Agriculture_1592662:turn:34,1.0,1.0.0,conversation_risk_v1,heuristic_proxy,False,faster-whisper/small,cardiffnlp/twitter-roberta-base-sentiment-latest
en_AU_Agriculture_1592662,35,agent,channel1,20,189.76,195.36,Regional Investment Corporation offers low interest loans specifically for farm infrastructure,neutral,0.7233,False,False,False,False,False,5.6,0.062026,0.57428,-24.149,0.174941,1782.46,186.626,65.588,1.964,medium,medium,low,False,False,False,False,False,neutral,medium,0,no strong signal,low,NO_STRONG_SIGNAL,en_AU_Agriculture_1592662:turn:35,1.0,1.0.0,conversation_risk_v1,heuristic_proxy,False,faster-whisper/small,cardiffnlp/twitter-roberta-base-sentiment-latest
en_AU_Agriculture_1592662,36,agent,channel1,21,195.36,200.72,improvements. They're running at about 3.5% interest at the moment. So definitely below,neutral,0.7126,False,False,False,False,False,5.36,0.080256,0.740509,-21.91,0.141192,1569.669,186.732,70.542,2.425,high,medium,low,False,False,False,False,False,neutral,medium,0,no strong signal,low,NO_STRONG_SIGNAL,en_AU_Agriculture_1592662:turn:36,1.0,1.0.0,conversation_risk_v1,heuristic_proxy,False,faster-whisper/small,cardiffnlp/twitter-roberta-base-sentiment-latest
en_AU_Agriculture_1592662,37,agent,channel1,22,200.72,206.64,those commercial rates. And you can borrow up to 2 million terms up to 10 years.,neutral,0.8386,False,False,False,False,False,5.92,0.075675,0.649475,-22.421,0.14932,1639.861,168.416,73.887,2.703,high,medium,low,False,False,False,False,False,neutral,medium,0,no strong signal,low,NO_STRONG_SIGNAL,en_AU_Agriculture_1592662:turn:37,1.0,1.0.0,conversation_risk_v1,heuristic_proxy,False,faster-whisper/small,cardiffnlp/twitter-roberta-base-sentiment-latest
en_AU_Agriculture_1592662,38,customer,channel2,16,206.32,212.28,Right okay so potentially I could get the subsidy to cover half and,neutral,0.4985,False,False,False,False,False,5.96,0.073813,0.558105,-22.637,0.148129,1814.735,222.453,86.94,2.181,high,medium,high,False,False,False,False,False,neutral,high,15,high customer vocal intensity,low,CUST_HIGH_VOCAL_INTENSITY,en_AU_Agriculture_1592662:turn:38,1.0,1.0.0,conversation_risk_v1,heuristic_proxy,False,faster-whisper/small,cardiffnlp/twitter-roberta-base-sentiment-latest
en_AU_Agriculture_1592662,39,agent,channel1,23,206.88,224.48,"Exactly right. So a lot of farmers are doing exactly that. The loan application is separate,",neutral,0.758,False,False,False,False,False,17.6,0.064794,1.0,-23.769,0.055325,1022.172,280.432,129.544,0.909,medium,low,high,False,False,False,False,False,neutral,medium,0,no strong signal,low,NO_STRONG_SIGNAL,en_AU_Agriculture_1592662:turn:39,1.0,1.0.0,conversation_risk_v1,heuristic_proxy,False,faster-whisper/small,cardiffnlp/twitter-roberta-base-sentiment-latest
en_AU_Agriculture_1592662,40,customer,channel2,17,212.28,217.96,then finance the rest through the regional investment corporation you mentioned.,neutral,0.8925,False,False,False,False,False,5.68,0.039884,0.308136,-27.984,0.130363,1570.626,201.425,71.187,1.937,low,medium,medium,False,False,False,False,False,neutral,low,0,no strong signal,low,NO_STRONG_SIGNAL,en_AU_Agriculture_1592662:turn:40,1.0,1.0.0,conversation_risk_v1,heuristic_proxy,False,faster-whisper/small,cardiffnlp/twitter-roberta-base-sentiment-latest
en_AU_Agriculture_1592662,41,agent,channel1,24,224.48,230.0,but I can give you their contact details before we finish up and they're really easy to deal with.,positive,0.8653,False,False,False,False,False,5.52,0.061949,0.6008,-24.159,0.129143,1437.111,172.401,68.272,3.442,medium,high,low,False,False,False,False,False,positive,medium,0,no strong signal,low,NO_STRONG_SIGNAL,en_AU_Agriculture_1592662:turn:41,1.0,1.0.0,conversation_risk_v1,heuristic_proxy,False,faster-whisper/small,cardiffnlp/twitter-roberta-base-sentiment-latest
en_AU_Agriculture_1592662,42,customer,channel2,18,230.36,235.48,"Oh beauty, okay so what's the deadline for all this? Like I don't want to miss out.",positive,0.4891,False,False,False,False,False,5.12,0.066474,0.656555,-23.547,0.129276,1688.873,219.285,85.92,3.32,medium,high,high,False,False,False,False,False,positive,high,15,high customer vocal intensity,low,CUST_HIGH_VOCAL_INTENSITY,en_AU_Agriculture_1592662:turn:42,1.0,1.0.0,conversation_risk_v1,heuristic_proxy,False,faster-whisper/small,cardiffnlp/twitter-roberta-base-sentiment-latest
en_AU_Agriculture_1592662,43,agent,channel1,25,236.96,243.6,"Of course. So the current round closes on March 31st, 2026. However, I'd be recommending getting in",neutral,0.598,False,False,False,False,False,6.64,0.0988,0.999969,-20.105,0.177401,1942.183,184.46,80.023,2.56,high,medium,low,False,False,False,False,False,neutral,medium,0,no strong signal,low,NO_STRONG_SIGNAL,en_AU_Agriculture_1592662:turn:43,1.0,1.0.0,conversation_risk_v1,heuristic_proxy,False,faster-whisper/small,cardiffnlp/twitter-roberta-base-sentiment-latest
en_AU_Agriculture_1592662,44,customer,channel2,19,242.68,261.16,"Wow, okay. So what was that date you just mentioned?",positive,0.6769,False,False,False,False,False,18.48,0.039034,0.519501,-28.171,0.07256,1960.954,272.537,137.084,0.541,low,low,high,False,False,False,False,False,positive,medium,5,medium customer vocal intensity,low,CUST_MEDIUM_VOCAL_INTENSITY,en_AU_Agriculture_1592662:turn:44,1.0,1.0.0,conversation_risk_v1,heuristic_proxy,False,faster-whisper/small,cardiffnlp/twitter-roberta-base-sentiment-latest
en_AU_Agriculture_1592662,45,agent,channel1,26,243.6,248.48,"your application well before then because these grants are allocated on a first come, first serve",neutral,0.8084,False,False,False,False,False,4.88,0.065625,0.60199,-23.659,0.146765,1445.247,162.277,66.375,3.279,medium,high,low,False,False,False,False,False,neutral,medium,0,no strong signal,low,NO_STRONG_SIGNAL,en_AU_Agriculture_1592662:turn:45,1.0,1.0.0,conversation_risk_v1,heuristic_proxy,False,faster-whisper/small,cardiffnlp/twitter-roberta-base-sentiment-latest
en_AU_Agriculture_1592662,46,agent,channel1,27,248.48,254.32,"basis. And there's been a huge uptake as you can imagine. Once the funding pool is exhausted,",neutral,0.4983,False,False,False,False,False,5.84,0.079009,0.979279,-22.047,0.176555,1847.865,177.711,74.006,2.911,high,high,low,False,False,False,False,False,neutral,high,0,no strong signal,low,NO_STRONG_SIGNAL,en_AU_Agriculture_1592662:turn:46,1.0,1.0.0,conversation_risk_v1,heuristic_proxy,False,faster-whisper/small,cardiffnlp/twitter-roberta-base-sentiment-latest
en_AU_Agriculture_1592662,47,agent,channel1,28,254.32,256.24,that's it until the next round.,neutral,0.8155,False,False,False,False,False,1.92,0.077519,0.809784,-22.212,0.134277,1533.502,150.373,72.345,3.125,high,high,low,False,False,False,False,False,neutral,high,0,no strong signal,low,NO_STRONG_SIGNAL,en_AU_Agriculture_1592662:turn:47,1.0,1.0.0,conversation_risk_v1,heuristic_proxy,False,faster-whisper/small,cardiffnlp/twitter-roberta-base-sentiment-latest
en_AU_Agriculture_1592662,48,customer,channel2,20,261.16,270.6,Okay.,neutral,0.5693,False,False,False,False,False,9.44,0.005622,0.11908,-45.001,0.0731,2022.024,271.077,149.255,0.106,low,low,high,False,False,False,False,False,neutral,medium,5,medium customer vocal intensity,low,CUST_MEDIUM_VOCAL_INTENSITY,en_AU_Agriculture_1592662:turn:48,1.0,1.0.0,conversation_risk_v1,heuristic_proxy,False,faster-whisper/small,cardiffnlp/twitter-roberta-base-sentiment-latest
en_AU_Agriculture_1592662,49,agent,channel1,29,262.8,269.6,"Yeah, of course. So March 31st, 2026. So we're currently in December. You've got just under",neutral,0.6952,False,False,False,False,False,6.8,0.111537,0.997772,-19.052,0.173143,1810.153,188.186,57.857,2.353,high,medium,medium,False,False,False,False,False,neutral,medium,0,no strong signal,low,NO_STRONG_SIGNAL,en_AU_Agriculture_1592662:turn:49,1.0,1.0.0,conversation_risk_v1,heuristic_proxy,False,faster-whisper/small,cardiffnlp/twitter-roberta-base-sentiment-latest
en_AU_Agriculture_1592662,50,agent,channel1,30,269.6,274.32,"four months there. But as I said, I would certainly recommend particularly the Christmas",positive,0.9261,False,False,False,False,False,4.72,0.081317,0.835938,-21.796,0.153086,1636.359,174.254,61.401,2.966,high,high,low,False,False,False,False,False,positive,high,0,no strong signal,low,NO_STRONG_SIGNAL,en_AU_Agriculture_1592662:turn:50,1.0,1.0.0,conversation_risk_v1,heuristic_proxy,False,faster-whisper/small,cardiffnlp/twitter-roberta-base-sentiment-latest
