call_id,turn_id,speaker,channel,segment_id,start_time,end_time,text
en_AU_Aviation_1592663,1,agent,channel1,1,0.0,19.0,Good afternoon. Thank you for calling Qantas OAs. My name is Danielle. How can I help you
en_AU_Aviation_1592663,2,customer,channel2,1,0.0,25.12,"Oh, hi Danielle. My name is Maria. I need to change my return flight from Melbourne back"
en_AU_Aviation_1592663,3,agent,channel1,2,19.0,36.84,"today? Oh gosh, okay. No worries at all, Maria. I'll be happy to help you with that. I just"
en_AU_Aviation_1592663,4,customer,channel2,2,25.12,30.88,to Sydney. And I've got a bit of a situation going on with work. So it's kind of urgent.
en_AU_Aviation_1592663,5,agent,channel1,3,36.84,41.72,need some more details from you. Can I please grab to start off with your booking reference
en_AU_Aviation_1592663,6,agent,channel1,4,41.72,65.08,"number or frequent fly-at number to pull up your reservation? Okay, perfect. Thanks, Maria."
en_AU_Aviation_1592663,7,customer,channel2,3,45.44,48.56,"Okay, let me just look that up on my phone. Hang on one sec."
en_AU_Aviation_1592663,8,customer,channel2,4,48.56,61.68,"Okay, yeah, my booking reference number is QF, sorry, Q7F2M9."
en_AU_Aviation_1592663,9,agent,channel1,5,65.08,73.0,"Just give me one moment while I bring that up, please. Okay, right. I can see your booking"
en_AU_Aviation_1592663,10,agent,channel1,6,73.0,77.56,here. Thank you for waiting. You're currently scheduled to fly from Melbourne to Sydney
en_AU_Aviation_1592663,11,agent,channel1,7,77.56,85.64,"on Friday the 13th of December, departing at 6.45pm on QF 430. Is that the flight you're looking to"
en_AU_Aviation_1592663,12,customer,channel2,5,78.72,91.92,"Oh, yeah, that's the one. Look, I'm actually in Melbourne for a conference and my boss"
en_AU_Aviation_1592663,13,agent,channel1,8,85.64,110.92,"change? Yeah, look, I completely understand. These things happen, especially with conferences,"
en_AU_Aviation_1592663,14,customer,channel2,6,91.92,97.6,has just actually called me this morning and he just said that we need to stay a few extra days.
en_AU_Aviation_1592663,15,customer,channel2,7,97.6,102.4,So there's been a last minute change to the program and it turns out that I have to do some
en_AU_Aviation_1592663,16,customer,channel2,8,102.4,120.88,"presenting on Monday. Typical, right? Well, ideally I'd like to fly back on Monday,"
en_AU_Aviation_1592663,17,agent,channel1,9,110.92,116.28,but really frustrating that you weren't given the heads up on presenting. So what date are you
en_AU_Aviation_1592663,18,agent,channel1,10,116.28,132.2,"actually looking to fly back? Yeah, look, no problem. Let me have a look at what we've"
en_AU_Aviation_1592663,19,customer,channel2,9,120.88,126.24,"the 16th of December, maybe in the evening after my presentation. That way I can get"
en_AU_Aviation_1592663,20,customer,channel2,10,126.24,137.68,back to Sydney and not miss too much of the week. Okay.
en_AU_Aviation_1592663,21,agent,channel1,11,132.28,140.2,"got available on Monday the 16th. Okay, Maria. So I've looked up what we've got,"
en_AU_Aviation_1592663,22,agent,channel1,12,140.2,149.72,"and we've actually got a few options for you. So we've got QF 432 departing at 7.15pm, arriving"
en_AU_Aviation_1592663,23,agent,channel1,13,149.72,158.2,"into Sydney at 8.30pm. We've also got a later option, that's QF 438 leaving at 9pm,"
en_AU_Aviation_1592663,24,customer,channel2,11,156.88,168.48,"Okay, yeah, that's great. I was actually going to ask, I'm currently in economy and I'd like to"
en_AU_Aviation_1592663,25,agent,channel1,14,158.2,162.76,"getting in at 10.15pm, and both have availability in economy class."
en_AU_Aviation_1592663,26,customer,channel2,12,168.48,174.88,"stay in economy when I re-book. I don't need anything fancy, you know, just to get home"
en_AU_Aviation_1592663,27,customer,channel2,13,174.88,179.52,really. That's it.
en_AU_Aviation_1592663,28,agent,channel1,15,176.92,179.64,"Yeah, look, it is only an hour flight, I fully understand. So,"
en_AU_Aviation_1592663,29,agent,channel1,16,180.6,183.32,"look, you remain in economy class for the new booking."
