call_id,turn_id,speaker,channel,segment_id,start_time,end_time,text,sentiment_label,sentiment_score,frustration_flag,empathy_flag,probing_flag,ownership_flag,next_steps_flag,segment_duration_sec,rms_energy,peak_amplitude,rms_db,zero_crossing_rate,spectral_centroid,pitch_mean_hz,pitch_std_hz,speaking_rate_wps,volume_level,speaking_rate_level,pitch_level
en_AU_DeliveryService_1585416,1,agent,channel1,1,0.0,17.56,"Hey there, this is Jim from ATP Delivery Services.",neutral,0.7755,False,False,False,False,False,17.56,0.044825,0.708557,-26.97,0.061404,1439.679,283.473,142.91,0.513,low,low,high
en_AU_DeliveryService_1585416,2,customer,channel2,1,0.0,27.56,"Hi there, Jim. I've been calling around and I've got a really, very sensitive and fragile",neutral,0.452,False,False,False,False,False,27.56,0.03725,0.821808,-28.578,0.048354,1120.907,277.33,139.654,0.581,low,low,high
en_AU_DeliveryService_1585416,3,customer,channel2,2,27.56,34.0,package that I need to get across Australia. You're not the first that I've called because,neutral,0.6819,False,False,False,False,False,6.44,0.032611,0.200928,-29.733,0.136586,1588.374,142.261,72.305,2.484,low,high,medium
en_AU_DeliveryService_1585416,4,customer,channel2,3,34.0,41.96,"I've had parts of it, instances where my packages haven't got through it, and I've had dramas",negative,0.7473,False,False,False,False,False,7.96,0.045674,0.394226,-26.807,0.140005,1676.003,162.173,99.259,2.136,low,medium,medium
en_AU_DeliveryService_1585416,5,customer,channel2,4,41.96,47.36,about insurance coverage and sometimes they've been very sensitive to family alarms and that,neutral,0.7826,False,False,False,False,False,5.4,0.047251,0.315125,-26.512,0.187309,2096.069,122.457,39.673,2.593,low,high,low
en_AU_DeliveryService_1585416,6,customer,channel2,5,47.36,55.36,"and you can't replace them. So I'm really, really want to know just how protective",neutral,0.5479,False,False,False,False,False,8.0,0.099052,1.0,-20.083,0.118185,1568.441,164.399,95.081,1.875,high,medium,medium
en_AU_DeliveryService_1585416,7,customer,channel2,6,55.36,62.36,"you, your company, the ATPers on fragile packages.",negative,0.8322,False,False,False,False,False,7.0,0.04642,0.419647,-26.666,0.140583,1711.135,182.449,116.698,1.143,low,medium,high
en_AU_DeliveryService_1585416,8,agent,channel1,2,60.0,76.0,"Absolutely, I can understand your apprehension there, John, and I can know that some other companies don't take their shipping as seriously, not to throw dirt on the competition.",negative,0.5702,False,False,False,False,False,16.0,0.062181,0.908295,-24.127,0.138042,1744.37,149.864,93.841,1.812,medium,medium,medium
en_AU_DeliveryService_1585416,9,agent,channel1,3,76.0,88.0,"In terms of our services for fragile packages, we really want to go above and beyond just for circumstances like yourself, where the items, if they were damaged, are irreplaceable.",negative,0.4823,False,False,False,False,False,12.0,0.078862,0.785431,-22.063,0.179811,1954.851,125.869,51.384,2.5,high,high,low
en_AU_DeliveryService_1585416,10,customer,channel2,7,85.36,92.36,Thank you.,positive,0.8345,False,False,False,False,False,7.0,0.000102,0.002533,-79.855,0.018133,971.284,324.447,129.293,0.286,low,low,high
en_AU_DeliveryService_1585416,11,agent,channel1,4,88.0,105.0,"So it does depend on the size of the package naturally, but all of our packaging is triple insulated against both temperature, moisture, and sort of what's it called, force as well.",neutral,0.8619,False,False,False,False,False,17.0,0.064436,0.789001,-23.817,0.157904,1848.09,146.562,75.721,1.882,medium,medium,medium
en_AU_DeliveryService_1585416,12,agent,channel1,5,105.0,120.0,"So we have a specially designed corrugated cardboard, which compresses in a way to mitigate force and to be airtight, watertight, and heat resistant, once fully sealed.",positive,0.5104,False,False,False,False,False,15.0,0.058859,0.759644,-24.604,0.183244,2038.437,136.745,74.697,1.8,medium,medium,low
en_AU_DeliveryService_1585416,13,customer,channel2,8,115.36,140.36,Thank you.,positive,0.8345,False,False,False,False,False,25.0,0.000149,0.003845,-76.513,0.023949,995.995,320.56,132.055,0.08,low,low,high
en_AU_DeliveryService_1585416,14,agent,channel1,6,120.0,128.0,We will also wrap your package in multiple layers of our specially patented bubble wrap.,positive,0.5788,False,False,False,False,False,8.0,0.063906,0.594513,-23.889,0.13938,1607.05,138.876,69.174,1.875,medium,medium,medium
en_AU_DeliveryService_1585416,15,agent,channel1,7,128.0,147.0,"And the way our bubble wrap is different is we have much smaller bubbles in the actual wrap itself, and that allows the force to be absorbed over a larger surface area, but broken into smaller pieces, which means that the force is absorbed more efficiently.",neutral,0.6336,False,False,False,False,False,19.0,0.071294,0.999969,-22.939,0.153173,1790.214,135.707,73.473,2.421,medium,high,low
en_AU_DeliveryService_1585416,16,customer,channel2,9,140.36,169.36,"Well, do your fragile packages go separately to the other ones or they're all packed altogether?",neutral,0.873,False,False,False,False,False,29.0,0.055583,0.96048,-25.101,0.060634,1242.211,264.804,141.841,0.552,medium,low,high
en_AU_DeliveryService_1585416,17,agent,channel1,8,148.0,163.0,Is there any other sort of queries you have at the moment?,neutral,0.9498,False,False,True,False,False,15.0,0.040474,0.509125,-27.856,0.061402,1468.403,261.398,141.647,0.8,low,low,high
