call_id,turn_id,speaker,channel,segment_id,start_time,end_time,text,sentiment_label,sentiment_score,frustration_flag,empathy_flag,probing_flag,ownership_flag,next_steps_flag,segment_duration_sec,rms_energy,peak_amplitude,rms_db,zero_crossing_rate,spectral_centroid,pitch_mean_hz,pitch_std_hz,speaking_rate_wps,volume_level,speaking_rate_level,pitch_level
en_AU_Insurance_1591544,1,agent,channel1,1,0.0,17.56,Very good morning to you. Thanks for calling Allianz. You're speaking with Tom and I'm,positive,0.9798,False,False,False,False,False,17.56,0.087647,1.0,-21.145,0.090135,1474.609,287.779,132.722,0.854,high,low,high
en_AU_Insurance_1591544,2,customer,channel2,1,0.0,27.76,"Hey, Tom. Well, believe it or not, I need some travel insurance. So, yeah, that's why",neutral,0.6131,False,False,False,False,False,27.76,0.037677,0.743256,-28.478,0.077141,1815.548,251.704,145.082,0.576,low,low,high
en_AU_Insurance_1591544,3,agent,channel1,2,17.56,23.84,from the travel insurance customer expert team. How can I help you this morning?,neutral,0.8125,False,False,True,False,False,6.28,0.041863,0.496216,-27.563,0.141252,1829.233,231.906,123.3,2.229,low,medium,high
en_AU_Insurance_1591544,4,agent,channel1,3,24.84,32.32,"Oh, well, you've come to the right place. Can I just start by getting your name? Thanks.",positive,0.6499,False,False,True,False,False,7.48,0.051661,0.664886,-25.737,0.078263,1542.139,271.213,125.584,2.273,medium,medium,high
en_AU_Insurance_1591544,5,customer,channel2,2,27.76,44.36,"I'm calling. Yeah, it's Laura. So, I had this trip booked quite a while ago with my",neutral,0.8476,False,False,False,False,False,16.6,0.049434,0.999969,-26.12,0.082522,1756.034,254.964,134.887,1.024,low,low,high
en_AU_Insurance_1591544,6,agent,channel1,4,32.32,37.56,"Very exciting times for you, Laura. I'll wear you off too.",positive,0.989,False,False,False,False,False,5.24,0.090589,0.646637,-20.858,0.133813,1801.215,227.746,130.552,2.099,high,medium,high
en_AU_Insurance_1591544,7,customer,channel2,3,44.36,49.44,"fiance and we're not together anymore. So, it's a bit of a crazy story, but I'm",negative,0.5511,False,False,False,False,False,5.08,0.079395,0.587799,-22.004,0.103414,1327.619,200.212,77.134,3.15,high,high,medium
en_AU_Insurance_1591544,8,customer,channel2,4,49.44,55.54,actually taking one of my friends now on this trip and we're going to the,neutral,0.834,False,False,False,False,False,6.1,0.080957,0.852356,-21.835,0.132212,1555.328,197.117,74.033,2.459,high,medium,medium
en_AU_Insurance_1591544,9,agent,channel1,5,54.84,63.92,"Oh, yes, girls trip. That's a lucky friend. I'm sorry to hear about your fiance, but I mean,",positive,0.893,False,False,False,False,False,9.08,0.074584,0.813995,-22.547,0.11954,1558.108,243.829,133.647,1.982,high,low,high
en_AU_Insurance_1591544,10,customer,channel2,5,55.54,71.92,"Maldives, which should be pretty exciting. Yeah, definitely. Much better option, much",positive,0.979,False,False,False,False,False,16.38,0.04592,0.755524,-26.76,0.082291,1903.71,239.503,136.505,0.733,low,low,high
en_AU_Insurance_1591544,11,agent,channel1,6,63.92,67.2,that's a very good second option if you are going to take a good friend of yours.,positive,0.9254,False,False,False,False,False,3.28,0.048315,0.494385,-26.318,0.134567,1333.979,201.493,125.686,5.183,low,high,medium
en_AU_Insurance_1591544,12,agent,channel1,7,67.2,78.68,"Well, lucky it happened now and not in the beautiful Maldives.",negative,0.4781,False,False,False,False,False,11.48,0.039858,0.613617,-27.99,0.052166,1499.903,292.365,129.464,0.958,low,low,high
