call_id,turn_id,speaker,channel,segment_id,start_time,end_time,text
en_AU_Food_1592674,1,agent,channel1,1,0.0,16.48,"Good afternoon, thanks for calling Tucker's Catering Melbourne."
en_AU_Food_1592674,2,customer,channel2,1,0.0,25.48,"Hi Danielle, my name is Maria and I'm calling about your catering services."
en_AU_Food_1592674,3,agent,channel1,2,16.48,17.76,This is Danielle speaking.
en_AU_Food_1592674,4,agent,channel1,3,17.76,29.76,How can I help you today?
en_AU_Food_1592674,5,customer,channel2,2,25.52,28.64,I'm organising a birthday party and I'm hoping you can help.
en_AU_Food_1592674,6,agent,channel1,4,29.76,32.76,"Yes, so I'd love to be able to help you with that."
en_AU_Food_1592674,7,agent,channel1,5,32.76,34.76,Birthday parties are always fun to cater for.
en_AU_Food_1592674,8,agent,channel1,6,34.76,44.76,Can you tell me a little bit more about what you're planning right now?
en_AU_Food_1592674,9,customer,channel2,3,38.0,40.6,"Yeah, so it's actually my mum's 60th."
en_AU_Food_1592674,10,customer,channel2,4,40.6,43.24,We're having it at our place in Bronzewick.
en_AU_Food_1592674,11,customer,channel2,5,44.32,50.2,"I'm expecting about, say, 30, maybe 30 guests, give or take a few."
en_AU_Food_1592674,12,agent,channel1,7,44.76,64.76,"Yeah, I can completely understand what a lovely milestone to be celebrating to."
en_AU_Food_1592674,13,customer,channel2,6,51.32,54.68,I've been running around like a headless truck trying to organise everything.
en_AU_Food_1592674,14,customer,channel2,7,54.68,58.68,"And I thought, you know what, I'm not cooking for 30 people."
en_AU_Food_1592674,15,agent,channel1,8,64.76,82.76,30 gusts is a great size for a party. Have you got a date locked in yet at all?
en_AU_Food_1592674,16,customer,channel2,8,70.64,75.64,"Yeah, it's the 14th of March, which is a Saturday."
en_AU_Food_1592674,17,customer,channel2,9,77.04,79.96,"Just hoping the weather holds up, you know what I mean?"
en_AU_Food_1592674,18,customer,channel2,10,79.96,82.32,So we can use the backyard if possible.
en_AU_Food_1592674,19,agent,channel1,9,82.76,85.76,"Yeah, look absolutely much is one of those hit or miss months, isn't it?"
en_AU_Food_1592674,20,customer,channel2,11,84.68,112.64,"I'm kind of thinking or I'm leaning to kind of more casual, I think that would work better."
en_AU_Food_1592674,21,agent,channel1,10,85.76,87.76,Particularly in Melbourne.
en_AU_Food_1592674,22,agent,channel1,11,87.76,91.76,Fingers crossed you can get one of those lovely late summer days.
en_AU_Food_1592674,23,agent,channel1,12,91.76,95.76,Now let me tell you about our catering packages.
en_AU_Food_1592674,24,agent,channel1,13,95.76,99.76,We've got a few different options depending on the vibe you are going for.
en_AU_Food_1592674,25,agent,channel1,14,99.76,106.76,So are you thinking more of a sit down lunch situation or something a bit more casual like finger food and grazing?
en_AU_Food_1592674,26,customer,channel2,12,113.36,116.68,"You know, people can mingle, help themselves, that kind of thing."
en_AU_Food_1592674,27,customer,channel2,13,116.68,117.96,That's what I had in mind.
en_AU_Food_1592674,28,customer,channel2,14,118.64,123.64,"What kind of, what do you, what sort of things do you have for that kind of thing?"
en_AU_Food_1592674,29,agent,channel1,15,122.76,127.76,"Yeah, perfect. So look for that style, we've got three main packages."
en_AU_Food_1592674,30,agent,channel1,16,127.76,132.76,"We have our Aussie Arvo package, which is really popular for backyard parties."
en_AU_Food_1592674,31,agent,channel1,17,132.76,140.76,"It includes things like gourmet sausage rolls, mini meat pies, sliders with Aussie beef patties, chicken skewers with saute sauce."
en_AU_Food_1592674,32,agent,channel1,18,140.76,144.76,We've got spring rolls on the menu and a selection of salads.
en_AU_Food_1592674,33,customer,channel2,15,142.64,168.64,"Oh, you know what, the problem is they all sound so good."
en_AU_Food_1592674,34,agent,channel1,19,144.76,147.76,Then we've got our Mediterranean Mese package.
en_AU_Food_1592674,35,agent,channel1,20,147.76,155.76,"That's got dips, pita breads, falafel, tomades, anti-pasta platters, that kind of thing."
en_AU_Food_1592674,36,agent,channel1,21,155.76,158.76,"And our third option, which is the fusion feast."
en_AU_Food_1592674,37,agent,channel1,22,158.76,163.76,So that's a mix of Asian inspired dishes with modern Australian flavours.
en_AU_Food_1592674,38,customer,channel2,16,168.64,172.56,"The Aussie Arvo one sounds like it'd go down well with the older crowd,"
en_AU_Food_1592674,39,customer,channel2,17,172.56,175.28,but I'm also loving the sound of that Mediterranean one.
