call_id,turn_id,speaker,channel,segment_id,start_time,end_time,text,sentiment_label,sentiment_score,frustration_flag,empathy_flag,probing_flag,ownership_flag,next_steps_flag
en_CA_Entertainment_1587197,1,agent,channel1,1,0.0,18.68,Oh good afternoon. Thank you for calling Starlight Events customer support. This is Mary speaking.,positive,0.8729,False,False,False,False,False
en_CA_Entertainment_1587197,2,customer,channel2,1,0.0,23.68,"Hi Mary, this is Tom.",neutral,0.7923,False,False,False,False,False
en_CA_Entertainment_1587197,3,agent,channel1,2,18.68,33.68,How can I help you today?,neutral,0.7191,False,False,True,False,False
en_CA_Entertainment_1587197,4,customer,channel2,2,23.68,27.64,I'm calling about the Summer Beats Music Festival next month.,neutral,0.8376,False,False,False,False,False
en_CA_Entertainment_1587197,5,customer,channel2,3,27.64,53.4,I heard there are VIP passes available and I wanted to get some information about them.,neutral,0.8718,False,False,False,False,False
en_CA_Entertainment_1587197,6,agent,channel1,3,33.68,40.72,Absolutely Tom. I'd be happy to help you with that. The VIP passes for summer beats 2025 are,positive,0.8649,False,False,False,False,False
en_CA_Entertainment_1587197,7,agent,channel1,4,40.72,46.48,"definitely popular this year. Before we go into details, can I know which festival date",positive,0.7757,False,False,False,False,False
en_CA_Entertainment_1587197,8,agent,channel1,5,46.48,53.48,you're interested in? The festival runs from July 18th to July 20th.,neutral,0.6199,False,False,True,False,False
en_CA_Entertainment_1587197,9,customer,channel2,4,53.4,60.76,"I'm planning to go for the whole weekend, actually so July 18th to the 20th.",neutral,0.5966,False,False,False,False,False
en_CA_Entertainment_1587197,10,agent,channel1,6,53.48,68.0,Oh perfect. So the full weekend experience is a great choice. So let me explain what's,positive,0.9712,False,False,False,False,False
en_CA_Entertainment_1587197,11,agent,channel1,7,68.0,75.08,included in that package. So our VIP pass includes exclusive backstage access to meet some of the,neutral,0.6114,False,False,False,False,False
en_CA_Entertainment_1587197,12,agent,channel1,8,75.08,82.56,performing artists. French stage viewing zones for the best experience. There's access to the VIP,positive,0.8251,False,False,False,False,False
en_CA_Entertainment_1587197,13,agent,channel1,9,82.56,89.68,lounge. It has complimentary snacks and drinks. There's a limited edition merchandise pack so,positive,0.6171,False,False,False,False,False
