call_id,turn_id,speaker,channel,segment_id,start_time,end_time,text,sentiment_label,sentiment_score,frustration_flag,empathy_flag,probing_flag,ownership_flag,next_steps_flag,segment_duration_sec,rms_energy,peak_amplitude,rms_db,zero_crossing_rate,spectral_centroid,pitch_mean_hz,pitch_std_hz,speaking_rate_wps,volume_level,speaking_rate_level,pitch_level,frustration_flag_bool,empathy_flag_bool,probing_flag_bool,ownership_flag_bool,next_steps_flag_bool,normalized_sentiment,vocal_intensity_level,turn_risk_score,turn_main_signal,turn_risk_level,turn_reason_codes,evidence_id,signal_coverage_confidence,analytical_contract_version,risk_rubric_version,risk_score_type,risk_score_calibrated,asr_model_id,sentiment_model_id
en_AU_Retail2_1586372,1,agent,channel1,1,0.0,29.0,"Hi, is there anything I can help you with?",neutral,0.7081,False,False,True,True,False,29.0,0.023962,0.427307,-32.41,0.038204,1195.103,321.539,123.153,0.31,low,low,high,False,False,True,True,False,neutral,medium,0,agent probing question detected | agent ownership detected,low,AGENT_PROBING|AGENT_OWNERSHIP,en_AU_Retail2_1586372:turn:1,1.0,1.0.0,conversation_risk_v1,heuristic_proxy,False,faster-whisper/small,cardiffnlp/twitter-roberta-base-sentiment-latest
en_AU_Retail2_1586372,2,customer,channel2,1,0.0,29.88,"Hi, yes, I'm just looking for a certain pair of sneakers, um, the Reeboks.",neutral,0.7779,False,False,False,False,False,29.88,0.016765,0.309174,-35.512,0.047387,1183.85,309.354,129.513,0.469,low,low,high,False,False,False,False,False,neutral,medium,5,medium customer vocal intensity,low,CUST_MEDIUM_VOCAL_INTENSITY,en_AU_Retail2_1586372:turn:2,1.0,1.0.0,conversation_risk_v1,heuristic_proxy,False,faster-whisper/small,cardiffnlp/twitter-roberta-base-sentiment-latest
en_AU_Retail2_1586372,3,agent,channel1,2,29.0,45.0,Is there a model on there?,neutral,0.9313,False,False,True,False,False,16.0,0.041404,0.43219,-27.659,0.067013,1409.857,281.47,132.138,0.375,medium,low,high,False,False,True,False,False,neutral,medium,0,agent probing question detected,low,AGENT_PROBING,en_AU_Retail2_1586372:turn:3,1.0,1.0.0,conversation_risk_v1,heuristic_proxy,False,faster-whisper/small,cardiffnlp/twitter-roberta-base-sentiment-latest
en_AU_Retail2_1586372,4,customer,channel2,2,29.88,34.76,"And they're kind of, they're red in size seven and a half.",neutral,0.7802,False,False,False,False,False,4.88,0.046033,0.55426,-26.739,0.172666,2098.481,204.216,91.257,2.459,medium,high,low,False,False,False,False,False,neutral,medium,5,medium customer vocal intensity,low,CUST_MEDIUM_VOCAL_INTENSITY,en_AU_Retail2_1586372:turn:4,1.0,1.0.0,conversation_risk_v1,heuristic_proxy,False,faster-whisper/small,cardiffnlp/twitter-roberta-base-sentiment-latest
en_AU_Retail2_1586372,5,customer,channel2,3,34.76,37.8,I'm wondering if you had any in stock.,neutral,0.897,False,False,False,False,False,3.04,0.027048,0.253021,-31.357,0.107763,1751.04,218.562,111.13,2.632,low,high,low,False,False,False,False,False,neutral,medium,5,medium customer vocal intensity,low,CUST_MEDIUM_VOCAL_INTENSITY,en_AU_Retail2_1586372:turn:5,1.0,1.0.0,conversation_risk_v1,heuristic_proxy,False,faster-whisper/small,cardiffnlp/twitter-roberta-base-sentiment-latest
en_AU_Retail2_1586372,6,customer,channel2,4,37.8,38.8,Pardon?,neutral,0.7908,False,False,False,False,False,1.0,0.000135,0.001831,-77.386,0.016464,753.307,343.252,115.156,1.0,low,low,high,False,False,False,False,False,neutral,medium,5,medium customer vocal intensity,low,CUST_MEDIUM_VOCAL_INTENSITY,en_AU_Retail2_1586372:turn:6,1.0,1.0.0,conversation_risk_v1,heuristic_proxy,False,faster-whisper/small,cardiffnlp/twitter-roberta-base-sentiment-latest
en_AU_Retail2_1586372,7,customer,channel2,5,38.8,52.8,"No, I don't have that, sorry.",negative,0.5203,False,False,False,False,False,14.0,0.017272,0.322662,-35.253,0.0376,1209.527,289.888,138.238,0.429,low,low,high,False,False,False,False,False,negative,medium,20,negative customer sentiment | medium customer vocal intensity,low,CUST_NEGATIVE_SENTIMENT|CUST_MEDIUM_VOCAL_INTENSITY,en_AU_Retail2_1586372:turn:7,1.0,1.0.0,conversation_risk_v1,heuristic_proxy,False,faster-whisper/small,cardiffnlp/twitter-roberta-base-sentiment-latest
en_AU_Retail2_1586372,8,agent,channel1,3,45.0,50.0,Is there a model number on this?,neutral,0.95,False,False,True,False,False,5.0,0.04182,0.319916,-27.572,0.090929,1568.137,272.951,131.121,1.4,medium,medium,high,False,False,True,False,False,neutral,medium,0,agent probing question detected,low,AGENT_PROBING,en_AU_Retail2_1586372:turn:8,1.0,1.0.0,conversation_risk_v1,heuristic_proxy,False,faster-whisper/small,cardiffnlp/twitter-roberta-base-sentiment-latest
en_AU_Retail2_1586372,9,agent,channel1,4,50.0,58.0,Is it this one?,neutral,0.9079,False,False,True,False,False,8.0,0.067447,0.704865,-23.421,0.057353,999.442,235.455,110.779,0.5,medium,low,medium,False,False,True,False,False,neutral,medium,0,agent probing question detected,low,AGENT_PROBING,en_AU_Retail2_1586372:turn:9,1.0,1.0.0,conversation_risk_v1,heuristic_proxy,False,faster-whisper/small,cardiffnlp/twitter-roberta-base-sentiment-latest
en_AU_Retail2_1586372,10,customer,channel2,6,52.8,79.8,"Yeah, yes, that's one, uh, seven and a half, yeah, that's good.",positive,0.9726,False,False,False,False,False,27.0,0.010501,0.293854,-39.575,0.044954,1288.863,284.547,140.081,0.444,low,low,high,False,False,False,False,False,positive,medium,5,medium customer vocal intensity,low,CUST_MEDIUM_VOCAL_INTENSITY,en_AU_Retail2_1586372:turn:10,1.0,1.0.0,conversation_risk_v1,heuristic_proxy,False,faster-whisper/small,cardiffnlp/twitter-roberta-base-sentiment-latest
