call_id,turn_id,speaker,channel,segment_id,start_time,end_time,text
en_AU_Retail_1591546,1,customer,channel2,1,0.0,25.88,"Hi, I think I've lost a parcel or something. It was meant to be coming and I can't find"
en_AU_Retail_1591546,2,agent,channel1,1,0.0,28.48,"Good afternoon, this is Julia Post Deliveries and I'm happy to help you."
en_AU_Retail_1591546,3,customer,channel2,2,25.88,43.32,it. Like it's not at my house. I thought it was coming today. It just said that it's on
en_AU_Retail_1591546,4,agent,channel1,2,28.48,35.48,"Okay, do you know what the expected delivery date was for that one?"
en_AU_Retail_1591546,5,agent,channel1,3,35.48,57.48,"Okay, and how are you alerted that the delivery has been made?"
en_AU_Retail_1591546,6,customer,channel2,3,43.32,49.4,"its way to be delivered on the Auspost app, but then I've got home and there's nothing"
en_AU_Retail_1591546,7,customer,channel2,4,49.72,56.52,"here. And it doesn't say delivered though. It just says should be delivered today, but it's 5pm."
en_AU_Retail_1591546,8,customer,channel2,5,56.52,77.8,"Yeah, it's 4-7-8."
en_AU_Retail_1591546,9,agent,channel1,4,57.48,63.48,"Okay, well, sometimes we do use a third party delivery partner like Star Trek."
en_AU_Retail_1591546,10,agent,channel1,5,63.48,69.48,"So it may still be on its way out, particularly if it is a large or bulky item."
en_AU_Retail_1591546,11,agent,channel1,6,69.48,78.48,"Could I just start with the last three digits of your mobile number to bring up your account, please?"
en_AU_Retail_1591546,12,agent,channel1,7,78.48,83.48,"Four seven eight, perfect. And I'll just confirm your name, thank you."
en_AU_Retail_1591546,13,customer,channel2,6,82.84,83.32,Laura.
en_AU_Retail_1591546,14,agent,channel1,8,83.48,88.48,"Laura, great, thanks Laura. Just bringing up your account details here."
en_AU_Retail_1591546,15,customer,channel2,7,86.84,105.8,"Yeah, let me check."
en_AU_Retail_1591546,16,agent,channel1,9,88.48,96.48,"Great, so I do see that you have a number of parcels on the way, a couple that were due today."
en_AU_Retail_1591546,17,agent,channel1,10,96.48,107.48,Could you please confirm the last three digits of the delivery tracking code?
en_AU_Retail_1591546,18,customer,channel2,8,105.8,117.08,2-6-2.
