call_id,turn_id,speaker,channel,segment_id,start_time,end_time,text,sentiment_label,sentiment_score,frustration_flag,empathy_flag,probing_flag,ownership_flag,next_steps_flag
en_CA_Health_1590851,1,agent,channel1,1,0.0,7.0,"Center as well, center.",neutral,0.8806,False,False,False,False,False
en_CA_Health_1590851,2,customer,channel2,1,0.0,22.0,"Hi there, I'm at my scheduled assault with my doctor because I just have a lot more questions",neutral,0.693,False,False,False,False,False
en_CA_Health_1590851,3,agent,channel1,2,7.0,20.0,How may I help you?,neutral,0.7627,False,False,True,False,False
en_CA_Health_1590851,4,agent,channel1,3,20.0,47.0,"Okay, can I grab your last name and just make sure I have your profile loaded here.",neutral,0.8999,False,False,False,False,False
en_CA_Health_1590851,5,customer,channel2,2,22.0,23.0,actually.,neutral,0.7366,False,False,False,False,False
en_CA_Health_1590851,6,customer,channel2,3,23.0,28.0,"Yeah, so if I could schedule something with Dr. Banana.",neutral,0.7605,False,False,False,False,False
en_CA_Health_1590851,7,customer,channel2,4,28.0,33.0,"Sorry, I always pronounce that wrong, it's behindana.",negative,0.6601,False,False,False,False,False
en_CA_Health_1590851,8,customer,channel2,5,33.0,46.0,"First, sometime ideally within the next week, that would be great.",positive,0.9708,False,False,False,False,False
en_CA_Health_1590851,9,customer,channel2,6,46.0,53.0,"Yeah, it's Kepler, K-E-S-S-L-E-R.",neutral,0.6921,False,False,False,False,False
en_CA_Health_1590851,10,agent,channel1,4,48.0,58.0,And your date of birth.,neutral,0.8957,False,False,False,False,False
en_CA_Health_1590851,11,customer,channel2,7,53.0,64.0,"It is March 4th, 1989.",neutral,0.906,False,False,False,False,False
en_CA_Health_1590851,12,agent,channel1,5,58.0,62.0,Okay.,neutral,0.5693,False,False,False,False,False
en_CA_Health_1590851,13,agent,channel1,6,62.0,64.0,"Oh yeah, Susan got it.",neutral,0.4801,False,False,False,False,False
en_CA_Health_1590851,14,agent,channel1,7,64.0,65.0,Okay.,neutral,0.5693,False,False,False,False,False
en_CA_Health_1590851,15,customer,channel2,8,64.0,84.0,What day in what time?,neutral,0.939,False,False,False,False,False
en_CA_Health_1590851,16,agent,channel1,8,65.0,66.0,Let's see.,neutral,0.6668,False,False,False,False,False
en_CA_Health_1590851,17,agent,channel1,9,66.0,76.0,So Dr. B is does have some availability late next week.,neutral,0.8642,False,False,False,False,False
en_CA_Health_1590851,18,agent,channel1,10,76.0,91.0,But only late in the afternoon. Does that work for you?,neutral,0.9451,False,False,True,False,False
en_CA_Health_1590851,19,customer,channel2,9,84.0,88.0,I have to work around a few work meetings but I can't get out of them.,negative,0.6867,False,False,False,False,False
en_CA_Health_1590851,20,customer,channel2,10,88.0,102.0,I need to go to the doctor's office.,neutral,0.6737,False,False,False,False,False
en_CA_Health_1590851,21,agent,channel1,11,91.0,95.0,Both Thursday and Friday.,neutral,0.8772,False,False,False,False,False
en_CA_Health_1590851,22,agent,channel1,12,95.0,109.0,Dr. B has 330 and 430.,neutral,0.9087,False,False,False,False,False
en_CA_Health_1590851,23,customer,channel2,11,102.0,110.0,"Okay, well I guess 3.30 on maybe Friday?",neutral,0.921,False,False,False,False,False
en_CA_Health_1590851,24,agent,channel1,13,109.0,111.0,"Okay, sure.",neutral,0.5884,False,False,False,False,False
en_CA_Health_1590851,25,customer,channel2,12,110.0,118.0,"Okay, and then specifically I know they always want to know in advance that they have a paperwork ready",neutral,0.8126,False,False,False,False,False
en_CA_Health_1590851,26,agent,channel1,14,111.0,122.0,I'll put you in there.,neutral,0.8161,False,False,False,False,False
en_CA_Health_1590851,27,customer,channel2,13,118.0,123.0,and so I need four different refills.,neutral,0.6345,False,False,False,False,False
