call_id,turn_id,speaker,channel,segment_id,start_time,end_time,text,sentiment_label,sentiment_score,frustration_flag,empathy_flag,probing_flag,ownership_flag,next_steps_flag,segment_duration_sec,rms_energy,peak_amplitude,rms_db,zero_crossing_rate,spectral_centroid,pitch_mean_hz,pitch_std_hz,speaking_rate_wps,volume_level,speaking_rate_level,pitch_level
en_AU_Energy_1593471,1,agent,channel1,1,0.0,20.6,Good morning. Thank you for calling Stemwell Services. This is Thea speaking. How can,positive,0.7293,False,False,False,False,False,20.6,0.035553,0.504456,-28.982,0.183155,2186.614,233.156,135.726,0.68,low,low,medium
en_AU_Energy_1593471,2,customer,channel2,1,0.0,28.48,"Hi Thia, my name is Sharon. I've just moved into my new home and I was looking to set",neutral,0.7625,False,False,False,False,False,28.48,0.024515,0.782043,-32.211,0.057024,1302.541,290.236,134.734,0.667,low,low,high
en_AU_Energy_1593471,3,agent,channel1,2,20.6,37.8,"I help you today? Of course, congratulations on your new home. I'd be happy to assist you",positive,0.9794,False,False,True,False,False,17.2,0.028474,0.552399,-30.911,0.109958,1771.133,263.961,134.802,0.988,low,low,high
en_AU_Energy_1593471,4,customer,channel2,2,28.48,33.28,up heating service for the winter. Could you help me get everything set up please?,neutral,0.7116,False,False,False,False,False,4.8,0.052025,0.530182,-25.676,0.148027,1651.797,185.055,90.005,3.125,low,high,low
en_AU_Energy_1593471,5,agent,channel1,3,37.8,43.4,"with setting up your new heating services. To get started, can I have your address and",neutral,0.9246,False,False,False,False,False,5.6,0.056874,0.873993,-24.902,0.276456,2634.106,181.371,82.446,2.857,medium,medium,low
en_AU_Energy_1593471,6,agent,channel1,4,43.4,47.08,the name of the account holder? Are you a current account holder with us or would this,neutral,0.9488,False,False,True,False,False,3.68,0.067963,0.448547,-23.355,0.146674,1705.444,211.502,58.542,4.62,medium,high,medium
en_AU_Energy_1593471,7,agent,channel1,5,47.08,60.84,"be your first time using us? Absolutely. Sorry, Sharon, can I just get a last name and a phone",neutral,0.6407,False,False,True,False,False,13.76,0.054468,0.664917,-25.277,0.150028,1948.927,263.353,131.67,1.381,low,low,high
en_AU_Energy_1593471,8,customer,channel2,3,49.36,54.72,Be my first time using you and the address is 12 Smith Strait.,neutral,0.7673,False,False,False,False,False,5.36,0.055924,0.969269,-25.048,0.171948,1954.301,182.104,88.691,2.425,medium,medium,low
en_AU_Energy_1593471,9,customer,channel2,4,58.48,79.04,"Yeah, it's so Sharon and in Smith and my phone number is 040000000.",neutral,0.6879,False,False,False,False,False,20.56,0.041458,0.703094,-27.648,0.098056,1525.935,237.373,130.32,0.632,low,low,medium
en_AU_Energy_1593471,10,agent,channel1,6,60.84,68.04,number to put on file since this will be your first account with us? Yep.,neutral,0.7296,False,False,True,False,False,7.2,0.043316,0.501404,-27.267,0.181496,2162.191,227.87,122.765,2.083,low,medium,medium
en_AU_Energy_1593471,11,agent,channel1,7,80.6,87.4,"Absolutely. Sharon, so just confirming Sharon Smith and your address is 12 Smith Street.",neutral,0.6924,False,False,False,False,False,6.8,0.076126,0.955261,-22.369,0.22897,2406.7,199.119,80.44,2.059,high,medium,medium
en_AU_Energy_1593471,12,agent,channel1,8,87.96,104.2,Was that intentional or just… Lucky makes it quite easy to remember the address there.,neutral,0.7215,False,False,False,False,False,16.24,0.047735,0.795563,-26.423,0.130806,1740.212,255.203,131.765,0.924,low,low,high
en_AU_Energy_1593471,13,customer,channel2,5,89.44,96.16,"I don't need enough to know. I bought the house, saw it. I forgot I was even on the Smith Strait",neutral,0.6762,False,False,False,False,False,6.72,0.06602,0.492798,-23.607,0.13141,1606.66,247.29,110.066,3.125,medium,high,high
en_AU_Energy_1593471,14,customer,channel2,6,96.16,99.04,to be honest with you. So I just bought the house.,neutral,0.8042,False,False,False,False,False,2.88,0.027966,0.259888,-31.067,0.163724,1736.177,182.102,79.713,3.819,low,high,low
en_AU_Energy_1593471,15,customer,channel2,7,103.92,105.68,"Exactly, exactly.",neutral,0.4814,False,False,False,False,False,1.76,0.047334,0.271942,-26.497,0.151507,1585.492,227.71,86.072,1.136,low,low,medium
en_AU_Energy_1593471,16,agent,channel1,9,106.44,110.12,"Certainly. So since you're setting up services for the winter, can we schedule an",neutral,0.8711,False,False,False,False,False,3.68,0.077172,0.505585,-22.251,0.251839,2472.007,224.523,84.637,3.804,high,high,medium
en_AU_Energy_1593471,17,agent,channel1,10,110.12,118.76,"installation or service activation? Yep, certainly. Which one would you like to",neutral,0.7923,False,False,True,False,False,8.64,0.057463,0.8013,-24.812,0.191129,2104.708,209.277,99.377,1.389,medium,low,medium
en_AU_Energy_1593471,18,customer,channel2,8,115.12,115.62,Yep.,neutral,0.5717,False,False,False,False,False,0.5,0.053088,0.597076,-25.5,0.138947,1847.995,269.937,113.93,2.0,low,medium,high
en_AU_Energy_1593471,19,customer,channel2,9,118.48,137.04,"Ah, can I just get someone to come out and set it up for me?",neutral,0.8528,False,False,False,False,False,18.56,0.026867,0.622498,-31.415,0.054413,1279.198,308.129,129.896,0.808,low,low,high
en_AU_Energy_1593471,20,agent,channel1,11,118.76,126.84,proceed with so we can either do an installation or service activation? So a new installation would,neutral,0.9276,False,False,True,False,False,8.08,0.067416,0.604553,-23.425,0.194745,2130.895,190.021,86.259,2.104,medium,medium,medium
en_AU_Energy_1593471,21,agent,channel1,12,126.84,132.36,be we install a new heating system or an activation. Would just be someone coming out to set it up?,neutral,0.9326,False,False,True,False,False,5.52,0.053508,0.381836,-25.432,0.17034,1742.552,190.683,63.918,3.623,low,high,medium
en_AU_Energy_1593471,22,agent,channel1,13,132.68,145.88,"Absolutely. Yep. Okay, got it. I've got everything set up for you before we",positive,0.7609,False,False,False,False,False,13.2,0.072786,0.999969,-22.759,0.111367,1651.06,250.341,134.721,1.061,high,low,high
en_AU_Energy_1593471,23,agent,channel1,14,145.88,150.04,schedule your appointment. I'd also like to mention that we offer a range of energy,positive,0.6488,False,False,False,False,False,4.16,0.091771,0.79541,-20.746,0.18078,2090.914,178.609,71.478,3.606,high,high,low
en_AU_Energy_1593471,24,customer,channel2,10,149.36,163.04,"Yeah, that'd be great, but I just don't want to like be told that they're really good for me if",negative,0.5951,False,False,False,False,False,13.68,0.045497,0.614899,-26.84,0.063435,1308.258,295.428,121.896,1.462,low,low,high
en_AU_Energy_1593471,25,agent,channel1,15,150.04,154.84,saving plans to help you save on heating costs during the winter months. Would you be,neutral,0.7948,False,False,False,False,False,4.8,0.078486,0.92868,-22.104,0.207154,2164.683,198.833,72.562,3.333,high,high,medium
en_AU_Energy_1593471,26,agent,channel1,16,154.84,157.88,interested in learning more about the options that our company provides?,neutral,0.5664,False,False,True,False,False,3.04,0.101605,0.890717,-19.862,0.152273,1634.292,201.53,83.099,3.618,high,high,medium
en_AU_Energy_1593471,27,customer,channel2,11,163.04,169.04,"they're not very good for me, you know. So do you reckon you can tell me the truth?",negative,0.8739,False,False,False,False,False,6.0,0.033663,0.420227,-29.457,0.09588,1320.887,236.533,131.413,3.0,low,medium,medium
en_AU_Energy_1593471,28,agent,channel1,17,163.24,173.72,Absolutely. So I'll talk you through the design options that we offer. So we have a fixed rate,neutral,0.6719,False,False,False,False,False,10.48,0.081206,0.942993,-21.808,0.139087,1687.826,255.639,117.525,1.718,high,low,high
en_AU_Energy_1593471,29,agent,channel1,18,173.72,178.92,"plan. With this plan, your heating costs are locked in at a fixed rate for the entire winter.",neutral,0.8465,False,False,False,False,False,5.2,0.054743,0.498444,-25.234,0.229729,2373.315,178.549,78.667,3.462,low,high,low
en_AU_Energy_1593471,30,agent,channel1,19,178.92,183.72,"This way, you don't have to worry about price fluctuations due to market changes.",neutral,0.7088,False,False,False,False,False,4.8,0.056966,0.473694,-24.888,0.205324,2154.22,193.559,83.814,2.917,medium,medium,medium
en_AU_Energy_1593471,31,agent,channel1,20,183.72,189.24,It's a great option if you prefer predictable costs. Another option that we have is payers.,positive,0.8965,False,False,False,False,False,5.52,0.064926,0.747742,-23.752,0.239978,2423.808,192.057,93.732,2.899,medium,medium,medium
en_AU_Energy_1593471,32,agent,channel1,21,189.24,194.12,"You go this plan allows you to pay more for your fuel as you use it. It's more flexible,",positive,0.5644,False,False,False,False,False,4.88,0.059211,0.498657,-24.552,0.207708,2231.248,195.653,79.583,3.893,medium,high,medium
en_AU_Energy_1593471,33,agent,channel1,22,194.12,199.08,but the price can fluctuate based on market conditions. This is good if you're looking for,positive,0.7197,False,False,False,False,False,4.96,0.065222,0.643066,-23.712,0.209523,2113.447,170.901,76.127,3.226,medium,high,low
en_AU_Energy_1593471,34,agent,channel1,23,199.08,204.04,more flexibility and don't mind some variation in your costs. So this one's a bit more if you're,neutral,0.5638,False,False,False,False,False,4.96,0.076117,0.679138,-22.37,0.185018,2031.866,180.283,73.944,3.629,high,high,low
en_AU_Energy_1593471,35,agent,channel1,24,204.04,211.16,not at home a lot and you only use your heating periodically rather than all the time.,neutral,0.7844,False,False,False,False,False,7.12,0.074238,0.623138,-22.587,0.155933,1812.801,196.121,90.151,2.388,high,medium,medium
en_AU_Energy_1593471,36,customer,channel2,12,208.48,238.16,"Yeah, I'm based on previous like, like, um, data, um, do which",neutral,0.8741,False,False,False,False,False,29.68,0.039394,0.650055,-28.091,0.058211,1170.875,298.456,132.125,0.404,low,low,high
en_AU_Energy_1593471,37,agent,channel1,25,211.16,216.2,Another option that we offer is the energy efficiency program. We also offer an energy,neutral,0.5769,False,False,False,False,False,5.04,0.092656,0.974792,-20.662,0.168061,1975.178,198.692,85.851,2.976,high,medium,medium
en_AU_Energy_1593471,38,agent,channel1,26,216.2,222.2,saving device and services such as installation checks or system maintenance to your home for more,neutral,0.7465,False,False,False,False,False,6.0,0.057251,0.541382,-24.844,0.292395,2780.401,181.999,82.09,2.667,medium,medium,low
en_AU_Energy_1593471,39,agent,channel1,27,222.84,232.12,energy saving efficiency and reduced heating cost. Would any of these three options sound good for you?,neutral,0.5822,False,False,True,False,False,9.28,0.070394,0.839478,-23.049,0.173318,2011.905,241.353,116.066,1.832,medium,medium,high
en_AU_Energy_1593471,40,agent,channel1,28,232.28,250.76,"We do have data, but it comes down to personal use. Do you use the heating a lot? Would you say",neutral,0.9323,False,False,True,False,False,18.48,0.047452,0.82901,-26.475,0.080106,1537.52,285.068,128.618,1.136,low,low,high
en_AU_Energy_1593471,41,customer,channel2,13,238.4,251.84,"plan gives the most savings, like based on data collection that I know you'll have.",neutral,0.4959,False,False,False,False,False,13.44,0.037358,0.615021,-28.552,0.097678,1439.617,259.663,136.472,1.116,low,low,high
en_AU_Energy_1593471,42,agent,channel1,29,250.76,255.8,you use the heating for multiple hours a day or would you only just pop it on for maybe an hour,neutral,0.9323,False,False,False,False,False,5.04,0.082258,0.777802,-21.696,0.145993,1749.12,208.352,87.179,4.167,high,high,medium
