call_id,turn_id,speaker,channel,segment_id,start_time,end_time,text,sentiment_label,sentiment_score,frustration_flag,empathy_flag,probing_flag,ownership_flag,next_steps_flag,segment_duration_sec,rms_energy,peak_amplitude,rms_db,zero_crossing_rate,spectral_centroid,pitch_mean_hz,pitch_std_hz,speaking_rate_wps,volume_level,speaking_rate_level,pitch_level
en_AU_Telecom_1586372,1,agent,channel1,1,0.0,22.0,"Hi ABC Connection, how can I help you?",neutral,0.7645,False,False,True,False,False,22.0,0.026035,0.44043,-31.689,0.048527,1155.512,310.074,122.839,0.364,low,low,high
en_AU_Telecom_1586372,2,customer,channel2,1,0.0,25.72,"Hi, my name's Jenny. I'm just ringing because I'm kind of frustrated. My internet is really,",negative,0.8607,True,False,False,False,False,25.72,0.0195,0.362244,-34.199,0.066678,1375.841,285.077,136.094,0.622,low,low,high
en_AU_Telecom_1586372,3,agent,channel1,2,22.0,35.0,"Yeah, I can certainly help and have a look at that.",positive,0.5164,False,False,False,False,False,13.0,0.043954,0.495209,-27.14,0.048631,1296.004,299.827,119.588,0.846,medium,low,high
en_AU_Telecom_1586372,4,customer,channel2,2,25.72,45.72,really slow and I'm trying to do some work on it on my computer. I've got my account number.,negative,0.6662,False,False,False,False,False,20.0,0.016438,0.28894,-35.683,0.053925,1334.086,285.336,131.985,0.95,low,medium,high
en_AU_Telecom_1586372,5,agent,channel1,3,35.0,37.0,Thanks Jenny.,positive,0.9045,False,False,False,False,False,2.0,0.089145,0.481659,-20.998,0.14967,1669.883,246.428,75.657,1.0,high,medium,medium
en_AU_Telecom_1586372,6,agent,channel1,4,37.0,44.0,Can I get your full address or if you have your account number with us?,neutral,0.9299,False,False,True,False,False,7.0,0.073227,0.389496,-22.707,0.097549,1180.979,231.549,90.027,2.143,medium,high,low
en_AU_Telecom_1586372,7,agent,channel1,5,44.0,49.0,"Sure, go ahead.",neutral,0.5404,False,False,False,False,False,5.0,0.011413,0.200104,-38.852,0.037822,1301.959,291.455,138.979,0.6,low,low,high
en_AU_Telecom_1586372,8,customer,channel2,3,45.72,61.72,It's 459-1273. Yeah.,neutral,0.7831,False,False,False,False,False,16.0,0.019652,0.409058,-34.132,0.059437,1369.959,277.182,139.817,0.188,low,low,high
en_AU_Telecom_1586372,9,agent,channel1,6,49.0,54.0,"Yep. One, two, seven, three, was it?",neutral,0.7729,False,False,True,False,False,5.0,0.04139,0.345062,-27.662,0.068369,1336.645,259.956,121.334,1.4,medium,medium,medium
en_AU_Telecom_1586372,10,agent,channel1,7,54.0,65.0,"Okay, and what's your address of connection?",neutral,0.9359,False,False,True,False,False,11.0,0.036604,0.305481,-28.729,0.085127,1400.157,261.742,124.95,0.636,medium,low,medium
en_AU_Telecom_1586372,11,customer,channel2,4,61.72,85.72,"It's 38 Brown Street, Sydney.",neutral,0.9259,False,False,False,False,False,24.0,0.014708,0.392242,-36.649,0.046768,1280.085,295.217,140.95,0.208,low,low,high
en_AU_Telecom_1586372,12,agent,channel1,8,65.0,70.0,And what's this number?,neutral,0.8423,False,False,True,False,False,5.0,0.026789,0.282288,-31.441,0.045581,1120.03,280.637,130.335,0.8,low,low,high
en_AU_Telecom_1586372,13,agent,channel1,9,70.0,76.0,"Okay, I think I've got it here.",positive,0.7285,False,False,False,False,False,6.0,0.067231,0.420807,-23.449,0.060025,1008.119,235.562,116.222,1.167,medium,medium,low
en_AU_Telecom_1586372,14,agent,channel1,10,76.0,82.0,I'm just checking it and the download and the uploads are looking okay.,positive,0.6671,False,False,False,False,False,6.0,0.072766,0.477875,-22.761,0.080969,1174.593,234.323,97.866,2.167,medium,high,low
en_AU_Telecom_1586372,15,agent,channel1,11,82.0,92.0,What exactly happens? Why do you say it's not working?,negative,0.6039,False,False,True,False,False,10.0,0.047191,0.473602,-26.523,0.050544,1100.093,283.228,123.787,1.0,medium,medium,high
