call_id,turn_id,speaker,channel,segment_id,start_time,end_time,text,sentiment_label,sentiment_score,frustration_flag,empathy_flag,probing_flag,ownership_flag,next_steps_flag
en_AU_Aviation_1585418,1,agent,channel1,1,0.0,18.68,"Hey there, this is Jim from Swift Aviation.",neutral,0.7861,False,False,False,False,False
en_AU_Aviation_1585418,2,customer,channel2,1,0.0,29.68,"Alright, thanks for doing that. Okay, a little bit complicated. I've been using Swift Aviation",neutral,0.587,False,False,False,False,False
en_AU_Aviation_1585418,3,agent,channel1,2,18.68,20.68,I just wanted to return your call.,neutral,0.699,False,False,False,False,False
en_AU_Aviation_1585418,4,customer,channel2,2,29.68,36.52,for a number of years. So it'll be interesting to see how this call works out. I've booked a,positive,0.7044,False,False,False,False,False
en_AU_Aviation_1585418,5,customer,channel2,3,36.52,46.08,flat because of your fantastic business class experience that I've had before of using you,positive,0.9514,False,False,False,False,False
en_AU_Aviation_1585418,6,customer,channel2,4,46.08,53.4,"guys and I've sent the baggage, the baggage has gone on, but now I want to add an extra bag",neutral,0.6995,False,False,False,False,False
en_AU_Aviation_1585418,7,agent,channel1,3,48.68,78.52,"Hey there, so absolutely.",positive,0.56,False,False,False,False,False
en_AU_Aviation_1585418,8,customer,channel2,5,53.84,59.32,"to my booked flat. So you've got the bag, I want to number things. I want to make sure the bag",neutral,0.8147,False,False,False,False,False
en_AU_Aviation_1585418,9,customer,channel2,6,59.32,67.52,"gets with the other luggage and I also, yeah, I wondered if, first of all, there's a number of things.",neutral,0.8915,False,False,False,False,False
en_AU_Aviation_1585418,10,customer,channel2,7,67.52,73.48,"So first of all, will the bag be able to go with the luggage that I've already booked in?",neutral,0.9295,False,False,False,False,False
en_AU_Aviation_1585418,11,agent,channel1,4,79.08,84.36,We try our best and we have quite a good track record of having all the luggage arriving at,positive,0.8808,False,False,False,False,False
