call_id,turn_id,speaker,channel,segment_id,start_time,end_time,text
en_AU_Finance_1586372,1,agent,channel1,1,0.0,20.84,"Thank you for my NG, my name is Mary, and how can I assist you today?"
en_AU_Finance_1586372,2,customer,channel2,1,0.0,29.98,"Hi Mom, it's Jenny and I'm just looking at um maybe looking at getting them"
en_AU_Finance_1586372,3,customer,channel2,2,29.98,44.88,investment loan out. I'm actually just looking at expending my portfolio but I
en_AU_Finance_1586372,4,agent,channel1,2,30.0,39.0,Okay. Do you currently have any other loans willing?
en_AU_Finance_1586372,5,customer,channel2,3,44.88,50.48,don't have very much liquidate liquidity and I'm not sure whether that's going to
en_AU_Finance_1586372,6,agent,channel1,3,48.0,49.0,Sure.
en_AU_Finance_1586372,7,agent,channel1,4,49.0,63.0,"Look, I understand you're interested in applying for an investment loan to expand your portfolio, but need some additional liquidity."
en_AU_Finance_1586372,8,customer,channel2,4,50.48,52.48,be a problem or not.
en_AU_Finance_1586372,9,agent,channel1,5,63.0,85.0,"Yeah. I can certainly help you with that. To start, look, investment loans are going to clients who meet certain eligibility requirements, including like his link, an acceptable credit history and some of the sufficient collateral or existing assets."
en_AU_Finance_1586372,10,customer,channel2,5,80.48,109.48,Yes.
en_AU_Finance_1586372,11,agent,channel1,6,85.0,93.0,And I just check that you can hear me okay. I think there's a little bit.
en_AU_Finance_1586372,12,agent,channel1,7,97.0,107.0,"Okay. All right. But to go ahead with this, can I get some information from you on any accounts that you're holding with it?"
en_AU_Finance_1586372,13,customer,channel2,6,109.48,118.48,"Let's do it again. Oh yes I do, yes."
en_AU_Finance_1586372,14,agent,channel1,8,110.0,112.0,Do you have any accounts with us?
en_AU_Finance_1586372,15,agent,channel1,9,112.0,117.0,Do you have an account number that I can have?
en_AU_Finance_1586372,16,customer,channel2,7,118.48,129.48,The account number is 495123459.
en_AU_Finance_1586372,17,agent,channel1,10,124.0,129.0,"Perfect. Thank you so much for that. And Jenny, was it?"
en_AU_Finance_1586372,18,customer,channel2,8,129.48,158.48,That was yes.
en_AU_Finance_1586372,19,agent,channel1,11,131.0,133.0,Okay. Fantastic. Thank you.
en_AU_Finance_1586372,20,agent,channel1,12,134.0,146.0,"Okay. Look, interest rates and repayments can vary depending on the loan amount, your financial profile, and type of investment you plan to make."
en_AU_Finance_1586372,21,agent,channel1,13,147.0,157.0,Our rates are typically very competitive. And now what type of investment are we looking at?
en_AU_Finance_1586372,22,customer,channel2,9,158.48,174.48,I'm thinking maybe property investment. Nothing too risky as this is one of my
en_AU_Finance_1586372,23,agent,channel1,14,164.0,170.0,"Okay. Sure. So, sorry, say that again."
en_AU_Finance_1586372,24,customer,channel2,10,175.48,203.48,first investments so I don't want to risky to start with.
en_AU_Finance_1586372,25,agent,channel1,15,177.0,178.0,Sure.
en_AU_Finance_1586372,26,agent,channel1,16,183.0,188.0,"Look, I can help you with that. And there are some information available on our website as well."
