call_id,turn_id,speaker,channel,segment_id,start_time,end_time,text,sentiment_label,sentiment_score,frustration_flag,empathy_flag,probing_flag,ownership_flag,next_steps_flag,segment_duration_sec,rms_energy,peak_amplitude,rms_db,zero_crossing_rate,spectral_centroid,pitch_mean_hz,pitch_std_hz,speaking_rate_wps,volume_level,speaking_rate_level,pitch_level
en_CA_Aviation_1590830,1,customer,channel2,1,0.0,23.04,"Hi there, I'm currently scheduled to return home on Saturday, but I need to change my",neutral,0.908,False,False,False,False,False,23.04,0.030369,0.717438,-30.352,0.052449,722.037,265.493,125.33,0.694,low,low,high
en_CA_Aviation_1590830,2,agent,channel1,1,0.0,25.0,"Good afternoon Canadian Airlines, how may I assist you?",positive,0.6056,False,False,True,False,False,25.0,0.020176,0.781769,-33.903,0.073172,1011.732,220.794,136.636,0.36,low,low,high
en_CA_Aviation_1590830,3,customer,channel2,2,23.04,27.96,"flight to come home actually sometime after the weekend, either like Tuesday Wednesday",neutral,0.8628,False,False,False,False,False,4.92,0.050891,0.65744,-25.867,0.098829,989.896,174.774,74.13,2.642,medium,high,low
en_CA_Aviation_1590830,4,agent,channel1,2,25.0,45.0,Sure. Can you give me the five digit confirmation number for your trip?,neutral,0.8403,False,False,True,False,False,20.0,0.04215,0.524719,-27.504,0.061176,921.457,271.869,130.776,0.65,medium,low,high
en_CA_Aviation_1590830,5,customer,channel2,3,28.36,31.96,or Thursday next week. Can you help me with rescheduling my return flight?,neutral,0.8687,False,False,False,False,False,3.6,0.053589,0.37973,-25.419,0.091931,936.086,173.511,74.544,3.611,medium,high,low
en_CA_Aviation_1590830,6,customer,channel2,4,40.28,44.6,"Yeah, it's Y2K 64.",neutral,0.7466,False,False,False,False,False,4.32,0.074322,0.977356,-22.578,0.07302,844.879,215.288,110.442,0.926,high,low,medium
en_CA_Aviation_1590830,7,agent,channel1,3,45.0,57.0,"Okay, one moment please. I'm going to pull up your booking.",neutral,0.7271,False,False,False,False,False,12.0,0.031006,0.915009,-30.171,0.064352,988.893,261.409,135.009,0.917,low,low,high
en_CA_Aviation_1590830,8,agent,channel1,4,57.0,68.0,"Okay, so it's your return flight from Vancouver to Montreal, is that correct?",neutral,0.9572,False,False,True,False,False,11.0,0.05092,0.533112,-25.862,0.102502,1237.112,203.352,98.116,1.182,medium,medium,medium
en_CA_Aviation_1590830,9,customer,channel2,5,57.96,75.88,"Yes, and I would prefer to still like I'm prepaid for the extra comfort seats in economy like right",neutral,0.6488,False,False,False,False,False,17.92,0.035713,0.794708,-28.944,0.065878,800.679,232.22,123.319,1.06,low,medium,high
en_CA_Aviation_1590830,10,agent,channel1,5,68.0,94.0,Okay.,neutral,0.5693,False,False,False,False,False,26.0,0.011054,0.414398,-39.13,0.020591,646.182,297.832,139.263,0.038,low,low,high
en_CA_Aviation_1590830,11,customer,channel2,6,75.88,81.72,behind first class. So I definitely would like that to the legroom. So if we can find a flight that,positive,0.6301,False,False,False,False,False,5.84,0.063897,0.761383,-23.89,0.099054,970.256,173.0,80.895,3.425,high,high,low
en_CA_Aviation_1590830,12,customer,channel2,7,82.76,87.56,is again preferably the exact same price so that I'm not paying extra but still has,neutral,0.696,False,False,False,False,False,4.8,0.065335,0.931305,-23.697,0.102694,1032.07,181.696,75.749,3.333,high,high,low
en_CA_Aviation_1590830,13,customer,channel2,8,87.96,93.72,an open spot available for an aisle or a window in that extra comfort class that would be great.,positive,0.8574,False,False,False,False,False,5.76,0.063123,0.735382,-23.996,0.10658,967.625,165.173,88.903,3.299,high,high,low
en_CA_Aviation_1590830,14,agent,channel1,6,94.0,104.0,"Okay, I see that you have a flexible ticket. So that means that you won't be encountering any penalties or fees to change your flight.",neutral,0.6611,False,False,False,False,False,10.0,0.088642,0.977203,-21.047,0.1407,1573.122,210.801,87.829,2.5,high,high,medium
en_CA_Aviation_1590830,15,agent,channel1,7,104.0,114.0,"That said, because it is such short notice, there definitely is, there's not a ton of seats to choose from.",neutral,0.5505,False,False,False,False,False,10.0,0.053855,0.485931,-25.376,0.125576,1422.938,201.564,99.944,2.0,medium,medium,medium
en_CA_Aviation_1590830,16,agent,channel1,8,114.0,131.0,"So I might be able to get you on a flight like Monday, Tuesday, Wednesday, like you asked, but I can't guarantee that I would be able to get you the same type of comfort seat.",neutral,0.689,False,False,False,False,False,17.0,0.052144,0.938019,-25.656,0.107126,1320.386,209.388,108.12,2.118,medium,medium,medium
en_CA_Aviation_1590830,17,customer,channel2,9,118.12,130.52,How many flights per day are there roughly?,neutral,0.9507,False,False,False,False,False,12.4,0.050678,0.997742,-25.904,0.094197,939.72,202.146,92.602,0.645,medium,low,medium
en_CA_Aviation_1590830,18,agent,channel1,9,131.0,153.0,There are two flights per day. One is around six in the morning. And then there's one that is at 7pm.,neutral,0.9459,False,False,False,False,False,22.0,0.042514,0.71637,-27.429,0.077031,1065.597,244.794,128.146,0.955,medium,low,high
en_CA_Aviation_1590830,19,customer,channel2,10,143.08,146.76,"Oh gosh, well I think that narrows it down. I unfortunately have to take",negative,0.8973,False,False,False,False,False,3.68,0.127435,0.902344,-17.894,0.100152,947.221,193.681,78.477,3.804,high,high,low
en_CA_Aviation_1590830,20,customer,channel2,11,147.32,151.48,the 6 in the morning one because going from Vancouver to Montreal if I take the 7 p.m. I'm not,neutral,0.8241,False,False,False,False,False,4.16,0.081157,0.947662,-21.813,0.099155,972.652,193.542,83.527,4.808,high,high,low
en_CA_Aviation_1590830,21,customer,channel2,12,151.48,157.0,even home until afternoon tonight because of the time change and the flight it being a five hour,neutral,0.8317,False,False,False,False,False,5.52,0.07774,0.804474,-22.187,0.112796,1091.256,178.82,82.256,3.261,high,high,low
en_CA_Aviation_1590830,22,agent,channel1,10,153.0,164.0,"That's right. Yeah, yeah.",positive,0.8273,False,False,False,False,False,11.0,0.033942,0.781189,-29.385,0.111396,1271.902,227.877,135.243,0.364,low,low,high
en_CA_Aviation_1590830,23,customer,channel2,13,157.0,162.84,flight that's not an option. Okay so we're looking at the 6 a.m. flight on either Tuesday,neutral,0.8711,False,False,False,False,False,5.84,0.061133,0.822266,-24.274,0.094145,977.205,183.413,76.972,2.911,medium,high,low
