call_id,turn_id,speaker,channel,segment_id,start_time,end_time,text,sentiment_label,sentiment_score,frustration_flag,empathy_flag,probing_flag,ownership_flag,next_steps_flag
en_AU_Retail_1590921,1,agent,channel1,1,0.0,20.0,"Hi, every time customer service, you're speaking with Tom, what can I do for you today?",neutral,0.756,False,False,True,False,False
en_AU_Retail_1590921,2,customer,channel2,1,0.0,24.72,"Hi, Tom. Look, I've just got a Herald Sun subscription that my dad had signed up to",neutral,0.6545,False,False,False,False,False
en_AU_Retail_1590921,3,agent,channel1,2,20.0,38.0,"Right, okay, so that's quite a reason for cancelling.",negative,0.4807,False,False,False,False,False
en_AU_Retail_1590921,4,customer,channel2,2,24.88,32.72,fair while ago and basically he's passed away and we just need to cancel the subscription.,negative,0.779,False,False,False,False,False
en_AU_Retail_1590921,5,agent,channel1,3,38.0,42.0,Let's see if we can get this sorted out for you.,neutral,0.8025,False,False,False,False,False
en_AU_Retail_1590921,6,customer,channel2,3,39.04,43.04,I know.,neutral,0.6447,False,False,False,False,False
en_AU_Retail_1590921,7,agent,channel1,4,42.0,48.0,"Before we get started, I'll just need to verify the account details.",neutral,0.893,False,False,False,False,False
en_AU_Retail_1590921,8,customer,channel2,4,43.04,53.04,Yeah.,neutral,0.5798,False,False,False,False,False
en_AU_Retail_1590921,9,agent,channel1,5,48.0,70.0,"The security question that I can see linked to this phone number was star sign and the postcode, please.",neutral,0.7042,False,False,False,False,False
en_AU_Retail_1590921,10,customer,channel2,5,58.08,69.92,"Yeah, so Tom Jones for the name on the account. His star sign is Scorpio. Was there something else?",neutral,0.9275,False,False,False,False,False
en_AU_Retail_1590921,11,agent,channel1,6,70.0,73.0,"No, that's the three things, right?",neutral,0.7308,False,False,True,False,False
en_AU_Retail_1590921,12,agent,channel1,7,73.0,77.0,"So another subscription lost to unforeseeable events, all right?",negative,0.8487,False,False,True,False,False
en_AU_Retail_1590921,13,customer,channel2,6,73.04,89.04,"Yeah, no, no one else needs a subscription.",negative,0.6433,False,False,False,False,False
en_AU_Retail_1590921,14,agent,channel1,8,77.0,81.0,So is that the only reason you're looking to cancel the subscription?,neutral,0.623,False,False,True,False,False
en_AU_Retail_1590921,15,agent,channel1,9,81.0,88.0,Is it not something you want to give to a family member?,neutral,0.8007,False,False,True,False,False
en_AU_Retail_1590921,16,agent,channel1,10,88.0,91.0,"Okay, well, I'll process the cancellation.",neutral,0.8221,False,False,False,False,False
en_AU_Retail_1590921,17,agent,channel1,11,91.0,94.0,"It only takes a moment, unlike some stories.",neutral,0.6701,False,False,False,False,False
en_AU_Retail_1590921,18,agent,channel1,12,94.0,99.0,"But that sounds like a difficult time, so let's go ahead and we'll get it sorted for you.",neutral,0.5376,False,False,False,True,False
en_AU_Retail_1590921,19,agent,channel1,13,99.0,106.0,"At least that's one less thing to worry about, even if the subscription seems to have outlived him.",neutral,0.5625,False,False,False,False,False
