call_id,turn_id,speaker,channel,segment_id,start_time,end_time,text,sentiment_label,sentiment_score,frustration_flag,empathy_flag,probing_flag,ownership_flag,next_steps_flag,segment_duration_sec,rms_energy,peak_amplitude,rms_db,zero_crossing_rate,spectral_centroid,pitch_mean_hz,pitch_std_hz,speaking_rate_wps,volume_level,speaking_rate_level,pitch_level,frustration_flag_bool,empathy_flag_bool,probing_flag_bool,ownership_flag_bool,next_steps_flag_bool,normalized_sentiment,vocal_intensity_level,turn_risk_score,turn_main_signal,turn_risk_level,turn_reason_codes,evidence_id,signal_coverage_confidence,analytical_contract_version,risk_rubric_version,risk_score_type,risk_score_calibrated,asr_model_id,sentiment_model_id
en_AU_Hospitality_1586372,1,agent,channel1,1,0.0,18.0,Good morning. Thank you for calling Fantastic Resorts. How can I help you?,positive,0.9343,False,False,True,False,False,18.0,0.032812,0.376526,-29.679,0.065722,1296.128,280.712,125.836,0.722,low,low,high,False,False,True,False,False,positive,medium,0,agent probing question detected,low,AGENT_PROBING,en_AU_Hospitality_1586372:turn:1,1.0,1.0.0,conversation_risk_v1,heuristic_proxy,False,faster-whisper/small,cardiffnlp/twitter-roberta-base-sentiment-latest
en_AU_Hospitality_1586372,2,customer,channel2,1,0.0,25.12,"Oh hi, my name is Jenny and I've pre-paid a hotel reservation but our travel plans have",neutral,0.7869,False,False,False,False,False,25.12,0.032617,0.819519,-29.731,0.06688,1444.384,282.145,128.956,0.677,low,low,high,False,False,False,False,False,neutral,medium,5,medium customer vocal intensity,low,CUST_MEDIUM_VOCAL_INTENSITY,en_AU_Hospitality_1586372:turn:2,1.0,1.0.0,conversation_risk_v1,heuristic_proxy,False,faster-whisper/small,cardiffnlp/twitter-roberta-base-sentiment-latest
en_AU_Hospitality_1586372,3,customer,channel2,2,25.12,34.32,sadly changed unexpectedly and we won't be staying this time and just wondering whether we qualify,negative,0.8054,False,False,False,False,False,9.2,0.044502,0.386871,-27.032,0.146376,1954.236,208.603,99.042,1.739,medium,medium,low,False,False,False,False,False,negative,medium,20,negative customer sentiment | medium customer vocal intensity,low,CUST_NEGATIVE_SENTIMENT|CUST_MEDIUM_VOCAL_INTENSITY,en_AU_Hospitality_1586372:turn:3,1.0,1.0.0,conversation_risk_v1,heuristic_proxy,False,faster-whisper/small,cardiffnlp/twitter-roberta-base-sentiment-latest
en_AU_Hospitality_1586372,4,agent,channel1,2,30.0,42.8,"Sure. I can have a look for you, Jenny. And can I just check how you made the booking?",neutral,0.8531,False,False,True,False,False,12.8,0.061679,0.5672,-24.197,0.094504,1441.662,261.394,122.026,1.484,medium,medium,high,False,False,True,False,False,neutral,medium,0,agent probing question detected,low,AGENT_PROBING,en_AU_Hospitality_1586372:turn:4,1.0,1.0.0,conversation_risk_v1,heuristic_proxy,False,faster-whisper/small,cardiffnlp/twitter-roberta-base-sentiment-latest
en_AU_Hospitality_1586372,5,customer,channel2,3,34.32,49.72,for a cancellation refund or not through the website,neutral,0.7818,False,False,False,False,False,15.4,0.02683,0.605652,-31.428,0.070314,1390.346,278.416,134.729,0.584,low,low,high,False,False,False,False,False,neutral,medium,5,medium customer vocal intensity,low,CUST_MEDIUM_VOCAL_INTENSITY,en_AU_Hospitality_1586372:turn:5,1.0,1.0.0,conversation_risk_v1,heuristic_proxy,False,faster-whisper/small,cardiffnlp/twitter-roberta-base-sentiment-latest
en_AU_Hospitality_1586372,6,agent,channel1,3,42.8,47.04,Was it through our website or was it through booking.com or any other platform?,neutral,0.9449,False,False,True,False,False,4.24,0.085002,0.44397,-21.411,0.083074,965.591,225.589,51.948,3.302,high,high,medium,False,False,True,False,False,neutral,high,0,agent probing question detected,low,AGENT_PROBING,en_AU_Hospitality_1586372:turn:6,1.0,1.0.0,conversation_risk_v1,heuristic_proxy,False,faster-whisper/small,cardiffnlp/twitter-roberta-base-sentiment-latest
en_AU_Hospitality_1586372,7,customer,channel2,4,49.72,68.76,yep it's five four nine one two three one four yeah,positive,0.539,False,False,False,False,False,19.04,0.022414,0.675232,-32.99,0.077958,1479.743,262.662,140.975,0.578,low,low,high,False,False,False,False,False,positive,medium,5,medium customer vocal intensity,low,CUST_MEDIUM_VOCAL_INTENSITY,en_AU_Hospitality_1586372:turn:7,1.0,1.0.0,conversation_risk_v1,heuristic_proxy,False,faster-whisper/small,cardiffnlp/twitter-roberta-base-sentiment-latest
en_AU_Hospitality_1586372,8,agent,channel1,4,50.0,53.6,Your website? I can try and test it. That normally makes it a lot easier.,neutral,0.6568,False,False,True,False,False,3.6,0.068322,0.797394,-23.309,0.115628,1431.988,173.181,62.807,4.167,medium,high,low,False,False,True,False,False,neutral,medium,0,agent probing question detected,low,AGENT_PROBING,en_AU_Hospitality_1586372:turn:8,1.0,1.0.0,conversation_risk_v1,heuristic_proxy,False,faster-whisper/small,cardiffnlp/twitter-roberta-base-sentiment-latest
en_AU_Hospitality_1586372,9,agent,channel1,5,54.24,58.8,So do you have your booking number with you?,neutral,0.9485,False,False,True,False,False,4.56,0.126247,0.826843,-17.976,0.107961,1189.234,211.249,51.355,1.974,high,medium,low,False,False,True,False,False,neutral,medium,0,agent probing question detected,low,AGENT_PROBING,en_AU_Hospitality_1586372:turn:9,1.0,1.0.0,conversation_risk_v1,heuristic_proxy,False,faster-whisper/small,cardiffnlp/twitter-roberta-base-sentiment-latest
en_AU_Hospitality_1586372,10,agent,channel1,6,64.08,77.2,"Yep. 2314, was it? Okay. Oh, okay. Your trip is coming up very soon. Okay.",positive,0.5519,False,False,True,False,False,13.12,0.044678,0.354553,-26.998,0.096739,1307.069,222.092,106.948,1.143,medium,medium,medium,False,False,True,False,False,positive,medium,0,agent probing question detected,low,AGENT_PROBING,en_AU_Hospitality_1586372:turn:10,1.0,1.0.0,conversation_risk_v1,heuristic_proxy,False,faster-whisper/small,cardiffnlp/twitter-roberta-base-sentiment-latest
en_AU_Hospitality_1586372,11,agent,channel1,7,77.6,85.76,Would you be open to a credit so you can actually change the dates or come at a future time?,neutral,0.9237,False,False,True,False,False,8.16,0.106577,0.557709,-19.447,0.109505,1373.091,228.009,83.122,2.451,high,high,medium,False,False,True,False,False,neutral,high,0,agent probing question detected,low,AGENT_PROBING,en_AU_Hospitality_1586372:turn:11,1.0,1.0.0,conversation_risk_v1,heuristic_proxy,False,faster-whisper/small,cardiffnlp/twitter-roberta-base-sentiment-latest
en_AU_Hospitality_1586372,12,customer,channel2,5,79.72,92.56,um a credit would actually be a good idea we would be open to a credit,positive,0.6185,False,False,False,False,False,12.84,0.026241,0.588745,-31.62,0.051736,1259.022,278.587,136.42,1.246,low,medium,high,False,False,False,False,False,positive,medium,5,medium customer vocal intensity,low,CUST_MEDIUM_VOCAL_INTENSITY,en_AU_Hospitality_1586372:turn:12,1.0,1.0.0,conversation_risk_v1,heuristic_proxy,False,faster-whisper/small,cardiffnlp/twitter-roberta-base-sentiment-latest
en_AU_Hospitality_1586372,13,agent,channel1,8,92.48,99.84,"Okay. All right. So what I'll do. So you want the full credit, right?",neutral,0.7399,False,False,True,False,False,7.36,0.095434,0.773834,-20.406,0.12159,1364.968,216.846,86.328,1.902,high,medium,low,False,False,True,False,False,neutral,medium,0,agent probing question detected,low,AGENT_PROBING,en_AU_Hospitality_1586372:turn:13,1.0,1.0.0,conversation_risk_v1,heuristic_proxy,False,faster-whisper/small,cardiffnlp/twitter-roberta-base-sentiment-latest
en_AU_Hospitality_1586372,14,customer,channel2,6,92.56,100.88,yeah,neutral,0.5349,False,False,False,False,False,8.32,0.003501,0.145874,-49.116,0.023436,1090.635,304.991,142.309,0.12,low,low,high,False,False,False,False,False,neutral,medium,5,medium customer vocal intensity,low,CUST_MEDIUM_VOCAL_INTENSITY,en_AU_Hospitality_1586372:turn:14,1.0,1.0.0,conversation_risk_v1,heuristic_proxy,False,faster-whisper/small,cardiffnlp/twitter-roberta-base-sentiment-latest
