call_id,survey_received,survey_positive,survey_type,survey_score,survey_completed_at,is_synthetic,source_system,label_definition_version
en_AU_Agriculture_1586330,1,1,CSAT,96,2026-07-14T00:00:00Z,True,apptek_synthetic_survey_fixture,synthetic_bad_survey_flag_v1
en_AU_Aviation_1586330,1,1,CSAT,80,2026-07-15T00:00:00Z,True,apptek_synthetic_survey_fixture,synthetic_bad_survey_flag_v1
en_AU_Banking_1590914,1,1,CSAT,98,2026-07-16T00:00:00Z,True,apptek_synthetic_survey_fixture,synthetic_bad_survey_flag_v1
en_AU_DeliveryService_1586330,1,1,CSAT,84,2026-07-14T00:00:00Z,True,apptek_synthetic_survey_fixture,synthetic_bad_survey_flag_v1
en_AU_DeliveryService_1593457,1,0,CSAT,60,2026-07-15T00:00:00Z,True,apptek_synthetic_survey_fixture,synthetic_bad_survey_flag_v1
en_AU_Entertainment_1585414,1,1,CSAT,98,2026-07-16T00:00:00Z,True,apptek_synthetic_survey_fixture,synthetic_bad_survey_flag_v1
en_AU_Entertainment_1592670,1,1,CSAT,96,2026-07-14T00:00:00Z,True,apptek_synthetic_survey_fixture,synthetic_bad_survey_flag_v1
en_AU_Finance_1592672,1,1,CSAT,80,2026-07-15T00:00:00Z,True,apptek_synthetic_survey_fixture,synthetic_bad_survey_flag_v1
en_AU_Food_1593466,1,1,CSAT,88,2026-07-16T00:00:00Z,True,apptek_synthetic_survey_fixture,synthetic_bad_survey_flag_v1
en_AU_Health_1591532,1,0,CSAT,66,2026-07-14T00:00:00Z,True,apptek_synthetic_survey_fixture,synthetic_bad_survey_flag_v1
en_AU_Health_1593611,1,1,CSAT,80,2026-07-15T00:00:00Z,True,apptek_synthetic_survey_fixture,synthetic_bad_survey_flag_v1
en_AU_Insurance_1585410,1,0,CSAT,48,2026-07-16T00:00:00Z,True,apptek_synthetic_survey_fixture,synthetic_bad_survey_flag_v1
en_AU_RealEstate_1584853,1,1,CSAT,84,2026-07-14T00:00:00Z,True,apptek_synthetic_survey_fixture,synthetic_bad_survey_flag_v1
en_AU_RealEstate_1593609,1,1,CSAT,80,2026-07-15T00:00:00Z,True,apptek_synthetic_survey_fixture,synthetic_bad_survey_flag_v1
en_AU_Retail_1590921,1,0,CSAT,70,2026-07-16T00:00:00Z,True,apptek_synthetic_survey_fixture,synthetic_bad_survey_flag_v1
en_AU_Technology_1586372,1,1,CSAT,96,2026-07-14T00:00:00Z,True,apptek_synthetic_survey_fixture,synthetic_bad_survey_flag_v1
en_AU_Travel_1586372,1,1,CSAT,80,2026-07-15T00:00:00Z,True,apptek_synthetic_survey_fixture,synthetic_bad_survey_flag_v1
en_AU_Travel_1593612,1,1,CSAT,98,2026-07-16T00:00:00Z,True,apptek_synthetic_survey_fixture,synthetic_bad_survey_flag_v1
en_CA_Agriculture_1592234,1,1,CSAT,84,2026-07-14T00:00:00Z,True,apptek_synthetic_survey_fixture,synthetic_bad_survey_flag_v1
en_CA_Aviation_1590830,1,0,CSAT,60,2026-07-15T00:00:00Z,True,apptek_synthetic_survey_fixture,synthetic_bad_survey_flag_v1
en_CA_Banking_1588683,1,1,CSAT,88,2026-07-16T00:00:00Z,True,apptek_synthetic_survey_fixture,synthetic_bad_survey_flag_v1
en_CA_DeliveryService_1587192,1,1,CSAT,96,2026-07-14T00:00:00Z,True,apptek_synthetic_survey_fixture,synthetic_bad_survey_flag_v1
en_CA_DeliveryService_1590992,1,1,CSAT,92,2026-07-15T00:00:00Z,True,apptek_synthetic_survey_fixture,synthetic_bad_survey_flag_v1
en_CA_Energy_1592208,1,1,CSAT,88,2026-07-16T00:00:00Z,True,apptek_synthetic_survey_fixture,synthetic_bad_survey_flag_v1
en_CA_Entertainment_1590992,1,0,CSAT,66,2026-07-14T00:00:00Z,True,apptek_synthetic_survey_fixture,synthetic_bad_survey_flag_v1
en_CA_Finance_1590992,1,0,CSAT,38,2026-07-15T00:00:00Z,True,apptek_synthetic_survey_fixture,synthetic_bad_survey_flag_v1
en_CA_Food_1590992,1,1,CSAT,88,2026-07-16T00:00:00Z,True,apptek_synthetic_survey_fixture,synthetic_bad_survey_flag_v1
en_CA_Health_1590851,1,1,CSAT,84,2026-07-14T00:00:00Z,True,apptek_synthetic_survey_fixture,synthetic_bad_survey_flag_v1
en_CA_Hospitality_1592211,1,1,CSAT,92,2026-07-15T00:00:00Z,True,apptek_synthetic_survey_fixture,synthetic_bad_survey_flag_v1
en_CA_RealEstate_1588709,1,0,CSAT,70,2026-07-16T00:00:00Z,True,apptek_synthetic_survey_fixture,synthetic_bad_survey_flag_v1
