call_id,turn_id,speaker,channel,segment_id,start_time,end_time,text,sentiment_label,sentiment_score,frustration_flag,empathy_flag,probing_flag,ownership_flag,next_steps_flag,segment_duration_sec,rms_energy,peak_amplitude,rms_db,zero_crossing_rate,spectral_centroid,pitch_mean_hz,pitch_std_hz,speaking_rate_wps,volume_level,speaking_rate_level,pitch_level,frustration_flag_bool,empathy_flag_bool,probing_flag_bool,ownership_flag_bool,next_steps_flag_bool,normalized_sentiment,vocal_intensity_level,turn_risk_score,turn_main_signal,turn_risk_level,turn_reason_codes,evidence_id,signal_coverage_confidence,analytical_contract_version,risk_rubric_version,risk_score_type,risk_score_calibrated,asr_model_id,sentiment_model_id
en_CA_Health_1588706,1,agent,channel1,1,0.0,14.16,"Hello, and welcome to the Health Association.",positive,0.8494,False,False,False,False,False,14.16,0.010516,0.200714,-39.563,0.014424,303.94,364.68,81.537,0.494,low,low,high,False,False,False,False,False,positive,medium,0,no strong signal,low,NO_STRONG_SIGNAL,en_CA_Health_1588706:turn:1,1.0,1.0.0,conversation_risk_v1,heuristic_proxy,False,faster-whisper/small,cardiffnlp/twitter-roberta-base-sentiment-latest
en_CA_Health_1588706,2,customer,channel2,1,0.0,25.32,"Hi, I'm just calling to schedule a consultation with one of your online doctors for a chronic",neutral,0.8451,False,False,False,False,False,25.32,0.063412,0.991638,-23.957,0.036727,459.028,305.106,130.833,0.671,high,low,high,False,False,False,False,False,neutral,high,15,high customer vocal intensity,low,CUST_HIGH_VOCAL_INTENSITY,en_CA_Health_1588706:turn:2,1.0,1.0.0,conversation_risk_v1,heuristic_proxy,False,faster-whisper/small,cardiffnlp/twitter-roberta-base-sentiment-latest
en_CA_Health_1588706,3,agent,channel1,2,14.16,15.16,My name is Julia.,neutral,0.8721,False,False,False,False,False,1.0,0.028328,0.132202,-30.956,0.064255,882.133,235.07,54.534,4.0,medium,high,medium,False,False,False,False,False,neutral,medium,0,no strong signal,low,NO_STRONG_SIGNAL,en_CA_Health_1588706:turn:3,1.0,1.0.0,conversation_risk_v1,heuristic_proxy,False,faster-whisper/small,cardiffnlp/twitter-roberta-base-sentiment-latest
en_CA_Health_1588706,4,agent,channel1,3,15.16,27.44,How can I help you?,neutral,0.8413,False,False,True,False,False,12.28,0.006271,0.140686,-44.053,0.012156,348.154,364.443,91.921,0.407,low,low,high,False,False,True,False,False,neutral,medium,0,agent probing question detected,low,AGENT_PROBING,en_CA_Health_1588706:turn:4,1.0,1.0.0,conversation_risk_v1,heuristic_proxy,False,faster-whisper/small,cardiffnlp/twitter-roberta-base-sentiment-latest
en_CA_Health_1588706,5,customer,channel2,2,25.32,49.76,condition that I have. I do not. I would be able to do this over the phone. I'm not,negative,0.562,False,False,False,False,False,24.44,0.060863,1.0,-24.313,0.013565,295.005,346.878,107.422,0.777,high,low,high,False,False,False,False,False,negative,high,30,negative customer sentiment | high customer vocal intensity,medium,CUST_NEGATIVE_SENTIMENT|CUST_HIGH_VOCAL_INTENSITY,en_CA_Health_1588706:turn:5,1.0,1.0.0,conversation_risk_v1,heuristic_proxy,False,faster-whisper/small,cardiffnlp/twitter-roberta-base-sentiment-latest
en_CA_Health_1588706,6,agent,channel1,4,27.44,28.44,We can do that.,positive,0.5895,False,False,False,False,False,1.0,0.035055,0.193695,-29.105,0.057419,897.31,244.321,29.457,4.0,high,high,medium,False,False,False,False,False,positive,high,0,no strong signal,low,NO_STRONG_SIGNAL,en_CA_Health_1588706:turn:6,1.0,1.0.0,conversation_risk_v1,heuristic_proxy,False,faster-whisper/small,cardiffnlp/twitter-roberta-base-sentiment-latest
en_CA_Health_1588706,7,agent,channel1,5,28.44,31.44,Do you have an account with us already?,neutral,0.9317,False,False,True,False,False,3.0,0.01464,0.153564,-36.689,0.03031,618.448,327.463,100.828,2.667,low,high,high,False,False,True,False,False,neutral,medium,0,agent probing question detected,low,AGENT_PROBING,en_CA_Health_1588706:turn:7,1.0,1.0.0,conversation_risk_v1,heuristic_proxy,False,faster-whisper/small,cardiffnlp/twitter-roberta-base-sentiment-latest
en_CA_Health_1588706,8,agent,channel1,6,31.44,38.0,"Okay, so then you'll need to go to our website and create an account.",neutral,0.9163,False,False,False,False,False,6.56,0.028562,0.150543,-30.884,0.09461,1231.242,210.417,94.162,2.134,medium,high,low,False,False,False,False,False,neutral,medium,0,no strong signal,low,NO_STRONG_SIGNAL,en_CA_Health_1588706:turn:8,1.0,1.0.0,conversation_risk_v1,heuristic_proxy,False,faster-whisper/small,cardiffnlp/twitter-roberta-base-sentiment-latest
en_CA_Health_1588706,9,agent,channel1,7,38.0,45.44,"And from there, I can help you schedule a consultation, or we can do that, or you can",neutral,0.7438,False,False,False,True,False,7.44,0.025911,0.17334,-31.73,0.086464,1071.424,208.447,76.733,2.419,medium,high,low,False,False,False,True,False,neutral,medium,0,agent ownership detected,low,AGENT_OWNERSHIP,en_CA_Health_1588706:turn:9,1.0,1.0.0,conversation_risk_v1,heuristic_proxy,False,faster-whisper/small,cardiffnlp/twitter-roberta-base-sentiment-latest
en_CA_Health_1588706,10,agent,channel1,8,45.44,48.44,do that yourself online.,neutral,0.83,False,False,False,False,False,3.0,0.014813,0.137848,-36.587,0.033847,780.276,288.214,121.151,1.333,low,medium,medium,False,False,False,False,False,neutral,low,0,no strong signal,low,NO_STRONG_SIGNAL,en_CA_Health_1588706:turn:10,1.0,1.0.0,conversation_risk_v1,heuristic_proxy,False,faster-whisper/small,cardiffnlp/twitter-roberta-base-sentiment-latest
en_CA_Health_1588706,11,agent,channel1,9,48.44,53.4,"Yep, that is totally fine.",positive,0.8992,False,False,False,False,False,4.96,0.0156,0.154114,-36.138,0.026408,401.474,343.299,91.744,1.008,low,medium,high,False,False,False,False,False,positive,medium,0,no strong signal,low,NO_STRONG_SIGNAL,en_CA_Health_1588706:turn:11,1.0,1.0.0,conversation_risk_v1,heuristic_proxy,False,faster-whisper/small,cardiffnlp/twitter-roberta-base-sentiment-latest
en_CA_Health_1588706,12,customer,channel2,3,49.76,61.76,"very comfortable working with things online. Yes, I think actually my son just helped me",positive,0.9387,False,False,False,False,False,12.0,0.089928,0.967255,-20.922,0.05648,886.71,223.034,131.989,1.25,high,medium,medium,False,False,False,False,False,positive,medium,5,medium customer vocal intensity,low,CUST_MEDIUM_VOCAL_INTENSITY,en_CA_Health_1588706:turn:12,1.0,1.0.0,conversation_risk_v1,heuristic_proxy,False,faster-whisper/small,cardiffnlp/twitter-roberta-base-sentiment-latest
en_CA_Health_1588706,13,agent,channel1,10,53.4,59.4,Are you familiar with how to create an account?,neutral,0.9518,False,False,True,False,False,6.0,0.018688,0.151215,-34.569,0.041709,698.458,319.027,107.39,1.5,medium,medium,high,False,False,True,False,False,neutral,medium,0,agent probing question detected,low,AGENT_PROBING,en_CA_Health_1588706:turn:13,1.0,1.0.0,conversation_risk_v1,heuristic_proxy,False,faster-whisper/small,cardiffnlp/twitter-roberta-base-sentiment-latest
en_CA_Health_1588706,14,agent,channel1,11,59.4,75.4,"Okay, can you tell me the username associated with your account, please?",neutral,0.9151,False,False,True,False,False,16.0,0.019241,0.149689,-34.315,0.02347,448.954,338.064,98.833,0.75,medium,low,high,False,False,True,False,False,neutral,medium,0,agent probing question detected,low,AGENT_PROBING,en_CA_Health_1588706:turn:14,1.0,1.0.0,conversation_risk_v1,heuristic_proxy,False,faster-whisper/small,cardiffnlp/twitter-roberta-base-sentiment-latest
en_CA_Health_1588706,15,customer,channel2,4,61.76,78.76,"create it, so we should be good to go to schedule the appointment. Yes, it's O-W-E-N-H-E-L-T-H.",neutral,0.5427,False,False,False,False,False,17.0,0.079835,0.928436,-21.956,0.058973,898.101,229.33,136.265,0.941,high,medium,medium,False,False,False,False,False,neutral,medium,5,medium customer vocal intensity,low,CUST_MEDIUM_VOCAL_INTENSITY,en_CA_Health_1588706:turn:15,1.0,1.0.0,conversation_risk_v1,heuristic_proxy,False,faster-whisper/small,cardiffnlp/twitter-roberta-base-sentiment-latest
