call_id,turn_id,speaker,channel,segment_id,start_time,end_time,text,sentiment_label,sentiment_score,frustration_flag,empathy_flag,probing_flag,ownership_flag,next_steps_flag,segment_duration_sec,rms_energy,peak_amplitude,rms_db,zero_crossing_rate,spectral_centroid,pitch_mean_hz,pitch_std_hz,speaking_rate_wps,volume_level,speaking_rate_level,pitch_level,frustration_flag_bool,empathy_flag_bool,probing_flag_bool,ownership_flag_bool,next_steps_flag_bool,normalized_sentiment,vocal_intensity_level,turn_risk_score,turn_main_signal,turn_risk_level,turn_reason_codes,evidence_id,signal_coverage_confidence,analytical_contract_version,risk_rubric_version,risk_score_type,risk_score_calibrated,asr_model_id,sentiment_model_id
en_AU_Food_1593466,1,agent,channel1,1,0.0,17.64,"Hello, thank you for calling Jax's catering service.",positive,0.7454,False,False,False,False,False,17.64,0.051255,0.892853,-25.805,0.146438,1909.538,226.151,133.685,0.454,low,low,high,False,False,False,False,False,positive,medium,0,no strong signal,low,NO_STRONG_SIGNAL,en_AU_Food_1593466:turn:1,1.0,1.0.0,conversation_risk_v1,heuristic_proxy,False,faster-whisper/small,cardiffnlp/twitter-roberta-base-sentiment-latest
en_AU_Food_1593466,2,customer,channel2,1,0.0,27.56,"Hi Annie, I'm just planning a brunch for this weekend for like about 15, 20 people and I",neutral,0.6633,False,False,False,False,False,27.56,0.025237,0.579193,-31.959,0.061924,1345.383,287.872,136.914,0.653,low,low,high,False,False,False,False,False,neutral,medium,5,medium customer vocal intensity,low,CUST_MEDIUM_VOCAL_INTENSITY,en_AU_Food_1593466:turn:2,1.0,1.0.0,conversation_risk_v1,heuristic_proxy,False,faster-whisper/small,cardiffnlp/twitter-roberta-base-sentiment-latest
en_AU_Food_1593466,3,agent,channel1,2,17.64,20.32,"This is Annie, how can I help you today?",neutral,0.8054,False,False,True,False,False,2.68,0.053128,0.522766,-25.494,0.253784,2730.28,216.584,87.491,3.358,low,high,high,False,False,True,False,False,neutral,medium,0,agent probing question detected,low,AGENT_PROBING,en_AU_Food_1593466:turn:3,1.0,1.0.0,conversation_risk_v1,heuristic_proxy,False,faster-whisper/small,cardiffnlp/twitter-roberta-base-sentiment-latest
en_AU_Food_1593466,4,customer,channel2,2,27.56,31.48,just wondering if you could help me with some catering options. I just want to get a quote from you.,neutral,0.8094,False,False,False,False,False,3.92,0.044902,0.44339,-26.955,0.144103,1651.735,176.801,73.24,5.102,low,high,low,False,False,False,False,False,neutral,medium,5,medium customer vocal intensity,low,CUST_MEDIUM_VOCAL_INTENSITY,en_AU_Food_1593466:turn:4,1.0,1.0.0,conversation_risk_v1,heuristic_proxy,False,faster-whisper/small,cardiffnlp/twitter-roberta-base-sentiment-latest
en_AU_Food_1593466,5,agent,channel1,3,31.0,37.0,"Absolutely, for a brunch for this weekend for approximately 20 people.",neutral,0.4966,False,False,False,False,False,6.0,0.045592,0.640137,-26.822,0.187848,2273.074,224.798,99.543,1.833,low,low,high,False,False,False,False,False,neutral,medium,0,no strong signal,low,NO_STRONG_SIGNAL,en_AU_Food_1593466:turn:5,1.0,1.0.0,conversation_risk_v1,heuristic_proxy,False,faster-whisper/small,cardiffnlp/twitter-roberta-base-sentiment-latest
en_AU_Food_1593466,6,customer,channel2,3,31.48,58.44,"It's just like a small gathering, it's like a friend'sness. So I just want to make sure that I'm just like",neutral,0.7002,False,False,False,False,False,26.96,0.03382,0.951355,-29.416,0.075732,1368.962,292.654,136.348,0.779,low,low,high,False,False,False,False,False,neutral,medium,5,medium customer vocal intensity,low,CUST_MEDIUM_VOCAL_INTENSITY,en_AU_Food_1593466:turn:6,1.0,1.0.0,conversation_risk_v1,heuristic_proxy,False,faster-whisper/small,cardiffnlp/twitter-roberta-base-sentiment-latest
en_AU_Food_1593466,7,agent,channel1,4,37.0,39.0,"Absolutely, I can help you with that.",positive,0.685,False,False,False,True,False,2.0,0.0641,0.787201,-23.863,0.162381,1840.229,192.601,82.157,3.5,medium,high,medium,False,False,False,True,False,positive,medium,0,agent ownership detected,low,AGENT_OWNERSHIP,en_AU_Food_1593466:turn:7,1.0,1.0.0,conversation_risk_v1,heuristic_proxy,False,faster-whisper/small,cardiffnlp/twitter-roberta-base-sentiment-latest
en_AU_Food_1593466,8,agent,channel1,5,39.0,43.0,Can you give me a bit of details about the brunch you're envisioning?,neutral,0.9178,False,False,True,False,False,4.0,0.07395,0.614227,-22.621,0.147081,1933.972,210.522,85.562,3.25,medium,high,medium,False,False,True,False,False,neutral,medium,0,agent probing question detected,low,AGENT_PROBING,en_AU_Food_1593466:turn:8,1.0,1.0.0,conversation_risk_v1,heuristic_proxy,False,faster-whisper/small,cardiffnlp/twitter-roberta-base-sentiment-latest
en_AU_Food_1593466,9,agent,channel1,6,43.0,48.0,Is that any specific dietary requirements or any sort of things that you'd like to include?,neutral,0.9129,False,False,True,False,False,5.0,0.064795,0.655548,-23.769,0.209261,2262.177,191.204,81.149,3.2,medium,high,medium,False,False,True,False,False,neutral,medium,0,agent probing question detected,low,AGENT_PROBING,en_AU_Food_1593466:turn:9,1.0,1.0.0,conversation_risk_v1,heuristic_proxy,False,faster-whisper/small,cardiffnlp/twitter-roberta-base-sentiment-latest
en_AU_Food_1593466,10,agent,channel1,7,48.0,51.0,Is it for a celebration or anything at all?,neutral,0.8776,False,False,True,False,False,3.0,0.048573,0.28064,-26.272,0.171714,1863.162,213.162,80.791,3.0,low,high,medium,False,False,True,False,False,neutral,medium,0,agent probing question detected,low,AGENT_PROBING,en_AU_Food_1593466:turn:10,1.0,1.0.0,conversation_risk_v1,heuristic_proxy,False,faster-whisper/small,cardiffnlp/twitter-roberta-base-sentiment-latest
en_AU_Food_1593466,11,agent,channel1,8,51.0,53.0,Thank you.,positive,0.8345,False,False,False,False,False,2.0,1.6e-05,0.000275,-95.945,0.045116,1472.39,308.784,138.348,1.0,low,low,high,False,False,False,False,False,positive,medium,0,no strong signal,low,NO_STRONG_SIGNAL,en_AU_Food_1593466:turn:11,1.0,1.0.0,conversation_risk_v1,heuristic_proxy,False,faster-whisper/small,cardiffnlp/twitter-roberta-base-sentiment-latest
en_AU_Food_1593466,12,customer,channel2,4,58.44,68.52,"getting some mix of some sweet and savoury foods, get some pastries, maybe some like fried eggs on toast or like some",neutral,0.6148,False,False,False,False,False,10.08,0.071208,0.684906,-22.949,0.177564,1920.242,177.718,68.231,2.183,medium,medium,low,False,False,False,False,False,neutral,medium,5,medium customer vocal intensity,low,CUST_MEDIUM_VOCAL_INTENSITY,en_AU_Food_1593466:turn:12,1.0,1.0.0,conversation_risk_v1,heuristic_proxy,False,faster-whisper/small,cardiffnlp/twitter-roberta-base-sentiment-latest
en_AU_Food_1593466,13,customer,channel2,5,68.52,77.44,"sliders with some egg and bacon, a bit of a salad, like fruit salad, normal salad and some vegan and",neutral,0.911,False,False,False,False,False,8.92,0.061393,0.6185,-24.238,0.147996,1536.242,157.102,64.258,2.242,medium,medium,low,False,False,False,False,False,neutral,medium,5,medium customer vocal intensity,low,CUST_MEDIUM_VOCAL_INTENSITY,en_AU_Food_1593466:turn:13,1.0,1.0.0,conversation_risk_v1,heuristic_proxy,False,faster-whisper/small,cardiffnlp/twitter-roberta-base-sentiment-latest
