call_id,turn_id,speaker,channel,segment_id,start_time,end_time,text,sentiment_label,sentiment_score,frustration_flag,empathy_flag,probing_flag,ownership_flag,next_steps_flag,segment_duration_sec,rms_energy,peak_amplitude,rms_db,zero_crossing_rate,spectral_centroid,pitch_mean_hz,pitch_std_hz,speaking_rate_wps,volume_level,speaking_rate_level,pitch_level,frustration_flag_bool,empathy_flag_bool,probing_flag_bool,ownership_flag_bool,next_steps_flag_bool,normalized_sentiment,vocal_intensity_level,turn_risk_score,turn_main_signal,turn_risk_level,turn_reason_codes,evidence_id,signal_coverage_confidence,analytical_contract_version,risk_rubric_version,risk_score_type,risk_score_calibrated,asr_model_id,sentiment_model_id
en_CA_Aviation_1592236,1,customer,channel2,1,0.0,2.06,you,neutral,0.5119,False,False,False,False,False,2.06,1e-06,3.1e-05,-119.691,0.000421,574.645,369.673,88.646,0.485,low,low,high,False,False,False,False,False,neutral,medium,5,medium customer vocal intensity,low,CUST_MEDIUM_VOCAL_INTENSITY,en_CA_Aviation_1592236:turn:1,1.0,1.0.0,conversation_risk_v1,heuristic_proxy,False,faster-whisper/small,cardiffnlp/twitter-roberta-base-sentiment-latest
en_CA_Aviation_1592236,2,agent,channel1,1,0.0,7.0,Can you hear me?,neutral,0.8177,False,False,True,False,False,7.0,0.009433,0.184967,-40.507,0.023273,921.271,312.027,128.146,0.571,low,low,high,False,False,True,False,False,neutral,medium,0,agent probing question detected,low,AGENT_PROBING,en_CA_Aviation_1592236:turn:2,1.0,1.0.0,conversation_risk_v1,heuristic_proxy,False,faster-whisper/small,cardiffnlp/twitter-roberta-base-sentiment-latest
en_CA_Aviation_1592236,3,agent,channel1,2,30.0,54.0,Hello. Thank you for calling Air Luxuries. My name is Bob. How can I help you today?,positive,0.6412,False,False,True,False,False,24.0,0.046639,0.752808,-26.625,0.031429,743.237,287.113,133.972,0.708,medium,low,high,False,False,True,False,False,positive,medium,0,agent probing question detected,low,AGENT_PROBING,en_CA_Aviation_1592236:turn:3,1.0,1.0.0,conversation_risk_v1,heuristic_proxy,False,faster-whisper/small,cardiffnlp/twitter-roberta-base-sentiment-latest
en_CA_Aviation_1592236,4,customer,channel2,2,30.0,54.22,"My name is Dorothy Brown, and I have booked an airline ticket from Ottawa to Vancouver",neutral,0.9069,False,False,False,False,False,24.22,0.015579,0.217255,-36.149,0.041846,709.814,314.291,109.009,0.661,low,low,high,False,False,False,False,False,neutral,medium,5,medium customer vocal intensity,low,CUST_MEDIUM_VOCAL_INTENSITY,en_CA_Aviation_1592236:turn:4,1.0,1.0.0,conversation_risk_v1,heuristic_proxy,False,faster-whisper/small,cardiffnlp/twitter-roberta-base-sentiment-latest
en_CA_Aviation_1592236,5,agent,channel1,3,54.0,82.0,"Oh, of course ma'am. We can definitely try to accommodate you on that.",positive,0.863,False,False,False,False,False,28.0,0.027593,0.642914,-31.184,0.034367,812.889,288.688,136.162,0.464,medium,low,high,False,False,False,False,False,positive,medium,0,no strong signal,low,NO_STRONG_SIGNAL,en_CA_Aviation_1592236:turn:5,1.0,1.0.0,conversation_risk_v1,heuristic_proxy,False,faster-whisper/small,cardiffnlp/twitter-roberta-base-sentiment-latest
en_CA_Aviation_1592236,6,customer,channel2,3,54.22,67.8,"for Sunday. But my seat, which I booked online earlier, I now am walking with a cane, and",neutral,0.8609,False,False,False,False,False,13.58,0.023602,0.30191,-32.541,0.120481,1423.737,224.321,93.799,1.325,low,medium,medium,False,False,False,False,False,neutral,low,0,no strong signal,low,NO_STRONG_SIGNAL,en_CA_Aviation_1592236:turn:6,1.0,1.0.0,conversation_risk_v1,heuristic_proxy,False,faster-whisper/small,cardiffnlp/twitter-roberta-base-sentiment-latest
en_CA_Aviation_1592236,7,customer,channel2,4,67.8,74.4,I was just wondering if I could make a seat change to more of the front of the plane instead,neutral,0.8862,False,False,False,False,False,6.6,0.026973,0.226257,-31.381,0.123773,1367.995,209.284,70.353,3.03,medium,high,medium,False,False,False,False,False,neutral,medium,5,medium customer vocal intensity,low,CUST_MEDIUM_VOCAL_INTENSITY,en_CA_Aviation_1592236:turn:7,1.0,1.0.0,conversation_risk_v1,heuristic_proxy,False,faster-whisper/small,cardiffnlp/twitter-roberta-base-sentiment-latest
en_CA_Aviation_1592236,8,customer,channel2,5,74.4,96.0,"of the back of the plane. Okay, it's one, ten, five, two, zero.",neutral,0.8044,False,False,False,False,False,21.6,0.013422,0.296906,-37.444,0.032889,732.388,320.898,110.04,0.602,low,low,high,False,False,False,False,False,neutral,medium,5,medium customer vocal intensity,low,CUST_MEDIUM_VOCAL_INTENSITY,en_CA_Aviation_1592236:turn:8,1.0,1.0.0,conversation_risk_v1,heuristic_proxy,False,faster-whisper/small,cardiffnlp/twitter-roberta-base-sentiment-latest
en_CA_Aviation_1592236,9,agent,channel1,4,82.0,97.0,Could you please give me your confirmation number? I can look up which seat you were.,neutral,0.9258,False,False,True,False,False,15.0,0.04407,0.644836,-27.117,0.048073,911.237,270.005,129.568,1.067,medium,low,medium,False,False,True,False,False,neutral,medium,0,agent probing question detected,low,AGENT_PROBING,en_CA_Aviation_1592236:turn:9,1.0,1.0.0,conversation_risk_v1,heuristic_proxy,False,faster-whisper/small,cardiffnlp/twitter-roberta-base-sentiment-latest
en_CA_Aviation_1592236,10,agent,channel1,5,97.0,102.0,"Okay, thank you very much. I will just look it up here.",positive,0.8347,False,False,False,False,False,5.0,0.042683,0.37738,-27.395,0.079353,1017.407,226.077,114.206,2.4,medium,high,medium,False,False,False,False,False,positive,medium,0,no strong signal,low,NO_STRONG_SIGNAL,en_CA_Aviation_1592236:turn:10,1.0,1.0.0,conversation_risk_v1,heuristic_proxy,False,faster-whisper/small,cardiffnlp/twitter-roberta-base-sentiment-latest
