call_id,turn_id,speaker,channel,segment_id,start_time,end_time,text,sentiment_label,sentiment_score,frustration_flag,empathy_flag,probing_flag,ownership_flag,next_steps_flag,segment_duration_sec,rms_energy,peak_amplitude,rms_db,zero_crossing_rate,spectral_centroid,pitch_mean_hz,pitch_std_hz,speaking_rate_wps,volume_level,speaking_rate_level,pitch_level
en_AU_Technology_1586372,1,agent,channel1,1,0.0,17.04,"Bye, Hank, and I'll see you.",neutral,0.5169,False,False,False,False,False,17.04,0.025481,0.513672,-31.876,0.043973,1206.106,319.318,123.233,0.352,low,low,high
en_AU_Technology_1586372,2,customer,channel2,1,0.0,21.48,"Oh hi, I've just got my laptop here and I've just seen an update on it and now it's just",neutral,0.5583,False,False,False,False,False,21.48,0.027706,0.557861,-31.149,0.080691,1574.45,275.47,136.09,0.931,low,low,high
en_AU_Technology_1586372,3,customer,channel2,2,21.48,32.08,not it's not starting up like it powers up but the screen is just black so like you can't,negative,0.6088,False,False,False,False,False,10.6,0.038587,0.488647,-28.271,0.136938,1929.557,216.315,120.409,1.792,medium,medium,medium
en_AU_Technology_1586372,4,agent,channel1,2,30.0,40.88,"Okay, is that a laptop that you purchased through us? Yeah, can I ask when you purchased",neutral,0.8982,False,False,True,False,False,10.88,0.05582,0.743622,-25.064,0.092527,1501.627,250.701,116.405,1.562,medium,medium,medium
en_AU_Technology_1586372,5,customer,channel2,3,32.08,59.24,see anything. Yes it is. About six months ago. Yeah it came up and it told me it was timed,neutral,0.8429,False,False,False,False,False,27.16,0.019694,0.560486,-34.113,0.066329,1407.945,288.928,136.801,0.736,low,low,high
en_AU_Technology_1586372,6,agent,channel1,3,40.88,51.96,"it? Okay, so it should be still under the warranty. Let's go through some steps together",neutral,0.6993,False,False,True,False,False,11.08,0.062937,0.76355,-24.022,0.100926,1466.731,251.908,116.974,1.444,medium,low,medium
en_AU_Technology_1586372,7,agent,channel1,4,52.04,57.0,and see what you've done. So did you say you just updated the laptop?,neutral,0.9176,False,False,True,False,False,4.96,0.102931,0.998444,-19.749,0.158125,1617.355,220.673,79.238,2.823,high,high,medium
en_AU_Technology_1586372,8,customer,channel2,4,59.24,71.6,updated so I pressed update and now it's just screen is black. I did and it's nothing it's,negative,0.6251,False,False,False,False,False,12.36,0.026093,0.588104,-31.67,0.101194,1648.336,242.557,134.026,1.456,low,medium,medium
en_AU_Technology_1586372,9,agent,channel1,5,65.64,69.32,So did you try to restart it or turn it off and on?,neutral,0.9228,False,False,True,False,False,3.68,0.082171,0.499451,-21.706,0.116543,1492.166,216.848,65.47,3.533,high,high,medium
en_AU_Technology_1586372,10,agent,channel1,6,70.04,75.24,"Okay, did you try to",neutral,0.8692,False,False,False,False,False,5.2,0.030904,0.299225,-30.2,0.048367,1217.148,291.475,129.619,0.962,low,low,high
en_AU_Technology_1586372,11,customer,channel2,5,71.6,94.56,just not responding at all. Yes I have tried that as well and it didn't work. Nothing it,negative,0.8621,False,False,False,False,False,22.96,0.01581,0.420593,-36.021,0.053549,1288.728,283.452,138.854,0.784,low,low,high
