call_id,turn_id,speaker,channel,segment_id,start_time,end_time,text
en_CA_Hospitality_1587316,1,agent,channel1,1,0.0,17.12,"Good afternoon, thank you for calling the Grand View Hotel and Suite."
en_CA_Hospitality_1587316,2,customer,channel2,1,0.0,29.0,"Hi, Sophie. My name is Daniel Ace. I have a reservation for this weekend and I was wondering if there's a chance to upgrade my room."
en_CA_Hospitality_1587316,3,agent,channel1,2,17.12,26.0,"This is Sophie speaking, how may I assist you today?"
en_CA_Hospitality_1587316,4,agent,channel1,3,26.0,36.0,"Oh, congratulations, may I ask what you're celebrating?"
en_CA_Hospitality_1587316,5,customer,channel2,2,29.0,35.0,It's actually a special occasion.
en_CA_Hospitality_1587316,6,customer,channel2,3,35.0,58.0,"That's my wedding anniversary. 10 years. My wife and I wanted to do something nice, so I thought a better room might make it extra special."
en_CA_Hospitality_1587316,7,agent,channel1,4,36.0,53.0,"Oh, that's wonderful. Congratulations to both of you. We'd love to make your day memorable."
en_CA_Hospitality_1587316,8,agent,channel1,5,53.0,67.0,Could I have your check-in date and the name on the reservation so I can look up your booking?
en_CA_Hospitality_1587316,9,customer,channel2,4,58.0,83.0,"Sure. It's under Daniel Ace, checking in this Saturday, November 2nd."
en_CA_Hospitality_1587316,10,agent,channel1,6,67.0,74.0,"Thanks. Okay, one moment while I pull up your reservation."
en_CA_Hospitality_1587316,11,agent,channel1,7,74.0,86.0,"All right, I see that you're currently booked for a king deluxe room for two nights. Checking out Monday morning, is that correct?"
en_CA_Hospitality_1587316,12,customer,channel2,5,83.0,100.0,"Yes, that's the one."
en_CA_Hospitality_1587316,13,agent,channel1,8,86.0,94.0,"Oh, perfect. Okay, so you're interested in an upgrade. So we have a few options that might suit an anniversary celebration."
en_CA_Hospitality_1587316,14,agent,channel1,9,94.0,112.0,"Can I ask what kind of upgrade you had in mind, like for example a suite or a room with a view?"
en_CA_Hospitality_1587316,15,customer,channel2,6,100.0,111.0,I was thinking maybe a suite if the price isn't too crazy. Something with a bit more space. Maybe a nice view or jacuzzi top.
en_CA_Hospitality_1587316,16,agent,channel1,10,112.0,118.0,"Yeah, absolutely, we can check that. So we currently have two suite types available for your dates."
en_CA_Hospitality_1587316,17,agent,channel1,11,118.0,128.0,"There's the executive suite, so it has a separate living area, city, skyline view and a deep soaking tub."
en_CA_Hospitality_1587316,18,agent,channel1,12,128.0,138.0,"And the honeymoon suite offers a jacuzzi, a balcony overlooking the river and has complimentary champagne and chocolate strawberries upon arrival."
en_CA_Hospitality_1587316,19,customer,channel2,7,130.0,149.0,"Hmm, that second one sounds like it was made for us. What's the price difference compared to what I already asked?"
en_CA_Hospitality_1587316,20,agent,channel1,13,149.0,157.0,"Yeah, let's take a look. So your current rate for the king deluxe room is $225 per night."
en_CA_Hospitality_1587316,21,agent,channel1,14,157.0,166.0,So the executive suite is $310 per night and the honeymoon suite is $365 per night.
en_CA_Hospitality_1587316,22,agent,channel1,15,167.0,175.0,"Since it's an anniversary, I can apply our celebration offer, so it gives you 10% off suite upgrades."
en_CA_Hospitality_1587316,23,agent,channel1,16,175.0,181.0,So that would bring this honeymoon suite down to about $329 per night.
en_CA_Hospitality_1587316,24,customer,channel2,8,179.0,208.0,"Hmm, that's actually not bad at all. Is the honeymoon suite still available for both Saturday and Sunday?"
en_CA_Hospitality_1587316,25,agent,channel1,17,181.0,199.0,"Yeah, it is, but I should mention we just have one of those suites and the weekends tend to book quickly."
en_CA_Hospitality_1587316,26,agent,channel1,18,199.0,207.0,"But if you'd like, I can hold it for up to 15 minutes while you decide or we can upgrade you right now to secure it."
en_CA_Hospitality_1587316,27,customer,channel2,9,208.0,231.0,"Okay, let's go ahead and upgrade now. My wife will love that jacuzzi in the balcony. Yeah."
en_CA_Hospitality_1587316,28,agent,channel1,19,211.0,220.0,"Excellent choice. Okay, so I'll make that change for you."
en_CA_Hospitality_1587316,29,agent,channel1,20,220.0,226.0,It'll just adjust your total to reflect the new room rate.
en_CA_Hospitality_1587316,30,agent,channel1,21,226.0,234.0,So would you like me to keep the same payment method on file for the difference?
en_CA_Hospitality_1587316,31,customer,channel2,10,231.0,242.0,"Yes, please."
en_CA_Hospitality_1587316,32,agent,channel1,22,234.0,245.0,"Okay. So while I'm finalizing the upgrade, would you like me to go over the amenities that's included with your new suite?"
en_CA_Hospitality_1587316,33,customer,channel2,11,242.0,245.0,Would that be great?
en_CA_Hospitality_1587316,34,agent,channel1,23,245.0,255.0,"Okay, so the honeymoon suite includes a private jacuzzi tub and furnished balcony with a river view, complimentary welcome champagne and desserts,"
en_CA_Hospitality_1587316,35,agent,channel1,24,255.0,266.0,"24-hour room service and turned down service in the evening, access to the executive lounge, which offers breakfast, snacks and evening cocktails,"
en_CA_Hospitality_1587316,36,agent,channel1,25,266.0,271.0,"permanent free Wi-Fi, spa access and priority check-in service."
en_CA_Hospitality_1587316,37,agent,channel1,26,271.0,292.0,And you'll also receive early access to our spa facilities if you'd like to book a couple's massage during your stay.
en_CA_Hospitality_1587316,38,customer,channel2,12,272.0,301.0,"Wow, that sounds amazing. I didn't even know about the spa access. That's a nice bonus. My wife loves sash. I'm a surpiser with that."
en_CA_Hospitality_1587316,39,agent,channel1,27,292.0,307.0,"Oh, that would be a wonderful surprise. I can send you a link to our spa menu and you can book a treatment directly through your guest portal."
en_CA_Hospitality_1587316,40,customer,channel2,13,301.0,309.0,Please do. I'll definitely check that out later.
en_CA_Hospitality_1587316,41,agent,channel1,28,307.0,325.0,Okay.
