call_id,channel,segment_id,start_time,end_time,text
en_AU_Travel_1591537,channel1,1,0.0,17.56,"Hi there, you've reached Tom at Public Transport Victoria's Customer Help Centre."
en_AU_Travel_1591537,channel1,2,17.56,46.56,"Hi, you've reached Tom at Public Transport Victoria's Customer Help Centre."
en_AU_Travel_1591537,channel1,3,46.56,56.56,How can I help you today?
en_AU_Travel_1591537,channel1,4,56.56,63.56,"Yeah, sure, not a problem. Just before we get started, could I please know your name?"
en_AU_Travel_1591537,channel1,5,63.56,68.56,"Sure, thanks Laura. Okay, so I'm sorry to hear that you've lost your Mikey card."
en_AU_Travel_1591537,channel1,6,68.56,75.56,Do you know if your Mikey was registered with your details?
en_AU_Travel_1591537,channel1,7,75.56,91.56,"Yeah, not a problem. Well, I can see that you do have an account with us just based on the number that you've called from."
en_AU_Travel_1591537,channel1,8,91.56,101.56,"For security reasons, could I just verify the last four digits of your mobile number, please Laura?"
en_AU_Travel_1591537,channel1,9,101.56,111.56,"Thanks for that. And just the date and month of your birth, no need for the year."
en_AU_Travel_1591537,channel1,10,111.56,124.56,"Great, thanks very much. Okay, so I'm just pulling up your details here. And where were you travelling to and from today?"
en_AU_Travel_1591537,channel1,11,124.56,142.56,"Okay, heading home to Toronto. And were you making your way downtown on tram or train or bus?"
en_AU_Travel_1591537,channel1,12,142.56,169.56,"Okay, alright, so just checking here. And you touched on at all instances across that journey?"
en_AU_Travel_1591537,channel1,13,169.56,183.56,"Alright. Okay, and do you know an approximate value that was stored on that Mikey card?"
en_AU_Travel_1591537,channel1,14,183.56,193.56,"Okay, unfortunately the only Mikey's that I can see registered to your account are three expired ones."
en_AU_Travel_1591537,channel1,15,193.56,200.56,"And there is currently one active one, but there is only $15.85 listed on that."
en_AU_Travel_1591537,channel1,16,200.56,214.56,But the last time that that was used was in February 14.
en_AU_Travel_1591537,channel1,17,214.56,232.56,"Unfortunately not, I'm sorry. I can absolutely put through a request to our lost and found just in case a fellow passenger has located that one and handed it into a driver or potentially the cleaning crew or the driver themselves may have found it."
en_AU_Travel_1591537,channel1,18,232.56,259.56,But that would probably be the extent that we'd be able to do for that one just because it wasn't registered to any account. So effectively it's like thinking that like a gift card.
en_AU_Travel_1591537,channel1,19,259.56,268.56,"Yeah, so I've already sent through your details to our lost and found, which covers the entire public transport Victorian network, including the V line."
en_AU_Travel_1591537,channel1,20,268.56,282.56,So that's already sorted. I've provided the mobile number that you confirmed and called in on. So we do have your details here along with your email address that was linked to your PTV accounts.
