call_id,turn_id,speaker,channel,segment_id,start_time,end_time,text,sentiment_label,sentiment_score,frustration_flag,empathy_flag,probing_flag,ownership_flag,next_steps_flag,segment_duration_sec,rms_energy,peak_amplitude,rms_db,zero_crossing_rate,spectral_centroid,pitch_mean_hz,pitch_std_hz,speaking_rate_wps,volume_level,speaking_rate_level,pitch_level,frustration_flag_bool,empathy_flag_bool,probing_flag_bool,ownership_flag_bool,next_steps_flag_bool,normalized_sentiment,vocal_intensity_level,turn_risk_score,turn_main_signal,turn_risk_level,turn_reason_codes,evidence_id,signal_coverage_confidence,analytical_contract_version,risk_rubric_version,risk_score_type,risk_score_calibrated,asr_model_id,sentiment_model_id
en_CA_Insurance_1587317,1,agent,channel1,1,0.0,18.88,"Good afternoon, thank you for calling Brightsure Home Insurance, this is Melissa speaking.",positive,0.8794,False,False,False,False,False,18.88,0.031439,0.558838,-30.051,0.050978,836.077,237.504,105.167,0.689,low,low,medium,False,False,False,False,False,positive,low,0,no strong signal,low,NO_STRONG_SIGNAL,en_CA_Insurance_1587317:turn:1,1.0,1.0.0,conversation_risk_v1,heuristic_proxy,False,faster-whisper/small,cardiffnlp/twitter-roberta-base-sentiment-latest
en_CA_Insurance_1587317,2,customer,channel2,1,0.0,29.38,"This is Robert, I got a home insurance policy with you and I recently finished some renovation",neutral,0.7998,False,False,False,False,False,29.38,0.047212,0.618805,-26.519,0.021061,277.726,338.49,108.984,0.579,medium,low,high,False,False,False,False,False,neutral,medium,5,medium customer vocal intensity,low,CUST_MEDIUM_VOCAL_INTENSITY,en_CA_Insurance_1587317:turn:2,1.0,1.0.0,conversation_risk_v1,heuristic_proxy,False,faster-whisper/small,cardiffnlp/twitter-roberta-base-sentiment-latest
en_CA_Insurance_1587317,3,agent,channel1,2,18.88,25.88,How can I help you today?,neutral,0.7191,False,False,True,False,False,7.0,0.018358,0.209656,-34.723,0.026947,670.673,279.621,132.677,0.857,low,low,high,False,False,True,False,False,neutral,medium,0,agent probing question detected,low,AGENT_PROBING,en_CA_Insurance_1587317:turn:3,1.0,1.0.0,conversation_risk_v1,heuristic_proxy,False,faster-whisper/small,cardiffnlp/twitter-roberta-base-sentiment-latest
en_CA_Insurance_1587317,4,agent,channel1,3,25.88,43.08,"Oh, that's a great idea Robert, congratulations on the renovation, it's always smart to review",positive,0.9829,False,False,False,False,False,17.2,0.047932,0.916901,-26.388,0.043956,828.169,271.602,125.224,0.872,medium,low,high,False,False,False,False,False,positive,medium,0,no strong signal,low,NO_STRONG_SIGNAL,en_CA_Insurance_1587317:turn:4,1.0,1.0.0,conversation_risk_v1,heuristic_proxy,False,faster-whisper/small,cardiffnlp/twitter-roberta-base-sentiment-latest
en_CA_Insurance_1587317,5,customer,channel2,2,29.38,53.38,on my house. I wanted to update my policy to make sure everything is properly covered.,neutral,0.6742,False,False,False,False,False,24.0,0.035316,0.563263,-29.041,0.02143,318.455,341.623,112.166,0.667,low,low,high,False,False,False,False,False,neutral,medium,5,medium customer vocal intensity,low,CUST_MEDIUM_VOCAL_INTENSITY,en_CA_Insurance_1587317:turn:5,1.0,1.0.0,conversation_risk_v1,heuristic_proxy,False,faster-whisper/small,cardiffnlp/twitter-roberta-base-sentiment-latest
en_CA_Insurance_1587317,6,agent,channel1,4,43.08,48.48,"your coverage after making improvements, I can help you update your policy.",neutral,0.622,False,False,False,True,False,5.4,0.054093,0.618591,-25.337,0.112244,1297.755,198.385,65.505,2.222,medium,high,low,False,False,False,True,False,neutral,medium,0,agent ownership detected,low,AGENT_OWNERSHIP,en_CA_Insurance_1587317:turn:6,1.0,1.0.0,conversation_risk_v1,heuristic_proxy,False,faster-whisper/small,cardiffnlp/twitter-roberta-base-sentiment-latest
en_CA_Insurance_1587317,7,agent,channel1,5,48.48,55.48,Can I start by getting your policy number or the address on the policy?,neutral,0.9344,False,False,True,False,False,7.0,0.047459,0.449371,-26.474,0.062616,926.377,272.361,110.261,2.0,medium,high,high,False,False,True,False,False,neutral,high,0,agent probing question detected,low,AGENT_PROBING,en_CA_Insurance_1587317:turn:7,1.0,1.0.0,conversation_risk_v1,heuristic_proxy,False,faster-whisper/small,cardiffnlp/twitter-roberta-base-sentiment-latest
en_CA_Insurance_1587317,8,customer,channel2,3,53.38,75.38,"The policy number is H-49321 and the address is 248 Pineview Avenue, Ottawa.",neutral,0.9409,False,False,False,False,False,22.0,0.052507,0.665802,-25.596,0.028785,428.896,301.935,130.412,0.591,medium,low,high,False,False,False,False,False,neutral,medium,5,medium customer vocal intensity,low,CUST_MEDIUM_VOCAL_INTENSITY,en_CA_Insurance_1587317:turn:8,1.0,1.0.0,conversation_risk_v1,heuristic_proxy,False,faster-whisper/small,cardiffnlp/twitter-roberta-base-sentiment-latest
en_CA_Insurance_1587317,9,agent,channel1,6,55.48,71.24,"Oh, thanks, one moment while I bring up your account, okay I see your file here, so you've",neutral,0.5144,False,False,False,False,False,15.76,0.032725,0.389374,-29.702,0.050799,829.729,269.512,126.915,1.142,low,medium,high,False,False,False,False,False,neutral,medium,0,no strong signal,low,NO_STRONG_SIGNAL,en_CA_Insurance_1587317:turn:9,1.0,1.0.0,conversation_risk_v1,heuristic_proxy,False,faster-whisper/small,cardiffnlp/twitter-roberta-base-sentiment-latest
en_CA_Insurance_1587317,10,agent,channel1,7,71.24,77.0,"had your policy with us since 2018, correct?",neutral,0.9474,False,False,True,False,False,5.76,0.036638,0.351044,-28.721,0.069306,931.772,263.295,105.059,1.389,low,medium,medium,False,False,True,False,False,neutral,low,0,agent probing question detected,low,AGENT_PROBING,en_CA_Insurance_1587317:turn:10,1.0,1.0.0,conversation_risk_v1,heuristic_proxy,False,faster-whisper/small,cardiffnlp/twitter-roberta-base-sentiment-latest
en_CA_Insurance_1587317,11,customer,channel2,4,75.38,95.38,We finished our basement and added a small home office and battery down there. We also replaced,neutral,0.7044,False,False,False,False,False,20.0,0.065187,0.701904,-23.717,0.046775,605.639,271.486,130.068,0.85,high,low,high,False,False,False,False,False,neutral,high,15,high customer vocal intensity,low,CUST_HIGH_VOCAL_INTENSITY,en_CA_Insurance_1587317:turn:11,1.0,1.0.0,conversation_risk_v1,heuristic_proxy,False,faster-whisper/small,cardiffnlp/twitter-roberta-base-sentiment-latest
en_CA_Insurance_1587317,12,agent,channel1,8,77.0,85.76,"Oh, wonderful, thank you for your customer loyalty, could you tell me a little more about",positive,0.9849,False,False,False,False,False,8.76,0.056371,0.397888,-24.979,0.070218,1005.435,242.357,104.442,1.826,medium,high,medium,False,False,False,False,False,positive,medium,0,no strong signal,low,NO_STRONG_SIGNAL,en_CA_Insurance_1587317:turn:12,1.0,1.0.0,conversation_risk_v1,heuristic_proxy,False,faster-whisper/small,cardiffnlp/twitter-roberta-base-sentiment-latest
en_CA_Insurance_1587317,13,agent,channel1,9,85.76,92.76,the renovations you've done?,neutral,0.9415,False,False,True,False,False,7.0,0.025191,0.364197,-31.975,0.029406,646.397,299.691,123.225,0.571,low,low,high,False,False,True,False,False,neutral,medium,0,agent probing question detected,low,AGENT_PROBING,en_CA_Insurance_1587317:turn:13,1.0,1.0.0,conversation_risk_v1,heuristic_proxy,False,faster-whisper/small,cardiffnlp/twitter-roberta-base-sentiment-latest
en_CA_Insurance_1587317,14,agent,channel1,10,92.76,119.48,"Ah, that sounds fantastic, those are definitely updates worth notifying us about, the renovations",positive,0.9833,False,False,False,False,False,26.72,0.033252,0.509277,-29.564,0.033972,710.481,284.171,128.132,0.524,low,low,high,False,False,False,False,False,positive,medium,0,no strong signal,low,NO_STRONG_SIGNAL,en_CA_Insurance_1587317:turn:14,1.0,1.0.0,conversation_risk_v1,heuristic_proxy,False,faster-whisper/small,cardiffnlp/twitter-roberta-base-sentiment-latest
en_CA_Insurance_1587317,15,customer,channel2,5,95.38,111.38,"the roof and upgraded the electrical wiring throughout the house. It ended up being a bit more work than planned, but it's looking great now.",positive,0.8317,False,False,False,False,False,16.0,0.087128,0.665588,-21.197,0.063814,836.481,211.637,104.631,1.562,high,medium,low,False,False,False,False,False,positive,medium,5,medium customer vocal intensity,low,CUST_MEDIUM_VOCAL_INTENSITY,en_CA_Insurance_1587317:turn:15,1.0,1.0.0,conversation_risk_v1,heuristic_proxy,False,faster-whisper/small,cardiffnlp/twitter-roberta-base-sentiment-latest
en_CA_Insurance_1587317,16,agent,channel1,11,119.48,124.12,can increase your home's replacement value and improve safety and that can affect your,neutral,0.6143,False,False,False,False,False,4.64,0.057589,0.676422,-24.793,0.110679,1299.299,205.907,59.731,3.017,medium,high,low,False,False,False,False,False,neutral,medium,0,no strong signal,low,NO_STRONG_SIGNAL,en_CA_Insurance_1587317:turn:16,1.0,1.0.0,conversation_risk_v1,heuristic_proxy,False,faster-whisper/small,cardiffnlp/twitter-roberta-base-sentiment-latest
en_CA_Insurance_1587317,17,agent,channel1,12,124.12,129.12,coverage and premiums.,neutral,0.8302,False,False,False,False,False,5.0,0.01706,0.261902,-35.36,0.030544,714.733,265.977,129.106,0.6,low,low,high,False,False,False,False,False,neutral,medium,0,no strong signal,low,NO_STRONG_SIGNAL,en_CA_Insurance_1587317:turn:17,1.0,1.0.0,conversation_risk_v1,heuristic_proxy,False,faster-whisper/small,cardiffnlp/twitter-roberta-base-sentiment-latest
