call_id,turn_id,speaker,channel,segment_id,start_time,end_time,text,sentiment_label,sentiment_score,frustration_flag,empathy_flag,probing_flag,ownership_flag,next_steps_flag
en_AU_Travel_1591537,1,customer,channel2,1,0.0,2.06,you,neutral,0.5119,False,False,False,False,False
en_AU_Travel_1591537,2,agent,channel1,1,0.0,17.56,"Hi there, you've reached Tom at Public Transport Victoria's Customer Help Centre.",neutral,0.8542,False,False,False,False,False
en_AU_Travel_1591537,3,agent,channel1,2,17.56,46.56,"Hi, you've reached Tom at Public Transport Victoria's Customer Help Centre.",neutral,0.8791,False,False,False,False,False
en_AU_Travel_1591537,4,customer,channel2,2,30.0,56.88,I was traveling today and I seem to have lost my mickey just wondering if you can help me with that,neutral,0.5519,False,False,False,False,False
en_AU_Travel_1591537,5,agent,channel1,3,46.56,56.56,How can I help you today?,neutral,0.7191,False,False,True,False,False
en_AU_Travel_1591537,6,agent,channel1,4,56.56,63.56,"Yeah, sure, not a problem. Just before we get started, could I please know your name?",neutral,0.5424,False,False,True,False,False
en_AU_Travel_1591537,7,customer,channel2,3,60.0,81.88,I think so I'm hoping so there's a lot of money on it so I'm obviously pretty nervous about losing,neutral,0.4203,False,False,False,False,False
en_AU_Travel_1591537,8,agent,channel1,5,63.56,68.56,"Sure, thanks Laura. Okay, so I'm sorry to hear that you've lost your Mikey card.",neutral,0.4967,False,False,False,False,False
en_AU_Travel_1591537,9,agent,channel1,6,68.56,75.56,Do you know if your Mikey was registered with your details?,neutral,0.9513,False,False,True,False,False
en_AU_Travel_1591537,10,agent,channel1,7,75.56,91.56,"Yeah, not a problem. Well, I can see that you do have an account with us just based on the number that you've called from.",neutral,0.6513,False,False,False,False,False
en_AU_Travel_1591537,11,customer,channel2,4,82.64,108.68,Is there any way I can check yeah it's two three four six,neutral,0.8779,False,False,False,False,False
en_AU_Travel_1591537,12,agent,channel1,8,91.56,101.56,"For security reasons, could I just verify the last four digits of your mobile number, please Laura?",neutral,0.8843,False,False,True,False,False
en_AU_Travel_1591537,13,agent,channel1,9,101.56,111.56,"Thanks for that. And just the date and month of your birth, no need for the year.",positive,0.7228,False,False,False,False,False
en_AU_Travel_1591537,14,customer,channel2,5,108.68,122.28,the date of the month so it would be the fifth of the six so I was just in the,neutral,0.9081,False,False,False,False,False
en_AU_Travel_1591537,15,agent,channel1,10,111.56,124.56,"Great, thanks very much. Okay, so I'm just pulling up your details here. And where were you travelling to and from today?",positive,0.8837,False,False,True,False,False
en_AU_Travel_1591537,16,customer,channel2,6,122.28,137.8,city and heading home to Turak I was traveling by train but then I got off,neutral,0.9251,False,False,False,False,False
en_AU_Travel_1591537,17,agent,channel1,11,124.56,142.56,"Okay, heading home to Toronto. And were you making your way downtown on tram or train or bus?",neutral,0.9509,False,False,True,False,False
en_AU_Travel_1591537,18,customer,channel2,7,138.32,154.84,and caught the tram so there was two like modes of transport yeah so like on the,neutral,0.8947,False,False,False,False,False
en_AU_Travel_1591537,19,agent,channel1,12,142.56,169.56,"Okay, alright, so just checking here. And you touched on at all instances across that journey?",neutral,0.9098,False,False,True,False,False
en_AU_Travel_1591537,20,customer,channel2,8,154.84,161.08,way in I got the tram and the train in so tapped on both and then the same would,neutral,0.8742,False,False,False,False,False
en_AU_Travel_1591537,21,customer,channel2,9,161.08,168.68,have been on the way home but at some stage along my trip home I've lost the,neutral,0.6551,False,False,False,False,False
en_AU_Travel_1591537,22,customer,channel2,10,168.68,183.04,mickey before I got the tram yeah there was $185 or about that I would have used it,neutral,0.8214,False,False,False,False,False
en_AU_Travel_1591537,23,agent,channel1,13,169.56,183.56,"Alright. Okay, and do you know an approximate value that was stored on that Mikey card?",neutral,0.9272,False,False,True,False,False
en_AU_Travel_1591537,24,customer,channel2,11,183.04,185.24,once,neutral,0.5748,False,False,False,False,False
en_AU_Travel_1591537,25,agent,channel1,14,183.56,193.56,"Okay, unfortunately the only Mikey's that I can see registered to your account are three expired ones.",negative,0.7938,False,False,False,False,False
en_AU_Travel_1591537,26,customer,channel2,12,185.24,215.08,"Oh no, so it sounds like I haven't registered it, is there anything else that I can do?",negative,0.7815,False,False,False,False,False
en_AU_Travel_1591537,27,agent,channel1,15,193.56,200.56,"And there is currently one active one, but there is only $15.85 listed on that.",neutral,0.8791,False,False,False,False,False
en_AU_Travel_1591537,28,agent,channel1,16,200.56,214.56,But the last time that that was used was in February 14.,neutral,0.8678,False,False,False,False,False
en_AU_Travel_1591537,29,agent,channel1,17,214.56,232.56,"Unfortunately not, I'm sorry. I can absolutely put through a request to our lost and found just in case a fellow passenger has located that one and handed it into a driver or potentially the cleaning crew or the driver themselves may have found it.",negative,0.5104,False,False,False,False,False
en_AU_Travel_1591537,30,agent,channel1,18,232.56,259.56,But that would probably be the extent that we'd be able to do for that one just because it wasn't registered to any account. So effectively it's like thinking that like a gift card.,neutral,0.8467,False,False,False,False,False
en_AU_Travel_1591537,31,customer,channel2,13,245.4,252.84,"Yeah, okay. Damn, that's disappointing. Alright, so yeah, I'll try and find it",negative,0.8863,False,False,False,False,False
en_AU_Travel_1591537,32,customer,channel2,14,252.84,258.92,the best I can and obviously just check in. Will you leave my details with the lost property so,neutral,0.8791,False,False,False,False,False
en_AU_Travel_1591537,33,customer,channel2,15,258.92,270.92,they'll just call me right?,neutral,0.8619,False,False,False,False,False
en_AU_Travel_1591537,34,agent,channel1,19,259.56,268.56,"Yeah, so I've already sent through your details to our lost and found, which covers the entire public transport Victorian network, including the V line.",neutral,0.8772,False,False,False,False,False
en_AU_Travel_1591537,35,agent,channel1,20,268.56,282.56,So that's already sorted. I've provided the mobile number that you confirmed and called in on. So we do have your details here along with your email address that was linked to your PTV accounts.,neutral,0.7181,False,False,False,False,False
en_AU_Travel_1591537,36,agent,channel1,21,282.56,304.56,So you can expect to hear from the team within the next 72 hours if anything has been found. If you haven't heard anything by then it's probably likely it hasn't been handed in that by all means feel free to give us a call back if you did want to sort of confirm that over the phone as well.,neutral,0.8413,False,False,False,False,False
en_AU_Travel_1591537,37,customer,channel2,16,305.8,312.2,"Okay, cool, not a problem. Now also, I've got kind of a few",positive,0.6225,False,False,False,False,False
en_AU_Travel_1591537,38,customer,channel2,17,312.84,319.32,Mikey's around the house. I haven't registered all of them obviously because they're not showing,neutral,0.6954,False,False,False,False,False
en_AU_Travel_1591537,39,agent,channel1,22,313.56,338.56,"Yeah, absolutely.",positive,0.4347,False,False,False,False,False
en_AU_Travel_1591537,40,customer,channel2,18,319.32,326.92,up from what you said. What can I do with all of them? Because I've got so many that I keep buying,neutral,0.7872,False,False,False,False,False
en_AU_Travel_1591537,41,customer,channel2,19,326.92,332.76,"because on the way to work I'll forget that I have one, but I obviously don't need that many",neutral,0.4703,False,False,False,False,False
en_AU_Travel_1591537,42,customer,channel2,20,332.76,340.6,"Mikey's and they're accumulating. So yeah, do I have any options with all of those cards?",neutral,0.8525,False,False,False,False,False
en_AU_Travel_1591537,43,agent,channel1,23,338.56,350.56,"Yeah, absolutely. So there's a couple of different options that we can look up for you if there is any. Well, as you said, yes, they don't seem to be registered unless they registered on another account that you do have with us.",neutral,0.8543,False,False,False,False,False
