call_id,channel,segment_id,start_time,end_time,text
en_CA_Aviation_1590992,channel1,1,0.0,28.0,Thank you for calling Pink Airlines. This is Julia speaking. How can I help you?
en_CA_Aviation_1590992,channel1,2,28.0,40.0,"Oh, I see. Okay. I'm very sorry to hear that. I know that we do typically have a way of going by this and running this by."
en_CA_Aviation_1590992,channel1,3,40.0,48.0,"But yeah, so you said you wanted to cancel your, or sorry, change your flight. Is that correct? Okay."
en_CA_Aviation_1590992,channel1,4,48.0,54.0,Yep. We can look and see if this might be possible here. May I have your flight number?
en_CA_Aviation_1590992,channel1,5,58.0,68.0,Okay. Wonderful. I'm just going to confirm that really quickly. So that is PA640. Is that correct?
en_CA_Aviation_1590992,channel1,6,68.0,86.0,"Okay. Wonderful. Thank you, Hannah. So yeah, I'm just looking at my system right now. I know that because it's not, like, depending on the reason, it doesn't sound like this is, you know, you know, life or death situation."
en_CA_Aviation_1590992,channel1,7,86.0,100.0,"We can't really cancel unless, you know, it has something to do with, like, if it's not mandatory, we can't really cancel it. You know, there would be some protocols, like whether it would have to be a death or it would have to be an injury."
en_CA_Aviation_1590992,channel1,8,100.0,114.0,"Those are the main ways we're able to cancel flights. And even if it was, for example, a death, we would have to get the death certificate in order to go ahead and change or cancel and stuff like that."
en_CA_Aviation_1590992,channel1,9,114.0,139.0,"You know, because there is a way we go about this, unfortunately, but I'll see what we can do."
en_CA_Aviation_1590992,channel1,10,139.0,147.0,Okay. All right.
en_CA_Aviation_1590992,channel1,11,147.0,157.0,Okay.
en_CA_Aviation_1590992,channel1,12,157.0,164.0,"Okay. I totally understand that, Hannah. However, I know that a lot of our economies, these are actually already taken."
en_CA_Aviation_1590992,channel1,13,164.0,176.0,"So even if this is possible, which it might be, like I said, I'm going to go ahead and speak with my manager, or I didn't tell you that yet. But what I will do is speak with my manager and I'll be placing you on a brief hold."
en_CA_Aviation_1590992,channel1,14,176.0,189.0,But it might be likely that there is not enough economy flights available because it's a packed flight. But I will check and let you know. I really hope we can help you on this here.
en_CA_Aviation_1590992,channel1,15,189.0,207.0,"Oh, the extra fees. Okay. Yeah. And there might be some extra fees as well."
en_CA_Aviation_1590992,channel1,16,207.0,221.0,"Like I said, like canceling or changing flights, it's something that is a tricky situation because usually we do have to charge some kind of fee for that. But I'm going to go ahead and look into this for you here."
en_CA_Aviation_1590992,channel1,17,221.0,246.0,"If you don't mind, I just would like for you to confirm because I know that you gave me your flight number. Could you please confirm your email address?"
en_CA_Aviation_1590992,channel1,18,246.0,257.0,"Okay. Perfect. Thank you for that. All right, I'm just going to go ahead and place you on a brief hold. Is that okay with you? And I'm just going to ask my manager what we can do for you here. Okay."
en_CA_Aviation_1590992,channel1,19,257.0,269.0,Okay. All right. Just one moment.
en_CA_Aviation_1590992,channel1,20,269.0,288.0,"Hi. Hi, Hannah. Are you still there? Sorry, I'm just waiting for my manager. He should be with me in a couple seconds and I'll take you off a hold soon. Okay."
en_CA_Aviation_1590992,channel1,21,289.0,307.0,Okay. Wonderful.
en_CA_Aviation_1590992,channel1,22,307.0,328.0,"Okay. Hi, Hannah. Thank you for holding. So, yeah, I did speak with my manager. She did let me know that there is going to be a $100 fee to change your flight. It looks like it is possible. That is the great part about, I guess, you can say the positive part about this."
en_CA_Aviation_1590992,channel1,23,328.0,345.0,"Because we can make the change. However, it will be a $100 fee to change. And also, there's economy plus, that's the only seats available. I hope you don't mind or how do you feel about that? I hope that's okay with you."
en_CA_Aviation_1590992,channel1,24,345.0,357.0,But it's just our only options right now because it's a full flight at this time.
en_CA_Aviation_1590992,channel1,25,357.0,374.0,"It would be $100 per person. So, yeah, it is the policy. Unfortunately, there's no way to go around that. But yeah, $100 per person, if you would like to request to, you would need to pay it upfront."
en_CA_Aviation_1590992,channel1,26,374.0,389.0,"But if you would like to request to speak with someone regarding this or, you know, maybe get it waived after you pay, that is also an option. I can give you the email to our department that handles these matters."
en_CA_Aviation_1590992,channel1,27,389.0,403.0,Because sometimes the passengers do want to discuss getting a refund after they have to pay the extra charge for changing their flight. There might be an email I can give you and hopefully there's something they can do for you. Would you like that email?
en_CA_Aviation_1590992,channel1,28,403.0,411.0,Okay.
en_CA_Aviation_1590992,channel1,29,411.0,420.0,"Cheaper alternatives? Okay, there may be. There may be a cheaper alternative for you. I'm just going to go ahead and look here."
en_CA_Aviation_1590992,channel1,30,420.0,427.0,"So, where are you?"
en_CA_Aviation_1590992,channel1,31,427.0,444.0,"Of this month. Okay. Well, because it's the end of the month, it might be cheaper actually. It might be cheaper because, but usually the end of the month, it's our flights are a lot cheaper around that time and, you know, most people aren't really traveling."
en_CA_Aviation_1590992,channel1,32,444.0,450.0,"Yeah. So, yeah, let me go ahead and check. Can I place you on another brief hold?"
en_CA_Aviation_1590992,channel1,33,450.0,465.0,Okay. Thank you.
en_CA_Aviation_1590992,channel1,34,465.0,481.0,"Hi, Hannah. Thank you for holding. Yeah, so it does say that the 28th is available. So, yeah, we can go ahead and change it. So you said just to confirm you said the 28th, right?"
en_CA_Aviation_1590992,channel1,35,481.0,499.0,"Yeah, so the fee for that instead of $100, it will be $50. So, it's half off. So, you know, there's still is a fee, but it's cheaper than $100 like from before. So, yes, it would be a $50 charge per person."
en_CA_Aviation_1590992,channel1,36,512.0,531.0,"Okay. I know the late flights are usually a lot cheaper. It looks like we can get you in. So $50 and yeah, actually, it's 10 p.m. if you were to leave at 10 p.m. that, yeah, that's actually the $50 flight I'm talking about."
en_CA_Aviation_1590992,channel1,37,532.0,543.0,"When you leave later on in the day, it's typically always cheaper. So, yeah, that's the one we're talking about. But yeah, are you okay with leaving at 10 p.m. at night?"
en_CA_Aviation_1590992,channel1,38,546.0,547.0,Okay.
en_CA_Aviation_1590992,channel1,39,547.0,573.0,"A layover. That might be an option. I know that some people prefer a layover. It might bring up the cost in some cases depending on where the layover is, but I can look into that for you here. I probably don't need to place you on hold because I already have the screen open. But let me check."
en_CA_Aviation_1590992,channel1,40,577.0,599.0,"Oh, no worries. It happens all the time. And I actually just spoke with a customer before you. She was looking for a cheaper alternative as well because she had to change her flight."
en_CA_Aviation_1590992,channel1,41,599.0,612.0,"So, you know what things happen and we were able to come up with some kind of alternative for her. So hopefully we can do this for you as well. But upon checking on my system, it does say that if you do, we can offer you a layover."
en_CA_Aviation_1590992,channel1,42,613.0,623.0,"So we can offer you a layover in here. Yeah, we can offer you a layover. It looks like you're headed to Turkey. Is that correct?"
en_CA_Aviation_1590992,channel1,43,624.0,638.0,"And then, okay, so then the layover would be in Poland and then there's a connecting flight. So the layover is in Poland and then it will take you straight to Turkey. So yeah. And that, go ahead."
en_CA_Aviation_1590992,channel1,44,638.0,655.0,"The layover is, it's going to be 6 hours. So you're going to be at the airport or wherever you want to go until your flight comes. It's going to be a 6 hour layover. Is that okay with you?"
en_CA_Aviation_1590992,channel1,45,656.0,680.0,"So it does actually bring down the price now. I'm just looking at the price. It is now $30 to change. So it's no longer $50 per person. It is now $30 per person. So yeah, hopefully that's okay."
en_CA_Aviation_1590992,channel1,46,680.0,698.0,"Okay. All right. I'm going to go ahead and do that for you. And just so you know, when you do get this confirmation, there's no, we can't allow other changes. We only allow one change at pink airlines per reservation."
en_CA_Aviation_1590992,channel1,47,699.0,709.0,"So yeah, I hope that's okay with you, but there would be, there would be no way we can, you know, do anything if you have to change this one again. So hopefully this."
en_CA_Aviation_1590992,channel1,48,710.0,711.0,"Yes, it is our."
en_CA_Aviation_1590992,channel1,49,711.0,732.0,It is economy. It is economy. Yes. So that's that's what you wanted originally. I'm happy. I was able to help you with that. It is economy. You have the window seat and also the.
en_CA_Aviation_1590992,channel1,50,733.0,744.0,"The aisle seat. Is that okay with you or would you, would you and your husband want to sit beside each other because it looks like someone is going to be sitting in between you guys, but I don't know if that's."
en_CA_Aviation_1590992,channel1,51,745.0,759.0,"Okay, let me double check that then because yeah, it looks like someone is going to be sitting in between you guys. So, but upon checking, there's actually two seats behind. There's two seats behind you guys."
en_CA_Aviation_1590992,channel1,52,759.0,771.0,I can go ahead and put you guys there and then you guys would be beside each other and it's still economy and it's still the same price. So no worries. Let me just do that for you.
en_CA_Aviation_1590992,channel1,53,772.0,780.0,"Okay, so I just made that change for you. And what I will do."
en_CA_Aviation_1590992,channel1,54,783.0,789.0,"Okay, I'm just going to send you an email just to confirm all this as well. And that will be just a couple seconds."
en_CA_Aviation_1590992,channel1,55,793.0,797.0,"Okay, absolutely. This will be sent off very soon."
