call_id,turn_id,speaker,channel,segment_id,start_time,end_time,text,sentiment_label,sentiment_score,frustration_flag,empathy_flag,probing_flag,ownership_flag,next_steps_flag
en_CA_RealEstate_1590992,1,agent,channel1,1,0.0,2.54,Super calling express real key. How can I help you?,neutral,0.7589,False,False,True,False,False
en_CA_RealEstate_1590992,2,customer,channel2,1,0.0,9.8,"Yeah, hey there. My name is Tina. I'm calling because I'm looking for an apartment and I",neutral,0.6808,False,False,False,False,False
en_CA_RealEstate_1590992,3,customer,channel2,2,9.8,13.44,wanted to talk to somebody. I don't know if you can put me in touch with a realtor,neutral,0.6387,False,False,False,False,False
en_CA_RealEstate_1590992,4,customer,channel2,3,14.28,17.2,about the availability.,neutral,0.8781,False,False,False,False,False
en_CA_RealEstate_1590992,5,customer,channel2,4,17.2,45.36,"Oh, I don't know that depends. I need to look at the houses, the apartments first before it",neutral,0.8432,False,False,False,False,False
en_CA_RealEstate_1590992,6,agent,channel1,2,19.16,29.22,"Excellent. Yes, we have several fantastic properties in the area and we can definitely get you in touch with somebody. Let me check whether or not",positive,0.9608,False,False,False,True,False
en_CA_RealEstate_1590992,7,agent,channel1,3,30.0,38.18,we have an agent available. Could you actually just confirm your desired move in date and around what time you're looking to move in?,neutral,0.9308,False,False,True,False,False
en_CA_RealEstate_1590992,8,customer,channel2,5,45.36,51.8,"will probably be before spring. Yeah, I don't know yet. It depends on what we find.",neutral,0.8733,False,False,False,False,False
en_CA_RealEstate_1590992,9,customer,channel2,6,51.8,70.92,"Oh, I don't know. Again, things are super flexible. It depends on if we get an accepted offer on our",neutral,0.7885,False,False,False,False,False
en_CA_RealEstate_1590992,10,agent,channel1,4,53.6,58.24,"Okay, absolutely. I'm going to go ahead and see if we can get you a advisor.",neutral,0.527,False,False,False,False,False
en_CA_RealEstate_1590992,11,agent,channel1,5,59.18,62.5,"And just to be sure, what date did you have in mind?",neutral,0.9033,False,False,True,False,False
en_CA_RealEstate_1590992,12,agent,channel1,6,62.5,72.5,"Great. Okay. Green view. Hi. I know that we don't have much problem with that, but I'm going to go ahead and go ahead and see if we can get you in touch with somebody or not, but I'm going to go ahead and see if we can get you in touch with somebody.",positive,0.7285,False,False,False,False,False
en_CA_RealEstate_1590992,13,customer,channel2,7,70.92,81.68,place. So I'm really focused on just two areas. So maybe you can put within that focus on the,neutral,0.7833,False,False,False,False,False
en_CA_RealEstate_1590992,14,customer,channel2,8,81.68,111.48,"Riverside area or the Greenview Heights. Yeah, it's fine. And I'm open to nearby areas.",positive,0.7019,False,False,False,False,False
en_CA_RealEstate_1590992,15,agent,channel1,7,92.5,107.5,"There are a lot of properties available. A lot of them have already been sold or either conditionally sold, but we do have options for other areas and the other one as well. Does that work with you? Is that okay with you, or did you want specifically for?",neutral,0.8266,False,False,True,False,False
en_CA_RealEstate_1590992,16,agent,channel1,8,107.5,129.5,"Okay. Okay. Alright. No, we can do that for you. And yes, so we do have one of our realtors that can call you just to go over your options and what specific neighborhoods are available.",neutral,0.8188,False,False,False,False,False
en_CA_RealEstate_1590992,17,customer,channel2,9,111.48,114.76,If there's something worth looking at.,neutral,0.5803,False,False,False,False,False
en_CA_RealEstate_1590992,18,agent,channel1,9,129.5,145.5,"Okay. I'm going to have Chelsea Smith give you a call. She'll be the one to follow up with you, and hopefully you guys can set up a Zoom or a phone call, whatever works best. Do you prefer Zoom or a phone call?",neutral,0.6801,False,False,True,False,False
en_CA_RealEstate_1590992,19,customer,channel2,10,142.44,144.4,Phone calls great.,positive,0.9482,False,False,False,False,False
en_CA_RealEstate_1590992,20,customer,channel2,11,144.4,171.76,"Yeah, I'm looking between, I don't know, somewhere around 1600 to 2000. Maybe a little more",neutral,0.878,False,False,False,False,False
en_CA_RealEstate_1590992,21,agent,channel1,10,145.5,160.5,"Okay. Okay. So I'll put you down for a phone call with Chelsea and she'll just let you know what your options are. But yeah, did you have a specific preference of how much you would, how much you're willing to spend on a property?",neutral,0.908,False,False,True,False,False
en_CA_RealEstate_1590992,22,customer,channel2,12,171.76,181.72,I don't know. Are you able to tell me if they are included or,neutral,0.6872,False,False,False,False,False
en_CA_RealEstate_1590992,23,agent,channel1,11,175.5,202.5,"Well, utilities typically they are not from what I see, but Chelsea will will confirm and I'm sure she'll be able to find some some deals for you. But sometimes it would be if you want, you know, something that's all included, it would be out of the city and more into the country.",neutral,0.8471,False,False,False,False,False
en_CA_RealEstate_1590992,24,customer,channel2,13,201.76,228.92,"not? Yeah, yeah, absolutely. And just like I'm considering just like a one bedroom, but I am open",positive,0.5529,False,False,False,False,False
en_CA_RealEstate_1590992,25,agent,channel1,12,203.5,216.5,"You know, which is kind of away from all the things that you want, but you know, you do get kind of the bang for your buck, you know, you, you save a lot of money that way by being in the country and you get the utilities included with that.",neutral,0.4969,False,False,False,False,False
en_CA_RealEstate_1590992,26,agent,channel1,13,216.5,222.5,"So, but Chelsea will let you know, you said 2000 max is your price range?",neutral,0.9102,False,False,True,False,False
en_CA_RealEstate_1590992,27,customer,channel2,14,229.08,236.56,"to either like a large studio or even a two bedroom, of course, depending on the price.",neutral,0.8515,False,False,False,False,False
en_CA_RealEstate_1590992,28,agent,channel1,14,233.5,252.5,"Okay. Okay. Awesome. Yeah, no, we can we can look into that for you. I do want to let you know though, sometimes it could go up to 2,500 for what you're looking for. Does that work with you or is it strictly 2000?",positive,0.656,False,False,True,False,False
en_CA_RealEstate_1590992,29,customer,channel2,15,236.56,255.36,"Yeah, no, it's my limit.",neutral,0.5993,False,False,False,False,False
en_CA_RealEstate_1590992,30,agent,channel1,15,253.5,276.5,"It's your limit. Okay. All right, we I know the last place I saw it in that area you're interested in it. There was a one bedroom plus a den. So not necessarily two bedroom but it's one bedroom plus a den for 2000 washroom is included, of course, or sorry, one washroom is included",neutral,0.7395,False,False,False,False,False
en_CA_RealEstate_1590992,31,customer,channel2,16,266.56,291.36,"Yeah, no, that sounds good. I would definitely be interested. Do you know when that's available?",positive,0.9612,False,False,False,False,False
en_CA_RealEstate_1590992,32,agent,channel1,16,277.5,285.5,"in unit washer and also dryer. So that's all for 2000, but it's only one bedroom plus then does that work with you?",neutral,0.8945,False,False,True,False,False
