call_id,turn_id,speaker,channel,segment_id,start_time,end_time,text,sentiment_label,sentiment_score,frustration_flag,empathy_flag,probing_flag,ownership_flag,next_steps_flag,segment_duration_sec,rms_energy,peak_amplitude,rms_db,zero_crossing_rate,spectral_centroid,pitch_mean_hz,pitch_std_hz,speaking_rate_wps,volume_level,speaking_rate_level,pitch_level,frustration_flag_bool,empathy_flag_bool,probing_flag_bool,ownership_flag_bool,next_steps_flag_bool,normalized_sentiment,vocal_intensity_level,turn_risk_score,turn_main_signal,turn_risk_level,turn_reason_codes,evidence_id,signal_coverage_confidence,analytical_contract_version,risk_rubric_version,risk_score_type,risk_score_calibrated,asr_model_id,sentiment_model_id
en_CA_Food_1588697,1,agent,channel1,1,0.0,15.44,"Hello, and welcome to the Food Association.",positive,0.8089,False,False,False,False,False,15.44,0.01083,0.261139,-39.308,0.018283,369.606,356.008,91.089,0.453,low,low,high,False,False,False,False,False,positive,medium,0,no strong signal,low,NO_STRONG_SIGNAL,en_CA_Food_1588697:turn:1,1.0,1.0.0,conversation_risk_v1,heuristic_proxy,False,faster-whisper/small,cardiffnlp/twitter-roberta-base-sentiment-latest
en_CA_Food_1588697,2,customer,channel2,1,0.0,27.0,"Hi, I was calling to look into how much it would cost for a catering lunch for my company.",neutral,0.8658,False,False,False,False,False,27.0,0.069445,0.957275,-23.167,0.034928,486.174,304.116,131.447,0.704,high,low,medium,False,False,False,False,False,neutral,medium,5,medium customer vocal intensity,low,CUST_MEDIUM_VOCAL_INTENSITY,en_CA_Food_1588697:turn:2,1.0,1.0.0,conversation_risk_v1,heuristic_proxy,False,faster-whisper/small,cardiffnlp/twitter-roberta-base-sentiment-latest
en_CA_Food_1588697,3,agent,channel1,2,15.44,16.44,My name is Julia.,neutral,0.8721,False,False,False,False,False,1.0,0.027155,0.225006,-31.323,0.088608,1073.032,230.434,37.89,4.0,medium,high,medium,False,False,False,False,False,neutral,medium,0,no strong signal,low,NO_STRONG_SIGNAL,en_CA_Food_1588697:turn:3,1.0,1.0.0,conversation_risk_v1,heuristic_proxy,False,faster-whisper/small,cardiffnlp/twitter-roberta-base-sentiment-latest
en_CA_Food_1588697,4,agent,channel1,3,16.44,20.44,How can I help you?,neutral,0.8413,False,False,True,False,False,4.0,0.009317,0.147522,-40.614,0.017198,530.316,348.169,100.18,1.25,low,medium,high,False,False,True,False,False,neutral,medium,0,agent probing question detected,low,AGENT_PROBING,en_CA_Food_1588697:turn:4,1.0,1.0.0,conversation_risk_v1,heuristic_proxy,False,faster-whisper/small,cardiffnlp/twitter-roberta-base-sentiment-latest
en_CA_Food_1588697,5,agent,channel1,4,20.44,22.44,Okay.,neutral,0.5693,False,False,False,False,False,2.0,0.0,0.0,,0.0,0.0,400.0,0.0,0.5,unknown,low,high,False,False,False,False,False,neutral,medium,0,no strong signal,low,NO_STRONG_SIGNAL,en_CA_Food_1588697:turn:5,0.833,1.0.0,conversation_risk_v1,heuristic_proxy,False,faster-whisper/small,cardiffnlp/twitter-roberta-base-sentiment-latest
en_CA_Food_1588697,6,agent,channel1,5,23.44,28.44,Okay.,neutral,0.5693,False,False,False,False,False,5.0,0.006237,0.107544,-44.101,0.009937,133.962,378.134,64.903,0.2,low,low,high,False,False,False,False,False,neutral,medium,0,no strong signal,low,NO_STRONG_SIGNAL,en_CA_Food_1588697:turn:6,1.0,1.0.0,conversation_risk_v1,heuristic_proxy,False,faster-whisper/small,cardiffnlp/twitter-roberta-base-sentiment-latest
en_CA_Food_1588697,7,customer,channel2,2,27.0,43.0,"We have had catered lunches before, but their prices have gone up recently and so we're just looking around at other options.",neutral,0.8271,False,False,False,False,False,16.0,0.095833,0.999969,-20.37,0.050149,690.274,261.559,135.995,1.375,high,medium,medium,False,False,False,False,False,neutral,medium,5,medium customer vocal intensity,low,CUST_MEDIUM_VOCAL_INTENSITY,en_CA_Food_1588697:turn:7,1.0,1.0.0,conversation_risk_v1,heuristic_proxy,False,faster-whisper/small,cardiffnlp/twitter-roberta-base-sentiment-latest
en_CA_Food_1588697,8,agent,channel1,6,28.44,44.44,Have you had a catered sponge bath before?,neutral,0.9287,False,False,True,False,False,16.0,0.018335,0.167236,-34.734,0.040031,582.811,316.685,108.199,0.5,low,low,high,False,False,True,False,False,neutral,medium,0,agent probing question detected,low,AGENT_PROBING,en_CA_Food_1588697:turn:8,1.0,1.0.0,conversation_risk_v1,heuristic_proxy,False,faster-whisper/small,cardiffnlp/twitter-roberta-base-sentiment-latest
en_CA_Food_1588697,9,customer,channel2,3,43.0,56.0,"34, possibly 35, but usually 34.",neutral,0.8199,False,False,False,False,False,13.0,0.056748,1.0,-24.921,0.04908,846.375,264.968,143.817,0.462,high,low,medium,False,False,False,False,False,neutral,medium,5,medium customer vocal intensity,low,CUST_MEDIUM_VOCAL_INTENSITY,en_CA_Food_1588697:turn:9,1.0,1.0.0,conversation_risk_v1,heuristic_proxy,False,faster-whisper/small,cardiffnlp/twitter-roberta-base-sentiment-latest
en_CA_Food_1588697,10,agent,channel1,7,44.44,51.44,And how many people would this be for?,neutral,0.8433,False,False,True,False,False,7.0,0.011993,0.16806,-38.421,0.031888,488.32,319.817,108.646,1.143,low,medium,high,False,False,True,False,False,neutral,medium,0,agent probing question detected,low,AGENT_PROBING,en_CA_Food_1588697:turn:10,1.0,1.0.0,conversation_risk_v1,heuristic_proxy,False,faster-whisper/small,cardiffnlp/twitter-roberta-base-sentiment-latest
