call_id,turn_id,speaker,channel,segment_id,start_time,end_time,text,sentiment_label,sentiment_score,frustration_flag,empathy_flag,probing_flag,ownership_flag,next_steps_flag,segment_duration_sec,rms_energy,peak_amplitude,rms_db,zero_crossing_rate,spectral_centroid,pitch_mean_hz,pitch_std_hz,speaking_rate_wps,volume_level,speaking_rate_level,pitch_level,frustration_flag_bool,empathy_flag_bool,probing_flag_bool,ownership_flag_bool,next_steps_flag_bool,normalized_sentiment,vocal_intensity_level,turn_risk_score,turn_main_signal,turn_risk_level,turn_reason_codes,evidence_id,signal_coverage_confidence,analytical_contract_version,risk_rubric_version,risk_score_type,risk_score_calibrated,asr_model_id,sentiment_model_id
en_CA_RealEstate_1587319,1,agent,channel1,1,0.0,22.64,Good afternoon. Thank you for calling Maplewood residences. This is Emma speaking property manager for the complex. How can I help you today?,positive,0.6424,False,False,True,False,False,22.64,0.036169,0.449921,-28.833,0.051712,799.968,270.293,110.46,1.016,low,low,high,False,False,True,False,False,positive,medium,0,agent probing question detected,low,AGENT_PROBING,en_CA_RealEstate_1587319:turn:1,1.0,1.0.0,conversation_risk_v1,heuristic_proxy,False,faster-whisper/small,cardiffnlp/twitter-roberta-base-sentiment-latest
en_CA_RealEstate_1587319,2,customer,channel2,1,0.0,29.96,"Hi Emma, my name is Marc. I'm calling to ask about your furnish apartment. I recently",neutral,0.8541,False,False,False,False,False,29.96,0.033804,0.599213,-29.421,0.013908,219.354,358.743,93.627,0.534,low,low,high,False,False,False,False,False,neutral,medium,5,medium customer vocal intensity,low,CUST_MEDIUM_VOCAL_INTENSITY,en_CA_RealEstate_1587319:turn:2,1.0,1.0.0,conversation_risk_v1,heuristic_proxy,False,faster-whisper/small,cardiffnlp/twitter-roberta-base-sentiment-latest
en_CA_RealEstate_1587319,3,customer,channel2,2,29.96,37.96,"relocated for work and I'm looking for something move-in ready, ideally within the next month.",neutral,0.7019,False,False,False,False,False,8.0,0.082346,0.529083,-21.687,0.047007,747.362,208.61,87.403,1.875,high,medium,medium,False,False,False,False,False,neutral,medium,5,medium customer vocal intensity,low,CUST_MEDIUM_VOCAL_INTENSITY,en_CA_RealEstate_1587319:turn:3,1.0,1.0.0,conversation_risk_v1,heuristic_proxy,False,faster-whisper/small,cardiffnlp/twitter-roberta-base-sentiment-latest
en_CA_RealEstate_1587319,4,agent,channel1,2,30.0,49.78,"Oh, well, welcome to the area, Mark. I'm happy to help you with that. So we do have a few furnished units available right now.",positive,0.8969,False,False,False,False,False,19.78,0.042909,0.71579,-27.349,0.059321,905.712,261.191,120.268,1.264,low,low,high,False,False,False,False,False,positive,medium,0,no strong signal,low,NO_STRONG_SIGNAL,en_CA_RealEstate_1587319:turn:4,1.0,1.0.0,conversation_risk_v1,heuristic_proxy,False,faster-whisper/small,cardiffnlp/twitter-roberta-base-sentiment-latest
en_CA_RealEstate_1587319,5,agent,channel1,3,50.66,56.74,Can I ask what type of apartment you're interested in? Studio one bedroom or two bedroom?,neutral,0.9017,False,False,True,False,False,6.08,0.065534,0.855225,-23.671,0.110152,1242.546,217.937,58.155,2.632,high,high,medium,False,False,True,False,False,neutral,high,0,agent probing question detected,low,AGENT_PROBING,en_CA_RealEstate_1587319:turn:5,1.0,1.0.0,conversation_risk_v1,heuristic_proxy,False,faster-whisper/small,cardiffnlp/twitter-roberta-base-sentiment-latest
en_CA_RealEstate_1587319,6,customer,channel2,3,56.96,58.96,I think one bedroom would be perfect.,positive,0.9324,False,False,False,False,False,2.0,0.055608,0.449799,-25.097,0.029111,448.617,260.304,122.189,3.5,medium,high,high,False,False,False,False,False,positive,high,15,high customer vocal intensity,low,CUST_HIGH_VOCAL_INTENSITY,en_CA_RealEstate_1587319:turn:6,1.0,1.0.0,conversation_risk_v1,heuristic_proxy,False,faster-whisper/small,cardiffnlp/twitter-roberta-base-sentiment-latest
en_CA_RealEstate_1587319,7,customer,channel2,4,59.96,65.96,"I'll be living alone, so I don't need too much space, but I like something comfortable.",positive,0.5405,False,False,False,False,False,6.0,0.088768,0.610718,-21.035,0.078138,852.504,205.836,88.284,2.667,high,high,medium,False,False,False,False,False,positive,high,15,high customer vocal intensity,low,CUST_HIGH_VOCAL_INTENSITY,en_CA_RealEstate_1587319:turn:7,1.0,1.0.0,conversation_risk_v1,heuristic_proxy,False,faster-whisper/small,cardiffnlp/twitter-roberta-base-sentiment-latest
en_CA_RealEstate_1587319,8,agent,channel1,4,68.5,76.18,"Oh, absolutely. Okay, so right now we have two one bedroom furnished units available.",positive,0.658,False,False,False,False,False,7.68,0.049558,0.392883,-26.098,0.094421,1107.69,200.338,77.911,1.823,medium,medium,low,False,False,False,False,False,positive,medium,0,no strong signal,low,NO_STRONG_SIGNAL,en_CA_RealEstate_1587319:turn:8,1.0,1.0.0,conversation_risk_v1,heuristic_proxy,False,faster-whisper/small,cardiffnlp/twitter-roberta-base-sentiment-latest
en_CA_RealEstate_1587319,9,agent,channel1,5,77.06,83.06,So one is on the third floor overlooking the courtyard and the other is on the first floor,neutral,0.9514,False,False,False,False,False,6.0,0.07199,0.505066,-22.855,0.098246,1134.875,213.995,61.515,3.0,high,high,medium,False,False,False,False,False,neutral,high,0,no strong signal,low,NO_STRONG_SIGNAL,en_CA_RealEstate_1587319:turn:9,1.0,1.0.0,conversation_risk_v1,heuristic_proxy,False,faster-whisper/small,cardiffnlp/twitter-roberta-base-sentiment-latest
en_CA_RealEstate_1587319,10,agent,channel1,6,83.06,89.38,"near the main entrance. And they both come fully furnished with a sofa set, coffee table,",positive,0.6029,False,False,False,False,False,6.32,0.05438,0.35614,-25.291,0.105252,1237.021,198.025,58.006,2.532,medium,high,low,False,False,False,False,False,positive,medium,0,no strong signal,low,NO_STRONG_SIGNAL,en_CA_RealEstate_1587319:turn:10,1.0,1.0.0,conversation_risk_v1,heuristic_proxy,False,faster-whisper/small,cardiffnlp/twitter-roberta-base-sentiment-latest
en_CA_RealEstate_1587319,11,agent,channel1,7,89.38,92.1,"dining set, queen size bed and kitchenware.",neutral,0.6551,False,False,False,False,False,2.72,0.062685,0.519348,-24.057,0.114843,1273.551,202.574,55.894,2.574,high,high,medium,False,False,False,False,False,neutral,high,0,no strong signal,low,NO_STRONG_SIGNAL,en_CA_RealEstate_1587319:turn:11,1.0,1.0.0,conversation_risk_v1,heuristic_proxy,False,faster-whisper/small,cardiffnlp/twitter-roberta-base-sentiment-latest
