call_id,turn_id,speaker,channel,segment_id,start_time,end_time,text
en_AU_Banking_1586330,1,agent,channel1,1,0.0,16.44,"Good morning, thanks for contacting the Bank of Queensland."
en_AU_Banking_1586330,2,customer,channel2,1,0.0,26.0,"Hi Alison, my name's Jenny and I'm just requesting I need to transfer some money from my savings"
en_AU_Banking_1586330,3,agent,channel1,2,16.44,29.74,"My name is Alison, how can I help you today?"
en_AU_Banking_1586330,4,customer,channel2,2,26.0,40.0,to my checking account urgently.
en_AU_Banking_1586330,5,agent,channel1,3,29.74,34.4,"No problem with that Jenny, I can help you so I understand that you would like to transfer"
en_AU_Banking_1586330,6,agent,channel1,4,34.4,42.68,"funds from your saving accounts to your credit or checking account, okay."
en_AU_Banking_1586330,7,customer,channel2,3,40.0,52.0,To my checking.
en_AU_Banking_1586330,8,agent,channel1,5,42.68,46.76,"Before I proceed, I will just need to confirm your identity."
en_AU_Banking_1586330,9,agent,channel1,6,46.76,58.52,Can you please verify your full name and your date of birth for me?
en_AU_Banking_1586330,10,customer,channel2,4,52.0,63.0,"Yeah, it's Sarah McPherson, 8th of July 1984."
en_AU_Banking_1586330,11,agent,channel1,7,58.52,67.48,Thank you for that and do you have a security card?
en_AU_Banking_1586330,12,customer,channel2,5,63.0,82.0,"I do, it's 8783."
en_AU_Banking_1586330,13,agent,channel1,8,67.48,69.92,"Perfect, thank you very much."
en_AU_Banking_1586330,14,agent,channel1,9,69.92,78.2,So I can see that you have both your savings and checking accounts here.
en_AU_Banking_1586330,15,agent,channel1,10,78.2,83.8,How much would you like to transfer today?
en_AU_Banking_1586330,16,customer,channel2,6,82.0,108.0,I'm gonna need 600 dollars.
en_AU_Banking_1586330,17,agent,channel1,11,83.8,94.72,"Okay, that's not a problem and in terms of the transfer, I will be able to process that"
en_AU_Banking_1586330,18,agent,channel1,12,94.72,102.52,"transfer for you but just so that you know, at the moment you have a daily transfer limit"
en_AU_Banking_1586330,19,agent,channel1,13,102.52,107.56,of 500 on your saving account.
en_AU_Banking_1586330,20,agent,channel1,14,107.56,123.32,"So your transfer will take up to three days if you're increasing that limit, is that okay?"
en_AU_Banking_1586330,21,customer,channel2,7,108.0,124.0,We might go down to just 500 because the money is urgently needed for bills.
en_AU_Banking_1586330,22,agent,channel1,15,123.32,132.92,"Yes, correct, okay."
en_AU_Banking_1586330,23,customer,channel2,8,124.0,140.0,I can't really wait three days so I'll go down to the 500 limit and that should tide me over until my next pay hopefully.
en_AU_Banking_1586330,24,agent,channel1,16,132.92,134.96,Absolutely that's not a problem.
en_AU_Banking_1586330,25,agent,channel1,17,134.96,142.56,"And before I go ahead with that transfer, can I confirm your phone number please?"
en_AU_Banking_1586330,26,customer,channel2,9,140.0,154.0,"Ah yes, 021 1928545."
en_AU_Banking_1586330,27,agent,channel1,18,142.56,152.48,"Apologies, I will need your mobile number that has been listed on here, your Australian"
en_AU_Banking_1586330,28,agent,channel1,19,152.48,156.72,mobile number.
en_AU_Banking_1586330,29,customer,channel2,10,154.0,183.0,045196192.
en_AU_Banking_1586330,30,agent,channel1,20,156.72,162.08,Thank you very much.
