call_id,turn_id,speaker,channel,segment_id,start_time,end_time,text,sentiment_label,sentiment_score,frustration_flag,empathy_flag,probing_flag,ownership_flag,next_steps_flag,segment_duration_sec,rms_energy,peak_amplitude,rms_db,zero_crossing_rate,spectral_centroid,pitch_mean_hz,pitch_std_hz,speaking_rate_wps,volume_level,speaking_rate_level,pitch_level
en_CA_Energy_1592208,1,agent,channel1,1,0.0,16.48,"Hello, welcome and thank you for calling the Sunco Gas Company.",positive,0.8589,False,False,False,False,False,16.48,0.040761,0.483948,-27.795,0.031043,758.313,293.457,128.225,0.667,medium,low,high
en_CA_Energy_1592208,2,customer,channel2,1,0.0,28.96,"Hello, my name is Dorothy Brown and I happen to be a new customer to the gas service.",neutral,0.7885,False,False,False,False,False,28.96,0.014519,0.230988,-36.761,0.038613,735.3,315.428,116.555,0.622,low,low,high
en_CA_Energy_1592208,3,agent,channel1,2,16.48,17.48,My name is Joel.,neutral,0.8325,False,False,False,False,False,1.0,0.067129,0.288177,-23.462,0.067978,862.557,168.155,42.586,4.0,medium,high,low
en_CA_Energy_1592208,4,agent,channel1,3,17.48,18.4,How can I help you today?,neutral,0.7191,False,False,True,False,False,0.92,0.087928,0.540253,-21.117,0.073225,903.761,179.239,52.62,6.522,high,high,medium
en_CA_Energy_1592208,5,customer,channel2,2,28.96,36.48,"I don't really know too much about it, but that's why I'm calling to find out how I begin to start.",neutral,0.8375,False,False,False,False,False,7.52,0.027284,0.357788,-31.282,0.095064,1157.273,227.189,68.088,2.793,low,medium,high
en_CA_Energy_1592208,6,agent,channel1,4,30.0,44.8,"Well, that's great to hear and congratulations on your new purchase of your home.",positive,0.9878,False,False,False,False,False,14.8,0.03959,0.55899,-28.048,0.066517,979.729,261.13,131.286,0.946,low,low,high
en_CA_Energy_1592208,7,agent,channel1,5,44.8,51.6,"So if you're calling to GAD to request gas service installation, then what we have, we",neutral,0.8381,False,False,False,False,False,6.8,0.066699,0.504456,-23.518,0.118189,1158.991,163.952,53.623,2.353,medium,medium,low
en_CA_Energy_1592208,8,agent,channel1,6,51.6,57.28,have many different packages that we can give you from simple gas hookup.,neutral,0.7251,False,False,False,False,False,5.68,0.081201,0.753845,-21.809,0.113141,1185.723,163.726,54.694,2.289,high,medium,low
en_CA_Energy_1592208,9,agent,channel1,7,57.28,64.28,"And since your home, I can see from your area that you're calling from, you're already attached",neutral,0.6763,False,False,False,False,False,7.0,0.087267,0.68866,-21.183,0.104037,1127.362,182.896,69.614,2.429,high,medium,medium
en_CA_Energy_1592208,10,customer,channel2,3,58.96,74.32,"And, okay, so how long would that take?",neutral,0.8624,False,False,False,False,False,15.36,0.014572,0.24231,-36.729,0.039515,783.701,325.711,113.415,0.521,low,low,high
en_CA_Energy_1592208,11,agent,channel1,8,64.28,65.28,to the line.,neutral,0.8187,False,False,False,False,False,1.0,0.050379,0.355591,-25.955,0.089066,1024.857,173.241,36.62,3.0,medium,high,medium
en_CA_Energy_1592208,12,agent,channel1,9,65.28,66.48,So we would just have to activate it.,neutral,0.8949,False,False,False,False,False,1.2,0.063478,0.47818,-23.948,0.085321,1005.153,173.199,36.546,6.667,medium,high,medium
en_CA_Energy_1592208,13,agent,channel1,10,66.48,76.28,No installation would be required.,neutral,0.8279,False,False,False,False,False,9.8,0.032011,0.503387,-29.894,0.036581,787.287,287.99,134.146,0.51,low,low,high
en_CA_Energy_1592208,14,agent,channel1,11,76.28,80.08,Well it doesn't require very much time.,neutral,0.5679,False,False,False,False,False,3.8,0.096846,0.629456,-20.278,0.086475,1004.444,179.728,58.099,1.842,high,medium,medium
en_CA_Energy_1592208,15,agent,channel1,12,80.08,85.88,"So since we already have to have you already hooked up to the system, what we can do",neutral,0.9119,False,False,False,False,False,5.8,0.077763,0.532318,-22.184,0.131704,1251.176,169.169,66.399,3.103,high,high,medium
en_CA_Energy_1592208,16,agent,channel1,13,85.88,90.76,is we would just have to turn it on and go in and check to make sure that all the valves,neutral,0.8974,False,False,False,False,False,4.88,0.084436,0.591217,-21.469,0.099584,1186.018,168.864,52.266,4.303,high,high,low
en_CA_Energy_1592208,17,customer,channel2,4,88.96,90.96,You,neutral,0.4584,False,False,False,False,False,2.0,5e-06,6.1e-05,-106.17,0.007999,879.01,346.382,113.271,0.5,low,low,high
en_CA_Energy_1592208,18,agent,channel1,14,90.76,97.72,"are up to date and inspect some very minor things around the equipment, so your furnace,",neutral,0.8719,False,False,False,False,False,6.96,0.056383,0.609955,-24.977,0.119788,1192.687,158.283,57.874,2.299,medium,medium,low
en_CA_Energy_1592208,19,agent,channel1,15,97.72,102.28,see how old it is and if that will require any changes with our system.,neutral,0.8088,False,False,False,False,False,4.56,0.063071,0.552551,-24.003,0.122688,1153.382,158.282,52.32,3.289,medium,high,low
en_CA_Energy_1592208,20,agent,channel1,16,102.28,109.72,"Because from what I see here, there is a gas hookup in your area, but it doesn't",neutral,0.7218,False,False,False,False,False,7.44,0.079708,0.702148,-21.97,0.113361,1228.659,168.853,66.768,2.285,high,medium,low
en_CA_Energy_1592208,21,agent,channel1,17,109.72,117.44,say that the previous owner of that house was a customer of ours.,neutral,0.8706,False,False,False,False,False,7.72,0.068007,0.63623,-23.349,0.100346,1114.716,205.318,101.06,1.684,medium,medium,medium
en_CA_Energy_1592208,22,agent,channel1,18,117.44,132.56,So we'd have to see if the equipment matches with what they might have been using prior.,neutral,0.9101,False,False,False,False,False,15.12,0.032756,0.653809,-29.694,0.040705,875.294,274.94,133.846,1.124,low,low,high
en_CA_Energy_1592208,23,customer,channel2,5,118.96,130.96,"Okay, so you're telling me that you have to come in the house to check the furnace and do the outside inspection. Is that correct?",neutral,0.9062,False,False,False,False,False,12.0,0.024517,0.2547,-32.211,0.086631,1174.232,271.127,97.989,2.083,low,medium,high
en_CA_Energy_1592208,24,agent,channel1,19,132.56,133.56,That is correct.,neutral,0.5046,False,False,False,False,False,1.0,0.067084,0.37558,-23.468,0.111221,1169.234,159.316,40.023,3.0,medium,high,low
en_CA_Energy_1592208,25,agent,channel1,20,133.56,138.32,We would have to take a look and make sure that our equipment would match what's there.,neutral,0.861,False,False,False,False,False,4.76,0.079353,0.591949,-22.009,0.106016,1167.05,165.579,51.591,3.571,high,high,low
en_CA_Energy_1592208,26,agent,channel1,21,138.76,143.12,"From what I can see, it's very minor changes because many of the homes in that area have",neutral,0.8135,False,False,False,False,False,4.36,0.080827,0.632568,-21.849,0.096797,1174.091,173.416,46.601,4.128,high,high,medium
en_CA_Energy_1592208,27,agent,channel1,22,143.12,145.52,the hookups and things that are required.,neutral,0.8205,False,False,False,False,False,2.4,0.046286,0.39151,-26.691,0.089542,1145.263,162.017,65.705,2.917,medium,high,low
en_CA_Energy_1592208,28,agent,channel1,23,145.52,151.72,"So the inspection would take probably no more than less than 20, 25 minutes and that includes",neutral,0.7211,False,False,False,False,False,6.2,0.061932,0.583344,-24.162,0.1038,1091.497,164.365,54.809,2.742,medium,medium,low
en_CA_Energy_1592208,29,customer,channel2,6,148.96,165.44,"Okay, and then after that, how much are we looking at? Is it a monthly statement? Is it a yearly statement? Is it?",neutral,0.9369,False,False,False,False,False,16.48,0.020801,0.272217,-33.638,0.052665,971.621,291.255,102.907,1.396,low,low,high
