call_id,turn_id,speaker,channel,segment_id,start_time,end_time,text,sentiment_label,sentiment_score,frustration_flag,empathy_flag,probing_flag,ownership_flag,next_steps_flag
en_AU_Food_1592674,1,agent,channel1,1,0.0,16.48,"Good afternoon, thanks for calling Tucker's Catering Melbourne.",positive,0.9576,False,False,False,False,False
en_AU_Food_1592674,2,customer,channel2,1,0.0,25.48,"Hi Danielle, my name is Maria and I'm calling about your catering services.",neutral,0.8552,False,False,False,False,False
en_AU_Food_1592674,3,agent,channel1,2,16.48,17.76,This is Danielle speaking.,neutral,0.9029,False,False,False,False,False
en_AU_Food_1592674,4,agent,channel1,3,17.76,29.76,How can I help you today?,neutral,0.7191,False,False,True,False,False
en_AU_Food_1592674,5,customer,channel2,2,25.52,28.64,I'm organising a birthday party and I'm hoping you can help.,positive,0.7711,False,False,False,False,False
en_AU_Food_1592674,6,agent,channel1,4,29.76,32.76,"Yes, so I'd love to be able to help you with that.",positive,0.9704,False,False,False,False,False
en_AU_Food_1592674,7,agent,channel1,5,32.76,34.76,Birthday parties are always fun to cater for.,positive,0.9832,False,False,False,False,False
en_AU_Food_1592674,8,agent,channel1,6,34.76,44.76,Can you tell me a little bit more about what you're planning right now?,neutral,0.9198,False,False,True,False,False
en_AU_Food_1592674,9,customer,channel2,3,38.0,40.6,"Yeah, so it's actually my mum's 60th.",neutral,0.6208,False,False,False,False,False
en_AU_Food_1592674,10,customer,channel2,4,40.6,43.24,We're having it at our place in Bronzewick.,neutral,0.8997,False,False,False,False,False
en_AU_Food_1592674,11,customer,channel2,5,44.32,50.2,"I'm expecting about, say, 30, maybe 30 guests, give or take a few.",neutral,0.848,False,False,False,False,False
en_AU_Food_1592674,12,agent,channel1,7,44.76,64.76,"Yeah, I can completely understand what a lovely milestone to be celebrating to.",positive,0.9754,False,False,False,False,False
en_AU_Food_1592674,13,customer,channel2,6,51.32,54.68,I've been running around like a headless truck trying to organise everything.,negative,0.6117,False,False,False,False,False
en_AU_Food_1592674,14,customer,channel2,7,54.68,58.68,"And I thought, you know what, I'm not cooking for 30 people.",negative,0.6009,False,False,False,False,False
en_AU_Food_1592674,15,agent,channel1,8,64.76,82.76,30 gusts is a great size for a party. Have you got a date locked in yet at all?,positive,0.8744,False,False,True,False,False
