call_id,turn_id,speaker,channel,segment_id,start_time,end_time,text
en_AU_DeliveryService_1592668,1,agent,channel1,1,0.0,20.24,"Good afternoon, you've reached Swift and Shift Chorias."
en_AU_DeliveryService_1592668,2,customer,channel2,1,0.0,28.84,"Hi Daniel, yeah I'm calling because I'm getting a bit worried, let me explain."
en_AU_DeliveryService_1592668,3,agent,channel1,2,20.24,21.24,My name is Danielle.
en_AU_DeliveryService_1592668,4,agent,channel1,3,21.24,26.24,How can I help you today?
en_AU_DeliveryService_1592668,5,agent,channel1,4,26.24,37.92,"Look, I'm so sorry to hear that."
en_AU_DeliveryService_1592668,6,customer,channel2,2,28.84,43.84,I had a package and it was supposed to arrive yesterday and it still hasn't shown up.
en_AU_DeliveryService_1592668,7,agent,channel1,5,37.92,40.6,I can definitely help you track that down.
en_AU_DeliveryService_1592668,8,agent,channel1,6,40.6,44.24,"Can I start by getting your name, please?"
en_AU_DeliveryService_1592668,9,customer,channel2,3,43.84,60.56,"Yeah it's Maria Santoro, my tracking number, is that the number, yeah hang on, is it the"
en_AU_DeliveryService_1592668,10,agent,channel1,7,44.24,48.4,"Okay, thank you, Maria."
en_AU_DeliveryService_1592668,11,agent,channel1,8,48.4,52.8,Do you have your tracking number handy at all?
en_AU_DeliveryService_1592668,12,agent,channel1,9,52.8,64.8,Correct.
en_AU_DeliveryService_1592668,13,customer,channel2,4,60.56,85.56,one that starts in SE? Alright so SE 47892341AU.
en_AU_DeliveryService_1592668,14,agent,channel1,10,64.8,75.72,"Yep, so perfect."
en_AU_DeliveryService_1592668,15,agent,channel1,11,75.72,85.32,"Just to confirm, I have Sierra Echo 47892341 Alfa Umbrella."
en_AU_DeliveryService_1592668,16,agent,channel1,12,85.32,88.84,Just give me a moment while I pull that up in our system.
en_AU_DeliveryService_1592668,17,customer,channel2,5,85.56,104.04,"Yeah that's right, I'm going to my accountant's office in Parramatta, I mean sorry it's going"
en_AU_DeliveryService_1592668,18,agent,channel1,13,88.84,91.96,"Okay, I can see it here."
en_AU_DeliveryService_1592668,19,agent,channel1,14,91.96,98.92,"This one was sent from your address in Newtown to, it looks like it might be Paramatter."
en_AU_DeliveryService_1592668,20,agent,channel1,15,98.92,124.96,"Yeah, look, I completely understand, Maria, tax documents are definitely time sensitive,"
en_AU_DeliveryService_1592668,21,customer,channel2,6,104.04,110.12,"to my accountant's office in Parramatta, look I'm going to be honest I'm really stressed"
en_AU_DeliveryService_1592668,22,customer,channel2,7,110.12,114.28,"about this because it's got important documents in there, my tax paperwork for the financial"
en_AU_DeliveryService_1592668,23,customer,channel2,8,114.28,138.6,"year, you know end of financial year has just passed, I just need to get to it ASAP."
en_AU_DeliveryService_1592668,24,agent,channel1,16,124.96,127.16,especially this time of year.
en_AU_DeliveryService_1592668,25,agent,channel1,17,127.16,130.92,Let me trace down exactly where your package is right now.
en_AU_DeliveryService_1592668,26,agent,channel1,18,130.92,133.28,"Right, okay."
en_AU_DeliveryService_1592668,27,agent,channel1,19,133.28,138.24,So I can see that it's left down Marikul Depot on Monday morning as scheduled.
en_AU_DeliveryService_1592668,28,agent,channel1,20,138.24,148.12,"Yeah, look, sorry, Maria, you're not on the right."
en_AU_DeliveryService_1592668,29,customer,channel2,9,139.6,157.52,"That's two days ago, it should have been there by Tuesday Arvo at the latest."
en_AU_DeliveryService_1592668,30,agent,channel1,21,148.12,150.0,I apologize for the delay.
en_AU_DeliveryService_1592668,31,agent,channel1,22,150.0,153.8,"Let me just see what's happened, what's gone down."
en_AU_DeliveryService_1592668,32,agent,channel1,23,153.8,157.4,"Give me a moment, please, while I look into it."
en_AU_DeliveryService_1592668,33,agent,channel1,24,157.4,162.16,"Okay, Maria, sorry, are you there?"
en_AU_DeliveryService_1592668,34,agent,channel1,25,162.16,165.12,"Right, okay, I can see the issue now."
en_AU_DeliveryService_1592668,35,agent,channel1,26,165.12,169.16,"Basically, your package was on the delivery truck Tuesday morning."
en_AU_DeliveryService_1592668,36,agent,channel1,27,169.16,172.6,There was a significant delay due to roadworks on Paramatter Road.
en_AU_DeliveryService_1592668,37,agent,channel1,28,172.6,176.92,"Apparently, they've got major resurfacing happening near Homebush."
en_AU_DeliveryService_1592668,38,agent,channel1,29,176.92,180.36,"That'll be a fucking fur, that'll be, sorry."
en_AU_DeliveryService_1592668,39,agent,channel1,30,181.32,192.92,"Yeah, so there's major resurfacing happening near Homebush."
en_AU_DeliveryService_1592668,40,customer,channel2,10,187.52,209.52,"Oh man, that road's always a nightmare, so you're telling me it's just sitting there,"
en_AU_DeliveryService_1592668,41,agent,channel1,31,192.92,194.72,Tell me about it.
en_AU_DeliveryService_1592668,42,agent,channel1,32,194.72,196.52,"So look, here's the thing."
en_AU_DeliveryService_1592668,43,agent,channel1,33,196.52,200.8,"Because of the delay, the driver wasn't able to complete all deliveries on Tuesday."
en_AU_DeliveryService_1592668,44,agent,channel1,34,200.8,205.56,So your package was returned to our Civil Water Distribution Centre and it's currently
en_AU_DeliveryService_1592668,45,agent,channel1,35,205.56,206.56,sitting there now.
en_AU_DeliveryService_1592668,46,customer,channel2,11,209.52,216.08,"like when is it actually going to be delivered then, what are we paying for, it's just"
en_AU_DeliveryService_1592668,47,agent,channel1,36,210.36,220.84,"So look, Maria, you did book our standard service."
en_AU_DeliveryService_1592668,48,customer,channel2,12,216.08,217.08,sitting there.
en_AU_DeliveryService_1592668,49,customer,channel2,13,217.08,238.32,"Hello but I needed it there yesterday, my accountant's already chasing me about it, is there any way"
en_AU_DeliveryService_1592668,50,agent,channel1,37,220.84,224.52,"It would go back out on the next scheduled delivery run to Paramatter, which would be"
en_AU_DeliveryService_1592668,51,agent,channel1,38,224.52,226.4,"tomorrow, Thursday."
en_AU_DeliveryService_1592668,52,agent,channel1,39,226.4,233.4,You'll be looking at a delivery time sometime between 9am and 5pm.
en_AU_DeliveryService_1592668,53,agent,channel1,40,233.4,247.12,"Look, I completely hear you, Maria, and I want to help you get this sorted."
en_AU_DeliveryService_1592668,54,customer,channel2,14,238.32,255.08,"we can speed this up, please, I mean what are my options here Danielle?"
en_AU_DeliveryService_1592668,55,agent,channel1,41,247.12,250.52,I understand that these documents are important.
en_AU_DeliveryService_1592668,56,agent,channel1,42,250.52,252.72,Let me just have a look at what we can do.
en_AU_DeliveryService_1592668,57,agent,channel1,43,252.72,254.84,"If you give me a moment, please."
en_AU_DeliveryService_1592668,58,agent,channel1,44,254.84,260.2,"Okay, Maria, are you there?"
en_AU_DeliveryService_1592668,59,customer,channel2,15,255.08,281.44,"Sure, yeah, this afternoon, okay so what sort of time frame are we talking?"
en_AU_DeliveryService_1592668,60,agent,channel1,45,260.2,264.88,"All right, we do have a couple of options for expedited delivery."
en_AU_DeliveryService_1592668,61,agent,channel1,46,264.88,268.76,"First option, we can have a same-day courier service where we can have it picked up from"
en_AU_DeliveryService_1592668,62,agent,channel1,47,268.76,272.56,Civil Water and then delivered directly to Paramatter this afternoon.
en_AU_DeliveryService_1592668,63,agent,channel1,48,272.56,275.72,That would be an additional $45 plus GST.
en_AU_DeliveryService_1592668,64,agent,channel1,49,275.72,285.48,"Yep, so if we dispatch it now and I can flag it as priority while we're on the phone, you'd"
en_AU_DeliveryService_1592668,65,customer,channel2,16,281.44,307.8,"Okay, and what's the other option?"
en_AU_DeliveryService_1592668,66,agent,channel1,50,285.48,289.16,be looking at delivery by around 4.30pm to 5pm today.
en_AU_DeliveryService_1592668,67,agent,channel1,51,289.16,294.72,The driver would go straight from Civil Water to your accountant's office in Paramatter.
en_AU_DeliveryService_1592668,68,agent,channel1,52,294.72,301.4,"Yep, so the other option is our Express Morning service."
en_AU_DeliveryService_1592668,69,agent,channel1,53,301.4,306.28,We'd have it on the first delivery run tomorrow morning with guaranteed delivery by 10.30am.
en_AU_DeliveryService_1592668,70,agent,channel1,54,306.28,326.24,So that's $25 plus GST.
en_AU_DeliveryService_1592668,71,customer,channel2,17,307.8,317.0,"Hmm, look I really need him to have it today if possible, he's got appointments booked all"
en_AU_DeliveryService_1592668,72,customer,channel2,18,317.0,323.08,"day tomorrow, I won't be able to look at it until Friday otherwise, can you guarantee"
en_AU_DeliveryService_1592668,73,customer,channel2,19,323.08,325.2,the same day delivery by 5pm?
en_AU_DeliveryService_1592668,74,agent,channel1,55,326.24,332.4,"I can guarantee it Maria, our same-day couriers have a 98% on-time success rate and the run"
en_AU_DeliveryService_1592668,75,agent,channel1,56,332.4,335.96,from Civil Water to Paramatter would normally take about 40 minutes.
en_AU_DeliveryService_1592668,76,agent,channel1,57,335.96,340.32,"So even with traffic, we'd have plenty of buffer time."
en_AU_DeliveryService_1592668,77,customer,channel2,20,337.8,353.8,"Wait a minute, so because you guys were late in the first place, would there be any chance"
en_AU_DeliveryService_1592668,78,agent,channel1,58,340.32,345.48,I can mark this as priority as I said and to make good since we were responsible for
en_AU_DeliveryService_1592668,79,agent,channel1,59,345.48,346.44,the initial delay.
en_AU_DeliveryService_1592668,80,customer,channel2,21,353.8,360.6,of a discount on that expedited service?
en_AU_DeliveryService_1592668,81,agent,channel1,60,356.24,358.64,"Look, that's a really fair question."
en_AU_DeliveryService_1592668,82,agent,channel1,61,358.64,367.44,"Let me just check, sorry, with my manager and I'll get back to you."
en_AU_DeliveryService_1592668,83,customer,channel2,22,360.6,386.6,"Okay, oh man, these bloody couriers, yes, yes, yes, yes, yes, yes, yes, yes, yes, yes, yes,"
en_AU_DeliveryService_1592668,84,agent,channel1,62,367.44,372.52,Let me just pop you on hold.
en_AU_DeliveryService_1592668,85,agent,channel1,63,372.52,378.12,"Maria, are you there?"
en_AU_DeliveryService_1592668,86,agent,channel1,64,378.12,380.64,"Okay, thank you for holding."
en_AU_DeliveryService_1592668,87,agent,channel1,65,380.64,386.96,"Look, I've spoken with my supervisor, excellent news because, well for you, because the delay"
en_AU_DeliveryService_1592668,88,customer,channel2,23,386.6,403.06,"that's brilliant, thank you so much, I really appreciate that."
en_AU_DeliveryService_1592668,89,agent,channel1,66,386.96,392.0,"was on our end with the road work situation, my supervisor has approved waving the expedited"
en_AU_DeliveryService_1592668,90,agent,channel1,67,392.0,400.12,fee entirely and we'll get your package to Paramatter by 5pm today with no extra charge.
en_AU_DeliveryService_1592668,91,agent,channel1,68,400.12,405.24,"Look, you're very welcome."
en_AU_DeliveryService_1592668,92,agent,channel1,69,405.24,409.12,It's the least we can do given the situation and of course these documents are really
