call_id,turn_id,speaker,channel,segment_id,start_time,end_time,text
en_AU_Insurance_1591544,1,agent,channel1,1,0.0,17.56,Very good morning to you. Thanks for calling Allianz. You're speaking with Tom and I'm
en_AU_Insurance_1591544,2,customer,channel2,1,0.0,27.76,"Hey, Tom. Well, believe it or not, I need some travel insurance. So, yeah, that's why"
en_AU_Insurance_1591544,3,agent,channel1,2,17.56,23.84,from the travel insurance customer expert team. How can I help you this morning?
en_AU_Insurance_1591544,4,agent,channel1,3,24.84,32.32,"Oh, well, you've come to the right place. Can I just start by getting your name? Thanks."
en_AU_Insurance_1591544,5,customer,channel2,2,27.76,44.36,"I'm calling. Yeah, it's Laura. So, I had this trip booked quite a while ago with my"
en_AU_Insurance_1591544,6,agent,channel1,4,32.32,37.56,"Very exciting times for you, Laura. I'll wear you off too."
en_AU_Insurance_1591544,7,customer,channel2,3,44.36,49.44,"fiance and we're not together anymore. So, it's a bit of a crazy story, but I'm"
en_AU_Insurance_1591544,8,customer,channel2,4,49.44,55.54,actually taking one of my friends now on this trip and we're going to the
en_AU_Insurance_1591544,9,agent,channel1,5,54.84,63.92,"Oh, yes, girls trip. That's a lucky friend. I'm sorry to hear about your fiance, but I mean,"
en_AU_Insurance_1591544,10,customer,channel2,5,55.54,71.92,"Maldives, which should be pretty exciting. Yeah, definitely. Much better option, much"
en_AU_Insurance_1591544,11,agent,channel1,6,63.92,67.2,that's a very good second option if you are going to take a good friend of yours.
en_AU_Insurance_1591544,12,agent,channel1,7,67.2,78.68,"Well, lucky it happened now and not in the beautiful Maldives."
en_AU_Insurance_1591544,13,customer,channel2,6,71.92,81.58,"better person. So, I think it'll be much better trip overall. That is so true. I"
en_AU_Insurance_1591544,14,agent,channel1,8,78.68,94.4,"Oh, I can taste the Cosmopolitan already. So how long are you thinking of going for?"
en_AU_Insurance_1591544,15,customer,channel2,7,81.58,85.38,"didn't even think about that. That would have been a nightmare. So, yeah, at"
en_AU_Insurance_1591544,16,customer,channel2,8,85.38,88.3,least I get to go to someone that's going to be a lot of fun and we can really
en_AU_Insurance_1591544,17,customer,channel2,9,88.3,105.5,"enjoy ourselves now. So, we've got the trip booked for two and a half weeks. So,"
en_AU_Insurance_1591544,18,agent,channel1,9,100.4,103.2,"Okay, great. And what time are you?"
en_AU_Insurance_1591544,19,customer,channel2,10,105.5,120.82,"we are going from Feb, the 16th. It definitely will be, that's for sure."
en_AU_Insurance_1591544,20,agent,channel1,10,109.68,115.2,"Okay, just after Valentine's Day, it's going to be for you."
en_AU_Insurance_1591544,21,agent,channel1,11,115.2,125.24,And so you said two and a half weeks and we're looking at getting travel insurance for yourself
en_AU_Insurance_1591544,22,agent,channel1,12,125.24,138.32,"or for your girlfriend too. Yeah, not a problem."
en_AU_Insurance_1591544,23,customer,channel2,11,127.62,133.46,"Look, definitely for me, but I'll probably check out options for her as well, just"
en_AU_Insurance_1591544,24,customer,channel2,12,133.5,136.94,"so I can let her know what to get, because I don't think she's even looked yet."
en_AU_Insurance_1591544,25,agent,channel1,13,138.8,147.2,"And just before we get stuck into this trip, do you travel frequently or is this sort of just an annual trip every year?"
en_AU_Insurance_1591544,26,agent,channel1,14,147.2,170.0,"Yeah, not a problem at all. Well, it's absolutely fantastic that you are thinking of travel insurance"
en_AU_Insurance_1591544,27,customer,channel2,13,147.98,152.78,"No, I never really travelled. So, it's like a big trip for me. Like, I've been one"
en_AU_Insurance_1591544,28,customer,channel2,14,152.78,158.26,"place before and that was with family. It wasn't very exciting. So, yeah, first"
en_AU_Insurance_1591544,29,customer,channel2,15,158.26,164.42,"trip, super excited. Yeah, so I'm not really sure of what I meant to do. So, please"
en_AU_Insurance_1591544,30,customer,channel2,16,164.42,165.22,help me through this.
en_AU_Insurance_1591544,31,agent,channel1,15,170.0,174.4,"because knock on wood, you sort of don't want anything to go wrong over there."
en_AU_Insurance_1591544,32,agent,channel1,16,174.4,179.6,"And when it does on the off chance, it's great just to have this safety net for you to fall into."
en_AU_Insurance_1591544,33,agent,channel1,17,179.6,190.32,"So for the Maldives, and because it's sort of only one trip, just having a look here, right?"
en_AU_Insurance_1591544,34,agent,channel1,18,190.32,196.48,"Yeah, so we've got three different options. So, yeah, let's just talk about yourself first."
en_AU_Insurance_1591544,35,agent,channel1,19,196.48,200.6,And then we can look at adding your friends down the track if need be.
en_AU_Insurance_1591544,36,agent,channel1,20,200.6,209.28,The three different tiers we have here is the basic medium as well as the comprehensive travel insurance.
en_AU_Insurance_1591544,37,agent,channel1,21,209.28,214.28,"So they all cover different things, basic, obviously, obviously basic."
en_AU_Insurance_1591544,38,agent,channel1,22,214.28,217.64,And then things ramp up from there depending on your needs.
en_AU_Insurance_1591544,39,agent,channel1,23,217.64,223.56,So do you have any health conditions or health requirements for we look at the particulars?
en_AU_Insurance_1591544,40,customer,channel2,17,219.26,220.26,No health issues.
en_AU_Insurance_1591544,41,agent,channel1,24,224.52,232.52,"Okay, and sort of nothing pre-existing in the past that sort of may not be current,"
en_AU_Insurance_1591544,42,customer,channel2,18,229.26,230.26,"No, no health issues."
en_AU_Insurance_1591544,43,agent,channel1,25,232.52,235.4,but you have sort of been affected by previously?
en_AU_Insurance_1591544,44,agent,channel1,26,239.96,245.32,"Okay, not a problem. And what type of luggage will you be taking?"
en_AU_Insurance_1591544,45,agent,channel1,27,245.32,251.32,Do you travel with sort of expensive goods or a sort of a pack light adventure traveler?
