call_id,turn_id,speaker,channel,segment_id,start_time,end_time,text,sentiment_label,sentiment_score,frustration_flag,empathy_flag,probing_flag,ownership_flag,next_steps_flag,segment_duration_sec,rms_energy,peak_amplitude,rms_db,zero_crossing_rate,spectral_centroid,pitch_mean_hz,pitch_std_hz,speaking_rate_wps,volume_level,speaking_rate_level,pitch_level
en_AU_Entertainment_1586372,1,customer,channel2,1,0.0,21.2,"Hi, my name is Jenny. I booked some tickets to a concert, but I've never received them",negative,0.7138,False,False,False,False,False,21.2,0.021509,0.340698,-33.347,0.065314,1466.64,280.613,130.658,0.802,medium,medium,high
en_AU_Entertainment_1586372,2,agent,channel1,1,0.0,22.0,"Hi, ABC Entertainment, how can I help you?",neutral,0.7076,False,False,True,False,False,22.0,0.031746,0.373505,-29.966,0.047217,1293.874,308.47,124.168,0.364,medium,low,high
en_AU_Entertainment_1586372,3,customer,channel2,2,21.2,28.2,so there were e-tickets. And the concert is in two days. I'm worried about entry.,negative,0.6881,False,False,False,False,False,7.0,0.03361,0.350281,-29.471,0.115854,1766.592,205.015,107.518,2.143,medium,high,low
en_AU_Entertainment_1586372,4,agent,channel1,2,22.0,37.0,"Okay, thanks Jenny. Can I get some more information which concert it is and how you booked it?",neutral,0.7893,False,False,True,False,False,15.0,0.049143,0.371216,-26.171,0.075666,1438.669,267.681,119.748,1.2,medium,medium,medium
en_AU_Entertainment_1586372,5,customer,channel2,3,36.2,42.2,"Sure, it was the Spice Girls concert and I booked them online.",neutral,0.6961,False,False,False,False,False,6.0,0.03427,0.4198,-29.302,0.119083,1792.023,204.682,99.814,2.0,medium,high,low
en_AU_Entertainment_1586372,6,agent,channel1,3,37.0,51.0,Yeah. And you never received the confirmation? So the money was deducted from your account?,negative,0.6869,False,False,True,False,False,14.0,0.050567,0.477356,-25.923,0.055825,1295.033,279.165,122.553,1.071,medium,medium,high
en_AU_Entertainment_1586372,7,customer,channel2,4,42.2,57.2,"No. It was, yes. I have, yes.",neutral,0.6271,False,False,False,False,False,15.0,0.009932,0.405701,-40.059,0.061567,1351.279,276.715,147.874,0.467,low,low,high
en_AU_Entertainment_1586372,8,agent,channel1,4,51.0,66.0,Have you checked your spam folder? I think the event is in two days. Do you have...,neutral,0.8915,False,False,True,False,False,15.0,0.051846,0.635345,-25.706,0.09842,1469.815,233.951,116.079,1.133,medium,medium,medium
en_AU_Entertainment_1586372,9,agent,channel1,5,66.0,75.0,So you didn't receive any confirmation or anything? So which portal did you use? Which website did you use for booking your ticket?,neutral,0.7726,False,False,True,False,False,9.0,0.089297,0.523804,-20.983,0.117887,1510.01,208.306,62.264,2.556,high,high,low
en_AU_Entertainment_1586372,10,customer,channel2,5,73.2,76.2,"Um, I used your online one.",neutral,0.9064,False,False,False,False,False,3.0,0.038221,0.299805,-28.354,0.125057,1935.895,234.325,109.582,2.0,medium,high,medium
en_AU_Entertainment_1586372,11,agent,channel1,6,76.0,100.0,"Okay, that is very strange. So I will need to receive the proof of your purchase to be able to try and retrieve this because you didn't receive your tickets and you don't have any confirmation of this?",negative,0.7356,False,False,True,False,False,24.0,0.078844,0.814178,-22.065,0.107425,1419.207,236.235,103.378,1.583,high,medium,medium
en_AU_Entertainment_1586372,12,customer,channel2,6,76.2,98.2,Yeah.,neutral,0.5798,False,False,False,False,False,22.0,0.003575,0.228149,-48.935,0.065958,1458.654,270.554,151.129,0.045,low,low,medium
en_AU_Entertainment_1586372,13,agent,channel1,7,100.0,116.0,"So without that, I won't be able to actually retrieve this at all unless you provide us with confirmation of your payments and the date, how many tickets was this?",negative,0.7764,False,False,True,False,False,16.0,0.082615,0.67337,-21.659,0.119358,1448.395,220.256,87.004,1.875,high,high,low
en_AU_Entertainment_1586372,14,customer,channel2,7,106.2,126.2,"Uh, two.",neutral,0.8379,False,False,False,False,False,20.0,0.006799,0.336578,-43.352,0.027681,1117.749,317.557,134.079,0.1,low,low,high
en_AU_Entertainment_1586372,15,agent,channel1,8,121.0,127.0,Did the system ask you to put the name of the attendees?,neutral,0.9336,False,False,True,False,False,6.0,0.098338,0.569885,-20.146,0.109463,1449.787,211.029,86.231,2.0,high,high,low
en_AU_Entertainment_1586372,16,customer,channel2,8,126.2,142.2,"It did, yes. Yeah, I purchased them the 10th of August this year.",neutral,0.6448,False,False,False,False,False,16.0,0.01356,0.216522,-37.355,0.102899,1707.821,253.528,141.043,0.812,low,medium,medium
en_AU_Entertainment_1586372,17,agent,channel1,9,128.0,137.0,"Okay, so that might help us to find your tickets. Can you tell me what dates you purchased them?",neutral,0.7851,False,False,True,False,False,9.0,0.083929,0.652405,-21.522,0.116599,1412.199,228.031,93.099,2.111,high,high,low
en_AU_Entertainment_1586372,18,customer,channel2,9,142.2,148.2,"Uh, 150.",neutral,0.8824,False,False,False,False,False,6.0,0.017853,0.264801,-34.966,0.055641,1385.117,265.315,139.668,0.333,low,low,medium
en_AU_Entertainment_1586372,19,agent,channel1,10,144.0,146.0,"Okay, and how much was the total paid?",neutral,0.9057,False,False,True,False,False,2.0,0.070316,0.382599,-23.059,0.057439,994.163,247.436,95.787,4.0,medium,high,medium
