call_id,channel,segment_id,start_time,end_time,text
en_CA_Energy_1590823,channel1,1,0.0,22.0,"Good morning, Mrs. Canada Energy, how may I help you?"
en_CA_Energy_1590823,channel1,2,22.0,48.08,"Okay, I'll need to get a few details from you and then we can check into whether we're able"
en_CA_Energy_1590823,channel1,3,48.08,55.2,to hook up power and if so how to go about it. So first could you share with me the address of your
en_CA_Energy_1590823,channel1,4,55.2,63.84,"cabins? Okay, okay."
en_CA_Energy_1590823,channel1,5,78.32,84.96,"Okay, and so along blueberry lanes is there can you see visible power poles like at some of the"
en_CA_Energy_1590823,channel1,6,84.96,97.36,"other properties? Okay, all right, got it. So that matches what I have in our database and just"
en_CA_Energy_1590823,channel1,7,97.36,104.72,"looking at where the existing connections are. Yeah, exactly, it looks like across the street"
en_CA_Energy_1590823,channel1,8,104.72,112.4,we would be able to tie into that line for you. Now there because there is like a crew that
en_CA_Energy_1590823,channel1,9,112.48,120.56,would have to come out to set up that connection for you. There is a cost associated with hooking up
en_CA_Energy_1590823,channel1,10,120.56,129.36,the power because it's a new connection as well as you will need a new meter installed and the meter
en_CA_Energy_1590823,channel1,11,129.36,134.88,is what just like you have at your other at your current home there's a meter that measures how
en_CA_Energy_1590823,channel1,12,134.88,149.2,"much energy you use. Yes, it's built in the exact same way and you have a few options for your payment"
en_CA_Energy_1590823,channel1,13,149.2,155.28,cycles which will go through in a couple minutes but in terms of how it's built it's the exact
en_CA_Energy_1590823,channel1,14,155.28,166.96,same as in the city. For sure.
en_CA_Energy_1590823,channel1,15,172.32,179.44,"Okay, so to have the line extended to your home it's going to depend on how many meters"
en_CA_Energy_1590823,channel1,16,179.44,191.28,of line it is from the cabinet itself to the existing power line. So I can give you an estimate
en_CA_Energy_1590823,channel1,17,191.28,199.12,based on between 10 and 30 meters or is it a lot more than 30 meters do you think?
en_CA_Energy_1590823,channel1,18,199.92,216.64,"60 meters. Okay, so between 60 to 100 meters including all of the parts including the meter"
en_CA_Energy_1590823,channel1,19,216.64,222.88,"including the labor that will come to about $3,000 and that's a one-time fee"
en_CA_Energy_1590823,channel1,20,222.88,233.52,and that also includes like setting up your account and everything. So unfortunately there
en_CA_Energy_1590823,channel1,21,233.52,240.08,is some set up costs with setting up a new property that hasn't been electrified before
en_CA_Energy_1590823,channel1,22,242.16,246.8,but then once you're set up you won't incur fees like that again.
en_CA_Energy_1590823,channel1,23,283.28,290.48,If you put in any alternative whether it's solar or wind that ties that will just simply tie into
en_CA_Energy_1590823,channel1,24,290.48,295.36,your existing line. So you still have to set up the existing line in the first place
en_CA_Energy_1590823,channel1,25,296.08,301.28,and then a certified electrician would be able to tie it in if you add that if you add solar
en_CA_Energy_1590823,channel1,26,301.28,306.88,or anything like that in the future and before we end our call today I will explain to you
en_CA_Energy_1590823,channel1,27,307.84,310.08,some of the options that you have with that as well.
en_CA_Energy_1590823,channel1,28,312.08,318.16,"Yeah, so for the initial setup I can put in the request to our technical team"
en_CA_Energy_1590823,channel1,29,318.8,325.44,and then they will get back to you they'll call you directly to find a time that works best
en_CA_Energy_1590823,channel1,30,326.32,330.8,and this type of setup usually takes about a day to complete
en_CA_Energy_1590823,channel1,31,331.76,338.4,um and ideally you would be available and on site when that happens
en_CA_Energy_1590823,channel1,32,342.8,349.2,they do not unfortunately yeah it's just our it's just emergencies that they do on weekends
en_CA_Energy_1590823,channel1,33,354.48,356.4,looks like it's about two and a half weeks
en_CA_Energy_1590823,channel1,34,357.2,359.2,yeah
en_CA_Energy_1590823,channel1,35,362.56,367.76,and they do need to take a trip out to the property ahead of time just to do the measurements
en_CA_Energy_1590823,channel1,36,367.76,369.92,and finalize the quote.
en_CA_Energy_1590823,channel1,37,372.4,378.8,"Yeah, so I've put in the request to our technical team like I said they'll call you"
en_CA_Energy_1590823,channel1,38,379.76,384.64,to set up those the you don't need to be there when they do the quote when they go to
en_CA_Energy_1590823,channel1,39,384.64,402.0,take the measurements but it's best if you're there the day that they do the actual install.
en_CA_Energy_1590823,channel1,40,406.96,412.64,Right so the installation costs are going to be up front and then
en_CA_Energy_1590823,channel1,41,412.96,417.52,um then your regular billing will start with the with the regular billing cycle.
en_CA_Energy_1590823,channel1,42,421.76,429.12,Okay so in terms of plans um are you going to be using electrical heat
en_CA_Energy_1590823,channel1,43,429.12,436.56,or are you using a combination of like wood stove electrical gas like how are you heating your cabin?
en_CA_Energy_1590823,channel1,44,436.56,449.36,Okay and typically how many people will be staying there?
en_CA_Energy_1590823,channel1,45,452.72,460.88,Okay and that will be for most of the year okay um so based on that information um I
en_CA_Energy_1590823,channel1,46,460.88,466.24,would suggest the primary dwelling plan since you will be living there pretty much full time
en_CA_Energy_1590823,channel1,47,466.56,475.36,and you will be um using electricity at least partially to to heat it um is it does it have
en_CA_Energy_1590823,channel1,48,475.36,478.88,modern insulation or is it a more of an older cabin?
en_CA_Energy_1590823,channel1,49,484.16,485.36,Okay let's
en_CA_Energy_1590823,channel1,50,486.24,494.8,I understand okay yeah so definitely a primary
en_CA_Energy_1590823,channel1,51,494.8,502.16,dwelling plan makes the most sense um given the information that you've provided um
en_CA_Energy_1590823,channel1,52,502.16,510.08,there we also have plans for like for when people live part time uh like 50 percent or less
en_CA_Energy_1590823,channel1,53,510.08,514.0,at a particular dwelling but it sounds like you're going to be there more than 50 percent
en_CA_Energy_1590823,channel1,54,514.0,524.48,of the time. Okay and then uh that rate will be the same per kilowatt hour as what you currently
en_CA_Energy_1590823,channel1,55,524.48,527.84,have in your primary in your home that you're living now.
en_CA_Energy_1590823,channel1,56,530.72,538.24,Okay so um right you had asked about solar we actually do offer some energy
en_CA_Energy_1590823,channel1,57,538.96,547.68,efficiency incentives and green energy incentives um we do work with a a local company that does
en_CA_Energy_1590823,channel1,58,549.28,555.68,solar panels um I can definitely send their information over to you but it's really going
en_CA_Energy_1590823,channel1,59,555.68,562.56,to depend on how tree the lot is whether there's like open access to sun.
en_CA_Energy_1590823,channel1,60,570.88,580.88,Okay uh there's kind of like a like a no not a generator but there's a battery system that
