call_id,channel,segment_id,start_time,end_time,text
en_AU_Energy_1584859,channel1,1,0.0,29.96,"Yes, this is big sun oil and energy."
en_AU_Energy_1584859,channel1,2,29.96,31.96,My name is Jim. How can I help you sir?
en_AU_Energy_1584859,channel1,3,59.96,82.96,"Yeah, absolutely. I can work with you on that one. So you mentioned that you were with a partner. I just need to know how many people are at the home. And if you could give me sort of a ballpark estimate of how much you pay per month for your energy bill."
en_AU_Energy_1584859,channel1,4,89.96,91.96,Thank you.
en_AU_Energy_1584859,channel1,5,119.96,148.96,"Yeah, absolutely. I could definitely have one of my colleagues come down and do a do a home energy audit or even just sort of have a look through your plan and your job."
en_AU_Energy_1584859,channel1,6,149.96,169.96,"I'm going to do a general usage and sit down with you and sort of figure that out in terms of solar. You got to think of it as an investment basically. So it's quite a bit upfront, but there are government subsidies to help you get that initial solar solar panel and the cells installed."
en_AU_Energy_1584859,channel1,7,169.96,190.96,"And once those are installed, some customers have seen up to a 60% reduction in their power bill, quarterly or monthly, whatever pay cycle they're on. So it really is worth the investment and pays off in the long run. So is that something that you would be interested in looking at today?"
en_AU_Energy_1584859,channel1,8,199.96,227.96,"Yeah, good question. So that's not really something that you as the homeowner would have to worry about too much. Our installers are really, really good at what they do. But just to give you some general information, we naturally want them to catch as much sunlight as possible."
en_AU_Energy_1584859,channel1,9,227.96,245.96,"So we'll have them facing towards the east and the west side of your house, if possible. Naturally, it depends on sort of where your location is and the shape of your roof and how your face, not your face, how your house faces in comparison to the sun's travel."
en_AU_Energy_1584859,channel1,10,245.96,250.96,"But yeah, our installers will handle all of that sort of stuff for you."
en_AU_Energy_1584859,channel1,11,257.96,286.96,"Yeah, I can totally go through that for you. So if you would prefer to keep your billing cycle the same, so have a have a quarterly payment, we could absolutely do that. And that saves you about 10% compared to paying monthly or monthly."
en_AU_Energy_1584859,channel1,12,286.96,306.96,"We do also offer a yearly billing cycle and it saves you about 15% compared to bi weekly or monthly. And on top of that, if you install solar through us, we give you a little bit of a subsidy for that."
en_AU_Energy_1584859,channel1,13,306.96,318.96,"So really, really good reasons to switch over to us and start saving on your power bill. We want to put as much money as we can back in your pockets."
en_AU_Energy_1584859,channel1,14,336.96,362.96,"So you've kind of hit the nail on the head there. Like, because our prices and our savings are so competitive, we're pretty, pretty busy, pretty booked."
en_AU_Energy_1584859,channel1,15,362.96,381.96,"I can see on our portal, we do have some availability coming up in the next six weeks or so. So if that works for you, we could have the like one of our representatives come down do a home energy audit and and just sort of coach you through ways you could save."
en_AU_Energy_1584859,channel1,16,381.96,390.96,And if you're willing to sort of go in on solar now we could have the installer come out with them as well and just do the installation there.
en_AU_Energy_1584859,channel1,17,392.96,421.96,"Yeah, absolutely."
