call_id,turn_id,speaker,channel,segment_id,start_time,end_time,text,sentiment_label,sentiment_score,frustration_flag,empathy_flag,probing_flag,ownership_flag,next_steps_flag
en_AU_Insurance_1586372,1,agent,channel1,1,0.0,18.0,"Hi, thanks for calling R&CB Insurance, how can I help you?",neutral,0.5091,False,False,True,False,False
en_AU_Insurance_1586372,2,customer,channel2,1,0.0,22.56,"Hi, my name's Jenny and we just had a car crash and I just need to follow a car insurance",negative,0.7542,False,False,False,False,False
en_AU_Insurance_1586372,3,agent,channel1,2,18.0,29.0,"Yeah, I should be able to, sorry, are you the policy holder?",neutral,0.828,False,False,True,False,False
en_AU_Insurance_1586372,4,customer,channel2,2,22.56,23.56,claim.,neutral,0.7163,False,False,False,False,False
en_AU_Insurance_1586372,5,customer,channel2,3,23.56,30.16,Do you want to help me with that?,neutral,0.8776,False,False,False,False,False
en_AU_Insurance_1586372,6,agent,channel1,3,29.0,36.0,"You are the policy holder, and okay, yeah, we can help you with that.",neutral,0.7322,False,False,False,False,False
en_AU_Insurance_1586372,7,customer,channel2,4,30.16,35.16,"I am, yes.",neutral,0.619,False,False,False,False,False
en_AU_Insurance_1586372,8,customer,channel2,5,35.16,49.96,"Yes, I do.",neutral,0.6376,False,False,False,False,False
en_AU_Insurance_1586372,9,agent,channel1,4,36.0,42.0,Just give me one second so I can bring your policy up.,neutral,0.7341,False,False,False,False,False
en_AU_Insurance_1586372,10,agent,channel1,5,42.0,45.0,Do you have your policy number on you?,neutral,0.9446,False,False,True,False,False
en_AU_Insurance_1586372,11,agent,channel1,6,46.0,48.0,"Okay, what's your policy number?",neutral,0.9384,False,False,True,False,False
en_AU_Insurance_1586372,12,customer,channel2,6,49.96,79.52,"It's 159 42190, yes it was.",neutral,0.8225,False,False,False,False,False
en_AU_Insurance_1586372,13,agent,channel1,7,54.0,56.0,42190?,neutral,0.8407,False,False,True,False,False
en_AU_Insurance_1586372,14,agent,channel1,8,59.0,61.0,"Jenny, was it?",neutral,0.9216,False,False,True,False,False
en_AU_Insurance_1586372,15,agent,channel1,9,61.0,63.0,"Yeah, okay.",neutral,0.5556,False,False,False,False,False
en_AU_Insurance_1586372,16,agent,channel1,10,63.0,66.0,"Alright, thanks Jenny, I've got your policy here.",positive,0.6714,False,False,False,False,False
