call_id,channel,segment_id,start_time,end_time,text
en_AU_Telecom_1586372,channel1,1,0.0,22.0,"Hi ABC Connection, how can I help you?"
en_AU_Telecom_1586372,channel1,2,22.0,35.0,"Yeah, I can certainly help and have a look at that."
en_AU_Telecom_1586372,channel1,3,35.0,37.0,Thanks Jenny.
en_AU_Telecom_1586372,channel1,4,37.0,44.0,Can I get your full address or if you have your account number with us?
en_AU_Telecom_1586372,channel1,5,44.0,49.0,"Sure, go ahead."
en_AU_Telecom_1586372,channel1,6,49.0,54.0,"Yep. One, two, seven, three, was it?"
en_AU_Telecom_1586372,channel1,7,54.0,65.0,"Okay, and what's your address of connection?"
en_AU_Telecom_1586372,channel1,8,65.0,70.0,And what's this number?
en_AU_Telecom_1586372,channel1,9,70.0,76.0,"Okay, I think I've got it here."
en_AU_Telecom_1586372,channel1,10,76.0,82.0,I'm just checking it and the download and the uploads are looking okay.
en_AU_Telecom_1586372,channel1,11,82.0,92.0,What exactly happens? Why do you say it's not working?
en_AU_Telecom_1586372,channel1,12,92.0,97.0,Are you sure it's the issues from your end?
en_AU_Telecom_1586372,channel1,13,97.0,106.0,"Yeah, and how many people are using the internet at the same time at home?"
en_AU_Telecom_1586372,channel1,14,106.0,111.0,"Yeah, just you and it's freezing."
en_AU_Telecom_1586372,channel1,15,111.0,122.0,And is there a specific time of the day that happens?
en_AU_Telecom_1586372,channel1,16,122.0,134.0,"Okay, look from what I see in terms of the speed of your internet, the download and uploads are looking pretty healthy and the lights are looking all green from our end."
en_AU_Telecom_1586372,channel1,17,134.0,145.0,So I'm not too sure. Are you sure it's not your computer at all?
en_AU_Telecom_1586372,channel1,18,145.0,152.0,"Well, there hasn't really been any outages. I know that there were storms in the past couple of days."
en_AU_Telecom_1586372,channel1,19,152.0,163.0,"They do sometimes impact internet quality, but I don't think there are any storms where you are now, is it?"
en_AU_Telecom_1586372,channel1,20,163.0,166.0,Yeah.
en_AU_Telecom_1586372,channel1,21,166.0,171.0,"Okay, so one question that I have for you."
en_AU_Telecom_1586372,channel1,22,171.0,185.0,Have you been using this computer anywhere else with any other internet connection to tell me whether the issue remains or is it just at home that you have issues with it?
en_AU_Telecom_1586372,channel1,23,185.0,188.0,"Just at home, okay."
en_AU_Telecom_1586372,channel1,24,188.0,195.0,"All right, have you tried to restart your computer?"
en_AU_Telecom_1586372,channel1,25,195.0,204.0,"Yeah, I can do that."
en_AU_Telecom_1586372,channel1,26,204.0,206.0,"Yep, I can do that."
en_AU_Telecom_1586372,channel1,27,206.0,216.0,So make sure you don't have any files or anything that requires internet for saving unsaved.
en_AU_Telecom_1586372,channel1,28,216.0,222.0,Save everything and then go to your modem.
en_AU_Telecom_1586372,channel1,29,222.0,227.0,What do you see on your modem is there should be two lights.
