call_id,channel,segment_id,start_time,end_time,text
en_AU_Hospitality_1593468,channel1,1,0.0,19.8,"Hello, thank you for calling Brooksfield Hotel, this is Jemima speaking, how can I assist"
en_AU_Hospitality_1593468,channel1,2,19.8,20.8,you today?
en_AU_Hospitality_1593468,channel1,3,21.8,22.8,Welcome.
en_AU_Hospitality_1593468,channel1,4,26.8,27.8,Thanks.
en_AU_Hospitality_1593468,channel1,5,51.8,53.8,"Hi, thank you for reaching out."
en_AU_Hospitality_1593468,channel1,6,53.8,55.8,Let me check the availability for you.
en_AU_Hospitality_1593468,channel1,7,55.8,61.8,"So our standard check-in time is 3pm, but I'll see what we can do for an early check-in time."
en_AU_Hospitality_1593468,channel1,8,61.8,66.8,If you can give me one moment please and I'll check our system to see what availability we have.
en_AU_Hospitality_1593468,channel1,9,69.8,70.8,Certainly.
en_AU_Hospitality_1593468,channel1,10,70.8,76.8,"So I've just checked and based on some of the availability we have, we can do an early"
en_AU_Hospitality_1593468,channel1,11,76.8,80.8,check-in for your desired time on Friday.
en_AU_Hospitality_1593468,channel1,12,80.8,86.8,There is an additional fee of $25 for an early check-in which covers the additional staffing
en_AU_Hospitality_1593468,channel1,13,86.8,89.8,and cleaning time required to prepare your room.
en_AU_Hospitality_1593468,channel1,14,89.8,90.8,Would you like to go ahead with that?
en_AU_Hospitality_1593468,channel1,15,106.8,124.8,"Certainly, let me have a look at some of our room availability and I'll see what we can do."
en_AU_Hospitality_1593468,channel1,16,125.8,134.8,"How many, was it just the one adjoining room that you'd like or would you like to have multiple rooms?"
en_AU_Hospitality_1593468,channel1,17,141.8,142.8,Certainly.
en_AU_Hospitality_1593468,channel1,18,142.8,147.8,So I've just checked based on your dates and we do have adjoining rooms available.
en_AU_Hospitality_1593468,channel1,19,147.8,151.8,So these rooms are located next to each other with an eternal door connecting them.
en_AU_Hospitality_1593468,channel1,20,152.8,156.8,So the internal door can be locked on either side.
en_AU_Hospitality_1593468,channel1,21,156.8,158.8,Would you like me to reserve this for you?
en_AU_Hospitality_1593468,channel1,22,163.8,164.8,Absolutely.
en_AU_Hospitality_1593468,channel1,23,166.8,168.8,And was there any children coming with you as well?
en_AU_Hospitality_1593468,channel1,24,168.8,172.8,Do you need to request a cot or a...
en_AU_Hospitality_1593468,channel1,25,173.8,183.8,"Absolutely, we can add that to your reservation as well as you are under our guest limit,"
en_AU_Hospitality_1593468,channel1,26,183.8,188.8,as we do have a maximum of four guests support her room.
en_AU_Hospitality_1593468,channel1,27,188.8,195.8,That's all booked in the additional trundle bed for a child and the adjoining room.
en_AU_Hospitality_1593468,channel1,28,195.8,198.8,Is there anything else I can assist you with today?
en_AU_Hospitality_1593468,channel1,29,202.8,219.8,"Certainly, so in terms of complimentary services that we offer, as a guest at Brooksfield,"
en_AU_Hospitality_1593468,channel1,30,219.8,223.8,you'll have access to several complimentary services.
en_AU_Hospitality_1593468,channel1,31,223.8,228.8,So we have free Wi-Fi in all our rooms and public areas of the hotel.
en_AU_Hospitality_1593468,channel1,32,228.8,230.8,We do a complimentary breakfast.
en_AU_Hospitality_1593468,channel1,33,230.8,235.8,We offer a continental breakfast daily from 6.30 to 11 a.m.
en_AU_Hospitality_1593468,channel1,34,235.8,241.8,"So if you do arrive early as per your early check-in, you would still be able to access breakfast."
en_AU_Hospitality_1593468,channel1,35,241.8,247.8,"We have a fitness centre, so our gym is available 24-7 and there's no charge to use it."
en_AU_Hospitality_1593468,channel1,36,247.8,254.8,"So in our fitness centre, we have basic weights and the normal basic machines that you'd find."
