call_id,turn_id,speaker,channel,segment_id,start_time,end_time,text
en_AU_Travel_1586372,1,agent,channel1,1,0.0,28.0,"Hi, thanks for calling Fun Travels, how can I help you?"
en_AU_Travel_1586372,2,customer,channel2,1,0.0,29.56,"Hi, I'm just looking at booking a vocation package to"
en_AU_Travel_1586372,3,agent,channel1,2,28.0,43.12,"Okay, sure. So would you just like to go ahead with the accommodation or you are looking at"
en_AU_Travel_1586372,4,customer,channel2,2,29.56,50.8,"Dreamworld. And will we require a package? So like a hotel, mills, and park tickets?"
en_AU_Travel_1586372,5,agent,channel1,3,43.12,56.4,"more options there? Sure, I can help you with that. How many people are we looking for? How"
en_AU_Travel_1586372,6,customer,channel2,3,50.8,64.96,"Are there be two adults and two children? Ah, we've got an eight-year-old and a"
en_AU_Travel_1586372,7,agent,channel1,4,56.4,72.48,"many adults and how many children? And what's the children's ages? Okay, so is there is there"
en_AU_Travel_1586372,8,customer,channel2,4,64.96,83.08,"ten-year-old. We're looking in the summer over the holidays, so it would be like June, July-ish."
en_AU_Travel_1586372,9,agent,channel1,5,72.48,91.6,"any particular dates that you're after? Yep. Okay, and any, how many days are we looking for and"
en_AU_Travel_1586372,10,agent,channel1,6,91.6,106.24,"any particular like, do you want weekends or? Okay, all right. Yep. So for seven days, I would say"
en_AU_Travel_1586372,11,customer,channel2,5,94.96,101.96,We're looking for seven days. Yeah.
en_AU_Travel_1586372,12,agent,channel1,7,106.24,120.16,generally speaking from Friday to Fridays are very popular. And what I can see is we have
en_AU_Travel_1586372,13,agent,channel1,8,120.16,140.0,"or okay, yeah, the prices are pretty similar. But what I can do is from 6th of June to 14th of"
en_AU_Travel_1586372,14,agent,channel1,9,140.08,148.64,"June, I have some availabilities for you, which is the double room. And the double rooms are"
en_AU_Travel_1586372,15,agent,channel1,10,148.64,159.68,"basically two separate bedrooms with two separate bathrooms, which is great. In one of them, there"
en_AU_Travel_1586372,16,customer,channel2,6,154.96,163.96,"Oh, yeah."
en_AU_Travel_1586372,17,agent,channel1,11,159.68,168.48,"is a queen bed and the other one has got a bunk bed, which I'm assuming for your family"
en_AU_Travel_1586372,18,agent,channel1,12,168.48,180.64,"circumstances, it should be a suitable one. And including your accommodation, it has the meals"
